t,v,s,r
2022-03-31T23:45:01.226-07:00,1909.570068359375,0,0
2022-04-01T00:00:01.253-07:00,1909.5899658203125,0,0
2022-04-01T00:15:01.250-07:00,1909.5999755859375,0,0
2022-04-01T00:30:01.308-07:00,1909.6099853515625,0,0
2022-04-01T00:45:01.268-07:00,1909.6300048828125,0,0
2022-04-01T01:00:01.293-07:00,1909.6400146484375,0,0
2022-04-01T01:15:01.268-07:00,1909.6500244140625,0,0
2022-04-01T01:30:01.258-07:00,1909.6700439453125,0,0
2022-04-01T01:45:01.305-07:00,1909.6800537109375,0,0
2022-04-01T02:00:01.256-07:00,1909.68994140625,0,0
2022-04-01T02:15:01.357-07:00,1909.7099609375,0,0
2022-04-01T02:30:01.409-07:00,1909.7200927734375,0,0
2022-04-01T02:45:01.266-07:00,1909.7301025390625,0,0
2022-04-01T03:00:01.249-07:00,1909.75,0,0
2022-04-01T03:15:01.296-07:00,1909.760009765625,0,0
2022-04-01T03:30:01.319-07:00,1909.77001953125,0,0
2022-04-01T03:45:01.212-07:00,1909.7899169921875,0,0
2022-04-01T04:00:01.244-07:00,1909.800048828125,0,0
2022-04-01T04:15:01.302-07:00,1909.81005859375,0,0
2022-04-01T04:30:01.413-07:00,1909.8299560546875,0,0
2022-04-01T04:45:01.248-07:00,1909.8399658203125,0,0
2022-04-01T05:00:01.270-07:00,1909.8499755859375,0,0
2022-04-01T05:15:01.331-07:00,1909.8699951171875,0,0
2022-04-01T05:30:01.238-07:00,1909.8800048828125,0,0
2022-04-01T05:45:01.256-07:00,1909.8900146484375,0,0
2022-04-01T06:00:01.274-07:00,1909.9100341796875,0,0
2022-04-01T06:15:01.240-07:00,1909.9200439453125,0,0
2022-04-01T06:30:01.256-07:00,1909.929931640625,0,0
2022-04-01T06:45:01.221-07:00,1909.949951171875,0,0
2022-04-01T07:00:01.279-07:00,1909.9600830078125,0,0
2022-04-01T07:15:01.257-07:00,1909.9700927734375,0,0
2022-04-01T07:30:01.181-07:00,1909.989990234375,0,0
2022-04-01T07:45:01.299-07:00,1910.0,0,0
2022-04-01T08:00:03.638-07:00,1910.02001953125,0,0
2022-04-01T08:15:01.269-07:00,1910.0299072265625,0,0
2022-04-01T08:30:01.288-07:00,1910.0400390625,0,0
2022-04-01T08:45:01.633-07:00,1910.06005859375,0,0
2022-04-01T09:00:01.259-07:00,1910.070068359375,0,0
2022-04-01T09:15:01.269-07:00,1910.0799560546875,0,0
2022-04-01T09:30:01.272-07:00,1910.0899658203125,0,0
2022-04-01T09:45:01.221-07:00,1910.1099853515625,0,0
2022-04-01T10:00:01.242-07:00,1910.1201171875,0,0
2022-04-01T10:15:01.247-07:00,1910.1300048828125,0,0
2022-04-01T10:30:01.203-07:00,1910.1400146484375,0,0
2022-04-01T10:45:01.296-07:00,1910.1600341796875,0,0
2022-04-01T11:00:01.278-07:00,1910.1700439453125,0,0
2022-04-01T11:15:01.242-07:00,1910.179931640625,0,0
2022-04-01T11:30:01.381-07:00,1910.18994140625,0,0
2022-04-01T11:45:01.270-07:00,1910.2100830078125,0,0
2022-04-01T12:00:01.294-07:00,1910.2200927734375,0,0
2022-04-01T12:15:01.202-07:00,1910.22998046875,0,0
2022-04-01T12:30:01.243-07:00,1910.239990234375,0,0
2022-04-01T12:45:01.254-07:00,1910.25,0,0
2022-04-01T13:00:01.261-07:00,1910.260009765625,0,0
2022-04-01T13:15:01.237-07:00,1910.2698974609375,0,0
2022-04-01T13:30:01.283-07:00,1910.280029296875,0,0
2022-04-01T13:45:01.250-07:00,1910.300048828125,0,0
2022-04-01T14:00:01.355-07:00,1910.31005859375,0,0
2022-04-01T14:15:01.244-07:00,1910.3199462890625,0,0
2022-04-01T14:30:01.263-07:00,1910.3299560546875,0,0
2022-04-01T14:45:01.281-07:00,1910.3399658203125,0,0
2022-04-01T15:00:01.259-07:00,1910.3499755859375,0,0
2022-04-01T15:15:01.244-07:00,1910.360107421875,0,0
2022-04-01T15:30:01.237-07:00,1910.3699951171875,0,0
2022-04-01T15:45:01.261-07:00,1910.3800048828125,0,0
2022-04-01T16:00:01.233-07:00,1910.3900146484375,0,0
2022-04-01T16:15:01.285-07:00,1910.3900146484375,0,0
2022-04-01T16:30:01.260-07:00,1910.4000244140625,0,0
2022-04-01T16:45:01.237-07:00,1910.419921875,0,0
2022-04-01T17:00:01.246-07:00,1910.429931640625,0,0
2022-04-01T17:15:01.222-07:00,1910.4400634765625,0,0
2022-04-01T17:30:01.289-07:00,1910.4500732421875,0,0
2022-04-01T17:45:01.286-07:00,1910.4600830078125,0,0
2022-04-01T18:00:01.288-07:00,1910.469970703125,0,0
2022-04-01T18:15:01.262-07:00,1910.47998046875,0,0
2022-04-01T18:30:00.095-07:00,1910.489990234375,0,0
2022-04-01T18:45:01.325-07:00,1910.5,0,0
2022-04-01T19:00:01.275-07:00,1910.510009765625,0,0
2022-04-01T19:15:01.300-07:00,1910.52001953125,0,0
2022-04-01T19:30:01.303-07:00,1910.5400390625,0,0
2022-04-01T19:45:01.240-07:00,1910.550048828125,0,0
2022-04-01T20:00:01.262-07:00,1910.56005859375,0,0
2022-04-01T20:15:01.237-07:00,1910.5699462890625,0,0
2022-04-01T20:30:01.283-07:00,1910.5799560546875,0,0
2022-04-01T20:45:01.241-07:00,1910.60009765625,0,0
2022-04-01T21:00:01.279-07:00,1910.610107421875,0,0
2022-04-01T21:15:01.428-07:00,1910.6199951171875,0,0
2022-04-01T21:30:01.228-07:00,1910.6300048828125,0,0
2022-04-01T21:45:01.239-07:00,1910.6400146484375,0,0
2022-04-01T22:00:01.250-07:00,1910.659912109375,0,0
2022-04-01T22:15:01.235-07:00,1910.669921875,0,0
2022-04-01T22:30:01.235-07:00,1910.6800537109375,0,0
2022-04-01T22:45:01.255-07:00,1910.6900634765625,0,0
2022-04-01T23:00:01.248-07:00,1910.7099609375,0,0
2022-04-01T23:15:01.258-07:00,1910.719970703125,0,0
2022-04-01T23:30:01.254-07:00,1910.72998046875,0,0
2022-04-01T23:45:01.283-07:00,1910.739990234375,0,0
2022-04-02T00:00:01.213-07:00,1910.760009765625,0,0
2022-04-02T00:15:01.204-07:00,1910.77001953125,0,0
2022-04-02T00:30:01.340-07:00,1910.780029296875,0,0
2022-04-02T00:45:01.289-07:00,1910.7900390625,0,0
2022-04-02T01:00:01.247-07:00,1910.8099365234375,0,0
2022-04-02T01:15:01.316-07:00,1910.8199462890625,0,0
2022-04-02T01:30:01.219-07:00,1910.8299560546875,0,0
2022-04-02T01:45:01.213-07:00,1910.85009765625,0,0
2022-04-02T02:00:01.247-07:00,1910.8599853515625,0,0
2022-04-02T02:15:01.251-07:00,1910.8699951171875,0,0
2022-04-02T02:30:01.262-07:00,1910.8800048828125,0,0
2022-04-02T02:45:01.263-07:00,1910.9000244140625,0,0
2022-04-02T03:00:01.227-07:00,1910.909912109375,0,0
2022-04-02T03:15:01.403-07:00,1910.9200439453125,0,0
2022-04-02T03:30:01.207-07:00,1910.9400634765625,0,0
2022-04-02T03:45:01.218-07:00,1910.9500732421875,0,0
2022-04-02T04:00:01.228-07:00,1910.9599609375,0,0
2022-04-02T04:15:01.249-07:00,1910.969970703125,0,0
2022-04-02T04:30:01.301-07:00,1910.989990234375,0,0
2022-04-02T04:45:01.237-07:00,1911.0001220703125,0,0
2022-04-02T05:00:01.226-07:00,1911.02001953125,0,0
2022-04-02T05:15:01.243-07:00,1911.030029296875,0,0
2022-04-02T05:30:01.273-07:00,1911.0400390625,0,0
2022-04-02T05:45:01.205-07:00,1911.0599365234375,0,0
2022-04-02T06:00:01.280-07:00,1911.0699462890625,0,0
2022-04-02T06:15:01.256-07:00,1911.090087890625,0,0
2022-04-02T06:30:01.261-07:00,1911.0999755859375,0,0
2022-04-02T06:45:01.263-07:00,1911.1099853515625,0,0
2022-04-02T07:00:01.270-07:00,1911.1300048828125,0,0
2022-04-02T07:15:01.242-07:00,1911.1400146484375,0,0
2022-04-02T07:30:01.220-07:00,1911.1600341796875,0,0
2022-04-02T07:45:01.235-07:00,1911.1700439453125,0,0
2022-04-02T08:00:00.110-07:00,1911.1800537109375,0,0
2022-04-02T08:15:01.389-07:00,1911.199951171875,0,0
2022-04-02T08:30:01.207-07:00,1911.2099609375,0,0
2022-04-02T08:45:01.253-07:00,1911.219970703125,0,0
2022-04-02T09:00:01.279-07:00,1911.2401123046875,0,0
2022-04-02T09:15:01.230-07:00,1911.25,0,0
2022-04-02T09:30:01.235-07:00,1911.260009765625,0,0
2022-04-02T09:45:01.276-07:00,1911.280029296875,0,0
2022-04-02T10:00:01.255-07:00,1911.2900390625,0,0
2022-04-02T10:15:01.247-07:00,1911.2999267578125,0,0
2022-04-02T10:30:01.223-07:00,1911.320068359375,0,0
2022-04-02T10:45:01.395-07:00,1911.330078125,0,0
2022-04-02T11:00:01.217-07:00,1911.340087890625,0,0
2022-04-02T11:15:01.312-07:00,1911.3599853515625,0,0
2022-04-02T11:30:01.348-07:00,1911.3699951171875,0,0
2022-04-02T11:45:01.218-07:00,1911.3800048828125,0,0
2022-04-02T12:00:01.258-07:00,1911.4000244140625,0,0
2022-04-02T12:15:01.180-07:00,1911.4100341796875,0,0
2022-04-02T12:30:01.267-07:00,1911.4200439453125,0,0
2022-04-02T12:45:01.368-07:00,1911.4300537109375,0,0
2022-04-02T13:00:01.308-07:00,1911.449951171875,0,0
2022-04-02T13:15:01.302-07:00,1911.4599609375,0,0
2022-04-02T13:30:01.239-07:00,1911.469970703125,0,0
2022-04-02T13:45:01.276-07:00,1911.4801025390625,0,0
2022-04-02T14:00:01.273-07:00,1911.5,0,0
2022-04-02T14:15:01.236-07:00,1911.510009765625,0,0
2022-04-02T14:30:01.189-07:00,1911.52001953125,0,0
2022-04-02T14:45:01.305-07:00,1911.530029296875,0,0
2022-04-02T15:00:01.239-07:00,1911.5499267578125,0,0
2022-04-02T15:15:01.266-07:00,1911.56005859375,0,0
2022-04-02T15:30:01.246-07:00,1911.570068359375,0,0
2022-04-02T15:45:01.223-07:00,1911.580078125,0,0
2022-04-02T16:00:01.200-07:00,1911.5899658203125,0,0
2022-04-02T16:15:01.226-07:00,1911.6099853515625,0,0
2022-04-02T16:30:01.228-07:00,1911.6199951171875,0,0
2022-04-02T16:45:01.234-07:00,1911.6300048828125,0,0
2022-04-02T17:00:01.268-07:00,1911.6400146484375,0,0
2022-04-02T17:15:01.225-07:00,1911.6500244140625,0,0
2022-04-02T17:30:01.243-07:00,1911.6700439453125,0,0
2022-04-02T17:45:01.225-07:00,1911.6800537109375,0,0
2022-04-02T18:00:01.248-07:00,1911.68994140625,0,0
2022-04-02T18:15:01.234-07:00,1911.699951171875,0,0
2022-04-02T18:30:01.379-07:00,1911.7099609375,0,0
2022-04-02T18:45:01.237-07:00,1911.7301025390625,0,0
2022-04-02T19:00:01.198-07:00,1911.739990234375,0,0
2022-04-02T19:15:01.192-07:00,1911.75,0,0
2022-04-02T19:30:01.236-07:00,1911.760009765625,0,0
2022-04-02T19:45:01.218-07:00,1911.77001953125,0,0
2022-04-02T20:00:01.275-07:00,1911.7899169921875,0,0
2022-04-02T20:15:01.219-07:00,1911.800048828125,0,0
2022-04-02T20:30:01.174-07:00,1911.81005859375,0,0
2022-04-02T20:45:01.230-07:00,1911.820068359375,0,0
2022-04-02T21:00:01.297-07:00,1911.8299560546875,0,0
2022-04-02T21:15:00.098-07:00,1911.8499755859375,0,0
2022-04-02T21:30:01.224-07:00,1911.8599853515625,0,0
2022-04-02T21:45:01.235-07:00,1911.8699951171875,0,0
2022-04-02T22:00:01.207-07:00,1911.8800048828125,0,0
2022-04-02T22:15:01.242-07:00,1911.9000244140625,0,0
2022-04-02T22:30:01.227-07:00,1911.9100341796875,0,0
2022-04-02T22:45:01.314-07:00,1911.9200439453125,0,0
2022-04-02T23:00:01.451-07:00,1911.929931640625,0,0
2022-04-02T23:15:01.218-07:00,1911.93994140625,0,0
2022-04-02T23:30:01.214-07:00,1911.9600830078125,0,0
2022-04-02T23:45:01.178-07:00,1911.9700927734375,0,0
2022-04-03T00:00:01.224-07:00,1911.97998046875,0,0
2022-04-03T00:15:01.279-07:00,1911.989990234375,0,0
2022-04-03T00:30:01.224-07:00,1912.010009765625,0,0
2022-04-03T00:45:01.411-07:00,1912.02001953125,0,0
2022-04-03T01:00:01.245-07:00,1912.0299072265625,0,0
2022-04-03T01:15:01.304-07:00,1912.0400390625,0,0
2022-04-03T01:30:01.280-07:00,1912.06005859375,0,0
2022-04-03T01:45:01.187-07:00,1912.070068359375,0,0
2022-04-03T02:00:01.205-07:00,1912.0799560546875,0,0
2022-04-03T02:15:01.197-07:00,1912.0899658203125,0,0
2022-04-03T02:30:01.240-07:00,1912.1099853515625,0,0
2022-04-03T02:45:01.201-07:00,1912.1201171875,0,0
2022-04-03T03:00:01.202-07:00,1912.1300048828125,0,0
2022-04-03T03:15:01.248-07:00,1912.1400146484375,0,0
2022-04-03T03:30:01.293-07:00,1912.1600341796875,0,0
2022-04-03T03:45:01.368-07:00,1912.1700439453125,0,0
2022-04-03T04:00:00.130-07:00,1912.179931640625,0,0
2022-04-03T04:15:01.236-07:00,1912.18994140625,0,0
2022-04-03T04:30:01.246-07:00,1912.2100830078125,0,0
2022-04-03T04:45:01.218-07:00,1912.2200927734375,0,0
2022-04-03T05:00:05.630-07:00,1912.22998046875,0,0
2022-04-03T05:15:01.306-07:00,1912.25,0,0
2022-04-03T05:30:01.244-07:00,1912.260009765625,0,0
2022-04-03T05:45:01.334-07:00,1912.2698974609375,0,0
2022-04-03T06:00:01.295-07:00,1912.280029296875,0,0
2022-04-03T06:15:01.268-07:00,1912.2900390625,0,0
2022-04-03T06:30:01.212-07:00,1912.31005859375,0,0
2022-04-03T06:45:01.241-07:00,1912.3199462890625,0,0
2022-04-03T07:00:01.350-07:00,1912.3299560546875,0,0
