t,v,s,r
2022-03-31T23:45:02.003-07:00,9767.759765625,0,0
2022-04-01T00:00:01.922-07:00,9767.8701171875,0,0
2022-04-01T00:15:02.103-07:00,9767.98046875,0,0
2022-04-01T00:30:02.029-07:00,9768.08984375,0,0
2022-04-01T00:45:01.928-07:00,9768.2099609375,0,0
2022-04-01T01:00:01.929-07:00,9768.3203125,0,0
2022-04-01T01:15:01.513-07:00,9768.439453125,0,0
2022-04-01T01:30:02.013-07:00,9768.5400390625,0,0
2022-04-01T01:45:01.971-07:00,9768.6298828125,0,0
2022-04-01T02:00:01.932-07:00,9768.7294921875,0,0
2022-04-01T02:15:01.946-07:00,9768.8193359375,0,0
2022-04-01T02:30:01.808-07:00,9768.919921875,0,0
2022-04-01T02:45:01.932-07:00,9769.0205078125,0,0
2022-04-01T03:00:01.943-07:00,9769.1201171875,0,0
2022-04-01T03:15:01.807-07:00,9769.2197265625,0,0
2022-04-01T03:30:01.832-07:00,9769.310546875,0,0
2022-04-01T03:45:02.265-07:00,9769.4091796875,0,0
2022-04-01T04:00:01.916-07:00,9769.509765625,0,0
2022-04-01T04:15:02.213-07:00,9769.6103515625,0,0
2022-04-01T04:30:01.826-07:00,9769.7001953125,0,0
2022-04-01T04:45:01.883-07:00,9769.7900390625,0,0
2022-04-01T05:00:02.032-07:00,9769.8896484375,0,0
2022-04-01T05:15:02.164-07:00,9769.9794921875,0,0
2022-04-01T05:30:01.894-07:00,9770.080078125,0,0
2022-04-01T05:45:02.098-07:00,9770.169921875,0,0
2022-04-01T06:00:01.952-07:00,9770.26953125,0,0
2022-04-01T06:15:02.023-07:00,9770.3798828125,0,0
2022-04-01T06:30:04.396-07:00,9770.4794921875,0,0
2022-04-01T06:45:02.339-07:00,9770.580078125,0,0
2022-04-01T07:00:02.014-07:00,9770.6806640625,0,0
2022-04-01T07:15:01.929-07:00,9770.7900390625,0,0
2022-04-01T07:30:03.378-07:00,9770.8798828125,0,0
2022-04-01T07:45:01.910-07:00,9770.98046875,0,0
2022-04-01T08:00:04.072-07:00,9771.08984375,0,0
2022-04-01T08:15:01.894-07:00,9771.1904296875,0,0
2022-04-01T08:30:02.170-07:00,9771.2998046875,0,0
2022-04-01T08:45:03.012-07:00,9771.419921875,0,0
2022-04-01T09:00:01.970-07:00,9771.5302734375,0,0
2022-04-01T09:15:02.004-07:00,9771.650390625,0,0
2022-04-01T09:30:02.013-07:00,9771.76953125,0,0
2022-04-01T09:45:01.941-07:00,9771.900390625,0,0
2022-04-01T10:00:01.940-07:00,9772.01953125,0,0
2022-04-01T10:15:01.866-07:00,9772.1298828125,0,0
2022-04-01T10:30:01.904-07:00,9772.25,0,0
2022-04-01T10:45:02.050-07:00,9772.3701171875,0,0
2022-04-01T11:00:02.083-07:00,9772.5,0,0
2022-04-01T11:15:01.986-07:00,9772.6201171875,0,0
2022-04-01T11:30:02.011-07:00,9772.73046875,0,0
2022-04-01T11:45:02.013-07:00,9772.8603515625,0,0
2022-04-01T12:00:01.977-07:00,9772.98046875,0,0
2022-04-01T12:15:02.019-07:00,9773.1103515625,0,0
2022-04-01T12:30:02.311-07:00,9773.240234375,0,0
2022-04-01T12:45:02.167-07:00,9773.3701171875,0,0
2022-04-01T13:00:01.945-07:00,9773.509765625,0,0
2022-04-01T13:15:01.975-07:00,9773.650390625,0,0
2022-04-01T13:30:01.991-07:00,9773.7900390625,0,0
2022-04-01T13:45:01.935-07:00,9773.9306640625,0,0
2022-04-01T14:00:01.925-07:00,9774.0693359375,0,0
2022-04-01T14:15:01.991-07:00,9774.2099609375,0,0
2022-04-01T14:30:02.244-07:00,9774.359375,0,0
2022-04-01T14:45:02.027-07:00,9774.529296875,0,0
2022-04-01T15:00:02.118-07:00,9774.6904296875,0,0
2022-04-01T15:15:01.925-07:00,9774.83984375,0,0
2022-04-01T15:30:04.245-07:00,9774.990234375,0,0
2022-04-01T15:45:01.884-07:00,9775.1396484375,0,0
2022-04-01T16:00:04.411-07:00,9775.2998046875,0,0
2022-04-01T16:15:01.933-07:00,9775.4599609375,0,0
2022-04-01T16:30:04.511-07:00,9775.609375,0,0
2022-04-01T16:45:01.926-07:00,9775.7607421875,0,0
2022-04-01T17:00:02.056-07:00,9775.919921875,0,0
2022-04-01T17:15:01.972-07:00,9776.0693359375,0,0
2022-04-01T17:30:02.077-07:00,9776.2197265625,0,0
2022-04-01T17:45:01.971-07:00,9776.3701171875,0,0
2022-04-01T18:00:01.920-07:00,9776.5205078125,0,0
2022-04-01T18:15:01.998-07:00,9776.669921875,0,0
2022-04-01T18:30:01.977-07:00,9776.8203125,0,0
2022-04-01T18:45:01.916-07:00,9776.9404296875,0,0
2022-04-01T19:00:02.068-07:00,9777.080078125,0,0
2022-04-01T19:15:01.956-07:00,9777.2197265625,0,0
2022-04-01T19:30:00.340-07:00,9777.3603515625,0,0
2022-04-01T19:45:01.848-07:00,9777.490234375,0,0
2022-04-01T20:00:01.856-07:00,9777.6298828125,0,0
2022-04-01T20:15:01.979-07:00,9777.75,0,0
2022-04-01T20:30:01.900-07:00,9777.8798828125,0,0
2022-04-01T20:45:02.032-07:00,9778.0,0,0
2022-04-01T21:00:02.207-07:00,9778.1103515625,0,0
2022-04-01T21:15:02.131-07:00,9778.23046875,0,0
2022-04-01T21:30:01.948-07:00,9778.369140625,0,0
2022-04-01T21:45:01.988-07:00,9778.490234375,0,0
2022-04-01T22:00:02.142-07:00,9778.6201171875,0,0
2022-04-01T22:15:02.070-07:00,9778.73046875,0,0
2022-04-01T22:30:02.034-07:00,9778.849609375,0,0
2022-04-01T22:45:01.890-07:00,9778.9697265625,0,0
2022-04-01T23:00:02.005-07:00,9779.0908203125,0,0
2022-04-01T23:15:06.913-07:00,9779.2001953125,0,0
2022-04-01T23:30:02.892-07:00,9779.3193359375,0,0
2022-04-01T23:45:01.911-07:00,9779.439453125,0,0
2022-04-02T00:00:00.200-07:00,9779.5498046875,0,0
2022-04-02T00:15:01.927-07:00,9779.66015625,0,0
2022-04-02T00:30:01.958-07:00,9779.7705078125,0,0
2022-04-02T00:45:01.888-07:00,9779.890625,0,0
2022-04-02T01:00:01.990-07:00,9779.9892578125,0,0
2022-04-02T01:15:01.939-07:00,9780.099609375,0,0
2022-04-02T01:30:02.018-07:00,9780.2099609375,0,0
2022-04-02T01:45:02.113-07:00,9780.2998046875,0,0
2022-04-02T02:00:02.171-07:00,9780.3896484375,0,0
2022-04-02T02:15:02.011-07:00,9780.490234375,0,0
2022-04-02T02:30:01.961-07:00,9780.580078125,0,0
2022-04-02T02:45:02.028-07:00,9780.6796875,0,0
2022-04-02T03:00:01.950-07:00,9780.7802734375,0,0
2022-04-02T03:15:01.958-07:00,9780.8701171875,0,0
2022-04-02T03:30:01.946-07:00,9780.970703125,0,0
2022-04-02T03:45:02.176-07:00,9781.0595703125,0,0
2022-04-02T04:00:01.818-07:00,9781.1494140625,0,0
2022-04-02T04:15:01.928-07:00,9781.240234375,0,0
2022-04-02T04:30:01.974-07:00,9781.33984375,0,0
2022-04-02T04:45:00.201-07:00,9781.4306640625,0,0
2022-04-02T05:00:01.867-07:00,9781.529296875,0,0
2022-04-02T05:15:01.947-07:00,9781.6201171875,0,0
2022-04-02T05:30:01.866-07:00,9781.7197265625,0,0
2022-04-02T05:45:01.935-07:00,9781.8203125,0,0
2022-04-02T06:00:01.941-07:00,9781.9091796875,0,0
2022-04-02T06:15:01.943-07:00,9782.009765625,0,0
2022-04-02T06:30:01.966-07:00,9782.099609375,0,0
2022-04-02T06:45:01.931-07:00,9782.2099609375,0,0
2022-04-02T07:00:01.948-07:00,9782.3095703125,0,0
2022-04-02T07:15:01.903-07:00,9782.41015625,0,0
2022-04-02T07:30:02.100-07:00,9782.5,0,0
2022-04-02T07:45:02.023-07:00,9782.6103515625,0,0
2022-04-02T08:00:01.940-07:00,9782.7099609375,0,0
2022-04-02T08:15:01.960-07:00,9782.8095703125,0,0
2022-04-02T08:30:01.909-07:00,9782.8994140625,0,0
