t,v,s,r
2022-03-31T23:45:01.862-07:00,50.848907470703125,0,0
2022-04-01T00:00:01.766-07:00,46.849273681640625,0,0
2022-04-01T00:15:01.945-07:00,45.521148681640625,0,0
2022-04-01T00:30:01.886-07:00,44.838104248046875,0,0
2022-04-01T00:45:01.785-07:00,44.640777587890625,0,0
2022-04-01T01:00:01.793-07:00,44.56488037109375,0,0
2022-04-01T01:15:01.501-07:00,49.80157470703125,0,0
2022-04-01T01:30:01.880-07:00,51.2359619140625,0,0
2022-04-01T01:45:01.816-07:00,46.492584228515625,0,0
2022-04-01T02:00:01.799-07:00,45.2479248046875,0,0
2022-04-01T02:15:01.816-07:00,44.754608154296875,0,0
2022-04-01T02:30:01.675-07:00,44.6331787109375,0,0
2022-04-01T02:45:01.791-07:00,44.12469482421875,0,0
2022-04-01T03:00:01.803-07:00,49.869873046875,0,0
2022-04-01T03:15:01.684-07:00,49.1640625,0,0
2022-04-01T03:30:01.702-07:00,46.24212646484375,0,0
2022-04-01T03:45:02.082-07:00,45.058197021484375,0,0
2022-04-01T04:00:01.716-07:00,44.73944091796875,0,0
2022-04-01T04:15:02.058-07:00,44.625579833984375,0,0
2022-04-01T04:30:01.673-07:00,44.580047607421875,0,0
2022-04-01T04:45:01.697-07:00,48.458251953125,0,0
2022-04-01T05:00:01.915-07:00,50.90960693359375,0,0
2022-04-01T05:15:01.956-07:00,50.105133056640625,0,0
2022-04-01T05:30:01.764-07:00,46.006866455078125,0,0
2022-04-01T05:45:01.951-07:00,44.989898681640625,0,0
2022-04-01T06:00:01.810-07:00,44.83050537109375,0,0
2022-04-01T06:15:01.867-07:00,44.625579833984375,0,0
2022-04-01T06:30:04.206-07:00,44.61041259765625,0,0
2022-04-01T06:45:02.184-07:00,44.618011474609375,0,0
2022-04-01T07:00:01.864-07:00,44.52691650390625,0,0
2022-04-01T07:15:01.795-07:00,49.816741943359375,0,0
2022-04-01T07:30:03.224-07:00,47.046600341796875,0,0
2022-04-01T07:45:01.778-07:00,50.628814697265625,0,0
2022-04-01T08:00:03.925-07:00,49.285491943359375,0,0
2022-04-01T08:15:01.705-07:00,46.538116455078125,0,0
2022-04-01T08:30:02.024-07:00,45.118896484375,0,0
2022-04-01T08:45:02.861-07:00,44.860870361328125,0,0
2022-04-01T09:00:01.830-07:00,44.78497314453125,0,0
2022-04-01T09:15:01.865-07:00,46.8720703125,0,0
2022-04-01T09:30:01.846-07:00,49.5662841796875,0,0
2022-04-01T09:45:01.799-07:00,46.89483642578125,0,0
2022-04-01T10:00:01.780-07:00,45.088531494140625,0,0
2022-04-01T10:15:01.719-07:00,44.76220703125,0,0
2022-04-01T10:30:01.782-07:00,47.638580322265625,0,0
2022-04-01T10:45:01.907-07:00,45.870269775390625,0,0
2022-04-01T11:00:01.849-07:00,44.883636474609375,0,0
2022-04-01T11:15:01.834-07:00,50.393524169921875,0,0
2022-04-01T11:30:01.833-07:00,45.817138671875,0,0
2022-04-01T11:45:01.832-07:00,44.815338134765625,0,0
2022-04-01T12:00:01.825-07:00,47.638580322265625,0,0
2022-04-01T12:15:01.865-07:00,45.36175537109375,0,0
2022-04-01T12:30:02.153-07:00,48.556915283203125,0,0
2022-04-01T12:45:02.011-07:00,45.589447021484375,0,0
2022-04-01T13:00:01.790-07:00,49.5662841796875,0,0
2022-04-01T13:15:01.838-07:00,45.5970458984375,0,0
2022-04-01T13:30:01.854-07:00,46.15106201171875,0,0
2022-04-01T13:45:01.790-07:00,45.09613037109375,0,0
2022-04-01T14:00:01.792-07:00,46.538116455078125,0,0
2022-04-01T14:15:01.857-07:00,44.8912353515625,0,0
2022-04-01T14:30:02.099-07:00,45.5135498046875,0,0
2022-04-01T14:45:01.899-07:00,45.680511474609375,0,0
2022-04-01T15:00:01.966-07:00,49.353790283203125,0,0
2022-04-01T15:15:01.781-07:00,45.4224853515625,0,0
2022-04-01T15:30:04.104-07:00,45.680511474609375,0,0
2022-04-01T15:45:01.745-07:00,46.204193115234375,0,0
2022-04-01T16:00:04.286-07:00,45.02783203125,0,0
2022-04-01T16:15:01.786-07:00,45.718475341796875,0,0
2022-04-01T16:30:04.373-07:00,44.5421142578125,0,0
2022-04-01T16:45:01.756-07:00,46.879638671875,0,0
2022-04-01T17:00:01.922-07:00,49.710479736328125,0,0
2022-04-01T17:15:01.824-07:00,44.34478759765625,0,0
2022-04-01T17:30:01.931-07:00,47.4033203125,0,0
2022-04-01T17:45:01.829-07:00,45.111328125,0,0
2022-04-01T18:00:01.778-07:00,44.30682373046875,0,0
2022-04-01T18:15:01.854-07:00,44.8912353515625,0,0
2022-04-01T18:30:01.842-07:00,45.18719482421875,0,0
2022-04-01T18:45:01.766-07:00,44.769805908203125,0,0
2022-04-01T19:00:01.920-07:00,45.726043701171875,0,0
2022-04-01T19:15:01.795-07:00,49.10333251953125,0,0
2022-04-01T19:30:00.198-07:00,45.80194091796875,0,0
2022-04-01T19:45:01.718-07:00,49.53594970703125,0,0
2022-04-01T20:00:01.707-07:00,45.877838134765625,0,0
2022-04-01T20:15:01.800-07:00,44.572479248046875,0,0
2022-04-01T20:30:01.747-07:00,49.285491943359375,0,0
2022-04-01T20:45:01.886-07:00,45.240325927734375,0,0
2022-04-01T21:00:02.043-07:00,44.625579833984375,0,0
2022-04-01T21:15:01.991-07:00,49.702911376953125,0,0
2022-04-01T21:30:01.815-07:00,46.029632568359375,0,0
2022-04-01T21:45:01.818-07:00,44.769805908203125,0,0
2022-04-01T22:00:01.996-07:00,43.790771484375,0,0
2022-04-01T22:15:01.891-07:00,48.5037841796875,0,0
2022-04-01T22:30:01.882-07:00,45.1644287109375,0,0
2022-04-01T22:45:01.758-07:00,44.822906494140625,0,0
2022-04-01T23:00:01.836-07:00,44.602813720703125,0,0
2022-04-01T23:15:04.483-07:00,47.6234130859375,0,0
2022-04-01T23:30:02.530-07:00,50.780609130859375,0,0
2022-04-01T23:45:01.762-07:00,48.913604736328125,0,0
2022-04-02T00:00:00.179-07:00,45.483184814453125,0,0
2022-04-02T00:15:01.786-07:00,44.822906494140625,0,0
2022-04-02T00:30:01.802-07:00,44.6331787109375,0,0
2022-04-02T00:45:01.739-07:00,50.719879150390625,0,0
2022-04-02T01:00:01.840-07:00,46.735443115234375,0,0
2022-04-02T01:15:01.772-07:00,44.974700927734375,0,0
2022-04-02T01:30:01.860-07:00,44.7242431640625,0,0
2022-04-02T01:45:01.938-07:00,48.92877197265625,0,0
2022-04-02T02:00:01.999-07:00,48.625213623046875,0,0
2022-04-02T02:15:01.872-07:00,45.301055908203125,0,0
2022-04-02T02:30:01.807-07:00,44.74700927734375,0,0
2022-04-02T02:45:01.878-07:00,44.625579833984375,0,0
2022-04-02T03:00:01.806-07:00,50.401123046875,0,0
2022-04-02T03:15:01.790-07:00,47.51715087890625,0,0
2022-04-02T03:30:01.814-07:00,45.13409423828125,0,0
2022-04-02T03:45:02.002-07:00,44.648345947265625,0,0
2022-04-02T04:00:01.694-07:00,44.549713134765625,0,0
2022-04-02T04:15:01.794-07:00,50.568084716796875,0,0
2022-04-02T04:30:01.825-07:00,47.942169189453125,0,0
2022-04-02T04:45:00.181-07:00,45.1644287109375,0,0
2022-04-02T05:00:01.710-07:00,44.800140380859375,0,0
2022-04-02T05:15:01.813-07:00,44.6787109375,0,0
2022-04-02T05:30:01.719-07:00,50.340423583984375,0,0
2022-04-02T05:45:01.814-07:00,47.3653564453125,0,0
2022-04-02T06:00:01.796-07:00,45.058197021484375,0,0
2022-04-02T06:15:01.787-07:00,44.6787109375,0,0
2022-04-02T06:30:01.815-07:00,44.618011474609375,0,0
2022-04-02T06:45:01.777-07:00,48.253326416015625,0,0
2022-04-02T07:00:01.753-07:00,48.587249755859375,0,0
2022-04-02T07:15:01.762-07:00,46.515350341796875,0,0
2022-04-02T07:30:01.949-07:00,44.906402587890625,0,0
2022-04-02T07:45:01.786-07:00,44.640777587890625,0,0
2022-04-02T08:00:01.797-07:00,44.557281494140625,0,0
2022-04-02T08:15:01.761-07:00,49.84710693359375,0,0
2022-04-02T08:30:01.781-07:00,48.6859130859375,0,0
2022-04-02T08:45:01.851-07:00,45.695709228515625,0,0
2022-04-02T09:00:01.801-07:00,44.853271484375,0,0
2022-04-02T09:15:01.813-07:00,44.74700927734375,0,0
2022-04-02T09:30:00.226-07:00,50.37835693359375,0,0
2022-04-02T09:45:01.708-07:00,50.165863037109375,0,0
2022-04-02T10:00:02.211-07:00,46.28009033203125,0,0
2022-04-02T10:15:01.724-07:00,44.96710205078125,0,0
2022-04-02T10:30:01.755-07:00,44.76220703125,0,0
2022-04-02T10:45:01.866-07:00,50.50738525390625,0,0
2022-04-02T11:00:01.776-07:00,46.143463134765625,0,0
2022-04-02T11:15:01.783-07:00,45.00506591796875,0,0
2022-04-02T11:30:01.823-07:00,44.822906494140625,0,0
2022-04-02T11:45:01.806-07:00,48.92120361328125,0,0
2022-04-02T12:00:01.762-07:00,46.538116455078125,0,0
2022-04-02T12:15:01.861-07:00,45.088531494140625,0,0
2022-04-02T12:30:02.059-07:00,44.78497314453125,0,0
2022-04-02T12:45:01.874-07:00,50.606048583984375,0,0
2022-04-02T13:00:01.921-07:00,48.22296142578125,0,0
2022-04-02T13:15:01.792-07:00,45.741241455078125,0,0
2022-04-02T13:30:01.756-07:00,48.997100830078125,0,0
2022-04-02T13:45:01.831-07:00,46.006866455078125,0,0
2022-04-02T14:00:00.154-07:00,44.8077392578125,0,0
2022-04-02T14:15:01.839-07:00,46.553314208984375,0,0
2022-04-02T14:30:01.824-07:00,44.91400146484375,0,0
2022-04-02T14:45:01.818-07:00,46.25732421875,0,0
2022-04-02T15:00:02.501-07:00,45.149261474609375,0,0
2022-04-02T15:15:01.862-07:00,46.28765869140625,0,0
2022-04-02T15:30:01.767-07:00,45.194793701171875,0,0
2022-04-02T15:45:02.104-07:00,47.1376953125,0,0
2022-04-02T16:00:01.807-07:00,45.02783203125,0,0
2022-04-02T16:15:01.985-07:00,46.50018310546875,0,0
2022-04-02T16:30:01.892-07:00,44.8988037109375,0,0
2022-04-02T16:45:01.800-07:00,45.908203125,0,0
2022-04-02T17:00:01.825-07:00,44.4130859375,0,0
2022-04-02T17:15:01.753-07:00,46.188995361328125,0,0
2022-04-02T17:30:01.975-07:00,43.828704833984375,0,0
2022-04-02T17:45:01.882-07:00,47.312255859375,0,0
2022-04-02T18:00:01.803-07:00,45.0733642578125,0,0
2022-04-02T18:15:01.808-07:00,49.687713623046875,0,0
2022-04-02T18:30:01.891-07:00,45.566680908203125,0,0
2022-04-02T18:45:01.803-07:00,44.640777587890625,0,0
2022-04-02T19:00:02.032-07:00,46.2117919921875,0,0
2022-04-02T19:15:01.772-07:00,44.76220703125,0,0
2022-04-02T19:30:01.868-07:00,50.059600830078125,0,0
2022-04-02T19:45:01.757-07:00,46.52294921875,0,0
2022-04-02T20:00:01.823-07:00,44.769805908203125,0,0
2022-04-02T20:15:01.745-07:00,49.657379150390625,0,0
2022-04-02T20:30:01.827-07:00,45.66534423828125,0,0
2022-04-02T20:45:01.884-07:00,44.618011474609375,0,0
2022-04-02T21:00:01.853-07:00,48.587249755859375,0,0
2022-04-02T21:15:02.251-07:00,45.475616455078125,0,0
2022-04-02T21:30:01.803-07:00,44.686309814453125,0,0
2022-04-02T21:45:02.299-07:00,49.4296875,0,0
2022-04-02T22:00:01.646-07:00,45.4224853515625,0,0
2022-04-02T22:15:02.265-07:00,44.686309814453125,0,0
2022-04-02T22:30:01.848-07:00,48.48858642578125,0,0
2022-04-02T22:45:02.277-07:00,46.553314208984375,0,0
2022-04-02T23:00:01.841-07:00,44.73944091796875,0,0
2022-04-02T23:15:02.358-07:00,44.155059814453125,0,0
2022-04-02T23:30:01.788-07:00,50.325225830078125,0,0
2022-04-02T23:45:02.728-07:00,47.433685302734375,0,0
2022-04-03T00:00:01.768-07:00,45.042999267578125,0,0
2022-04-03T00:15:01.888-07:00,44.70147705078125,0,0
2022-04-03T00:30:01.818-07:00,44.671142578125,0,0
2022-04-03T00:45:01.852-07:00,50.833709716796875,0,0
2022-04-03T01:00:01.803-07:00,46.226959228515625,0,0
2022-04-03T01:15:01.815-07:00,44.860870361328125,0,0
2022-04-03T01:30:01.850-07:00,44.7166748046875,0,0
2022-04-03T01:45:01.783-07:00,50.59844970703125,0,0
2022-04-03T02:00:02.043-07:00,50.8792724609375,0,0
2022-04-03T02:15:01.787-07:00,47.78277587890625,0,0
2022-04-03T02:30:01.935-07:00,45.384521484375,0,0
2022-04-03T02:45:01.692-07:00,44.640777587890625,0,0
2022-04-03T03:00:01.903-07:00,44.6787109375,0,0
2022-04-03T03:15:01.784-07:00,44.625579833984375,0,0
2022-04-03T03:30:01.817-07:00,44.8912353515625,0,0
2022-04-03T03:45:01.748-07:00,46.89483642578125,0,0
2022-04-03T04:00:01.719-07:00,45.103729248046875,0,0
2022-04-03T04:15:02.016-07:00,44.671142578125,0,0
2022-04-03T04:30:02.091-07:00,50.127899169921875,0,0
2022-04-03T04:45:01.755-07:00,46.6595458984375,0,0
2022-04-03T05:00:06.268-07:00,44.95953369140625,0,0
2022-04-03T05:15:01.813-07:00,44.663543701171875,0,0
2022-04-03T05:30:01.761-07:00,50.454254150390625,0,0
2022-04-03T05:45:01.782-07:00,47.577880859375,0,0
2022-04-03T06:00:01.781-07:00,44.951934814453125,0,0
2022-04-03T06:15:01.800-07:00,44.625579833984375,0,0
2022-04-03T06:30:02.017-07:00,49.9609375,0,0
2022-04-03T06:45:02.008-07:00,47.38055419921875,0,0
2022-04-03T07:00:01.855-07:00,45.3314208984375,0,0
2022-04-03T07:15:01.787-07:00,44.686309814453125,0,0
2022-04-03T07:30:01.840-07:00,44.731842041015625,0,0
2022-04-03T07:45:01.869-07:00,48.647979736328125,0,0
2022-04-03T08:00:01.820-07:00,45.55908203125,0,0
2022-04-03T08:15:01.866-07:00,44.777374267578125,0,0
2022-04-03T08:30:01.734-07:00,43.957733154296875,0,0
2022-04-03T08:45:01.805-07:00,47.95733642578125,0,0
2022-04-03T09:00:01.638-07:00,45.505950927734375,0,0
2022-04-03T09:15:01.722-07:00,44.83050537109375,0,0
2022-04-03T09:30:01.905-07:00,48.670745849609375,0,0
2022-04-03T09:45:01.755-07:00,46.94036865234375,0,0
2022-04-03T10:00:01.785-07:00,45.080963134765625,0,0
2022-04-03T10:15:01.770-07:00,46.68231201171875,0,0
2022-04-03T10:30:02.086-07:00,46.50775146484375,0,0
2022-04-03T10:45:02.047-07:00,44.906402587890625,0,0
2022-04-03T11:00:01.763-07:00,48.754241943359375,0,0
2022-04-03T11:15:01.717-07:00,45.642578125,0,0
2022-04-03T11:30:01.800-07:00,47.464019775390625,0,0
2022-04-03T11:45:01.807-07:00,45.968902587890625,0,0
2022-04-03T12:00:01.784-07:00,44.838104248046875,0,0
2022-04-03T12:15:01.758-07:00,46.667144775390625,0,0
2022-04-03T12:30:01.888-07:00,44.936767578125,0,0
2022-04-03T12:45:01.925-07:00,46.333221435546875,0,0
2022-04-03T13:00:01.703-07:00,47.281890869140625,0,0
2022-04-03T13:15:01.673-07:00,46.181427001953125,0,0
2022-04-03T13:30:01.797-07:00,44.9443359375,0,0
2022-04-03T13:45:01.893-07:00,46.424285888671875,0,0
2022-04-03T14:00:01.855-07:00,45.17962646484375,0,0
2022-04-03T14:15:01.793-07:00,47.464019775390625,0,0
2022-04-03T14:30:01.958-07:00,45.255523681640625,0,0
2022-04-03T14:45:01.843-07:00,47.069366455078125,0,0
2022-04-03T15:00:02.079-07:00,45.149261474609375,0,0
2022-04-03T15:15:01.750-07:00,45.7791748046875,0,0
2022-04-03T15:30:01.945-07:00,43.760406494140625,0,0
2022-04-03T15:45:01.697-07:00,45.5135498046875,0,0
2022-04-03T16:00:01.882-07:00,46.598846435546875,0,0
2022-04-03T16:15:01.867-07:00,44.997467041015625,0,0
2022-04-03T16:30:01.896-07:00,46.1282958984375,0,0
2022-04-03T16:45:01.932-07:00,44.777374267578125,0,0
2022-04-03T17:00:03.874-07:00,45.6881103515625,0,0
2022-04-03T17:15:01.889-07:00,49.1185302734375,0,0
2022-04-03T17:30:01.682-07:00,45.430084228515625,0,0
2022-04-03T17:45:01.807-07:00,47.130096435546875,0,0
2022-04-03T18:00:01.804-07:00,45.209991455078125,0,0
2022-04-03T18:15:01.935-07:00,47.56268310546875,0,0
2022-04-03T18:30:01.769-07:00,45.6881103515625,0,0
2022-04-03T18:45:01.822-07:00,44.602813720703125,0,0
2022-04-03T19:00:01.776-07:00,46.955535888671875,0,0
2022-04-03T19:15:01.762-07:00,44.800140380859375,0,0
2022-04-03T19:30:01.792-07:00,46.629180908203125,0,0
2022-04-03T19:45:01.997-07:00,44.92156982421875,0,0
2022-04-03T20:00:01.980-07:00,47.904205322265625,0,0
2022-04-03T20:15:01.783-07:00,46.386322021484375,0,0
2022-04-03T20:30:01.790-07:00,46.272491455078125,0,0
2022-04-03T20:45:01.721-07:00,45.870269775390625,0,0
2022-04-03T21:00:01.762-07:00,44.709075927734375,0,0
2022-04-03T21:15:01.810-07:00,46.50018310546875,0,0
2022-04-03T21:30:00.174-07:00,45.02783203125,0,0
2022-04-03T21:45:01.868-07:00,46.841705322265625,0,0
2022-04-03T22:00:02.659-07:00,45.908203125,0,0
2022-04-03T22:15:01.590-07:00,44.906402587890625,0,0
2022-04-03T22:30:01.803-07:00,44.580047607421875,0,0
2022-04-03T22:45:01.867-07:00,45.908203125,0,0
2022-04-03T23:00:01.739-07:00,45.505950927734375,0,0
2022-04-03T23:15:01.682-07:00,44.7242431640625,0,0
2022-04-03T23:30:01.840-07:00,44.094329833984375,0,0
2022-04-03T23:45:01.755-07:00,50.0064697265625,0,0
2022-04-04T00:00:01.782-07:00,45.726043701171875,0,0
2022-04-04T00:15:01.790-07:00,44.8077392578125,0,0
2022-04-04T00:30:01.836-07:00,44.08673095703125,0,0
2022-04-04T00:45:01.962-07:00,50.120330810546875,0,0
2022-04-04T01:00:01.886-07:00,45.79437255859375,0,0
2022-04-04T01:15:01.776-07:00,44.686309814453125,0,0
2022-04-04T01:30:01.678-07:00,43.82110595703125,0,0
2022-04-04T01:45:01.697-07:00,50.02166748046875,0,0
2022-04-04T02:00:00.581-07:00,45.642578125,0,0
2022-04-04T02:15:01.708-07:00,44.69390869140625,0,0
2022-04-04T02:30:01.807-07:00,44.21575927734375,0,0
2022-04-04T02:45:01.778-07:00,49.45245361328125,0,0
2022-04-04T03:00:02.035-07:00,45.809539794921875,0,0
2022-04-04T03:15:01.904-07:00,44.822906494140625,0,0
2022-04-04T03:30:01.933-07:00,44.595245361328125,0,0
