t,v,s,r
2022-03-31T23:45:02.947-07:00,10.320014953613281,0,0
2022-04-01T00:00:02.905-07:00,11.760017395019531,0,0
2022-04-01T00:15:03.135-07:00,10.320014953613281,0,0
2022-04-01T00:30:03.127-07:00,10.800016403198242,0,0
2022-04-01T00:45:02.910-07:00,11.280016899108887,0,0
2022-04-01T01:00:03.090-07:00,9.600014686584473,0,0
2022-04-01T01:15:02.957-07:00,10.320014953613281,0,0
2022-04-01T01:30:02.903-07:00,11.040016174316406,0,0
2022-04-01T01:45:02.972-07:00,11.040016174316406,0,0
2022-04-01T02:00:03.029-07:00,10.320014953613281,0,0
2022-04-01T02:15:02.988-07:00,11.040016174316406,0,0
2022-04-01T02:30:02.900-07:00,10.800016403198242,0,0
2022-04-01T02:45:03.144-07:00,11.52001667022705,0,0
2022-04-01T03:00:03.119-07:00,10.080015182495117,0,0
2022-04-01T03:15:02.929-07:00,11.52001667022705,0,0
2022-04-01T03:30:02.948-07:00,11.52001667022705,0,0
2022-04-01T03:45:02.971-07:00,10.560014724731445,0,0
2022-04-01T04:00:03.048-07:00,9.600014686584473,0,0
2022-04-01T04:15:02.985-07:00,10.800016403198242,0,0
2022-04-01T04:30:02.974-07:00,12.240017890930176,0,0
2022-04-01T04:45:02.939-07:00,10.320014953613281,0,0
2022-04-01T05:00:03.958-07:00,10.800016403198242,0,0
2022-04-01T05:15:02.929-07:00,11.040016174316406,0,0
2022-04-01T05:30:02.922-07:00,12.240017890930176,0,0
2022-04-01T05:45:03.016-07:00,10.320014953613281,0,0
2022-04-01T06:00:03.108-07:00,11.040016174316406,0,0
2022-04-01T06:15:03.022-07:00,10.800016403198242,0,0
2022-04-01T06:30:02.986-07:00,11.760017395019531,0,0
2022-04-01T06:45:03.077-07:00,10.080015182495117,0,0
2022-04-01T07:00:03.230-07:00,10.560014724731445,0,0
2022-04-01T07:15:03.024-07:00,10.800016403198242,0,0
2022-04-01T07:30:03.243-07:00,11.040016174316406,0,0
2022-04-01T07:45:02.897-07:00,10.800016403198242,0,0
2022-04-01T08:00:03.284-07:00,9.840015411376953,0,0
2022-04-01T08:15:03.161-07:00,8.160012245178223,0,0
2022-04-01T08:30:03.227-07:00,9.120013236999512,0,0
2022-04-01T08:45:02.974-07:00,8.880012512207031,0,0
2022-04-01T09:00:03.078-07:00,8.640012741088867,0,0
2022-04-01T09:15:03.092-07:00,9.120013236999512,0,0
2022-04-01T09:30:03.011-07:00,9.120013236999512,0,0
2022-04-01T09:45:02.938-07:00,8.880012512207031,0,0
2022-04-01T10:00:03.184-07:00,8.160012245178223,0,0
2022-04-01T10:15:03.049-07:00,8.640012741088867,0,0
2022-04-01T10:30:02.877-07:00,8.880012512207031,0,0
2022-04-01T10:45:03.332-07:00,8.880012512207031,0,0
2022-04-01T11:00:02.903-07:00,8.400012016296387,0,0
2022-04-01T11:15:02.921-07:00,8.640012741088867,0,0
