t,v,s,r
2022-03-31T23:45:01.733-07:00,1748.0999755859375,0,0
2022-04-01T00:00:01.686-07:00,1748.2000732421875,0,0
2022-04-01T00:15:01.871-07:00,1748.2000732421875,0,0
2022-04-01T00:30:01.798-07:00,1748.300048828125,0,0
2022-04-01T00:45:01.720-07:00,1748.300048828125,0,0
2022-04-01T01:00:01.714-07:00,1748.4000244140625,0,0
2022-04-01T01:15:01.494-07:00,1748.4000244140625,0,0
2022-04-01T01:30:01.802-07:00,1748.5,0,0
2022-04-01T01:45:01.725-07:00,1748.5,0,0
2022-04-01T02:00:01.719-07:00,1748.5,0,0
2022-04-01T02:15:01.737-07:00,1748.60009765625,0,0
2022-04-01T02:30:01.613-07:00,1748.60009765625,0,0
2022-04-01T02:45:01.717-07:00,1748.7000732421875,0,0
2022-04-01T03:00:01.713-07:00,1748.7000732421875,0,0
2022-04-01T03:15:01.611-07:00,1748.7000732421875,0,0
2022-04-01T03:30:01.600-07:00,1748.7000732421875,0,0
2022-04-01T03:45:01.999-07:00,1748.800048828125,0,0
2022-04-01T04:00:01.636-07:00,1748.800048828125,0,0
2022-04-01T04:15:01.994-07:00,1748.800048828125,0,0
2022-04-01T04:30:01.597-07:00,1748.800048828125,0,0
2022-04-01T04:45:01.635-07:00,1748.800048828125,0,0
2022-04-01T05:00:01.806-07:00,1748.800048828125,0,0
2022-04-01T05:15:01.865-07:00,1748.800048828125,0,0
2022-04-01T05:30:01.630-07:00,1748.800048828125,0,0
2022-04-01T05:45:01.869-07:00,1748.800048828125,0,0
2022-04-01T06:00:01.723-07:00,1748.800048828125,0,0
2022-04-01T06:15:01.781-07:00,1748.800048828125,0,0
2022-04-01T06:30:04.124-07:00,1748.800048828125,0,0
2022-04-01T06:45:02.106-07:00,1748.800048828125,0,0
2022-04-01T07:00:01.785-07:00,1748.800048828125,0,0
2022-04-01T07:15:01.708-07:00,1748.800048828125,0,0
2022-04-01T07:30:03.143-07:00,1748.800048828125,0,0
2022-04-01T07:45:01.707-07:00,1748.800048828125,0,0
2022-04-01T08:00:03.846-07:00,1748.800048828125,0,0
2022-04-01T08:15:01.624-07:00,1748.800048828125,0,0
2022-04-01T08:30:01.942-07:00,1748.9000244140625,0,0
2022-04-01T08:45:02.795-07:00,1748.9000244140625,0,0
2022-04-01T09:00:01.697-07:00,1749.0001220703125,0,0
2022-04-01T09:15:01.794-07:00,1749.0001220703125,0,0
2022-04-01T09:30:01.766-07:00,1749.0999755859375,0,0
2022-04-01T09:45:01.680-07:00,1749.199951171875,0,0
2022-04-01T10:00:01.707-07:00,1749.2999267578125,0,0
2022-04-01T10:15:01.655-07:00,1749.4000244140625,0,0
2022-04-01T10:30:01.717-07:00,1749.5,0,0
2022-04-01T10:45:01.832-07:00,1749.5999755859375,0,0
2022-04-01T11:00:01.768-07:00,1749.699951171875,0,0
2022-04-01T11:15:01.759-07:00,1749.800048828125,0,0
2022-04-01T11:30:01.738-07:00,1749.9000244140625,0,0
2022-04-01T11:45:01.737-07:00,1750.0,0,0
