t,v,s,r
2022-03-31T23:45:01.045-07:00,301.97454833984375,0,0
2022-04-01T00:00:01.034-07:00,302.656982421875,0,0
2022-04-01T00:15:01.054-07:00,302.656982421875,0,0
2022-04-01T00:30:01.133-07:00,304.363037109375,0,0
2022-04-01T00:45:01.059-07:00,306.41033935546875,0,0
2022-04-01T01:00:01.075-07:00,305.04547119140625,0,0
2022-04-01T01:15:01.742-07:00,305.3866882324219,0,0
2022-04-01T01:30:01.142-07:00,308.798828125,0,0
2022-04-01T01:45:01.064-07:00,300.60968017578125,0,0
2022-04-01T02:00:01.048-07:00,308.4576110839844,0,0
2022-04-01T02:15:01.054-07:00,305.7278747558594,0,0
2022-04-01T02:30:01.098-07:00,307.7751770019531,0,0
2022-04-01T02:45:01.051-07:00,302.9981994628906,0,0
2022-04-01T03:00:01.071-07:00,300.9508972167969,0,0
2022-04-01T03:15:01.060-07:00,305.7278747558594,0,0
2022-04-01T03:30:01.177-07:00,304.0218200683594,0,0
2022-04-01T03:45:01.044-07:00,307.7751770019531,0,0
2022-04-01T04:00:01.045-07:00,306.0691223144531,0,0
2022-04-01T04:15:01.048-07:00,302.31573486328125,0,0
2022-04-01T04:30:01.056-07:00,305.04547119140625,0,0
2022-04-01T04:45:01.072-07:00,306.41033935546875,0,0
2022-04-01T05:00:01.075-07:00,304.7042541503906,0,0
2022-04-01T05:15:01.027-07:00,306.0691223144531,0,0
2022-04-01T05:30:01.024-07:00,303.68060302734375,0,0
2022-04-01T05:45:01.031-07:00,304.363037109375,0,0
2022-04-01T06:00:01.049-07:00,302.656982421875,0,0
2022-04-01T06:15:01.038-07:00,301.6333312988281,0,0
2022-04-01T06:30:01.101-07:00,306.75152587890625,0,0
2022-04-01T06:45:01.073-07:00,304.363037109375,0,0
2022-04-01T07:00:01.073-07:00,302.656982421875,0,0
2022-04-01T07:15:01.066-07:00,303.68060302734375,0,0
2022-04-01T07:30:01.072-07:00,302.31573486328125,0,0
2022-04-01T07:45:01.042-07:00,302.656982421875,0,0
2022-04-01T08:00:03.291-07:00,301.6333312988281,0,0
2022-04-01T08:15:01.020-07:00,305.04547119140625,0,0
2022-04-01T08:30:01.047-07:00,302.31573486328125,0,0
2022-04-01T08:45:01.464-07:00,305.3866882324219,0,0
2022-04-01T09:00:01.157-07:00,305.3866882324219,0,0
2022-04-01T09:15:01.117-07:00,306.0691223144531,0,0
2022-04-01T09:30:01.045-07:00,305.04547119140625,0,0
2022-04-01T09:45:01.054-07:00,306.75152587890625,0,0
2022-04-01T10:00:01.049-07:00,308.11639404296875,0,0
2022-04-01T10:15:00.088-07:00,303.3393859863281,0,0
2022-04-01T10:30:01.086-07:00,298.9035949707031,0,0
2022-04-01T10:45:01.105-07:00,307.0927429199219,0,0
2022-04-01T11:00:01.058-07:00,311.1873474121094,0,0
2022-04-01T11:15:01.034-07:00,304.0218200683594,0,0
2022-04-01T11:30:01.048-07:00,303.3393859863281,0,0
2022-04-01T11:45:00.988-07:00,301.97454833984375,0,0
2022-04-01T12:00:01.081-07:00,295.83270263671875,0,0
2022-04-01T12:15:01.055-07:00,293.4441833496094,0,0
2022-04-01T12:30:01.064-07:00,305.04547119140625,0,0
2022-04-01T12:45:01.069-07:00,296.8563232421875,0,0
2022-04-01T13:00:01.080-07:00,286.2786865234375,0,0
2022-04-01T13:15:01.113-07:00,306.75152587890625,0,0
2022-04-01T13:30:01.071-07:00,310.8460998535156,0,0
2022-04-01T13:45:01.080-07:00,297.8799743652344,0,0
2022-04-01T14:00:00.096-07:00,293.10296630859375,0,0
2022-04-01T14:15:01.056-07:00,297.1975402832031,0,0
2022-04-01T14:30:01.031-07:00,298.5623779296875,0,0
2022-04-01T14:45:01.121-07:00,305.04547119140625,0,0
2022-04-01T15:00:01.064-07:00,307.7751770019531,0,0
2022-04-01T15:15:01.082-07:00,301.97454833984375,0,0
2022-04-01T15:30:01.032-07:00,298.22119140625,0,0
2022-04-01T15:45:01.076-07:00,299.5860595703125,0,0
2022-04-01T16:00:01.057-07:00,290.03204345703125,0,0
2022-04-01T16:15:01.014-07:00,295.1502380371094,0,0
2022-04-01T16:30:01.028-07:00,308.798828125,0,0
2022-04-01T16:45:01.045-07:00,299.2448425292969,0,0
2022-04-01T17:00:01.056-07:00,299.92724609375,0,0
2022-04-01T17:15:01.058-07:00,278.4307556152344,0,0
2022-04-01T17:30:01.109-07:00,308.11639404296875,0,0
2022-04-01T17:45:02.712-07:00,309.1400146484375,0,0
2022-04-01T18:00:01.080-07:00,299.2448425292969,0,0
2022-04-01T18:15:01.146-07:00,310.8460998535156,0,0
2022-04-01T18:30:01.067-07:00,310.8460998535156,0,0
2022-04-01T18:45:01.026-07:00,305.3866882324219,0,0
2022-04-01T19:00:01.033-07:00,311.8697509765625,0,0
2022-04-01T19:15:01.149-07:00,308.11639404296875,0,0
2022-04-01T19:30:01.009-07:00,300.9508972167969,0,0
2022-04-01T19:45:01.043-07:00,307.4339599609375,0,0
2022-04-01T20:00:01.053-07:00,307.4339599609375,0,0
2022-04-01T20:15:01.185-07:00,307.0927429199219,0,0
2022-04-01T20:30:01.043-07:00,303.68060302734375,0,0
2022-04-01T20:45:01.027-07:00,304.7042541503906,0,0
2022-04-01T21:00:01.114-07:00,310.8460998535156,0,0
2022-04-01T21:15:01.081-07:00,311.1873474121094,0,0
2022-04-01T21:30:01.038-07:00,304.7042541503906,0,0
2022-04-01T21:45:03.409-07:00,309.1400146484375,0,0
2022-04-01T22:00:01.139-07:00,307.0927429199219,0,0
2022-04-01T22:15:01.052-07:00,308.798828125,0,0
2022-04-01T22:30:01.084-07:00,310.8460998535156,0,0
2022-04-01T22:45:01.043-07:00,304.363037109375,0,0
2022-04-01T23:00:01.040-07:00,309.8224792480469,0,0
2022-04-01T23:15:01.028-07:00,305.7278747558594,0,0
2022-04-01T23:30:01.021-07:00,310.1636657714844,0,0
2022-04-01T23:45:01.079-07:00,305.3866882324219,0,0
2022-04-02T00:00:01.118-07:00,308.4576110839844,0,0
2022-04-02T00:15:01.030-07:00,312.2109680175781,0,0
