t,v,s,r
2022-03-31T23:45:02.050-07:00,485.20654296875,0,0
2022-04-01T00:00:01.963-07:00,426.8589172363281,0,0
2022-04-01T00:15:02.182-07:00,443.23724365234375,0,0
2022-04-01T00:30:02.082-07:00,462.3451843261719,0,0
2022-04-01T00:45:01.980-07:00,464.3924865722656,0,0
2022-04-01T01:00:01.976-07:00,502.94970703125,0,0
2022-04-01T01:15:01.518-07:00,479.0647277832031,0,0
2022-04-01T01:30:02.059-07:00,455.1797180175781,0,0
2022-04-01T01:45:02.050-07:00,477.358642578125,0,0
2022-04-01T02:00:01.993-07:00,479.4059143066406,0,0
2022-04-01T02:15:01.993-07:00,472.58160400390625,0,0
2022-04-01T02:30:01.846-07:00,517.2807006835938,0,0
2022-04-01T02:45:01.982-07:00,481.1119689941406,0,0
2022-04-01T03:00:01.982-07:00,448.3554382324219,0,0
2022-04-01T03:15:01.886-07:00,473.9465026855469,0,0
2022-04-01T03:30:01.893-07:00,496.12542724609375,0,0
2022-04-01T03:45:02.318-07:00,538.0947265625,0,0
2022-04-01T04:00:01.971-07:00,488.95989990234375,0,0
2022-04-01T04:15:02.268-07:00,480.08831787109375,0,0
2022-04-01T04:30:01.866-07:00,566.41552734375,0,0
2022-04-01T04:45:01.934-07:00,587.2296142578125,0,0
2022-04-01T05:00:02.079-07:00,532.9765014648438,0,0
2022-04-01T05:15:02.222-07:00,513.8685302734375,0,0
2022-04-01T05:30:01.938-07:00,573.2398071289062,0,0
2022-04-01T05:45:02.140-07:00,597.4660034179688,0,0
2022-04-01T06:00:02.060-07:00,555.4966430664062,0,0
2022-04-01T06:15:02.071-07:00,567.097900390625,0,0
2022-04-01T06:30:04.436-07:00,583.135009765625,0,0
2022-04-01T06:45:02.389-07:00,608.3848876953125,0,0
2022-04-01T07:00:02.053-07:00,575.6282958984375,0,0
2022-04-01T07:15:01.977-07:00,585.1823120117188,0,0
2022-04-01T07:30:03.423-07:00,582.7938232421875,0,0
2022-04-01T07:45:01.969-07:00,601.9017944335938,0,0
2022-04-01T08:00:04.112-07:00,607.7024536132812,0,0
2022-04-01T08:15:01.943-07:00,573.5810546875,0,0
2022-04-01T08:30:02.219-07:00,518.9867553710938,0,0
2022-04-01T08:45:03.064-07:00,506.3618469238281,0,0
2022-04-01T09:00:02.017-07:00,503.63214111328125,0,0
2022-04-01T09:15:02.057-07:00,478.3822326660156,0,0
