t,v,s,r
2022-03-31T23:45:02.077-07:00,138.79592895507812,0,0
2022-04-01T00:00:02.002-07:00,140.793701171875,0,0
2022-04-01T00:15:02.217-07:00,142.63134765625,0,0
2022-04-01T00:30:02.110-07:00,144.10296630859375,0,0
2022-04-01T00:45:02.007-07:00,143.62258911132812,0,0
2022-04-01T01:00:02.018-07:00,139.64230346679688,0,0
2022-04-01T01:15:01.520-07:00,138.132568359375,0,0
2022-04-01T01:30:02.092-07:00,139.81768798828125,0,0
2022-04-01T01:45:02.079-07:00,142.57034301757812,0,0
2022-04-01T02:00:02.020-07:00,144.110595703125,0,0
2022-04-01T02:15:02.026-07:00,143.26422119140625,0,0
2022-04-01T02:30:01.874-07:00,139.50506591796875,0,0
2022-04-01T02:45:02.009-07:00,138.33843994140625,0,0
2022-04-01T03:00:02.007-07:00,140.40481567382812,0,0
2022-04-01T03:15:01.942-07:00,142.7457275390625,0,0
2022-04-01T03:30:01.919-07:00,143.40145874023438,0,0
2022-04-01T03:45:02.358-07:00,139.25344848632812,0,0
2022-04-01T04:00:02.004-07:00,138.0867919921875,0,0
2022-04-01T04:15:02.303-07:00,140.38955688476562,0,0
2022-04-01T04:30:01.880-07:00,142.3873291015625,0,0
2022-04-01T04:45:01.962-07:00,139.88632202148438,0,0
2022-04-01T05:00:02.104-07:00,138.97894287109375,0,0
2022-04-01T05:15:02.269-07:00,141.3350830078125,0,0
2022-04-01T05:30:01.964-07:00,143.355712890625,0,0
2022-04-01T05:45:02.174-07:00,139.9244384765625,0,0
2022-04-01T06:00:02.085-07:00,139.21530151367188,0,0
2022-04-01T06:15:02.102-07:00,141.6324462890625,0,0
2022-04-01T06:30:04.476-07:00,144.40036010742188,0,0
2022-04-01T06:45:02.420-07:00,141.01483154296875,0,0
2022-04-01T07:00:02.080-07:00,139.47457885742188,0,0
2022-04-01T07:15:02.012-07:00,142.2882080078125,0,0
2022-04-01T07:30:03.451-07:00,145.25436401367188,0,0
2022-04-01T07:45:02.003-07:00,143.50820922851562,0,0
2022-04-01T08:00:04.174-07:00,140.60305786132812,0,0
2022-04-01T08:15:01.969-07:00,140.64120483398438,0,0
2022-04-01T08:30:02.247-07:00,141.31219482421875,0,0
2022-04-01T08:45:03.109-07:00,141.50283813476562,0,0
2022-04-01T09:00:02.049-07:00,142.0899658203125,0,0
2022-04-01T09:15:02.082-07:00,142.89059448242188,0,0
2022-04-01T09:30:02.124-07:00,143.50057983398438,0,0
2022-04-01T09:45:02.018-07:00,141.69345092773438,0,0
2022-04-01T10:00:02.005-07:00,139.9244384765625,0,0
2022-04-01T10:15:01.956-07:00,139.97018432617188,0,0
2022-04-01T10:30:01.970-07:00,141.75445556640625,0,0
2022-04-01T10:45:02.123-07:00,139.36782836914062,0,0
2022-04-01T11:00:02.164-07:00,139.22293090820312,0,0
2022-04-01T11:15:02.059-07:00,138.68154907226562,0,0
2022-04-01T11:30:02.092-07:00,140.237060546875,0,0
2022-04-01T11:45:02.120-07:00,139.22293090820312,0,0
2022-04-01T12:00:02.053-07:00,137.91143798828125,0,0
2022-04-01T12:15:02.108-07:00,137.86569213867188,0,0
2022-04-01T12:30:02.392-07:00,135.93655395507812,0,0
2022-04-01T12:45:02.270-07:00,138.26980590820312,0,0
2022-04-01T13:00:02.048-07:00,136.68380737304688,0,0
2022-04-01T13:15:02.051-07:00,135.79928588867188,0,0
2022-04-01T13:30:02.076-07:00,137.33193969726562,0,0
2022-04-01T13:45:02.046-07:00,135.93655395507812,0,0
2022-04-01T14:00:02.001-07:00,133.62615966796875,0,0
2022-04-01T14:15:02.067-07:00,133.85488891601562,0,0
2022-04-01T14:30:02.331-07:00,134.92242431640625,0,0
2022-04-01T14:45:02.099-07:00,134.02264404296875,0,0
2022-04-01T15:00:02.207-07:00,131.52926635742188,0,0
2022-04-01T15:15:02.044-07:00,131.39199829101562,0,0
2022-04-01T15:30:04.318-07:00,132.77215576171875,0,0
