t,v,s,r
2022-03-31T23:45:00.430-07:00,5536.31982421875,0,0
2022-04-01T00:00:00.478-07:00,5536.419921875,0,0
2022-04-01T00:15:00.445-07:00,5536.52001953125,0,0
2022-04-01T00:30:00.477-07:00,5536.6201171875,0,0
2022-04-01T00:45:00.505-07:00,5536.7197265625,0,0
2022-04-01T01:00:00.468-07:00,5536.8203125,0,0
2022-04-01T01:15:00.448-07:00,5536.919921875,0,0
2022-04-01T01:30:00.458-07:00,5537.02001953125,0,0
2022-04-01T01:45:00.740-07:00,5537.1201171875,0,0
2022-04-01T02:00:00.447-07:00,5537.22021484375,0,0
2022-04-01T02:15:00.443-07:00,5537.31005859375,0,0
2022-04-01T02:30:00.437-07:00,5537.41015625,0,0
2022-04-01T02:45:00.705-07:00,5537.509765625,0,0
2022-04-01T03:00:00.444-07:00,5537.6103515625,0,0
2022-04-01T03:15:00.456-07:00,5537.7099609375,0,0
2022-04-01T03:30:00.452-07:00,5537.81005859375,0,0
2022-04-01T03:45:00.487-07:00,5537.90966796875,0,0
2022-04-01T04:00:00.463-07:00,5538.01025390625,0,0
2022-04-01T04:15:00.558-07:00,5538.10986328125,0,0
2022-04-01T04:30:00.447-07:00,5538.2099609375,0,0
2022-04-01T04:45:00.470-07:00,5538.31005859375,0,0
2022-04-01T05:00:00.497-07:00,5538.41015625,0,0
2022-04-01T05:15:00.448-07:00,5538.509765625,0,0
2022-04-01T05:30:00.443-07:00,5538.6103515625,0,0
2022-04-01T05:45:00.433-07:00,5538.72021484375,0,0
2022-04-01T06:00:00.446-07:00,5538.8203125,0,0
2022-04-01T06:15:00.673-07:00,5538.919921875,0,0
2022-04-01T06:30:00.437-07:00,5539.02001953125,0,0
2022-04-01T06:45:00.420-07:00,5539.1201171875,0,0
2022-04-01T07:00:00.441-07:00,5539.22998046875,0,0
2022-04-01T07:15:00.436-07:00,5539.330078125,0,0
2022-04-01T07:30:00.452-07:00,5539.4296875,0,0
2022-04-01T07:45:00.452-07:00,5539.5302734375,0,0
2022-04-01T08:00:00.431-07:00,5539.6298828125,0,0
2022-04-01T08:15:00.459-07:00,5539.72998046875,0,0
2022-04-01T08:30:00.461-07:00,5539.81982421875,0,0
2022-04-01T08:45:00.448-07:00,5539.919921875,0,0
2022-04-01T09:00:00.441-07:00,5540.009765625,0,0
2022-04-01T09:15:00.444-07:00,5540.10986328125,0,0
2022-04-01T09:30:00.458-07:00,5540.19970703125,0,0
2022-04-01T09:45:00.718-07:00,5540.2900390625,0,0
2022-04-01T10:00:00.436-07:00,5540.3896484375,0,0
2022-04-01T10:15:00.670-07:00,5540.47998046875,0,0
2022-04-01T10:30:00.040-07:00,5540.580078125,0,0
2022-04-01T10:45:00.418-07:00,5540.669921875,0,0
2022-04-01T11:00:00.469-07:00,5540.76025390625,0,0
2022-04-01T11:15:00.416-07:00,5540.85986328125,0,0
2022-04-01T11:30:00.466-07:00,5540.9501953125,0,0
2022-04-01T11:45:00.452-07:00,5541.0400390625,0,0
2022-04-01T12:00:00.440-07:00,5541.13037109375,0,0
2022-04-01T12:15:00.483-07:00,5541.2197265625,0,0
2022-04-01T12:30:00.440-07:00,5541.31005859375,0,0
2022-04-01T12:45:00.472-07:00,5541.39990234375,0,0
2022-04-01T13:00:00.426-07:00,5541.490234375,0,0
2022-04-01T13:15:00.460-07:00,5541.56982421875,0,0
2022-04-01T13:30:00.047-07:00,5541.66015625,0,0
2022-04-01T13:45:00.463-07:00,5541.759765625,0,0
2022-04-01T14:00:00.443-07:00,5541.83984375,0,0
2022-04-01T14:15:00.450-07:00,5541.93017578125,0,0
2022-04-01T14:30:00.456-07:00,5542.02001953125,0,0
2022-04-01T14:45:00.453-07:00,5542.10009765625,0,0
2022-04-01T15:00:00.456-07:00,5542.18994140625,0,0
2022-04-01T15:15:00.423-07:00,5542.27001953125,0,0
2022-04-01T15:30:00.496-07:00,5542.35986328125,0,0
2022-04-01T15:45:01.729-07:00,5542.4501953125,0,0
2022-04-01T16:00:00.485-07:00,5542.53955078125,0,0
2022-04-01T16:15:00.443-07:00,5542.6201171875,0,0
2022-04-01T16:30:00.790-07:00,5542.7099609375,0,0
2022-04-01T16:45:00.444-07:00,5542.7998046875,0,0
2022-04-01T17:00:00.499-07:00,5542.88037109375,0,0
2022-04-01T17:15:00.440-07:00,5542.9697265625,0,0
2022-04-01T17:30:00.477-07:00,5543.05029296875,0,0
2022-04-01T17:45:00.565-07:00,5543.1396484375,0,0
2022-04-01T18:00:00.425-07:00,5543.240234375,0,0
2022-04-01T18:15:00.463-07:00,5543.31982421875,0,0
2022-04-01T18:30:00.444-07:00,5543.41015625,0,0
2022-04-01T18:45:00.558-07:00,5543.5,0,0
2022-04-01T19:00:00.436-07:00,5543.58984375,0,0
2022-04-01T19:15:00.448-07:00,5543.68017578125,0,0
2022-04-01T19:30:00.483-07:00,5543.77001953125,0,0
2022-04-01T19:45:00.470-07:00,5543.8701171875,0,0
2022-04-01T20:00:00.438-07:00,5543.9599609375,0,0
2022-04-01T20:15:00.427-07:00,5544.06005859375,0,0
2022-04-01T20:30:00.621-07:00,5544.16015625,0,0
2022-04-01T20:45:00.447-07:00,5544.25,0,0
2022-04-01T21:00:00.462-07:00,5544.35009765625,0,0
2022-04-01T21:15:00.449-07:00,5544.4501953125,0,0
2022-04-01T21:30:00.433-07:00,5544.5498046875,0,0
2022-04-01T21:45:00.803-07:00,5544.64013671875,0,0
2022-04-01T22:00:00.448-07:00,5544.73974609375,0,0
2022-04-01T22:15:00.462-07:00,5544.830078125,0,0
2022-04-01T22:30:00.044-07:00,5544.9296875,0,0
2022-04-01T22:45:00.486-07:00,5545.0302734375,0,0
2022-04-01T23:00:00.468-07:00,5545.1298828125,0,0
2022-04-01T23:15:00.456-07:00,5545.22021484375,0,0
2022-04-01T23:30:00.456-07:00,5545.31982421875,0,0
2022-04-01T23:45:00.671-07:00,5545.419921875,0,0
2022-04-02T00:00:00.475-07:00,5545.52001953125,0,0
2022-04-02T00:15:00.468-07:00,5545.6201171875,0,0
2022-04-02T00:30:00.625-07:00,5545.7197265625,0,0
2022-04-02T00:45:00.426-07:00,5545.8203125,0,0
2022-04-02T01:00:00.461-07:00,5545.90966796875,0,0
2022-04-02T01:15:00.462-07:00,5546.01025390625,0,0
2022-04-02T01:30:00.463-07:00,5546.10986328125,0,0
