t,v,s,r
2022-03-31T23:45:04.876-07:00,21005.798828125,0,0
2022-04-01T00:00:04.952-07:00,21007.201171875,0,0
2022-04-01T00:15:03.941-07:00,21008.599609375,0,0
2022-04-01T00:30:05.166-07:00,21010.0,0,0
2022-04-01T00:45:04.833-07:00,21011.400390625,0,0
2022-04-01T01:00:07.508-07:00,21012.798828125,0,0
2022-04-01T01:15:04.935-07:00,21014.30078125,0,0
2022-04-01T01:30:04.515-07:00,21015.69921875,0,0
2022-04-01T01:45:08.605-07:00,21017.099609375,0,0
2022-04-01T02:00:18.940-07:00,21018.5,0,0
2022-04-01T02:15:04.645-07:00,21019.900390625,0,0
2022-04-01T02:30:05.160-07:00,21021.30078125,0,0
2022-04-01T02:45:05.226-07:00,21022.69921875,0,0
2022-04-01T03:00:04.508-07:00,21024.099609375,0,0
2022-04-01T03:15:04.009-07:00,21025.5,0,0
2022-04-01T03:30:05.129-07:00,21026.900390625,0,0
2022-04-01T03:45:04.048-07:00,21028.30078125,0,0
2022-04-01T04:00:04.946-07:00,21029.80078125,0,0
2022-04-01T04:15:05.115-07:00,21031.298828125,0,0
2022-04-01T04:30:04.439-07:00,21032.69921875,0,0
2022-04-01T04:45:04.662-07:00,21034.19921875,0,0
2022-04-01T05:00:07.666-07:00,21035.599609375,0,0
2022-04-01T05:15:04.959-07:00,21037.099609375,0,0
2022-04-01T05:30:04.745-07:00,21038.5,0,0
2022-04-01T05:45:04.584-07:00,21040.001953125,0,0
2022-04-01T06:00:23.209-07:00,21041.5,0,0
2022-04-01T06:15:05.091-07:00,21043.0,0,0
2022-04-01T06:30:04.793-07:00,21044.400390625,0,0
2022-04-01T06:45:05.190-07:00,21045.8984375,0,0
2022-04-01T07:00:05.065-07:00,21047.400390625,0,0
2022-04-01T07:15:04.923-07:00,21048.900390625,0,0
2022-04-01T07:30:04.768-07:00,21050.400390625,0,0
2022-04-01T07:45:04.943-07:00,21051.900390625,0,0
2022-04-01T08:00:05.037-07:00,21053.30078125,0,0
2022-04-01T08:15:04.808-07:00,21054.69921875,0,0
2022-04-01T08:30:04.345-07:00,21056.099609375,0,0
2022-04-01T08:45:05.058-07:00,21057.5,0,0
2022-04-01T09:00:04.197-07:00,21059.0,0,0
2022-04-01T09:15:04.078-07:00,21060.3984375,0,0
2022-04-01T09:30:04.261-07:00,21061.900390625,0,0
2022-04-01T09:45:04.166-07:00,21063.298828125,0,0
2022-04-01T10:00:12.395-07:00,21064.69921875,0,0
2022-04-01T10:15:04.347-07:00,21066.1015625,0,0
2022-04-01T10:30:04.165-07:00,21067.5,0,0
2022-04-01T10:45:04.146-07:00,21069.0,0,0
2022-04-01T11:00:04.153-07:00,21070.5,0,0
2022-04-01T11:15:04.003-07:00,21071.900390625,0,0
2022-04-01T11:30:04.103-07:00,21073.400390625,0,0
2022-04-01T11:45:04.070-07:00,21074.80078125,0,0
2022-04-01T12:00:04.069-07:00,21076.298828125,0,0
2022-04-01T12:15:04.060-07:00,21077.599609375,0,0
2022-04-01T12:30:04.139-07:00,21079.099609375,0,0
2022-04-01T12:45:04.201-07:00,21080.599609375,0,0
2022-04-01T13:00:04.159-07:00,21082.099609375,0,0
2022-04-01T13:15:05.680-07:00,21083.5,0,0
2022-04-01T13:30:04.930-07:00,21085.0,0,0
2022-04-01T13:45:04.122-07:00,21086.5,0,0
2022-04-01T14:00:14.225-07:00,21088.099609375,0,0
2022-04-01T14:15:05.015-07:00,21089.599609375,0,0
