t,v,s,r
2022-03-31T23:45:00.634-07:00,4557.91015625,0,0
2022-04-01T00:00:00.564-07:00,4558.0400390625,0,0
2022-04-01T00:15:00.670-07:00,4558.15966796875,0,0
2022-04-01T00:30:00.673-07:00,4558.27001953125,0,0
2022-04-01T00:45:00.643-07:00,4558.39990234375,0,0
2022-04-01T01:00:00.760-07:00,4558.52001953125,0,0
2022-04-01T01:15:00.760-07:00,4558.64013671875,0,0
2022-04-01T01:30:00.732-07:00,4558.77001953125,0,0
2022-04-01T01:45:02.290-07:00,4558.900390625,0,0
2022-04-01T02:00:00.295-07:00,4559.02978515625,0,0
2022-04-01T02:15:00.813-07:00,4559.15966796875,0,0
2022-04-01T02:30:00.767-07:00,4559.30029296875,0,0
2022-04-01T02:45:00.782-07:00,4559.419921875,0,0
2022-04-01T03:00:00.576-07:00,4559.5498046875,0,0
2022-04-01T03:15:00.713-07:00,4559.669921875,0,0
2022-04-01T03:30:00.757-07:00,4559.7900390625,0,0
2022-04-01T03:45:00.975-07:00,4559.90966796875,0,0
2022-04-01T04:00:03.988-07:00,4560.0302734375,0,0
2022-04-01T04:15:00.720-07:00,4560.16015625,0,0
2022-04-01T04:30:00.763-07:00,4560.28955078125,0,0
2022-04-01T04:45:00.606-07:00,4560.419921875,0,0
2022-04-01T05:00:00.921-07:00,4560.5400390625,0,0
2022-04-01T05:15:00.862-07:00,4560.68017578125,0,0
2022-04-01T05:30:00.901-07:00,4560.8203125,0,0
2022-04-01T05:45:00.823-07:00,4560.94970703125,0,0
2022-04-01T06:00:00.598-07:00,4561.08984375,0,0
2022-04-01T06:15:00.981-07:00,4561.22021484375,0,0
2022-04-01T06:30:01.028-07:00,4561.35009765625,0,0
2022-04-01T06:45:01.041-07:00,4561.48974609375,0,0
2022-04-01T07:00:01.653-07:00,4561.6201171875,0,0
2022-04-01T07:15:01.030-07:00,4561.75,0,0
2022-04-01T07:30:00.074-07:00,4561.8798828125,0,0
2022-04-01T07:45:01.002-07:00,4562.01025390625,0,0
2022-04-01T08:00:00.970-07:00,4562.1298828125,0,0
2022-04-01T08:15:01.292-07:00,4562.259765625,0,0
2022-04-01T08:30:01.014-07:00,4562.3798828125,0,0
2022-04-01T08:45:00.592-07:00,4562.5,0,0
2022-04-01T09:00:00.549-07:00,4562.63037109375,0,0
2022-04-01T09:15:01.058-07:00,4562.76025390625,0,0
2022-04-01T09:30:01.174-07:00,4562.86962890625,0,0
2022-04-01T09:45:01.173-07:00,4562.97998046875,0,0
2022-04-01T10:00:01.320-07:00,4563.08984375,0,0
2022-04-01T10:15:02.572-07:00,4563.18994140625,0,1
2022-04-01T10:30:00.815-07:00,4563.2900390625,0,0
2022-04-01T10:45:00.723-07:00,4563.39013671875,0,0
2022-04-01T11:00:00.749-07:00,4563.5,0,0
2022-04-01T11:15:00.685-07:00,4563.61962890625,0,0
2022-04-01T11:30:00.748-07:00,4563.72021484375,0,0
2022-04-01T11:45:00.628-07:00,4563.81982421875,0,0
2022-04-01T12:00:00.757-07:00,4563.93017578125,0,0
2022-04-01T12:15:00.705-07:00,4564.0400390625,0,0
2022-04-01T12:30:00.800-07:00,4564.14990234375,0,0
2022-04-01T12:45:00.693-07:00,4564.23974609375,0,0
2022-04-01T13:00:00.604-07:00,4564.34033203125,0,0
2022-04-01T13:15:00.629-07:00,4564.43994140625,0,0
2022-04-01T13:30:00.683-07:00,4564.5302734375,0,0
2022-04-01T13:45:00.085-07:00,4564.61962890625,0,0
2022-04-01T14:00:00.664-07:00,4564.72021484375,0,0
2022-04-01T14:15:00.616-07:00,4564.81982421875,0,0
2022-04-01T14:30:00.566-07:00,4564.91015625,0,0
2022-04-01T14:45:00.724-07:00,4565.009765625,0,0
2022-04-01T15:00:00.576-07:00,4565.10009765625,0,0
2022-04-01T15:15:00.560-07:00,4565.19970703125,0,0
2022-04-01T15:30:03.860-07:00,4565.2900390625,0,0
2022-04-01T15:45:03.212-07:00,4565.3896484375,0,0
2022-04-01T16:00:00.637-07:00,4565.47998046875,0,0
2022-04-01T16:15:00.738-07:00,4565.56982421875,0,0
2022-04-01T16:30:00.651-07:00,4565.66015625,0,0
2022-04-01T16:45:00.537-07:00,4565.75,0,0
2022-04-01T17:00:00.721-07:00,4565.85009765625,0,0
2022-04-01T17:15:03.442-07:00,4565.9404296875,0,0
2022-04-01T17:30:00.625-07:00,4566.0498046875,0,0
2022-04-01T17:45:01.800-07:00,4566.14990234375,0,0
2022-04-01T18:00:00.623-07:00,4566.25,0,0
2022-04-01T18:15:00.661-07:00,4566.349609375,0,0
2022-04-01T18:30:00.855-07:00,4566.4501953125,0,0
2022-04-01T18:45:00.628-07:00,4566.5498046875,0,0
2022-04-01T19:00:00.636-07:00,4566.66015625,0,0
2022-04-01T19:15:00.626-07:00,4566.759765625,0,0
2022-04-01T19:30:00.794-07:00,4566.88037109375,0,0
2022-04-01T19:45:00.610-07:00,4567.0,0,0
2022-04-01T20:00:00.593-07:00,4567.1103515625,0,0
2022-04-01T20:15:00.642-07:00,4567.22998046875,0,0
2022-04-01T20:30:00.632-07:00,4567.349609375,0,0
2022-04-01T20:45:00.616-07:00,4567.47021484375,0,0
2022-04-01T21:00:00.676-07:00,4567.580078125,0,0
2022-04-01T21:15:00.684-07:00,4567.7001953125,0,0
2022-04-01T21:30:00.560-07:00,4567.81982421875,0,0
2022-04-01T21:45:00.703-07:00,4567.9296875,0,0
2022-04-01T22:00:09.240-07:00,4568.0400390625,0,0
2022-04-01T22:15:00.595-07:00,4568.14990234375,0,0
2022-04-01T22:30:00.635-07:00,4568.27001953125,0,0
2022-04-01T22:45:00.620-07:00,4568.39990234375,0,0
2022-04-01T23:00:00.668-07:00,4568.52001953125,0,0
2022-04-01T23:15:03.777-07:00,4568.64013671875,0,0
2022-04-01T23:30:00.582-07:00,4568.759765625,0,0
2022-04-01T23:45:00.599-07:00,4568.88037109375,0,0
2022-04-02T00:00:00.607-07:00,4569.01025390625,0,0
2022-04-02T00:15:00.613-07:00,4569.1298828125,0,0
2022-04-02T00:30:00.637-07:00,4569.26953125,0,0
2022-04-02T00:45:00.666-07:00,4569.3798828125,0,0
2022-04-02T01:00:00.639-07:00,4569.509765625,0,0
2022-04-02T01:15:00.679-07:00,4569.6201171875,0,0
2022-04-02T01:30:00.648-07:00,4569.73974609375,0,0
2022-04-02T01:45:00.567-07:00,4569.85986328125,0,0
2022-04-02T02:00:00.625-07:00,4569.990234375,0,0
2022-04-02T02:15:00.612-07:00,4570.10986328125,0,0
2022-04-02T02:30:00.588-07:00,4570.240234375,0,0
2022-04-02T02:45:00.640-07:00,4570.3701171875,0,0
2022-04-02T03:00:00.598-07:00,4570.5,0,0
2022-04-02T03:15:00.600-07:00,4570.63037109375,0,0
2022-04-02T03:30:00.597-07:00,4570.76025390625,0,0
2022-04-02T03:45:00.659-07:00,4570.8798828125,0,0
2022-04-02T04:00:00.541-07:00,4571.0,0,0
2022-04-02T04:15:00.634-07:00,4571.1298828125,0,0
2022-04-02T04:30:00.534-07:00,4571.27001953125,0,0
2022-04-02T04:45:00.636-07:00,4571.400390625,0,0
2022-04-02T05:00:00.658-07:00,4571.5302734375,0,0
2022-04-02T05:15:01.006-07:00,4571.64990234375,0,0
2022-04-02T05:30:03.312-07:00,4571.7900390625,0,0
2022-04-02T05:45:00.580-07:00,4571.919921875,0,0
2022-04-02T06:00:00.565-07:00,4572.0498046875,0,0
2022-04-02T06:15:00.600-07:00,4572.1904296875,0,0
2022-04-02T06:30:00.595-07:00,4572.3203125,0,0
2022-04-02T06:45:00.893-07:00,4572.44970703125,0,0
2022-04-02T07:00:00.635-07:00,4572.58984375,0,0
2022-04-02T07:15:00.574-07:00,4572.7099609375,0,0
2022-04-02T07:30:00.610-07:00,4572.83984375,0,0
2022-04-02T07:45:00.680-07:00,4572.97021484375,0,0
2022-04-02T08:00:00.593-07:00,4573.08984375,0,0
2022-04-02T08:15:00.612-07:00,4573.2197265625,0,0
2022-04-02T08:30:00.600-07:00,4573.35009765625,0,0
2022-04-02T08:45:00.101-07:00,4573.47998046875,0,0
2022-04-02T09:00:00.596-07:00,4573.60986328125,0,0
2022-04-02T09:15:02.403-07:00,4573.740234375,0,0
2022-04-02T09:30:00.567-07:00,4573.85986328125,0,0
2022-04-02T09:45:00.398-07:00,4573.98974609375,0,0
2022-04-02T10:00:03.315-07:00,4574.1201171875,0,0
2022-04-02T10:15:00.637-07:00,4574.25,0,0
2022-04-02T10:30:00.616-07:00,4574.36962890625,0,0
2022-04-02T10:45:00.585-07:00,4574.5,0,0
2022-04-02T11:00:00.557-07:00,4574.60986328125,0,0
2022-04-02T11:15:00.622-07:00,4574.72021484375,0,0
2022-04-02T11:30:00.570-07:00,4574.85009765625,0,0
2022-04-02T11:45:00.719-07:00,4574.9599609375,0,0
2022-04-02T12:00:00.548-07:00,4575.080078125,0,0
2022-04-02T12:15:00.550-07:00,4575.18994140625,0,0
2022-04-02T12:30:00.728-07:00,4575.31005859375,0,0
2022-04-02T12:45:00.639-07:00,4575.419921875,0,0
2022-04-02T13:00:00.547-07:00,4575.5400390625,0,0
2022-04-02T13:15:00.681-07:00,4575.64990234375,0,0
2022-04-02T13:30:00.631-07:00,4575.759765625,0,0
2022-04-02T13:45:00.548-07:00,4575.88037109375,0,0
2022-04-02T14:00:00.604-07:00,4575.98974609375,0,0
2022-04-02T14:15:00.556-07:00,4576.099609375,0,0
2022-04-02T14:30:02.183-07:00,4576.2099609375,0,0
2022-04-02T14:45:00.587-07:00,4576.31982421875,0,0
2022-04-02T15:00:00.615-07:00,4576.43994140625,0,0
2022-04-02T15:15:00.719-07:00,4576.5498046875,0,0
2022-04-02T15:30:00.582-07:00,4576.650390625,0,0
2022-04-02T15:45:00.618-07:00,4576.759765625,0,0
2022-04-02T16:00:00.537-07:00,4576.88037109375,0,0
2022-04-02T16:15:00.613-07:00,4576.990234375,0,0
2022-04-02T16:30:00.596-07:00,4577.099609375,0,0
2022-04-02T16:45:00.627-07:00,4577.2099609375,0,0
2022-04-02T17:00:00.590-07:00,4577.31982421875,0,0
2022-04-02T17:15:00.584-07:00,4577.419921875,0,0
2022-04-02T17:30:00.618-07:00,4577.52978515625,0,0
2022-04-02T17:45:00.635-07:00,4577.63037109375,0,0
2022-04-02T18:00:00.511-07:00,4577.73974609375,0,0
2022-04-02T18:15:00.563-07:00,4577.84033203125,0,0
2022-04-02T18:30:00.645-07:00,4577.9501953125,0,0
2022-04-02T18:45:00.538-07:00,4578.0595703125,0,0
2022-04-02T19:00:00.634-07:00,4578.169921875,0,0
2022-04-02T19:15:00.549-07:00,4578.2900390625,0,0
2022-04-02T19:30:00.551-07:00,4578.400390625,0,0
2022-04-02T19:45:00.580-07:00,4578.52001953125,0,0
2022-04-02T20:00:00.589-07:00,4578.6396484375,0,0
2022-04-02T20:15:00.659-07:00,4578.76025390625,0,0
2022-04-02T20:30:00.575-07:00,4578.86962890625,0,0
2022-04-02T20:45:03.588-07:00,4579.0,0,0
2022-04-02T21:00:00.627-07:00,4579.10986328125,0,0
2022-04-02T21:15:04.319-07:00,4579.23974609375,0,0
2022-04-02T21:30:00.505-07:00,4579.3603515625,0,0
2022-04-02T21:45:00.638-07:00,4579.4697265625,0,0
2022-04-02T22:00:00.582-07:00,4579.59033203125,0,0
2022-04-02T22:15:00.526-07:00,4579.7099609375,0,0
2022-04-02T22:30:00.674-07:00,4579.82958984375,0,0
2022-04-02T22:45:00.514-07:00,4579.93994140625,0,0
2022-04-02T23:00:00.605-07:00,4580.06982421875,0,0
