t,v,s,r
2022-03-31T23:45:01.750-07:00,209.84671020507812,0,0
2022-04-01T00:00:01.389-07:00,209.16427612304688,0,0
2022-04-01T00:15:01.427-07:00,229.9783477783203,0,0
2022-04-01T00:30:01.716-07:00,208.8230743408203,0,0
2022-04-01T00:45:01.685-07:00,209.50550842285156,0,0
2022-04-01T01:00:01.434-07:00,199.26907348632812,0,0
2022-04-01T01:15:01.799-07:00,214.9649200439453,0,0
2022-04-01T01:30:01.270-07:00,235.7789764404297,0,0
2022-04-01T01:45:01.788-07:00,209.84671020507812,0,0
2022-04-01T02:00:01.653-07:00,217.69464111328125,0,0
2022-04-01T02:15:01.628-07:00,231.68441772460938,0,0
2022-04-01T02:30:01.739-07:00,205.75213623046875,0,0
2022-04-01T02:45:01.672-07:00,214.9649200439453,0,0
2022-04-01T03:00:01.744-07:00,220.42434692382812,0,0
2022-04-01T03:15:01.764-07:00,209.50550842285156,0,0
2022-04-01T03:30:01.764-07:00,225.5425567626953,0,0
2022-04-01T03:45:01.828-07:00,229.29592895507812,0,0
2022-04-01T04:00:01.795-07:00,223.83648681640625,0,0
2022-04-01T04:15:00.169-07:00,241.9208526611328,0,0
2022-04-01T04:30:01.989-07:00,253.18092346191406,0,0
2022-04-01T04:45:01.663-07:00,254.54576110839844,0,0
2022-04-01T05:00:04.642-07:00,227.9310760498047,0,0
2022-04-01T05:15:01.729-07:00,241.5796356201172,0,0
2022-04-01T05:30:01.756-07:00,255.22821044921875,0,0
2022-04-01T05:45:01.826-07:00,262.7348937988281,0,0
2022-04-01T06:00:01.787-07:00,244.65057373046875,0,0
2022-04-01T06:15:01.853-07:00,259.6639709472656,0,0
2022-04-01T06:30:03.393-07:00,275.01861572265625,0,0
2022-04-01T06:45:01.975-07:00,262.3937072753906,0,0
2022-04-01T07:00:01.750-07:00,270.24163818359375,0,0
2022-04-01T07:15:01.488-07:00,229.29592895507812,0,0
2022-04-01T07:30:01.717-07:00,193.8096466064453,0,0
2022-04-01T07:45:01.727-07:00,209.16427612304688,0,0
2022-04-01T08:00:01.889-07:00,191.42115783691406,0,0
2022-04-01T08:15:01.765-07:00,208.14064025878906,0,0
2022-04-01T08:30:01.609-07:00,133.07351684570312,0,0
2022-04-01T08:45:00.263-07:00,160.3706512451172,0,0
2022-04-01T09:00:01.768-07:00,150.1342315673828,0,0
2022-04-01T09:15:01.250-07:00,144.33358764648438,0,0
2022-04-01T09:30:01.719-07:00,104.75275421142578,0,0
2022-04-01T09:45:01.694-07:00,119.42495727539062,0,0
2022-04-01T10:00:01.701-07:00,116.69524383544922,0,0
2022-04-01T10:15:01.797-07:00,138.532958984375,0,0
2022-04-01T10:30:01.468-07:00,109.18852996826172,0,0
2022-04-01T10:45:01.685-07:00,142.96873474121094,0,0
2022-04-01T11:00:01.697-07:00,153.88758850097656,0,0
2022-04-01T11:15:01.667-07:00,125.90803527832031,0,0
2022-04-01T11:30:01.910-07:00,120.44860076904297,0,0
2022-04-01T11:45:01.693-07:00,132.39109802246094,0,0
2022-04-01T12:00:01.735-07:00,114.98917388916016,0,0
2022-04-01T12:15:01.650-07:00,118.40131378173828,0,0
2022-04-01T12:30:01.730-07:00,99.97575378417969,0,0
2022-04-01T12:45:01.799-07:00,132.73231506347656,0,0
2022-04-01T13:00:01.746-07:00,128.6377410888672,0,0
2022-04-01T13:15:01.697-07:00,133.75595092773438,0,0
2022-04-01T13:30:01.650-07:00,117.37767791748047,0,0
2022-04-01T13:45:01.703-07:00,124.54316711425781,0,0
2022-04-01T14:00:01.819-07:00,109.87096405029297,0,0
2022-04-01T14:15:01.852-07:00,117.71888732910156,0,0
2022-04-01T14:30:01.755-07:00,90.08053588867188,0,0
2022-04-01T14:45:00.243-07:00,124.20195770263672,0,0
2022-04-01T15:00:01.858-07:00,118.40131378173828,0,0
2022-04-01T15:15:01.645-07:00,108.50611114501953,0,0
2022-04-01T15:30:01.680-07:00,109.52975463867188,0,0
2022-04-01T15:45:01.681-07:00,95.88117980957031,0,0
2022-04-01T16:00:01.728-07:00,108.84732055664062,0,0
2022-04-01T16:15:01.691-07:00,103.7291030883789,0,0
2022-04-01T16:30:01.548-07:00,101.68182373046875,0,0
2022-04-01T16:45:14.799-07:00,106.80003356933594,0,0
2022-04-01T17:00:07.341-07:00,103.38789367675781,0,0
2022-04-01T17:15:01.662-07:00,112.60067749023438,0,0
2022-04-01T17:30:01.720-07:00,136.4856719970703,0,0
2022-04-01T17:45:01.675-07:00,131.70867919921875,0,0
2022-04-01T18:00:01.739-07:00,127.95531463623047,0,0
2022-04-01T18:15:01.583-07:00,137.1680908203125,0,0
2022-04-01T18:30:00.214-07:00,145.01602172851562,0,0
2022-04-01T18:45:01.385-07:00,135.80323791503906,0,0
2022-04-01T19:00:01.746-07:00,148.76937866210938,0,0
2022-04-01T19:15:01.833-07:00,157.29974365234375,0,0
2022-04-01T19:30:01.678-07:00,163.7827911376953,0,0
2022-04-01T19:45:01.627-07:00,148.42816162109375,0,0
2022-04-01T20:00:01.718-07:00,155.5936737060547,0,0
2022-04-01T20:15:02.520-07:00,155.25244140625,0,0
2022-04-01T20:30:01.757-07:00,193.12722778320312,0,0
2022-04-01T20:45:01.681-07:00,163.44158935546875,0,0
2022-04-01T21:00:01.688-07:00,163.10037231445312,0,0
2022-04-01T21:15:01.970-07:00,184.59686279296875,0,0
2022-04-01T21:30:01.823-07:00,172.99559020996094,0,0
2022-04-01T21:45:01.709-07:00,190.05628967285156,0,0
2022-04-01T22:00:01.905-07:00,192.78599548339844,0,0
2022-04-01T22:15:01.180-07:00,168.55979919433594,0,0
2022-04-01T22:30:01.724-07:00,178.11380004882812,0,0
2022-04-01T22:45:01.722-07:00,171.63072204589844,0,0
2022-04-01T23:00:01.686-07:00,179.47865295410156,0,0
2022-04-01T23:15:01.657-07:00,171.63072204589844,0,0
2022-04-01T23:30:01.847-07:00,189.715087890625,0,0
2022-04-01T23:45:01.199-07:00,187.3265838623047,0,0
2022-04-02T00:00:01.750-07:00,193.4684295654297,0,0
2022-04-02T00:15:01.723-07:00,200.63392639160156,0,0
2022-04-02T00:30:01.442-07:00,198.9278564453125,0,0
2022-04-02T00:45:01.717-07:00,198.9278564453125,0,0
2022-04-02T01:00:01.678-07:00,186.64414978027344,0,0
2022-04-02T01:15:00.190-07:00,203.70486450195312,0,0
2022-04-02T01:30:01.704-07:00,193.8096466064453,0,0
2022-04-02T01:45:01.686-07:00,202.33999633789062,0,0
2022-04-02T02:00:01.633-07:00,201.65757751464844,0,0
2022-04-02T02:15:01.772-07:00,203.3636474609375,0,0
2022-04-02T02:30:01.718-07:00,210.87034606933594,0,0
2022-04-02T02:45:01.739-07:00,196.8805694580078,0,0
2022-04-02T03:00:01.730-07:00,209.16427612304688,0,0
2022-04-02T03:15:01.762-07:00,225.5425567626953,0,0
2022-04-02T03:30:01.760-07:00,214.62371826171875,0,0
2022-04-02T03:45:01.809-07:00,216.3297882080078,0,0
2022-04-02T04:00:01.772-07:00,206.09335327148438,0,0
2022-04-02T04:15:01.800-07:00,268.5355529785156,0,0
2022-04-02T04:30:01.805-07:00,231.68441772460938,0,0
2022-04-02T04:45:01.846-07:00,198.9278564453125,0,0
2022-04-02T05:00:04.610-07:00,217.01222229003906,0,0
2022-04-02T05:15:01.580-07:00,197.22178649902344,0,0
2022-04-02T05:30:01.578-07:00,224.86013793945312,0,0
2022-04-02T05:45:01.635-07:00,202.33999633789062,0,0
2022-04-02T06:00:01.696-07:00,206.77578735351562,0,0
2022-04-02T06:15:01.695-07:00,216.3297882080078,0,0
