t,v,s,r
2022-03-31T23:45:02.344-07:00,14307.6298828125,0,0
2022-04-01T00:00:02.282-07:00,14307.6806640625,0,0
2022-04-01T00:15:02.265-07:00,14307.7197265625,0,0
2022-04-01T00:30:02.301-07:00,14307.7705078125,0,0
2022-04-01T00:45:02.354-07:00,14307.810546875,0,0
2022-04-01T01:00:02.282-07:00,14307.8603515625,0,0
2022-04-01T01:15:02.232-07:00,14307.9091796875,0,0
2022-04-01T01:30:02.280-07:00,14307.94921875,0,0
2022-04-01T01:45:02.248-07:00,14308.009765625,0,0
2022-04-01T02:00:02.426-07:00,14308.060546875,0,0
2022-04-01T02:15:02.290-07:00,14308.099609375,0,0
2022-04-01T02:30:02.219-07:00,14308.150390625,0,0
2022-04-01T02:45:02.547-07:00,14308.2001953125,0,0
2022-04-01T03:00:02.291-07:00,14308.25,0,0
2022-04-01T03:15:02.310-07:00,14308.2998046875,0,0
2022-04-01T03:30:02.334-07:00,14308.33984375,0,0
2022-04-01T03:45:02.272-07:00,14308.3896484375,0,0
2022-04-01T04:00:02.301-07:00,14308.4501953125,0,0
2022-04-01T04:15:02.436-07:00,14308.490234375,0,0
2022-04-01T04:30:02.251-07:00,14308.5400390625,0,0
2022-04-01T04:45:02.291-07:00,14308.599609375,0,0
2022-04-01T05:00:02.394-07:00,14308.650390625,0,0
2022-04-01T05:15:02.226-07:00,14308.7001953125,0,0
2022-04-01T05:30:02.261-07:00,14308.76953125,0,0
2022-04-01T05:45:02.254-07:00,14308.830078125,0,0
2022-04-01T06:00:02.630-07:00,14308.8994140625,0,0
2022-04-01T06:15:02.269-07:00,14308.9599609375,0,0
2022-04-01T06:30:04.771-07:00,14309.01953125,0,0
2022-04-01T06:45:02.369-07:00,14309.080078125,0,0
2022-04-01T07:00:02.278-07:00,14309.140625,0,0
2022-04-01T07:15:02.329-07:00,14309.2001953125,0,0
2022-04-01T07:30:02.308-07:00,14309.25,0,0
2022-04-01T07:45:02.274-07:00,14309.2998046875,0,0
2022-04-01T08:00:04.686-07:00,14309.3505859375,0,0
2022-04-01T08:15:02.400-07:00,14309.390625,0,0
2022-04-01T08:30:02.304-07:00,14309.4501953125,0,0
2022-04-01T08:45:03.059-07:00,14309.5,0,0
2022-04-01T09:00:02.273-07:00,14309.5400390625,0,0
2022-04-01T09:15:02.263-07:00,14309.560546875,0,0
2022-04-01T09:30:02.254-07:00,14309.6103515625,0,0
2022-04-01T09:45:02.320-07:00,14309.640625,0,0
2022-04-01T10:00:02.264-07:00,14309.6591796875,0,0
2022-04-01T10:15:02.338-07:00,14309.6904296875,0,0
2022-04-01T10:30:02.374-07:00,14309.7197265625,0,0
2022-04-01T10:45:02.276-07:00,14309.75,0,0
2022-04-01T11:00:02.299-07:00,14309.7900390625,0,0
2022-04-01T11:15:02.433-07:00,14309.830078125,0,0
2022-04-01T11:30:00.226-07:00,14309.869140625,0,0
2022-04-01T11:45:02.264-07:00,14309.9091796875,0,0
2022-04-01T12:00:02.316-07:00,14309.9501953125,0,0
2022-04-01T12:15:02.197-07:00,14309.990234375,0,0
2022-04-01T12:30:02.266-07:00,14310.0205078125,0,0
2022-04-01T12:45:02.325-07:00,14310.0498046875,0,0
2022-04-01T13:00:02.312-07:00,14310.08984375,0,0
2022-04-01T13:15:02.336-07:00,14310.1298828125,0,0
2022-04-01T13:30:02.293-07:00,14310.1796875,0,0
2022-04-01T13:45:02.290-07:00,14310.2197265625,0,0
