t,v,s,r
2022-03-31T23:45:04.205-07:00,140.42364501953125,0,0
2022-04-01T00:00:03.976-07:00,141.40158081054688,0,0
2022-04-01T00:15:04.412-07:00,141.17239379882812,0,0
2022-04-01T00:30:03.957-07:00,140.8056640625,0,0
2022-04-01T00:45:03.954-07:00,141.95169067382812,0,0
2022-04-01T01:00:04.091-07:00,141.63079833984375,0,0
2022-04-01T01:15:04.134-07:00,140.98138427734375,0,0
2022-04-01T01:30:04.061-07:00,141.14947509765625,0,0
2022-04-01T01:45:04.247-07:00,140.30902099609375,0,0
2022-04-01T02:00:05.108-07:00,141.43215942382812,0,0
2022-04-01T02:15:04.161-07:00,142.9449462890625,0,0
2022-04-01T02:30:04.111-07:00,142.80740356445312,0,0
2022-04-01T02:45:04.149-07:00,144.27435302734375,0,0
2022-04-01T03:00:04.013-07:00,141.8294677734375,0,0
2022-04-01T03:15:04.106-07:00,141.31756591796875,0,0
2022-04-01T03:30:04.096-07:00,140.10275268554688,0,0
2022-04-01T03:45:04.284-07:00,140.49240112304688,0,0
2022-04-01T04:00:04.229-07:00,141.96697998046875,0,0
2022-04-01T04:15:04.160-07:00,142.77685546875,0,0
2022-04-01T04:30:04.021-07:00,142.64697265625,0,0
2022-04-01T04:45:04.062-07:00,143.54852294921875,0,0
2022-04-01T05:00:04.153-07:00,142.62405395507812,0,0
2022-04-01T05:15:04.197-07:00,143.34988403320312,0,0
2022-04-01T05:30:04.168-07:00,143.39572143554688,0,0
2022-04-01T05:45:03.996-07:00,144.06805419921875,0,0
2022-04-01T06:00:04.088-07:00,144.92379760742188,0,0
2022-04-01T06:15:04.081-07:00,145.28286743164062,0,0
2022-04-01T06:30:04.261-07:00,146.4442138671875,0,0
2022-04-01T06:45:04.101-07:00,145.70309448242188,0,0
2022-04-01T07:00:04.027-07:00,145.82534790039062,0,0
2022-04-01T07:15:04.204-07:00,147.15475463867188,0,0
2022-04-01T07:30:03.978-07:00,147.001953125,0,0
2022-04-01T07:45:04.561-07:00,148.76687622070312,0,0
2022-04-01T08:00:04.075-07:00,147.79653930664062,0,0
2022-04-01T08:15:04.201-07:00,148.30845642089844,0,0
2022-04-01T08:30:03.964-07:00,145.83297729492188,0,0
2022-04-01T08:45:04.185-07:00,144.0069580078125,0,0
2022-04-01T09:00:04.243-07:00,143.17416381835938,0,0
2022-04-01T09:15:04.347-07:00,145.6419677734375,0,0
2022-04-01T09:30:04.332-07:00,145.87881469726562,0,0
2022-04-01T09:45:03.980-07:00,141.86001586914062,0,0
2022-04-01T10:00:04.233-07:00,139.82003784179688,0,0
2022-04-01T10:15:04.344-07:00,139.97286987304688,0,0
2022-04-01T10:30:05.116-07:00,140.83621215820312,0,0
2022-04-01T10:45:04.170-07:00,139.147705078125,0,0
2022-04-01T11:00:04.099-07:00,134.12802124023438,0,0
2022-04-01T11:15:04.028-07:00,137.20706176757812,0,0
2022-04-01T11:30:04.152-07:00,139.88116455078125,0,0
2022-04-01T11:45:04.177-07:00,135.93875122070312,0,0
2022-04-01T12:00:04.630-07:00,134.51766967773438,0,0
2022-04-01T12:15:04.188-07:00,133.211181640625,0,0
2022-04-01T12:30:03.973-07:00,134.4947509765625,0,0
2022-04-01T12:45:04.445-07:00,135.20529174804688,0,0
2022-04-01T13:00:04.162-07:00,133.01251220703125,0,0
2022-04-01T13:15:04.286-07:00,132.7833251953125,0,0
2022-04-01T13:30:03.966-07:00,131.62960815429688,0,0
2022-04-01T13:45:04.248-07:00,131.56085205078125,0,0
2022-04-01T14:00:04.414-07:00,131.95050048828125,0,0
2022-04-01T14:15:04.332-07:00,128.90966796875,0,0
2022-04-01T14:30:03.989-07:00,126.862060546875,0,0
2022-04-01T14:45:04.095-07:00,127.3510513305664,0,0
2022-04-01T15:00:05.100-07:00,128.60406494140625,0,0
2022-04-01T15:15:04.183-07:00,129.68896484375,0,0
2022-04-01T15:30:03.955-07:00,131.1253662109375,0,0
2022-04-01T15:45:04.065-07:00,128.107421875,0,0
2022-04-01T16:00:04.054-07:00,126.39600372314453,0,0
2022-04-01T16:15:04.171-07:00,126.72455596923828,0,0
2022-04-01T16:30:04.228-07:00,129.20001220703125,0,0
2022-04-01T16:45:03.961-07:00,130.88851928710938,0,0
2022-04-01T17:00:04.345-07:00,128.55056762695312,0,0
2022-04-01T17:15:04.071-07:00,126.41891479492188,0,0
2022-04-01T17:30:04.005-07:00,128.06158447265625,0,0
2022-04-01T17:45:04.046-07:00,129.94876098632812,0,0
2022-04-01T18:00:04.156-07:00,131.20941162109375,0,0
2022-04-01T18:15:04.232-07:00,130.91143798828125,0,0
2022-04-01T18:30:04.095-07:00,130.68222045898438,0,0
2022-04-01T18:45:04.353-07:00,133.05072021484375,0,0
2022-04-01T19:00:04.175-07:00,133.42510986328125,0,0
2022-04-01T19:15:04.198-07:00,133.25701904296875,0,0
2022-04-01T19:30:04.013-07:00,133.5091552734375,0,0
2022-04-01T19:45:04.200-07:00,133.88351440429688,0,0
2022-04-01T20:00:04.436-07:00,135.74774169921875,0,0
2022-04-01T20:15:04.280-07:00,137.08480834960938,0,0
2022-04-01T20:30:04.459-07:00,134.99899291992188,0,0
2022-04-01T20:45:04.462-07:00,137.41336059570312,0,0
2022-04-01T21:00:04.104-07:00,139.1094970703125,0,0
2022-04-01T21:15:04.135-07:00,140.81329345703125,0,0
2022-04-01T21:30:03.999-07:00,139.667236328125,0,0
2022-04-01T21:45:04.289-07:00,140.07217407226562,0,0
2022-04-01T22:00:04.043-07:00,138.3836669921875,0,0
2022-04-01T22:15:03.901-07:00,139.017822265625,0,0
2022-04-01T22:30:04.150-07:00,142.54763793945312,0,0
2022-04-01T22:45:04.038-07:00,142.57821655273438,0,0
2022-04-01T23:00:04.107-07:00,140.02633666992188,0,0
2022-04-01T23:15:04.297-07:00,139.54498291015625,0,0
2022-04-01T23:30:04.141-07:00,140.10275268554688,0,0
2022-04-01T23:45:04.972-07:00,141.69192504882812,0,0
2022-04-02T00:00:04.109-07:00,142.47125244140625,0,0
2022-04-02T00:15:04.293-07:00,139.88116455078125,0,0
2022-04-02T00:30:04.075-07:00,140.27847290039062,0,0
2022-04-02T00:45:04.175-07:00,141.44744873046875,0,0
2022-04-02T01:00:03.992-07:00,142.63168334960938,0,0
2022-04-02T01:15:04.047-07:00,143.17416381835938,0,0
2022-04-02T01:30:04.246-07:00,141.44744873046875,0,0
2022-04-02T01:45:03.975-07:00,141.86764526367188,0,0
2022-04-02T02:00:04.104-07:00,140.0950927734375,0,0
2022-04-02T02:15:03.978-07:00,140.81329345703125,0,0
2022-04-02T02:30:04.108-07:00,141.81417846679688,0,0
2022-04-02T02:45:04.219-07:00,143.16650390625,0,0
2022-04-02T03:00:03.917-07:00,145.20648193359375,0,0
2022-04-02T03:15:03.970-07:00,142.1044921875,0,0
2022-04-02T03:30:04.213-07:00,141.8294677734375,0,0
2022-04-02T03:45:04.090-07:00,141.98226928710938,0,0
2022-04-02T04:00:04.794-07:00,143.22000122070312,0,0
2022-04-02T04:15:04.083-07:00,145.603759765625,0,0
2022-04-02T04:30:03.976-07:00,145.42803955078125,0,0
2022-04-02T04:45:04.449-07:00,143.83120727539062,0,0
2022-04-02T05:00:04.115-07:00,143.64019775390625,0,0
2022-04-02T05:15:04.139-07:00,142.59347534179688,0,0
2022-04-02T05:30:04.245-07:00,144.41952514648438,0,0
2022-04-02T05:45:04.064-07:00,146.5740966796875,0,0
2022-04-02T06:00:05.937-07:00,147.69723510742188,0,0
2022-04-02T06:15:04.116-07:00,147.88824462890625,0,0
2022-04-02T06:30:05.829-07:00,143.15887451171875,0,0
2022-04-02T06:45:04.227-07:00,142.0128173828125,0,0
2022-04-02T07:00:06.124-07:00,144.62582397460938,0,0
2022-04-02T07:15:04.180-07:00,146.16915893554688,0,0
2022-04-02T07:30:05.849-07:00,145.76422119140625,0,0
2022-04-02T07:45:04.192-07:00,141.09597778320312,0,0
2022-04-02T08:00:05.957-07:00,142.96786499023438,0,0
2022-04-02T08:15:04.134-07:00,145.084228515625,0,0
2022-04-02T08:30:05.945-07:00,144.81683349609375,0,0
2022-04-02T08:45:04.044-07:00,145.3057861328125,0,0
2022-04-02T09:00:05.899-07:00,140.26318359375,0,0
2022-04-02T09:15:04.195-07:00,143.1282958984375,0,0
2022-04-02T09:30:05.941-07:00,143.8541259765625,0,0
2022-04-02T09:45:03.937-07:00,144.41189575195312,0,0
2022-04-02T10:00:06.340-07:00,143.42626953125,0,0
2022-04-02T10:15:04.119-07:00,140.2249755859375,0,0
2022-04-02T10:30:06.065-07:00,141.0272216796875,0,0
2022-04-02T10:45:04.056-07:00,143.1282958984375,0,0
2022-04-02T11:00:06.989-07:00,142.89144897460938,0,0
2022-04-02T11:15:04.239-07:00,143.06719970703125,0,0
2022-04-02T11:30:05.978-07:00,141.21060180664062,0,0
2022-04-02T11:45:04.359-07:00,139.72073364257812,0,0
2022-04-02T12:00:06.042-07:00,141.92877197265625,0,0
2022-04-02T12:15:04.118-07:00,142.7386474609375,0,0
2022-04-02T12:30:06.023-07:00,142.61639404296875,0,0
2022-04-02T12:45:05.121-07:00,137.84121704101562,0,0
2022-04-02T13:00:07.185-07:00,137.01605224609375,0,0
2022-04-02T13:15:04.237-07:00,142.07394409179688,0,0
2022-04-02T13:30:06.075-07:00,138.36074829101562,0,0
2022-04-02T13:45:04.409-07:00,136.77920532226562,0,0
2022-04-02T14:00:06.148-07:00,135.54910278320312,0,0
2022-04-02T14:15:04.701-07:00,134.74688720703125,0,0
2022-04-02T14:30:04.241-07:00,136.53469848632812,0,0
2022-04-02T14:45:04.035-07:00,137.98635864257812,0,0
2022-04-02T15:00:04.008-07:00,136.32843017578125,0,0
2022-04-02T15:15:04.102-07:00,135.66372680664062,0,0
2022-04-02T15:30:04.139-07:00,131.43862915039062,0,0
2022-04-02T15:45:04.098-07:00,130.7509765625,0,0
2022-04-02T16:00:04.173-07:00,136.23672485351562,0,0
2022-04-02T16:15:04.313-07:00,136.12213134765625,0,0
2022-04-02T16:30:04.025-07:00,132.2408447265625,0,0
2022-04-02T16:45:04.723-07:00,131.5150146484375,0,0
2022-04-02T17:00:04.019-07:00,133.5244140625,0,0
2022-04-02T17:15:04.149-07:00,134.37249755859375,0,0
2022-04-02T17:30:04.032-07:00,136.09921264648438,0,0
2022-04-02T17:45:04.238-07:00,135.84707641601562,0,0
2022-04-02T18:00:04.475-07:00,134.2120361328125,0,0
2022-04-02T18:15:04.292-07:00,132.73745727539062,0,0
2022-04-02T18:30:04.151-07:00,132.37838745117188,0,0
2022-04-02T18:45:04.165-07:00,137.05426025390625,0,0
2022-04-02T19:00:04.072-07:00,136.6722412109375,0,0
2022-04-02T19:15:04.153-07:00,132.59994506835938,0,0
2022-04-02T19:30:04.111-07:00,135.58731079101562,0,0
2022-04-02T19:45:04.071-07:00,139.41510009765625,0,0
2022-04-02T20:00:04.130-07:00,137.16885375976562,0,0
2022-04-02T20:15:04.125-07:00,134.65518188476562,0,0
2022-04-02T20:30:04.206-07:00,135.67898559570312,0,0
2022-04-02T20:45:04.226-07:00,136.2061767578125,0,0
2022-04-02T21:00:04.243-07:00,137.59671020507812,0,0
2022-04-02T21:15:04.015-07:00,138.2919921875,0,0
2022-04-02T21:30:04.168-07:00,137.42861938476562,0,0
2022-04-02T21:45:03.993-07:00,138.28433227539062,0,0
2022-04-02T22:00:04.394-07:00,138.49063110351562,0,0
2022-04-02T22:15:04.076-07:00,136.81741333007812,0,0
2022-04-02T22:30:03.989-07:00,138.16973876953125,0,0
2022-04-02T22:45:03.963-07:00,138.49826049804688,0,0
2022-04-02T23:00:04.295-07:00,139.98812866210938,0,0
2022-04-02T23:15:04.064-07:00,140.11038208007812,0,0
2022-04-02T23:30:04.102-07:00,137.01605224609375,0,0
2022-04-02T23:45:04.008-07:00,136.58819580078125,0,0
2022-04-03T00:00:04.125-07:00,138.65109252929688,0,0
2022-04-03T00:15:04.066-07:00,138.94906616210938,0,0
2022-04-03T00:30:04.283-07:00,140.55352783203125,0,0
2022-04-03T00:45:04.373-07:00,139.407470703125,0,0
2022-04-03T01:00:04.188-07:00,138.78860473632812,0,0
2022-04-03T01:15:04.123-07:00,139.3310546875,0,0
2022-04-03T01:30:05.211-07:00,136.9854736328125,0,0
2022-04-03T01:45:04.358-07:00,139.017822265625,0,0
2022-04-03T02:00:04.107-07:00,141.31756591796875,0,0
2022-04-03T02:15:04.074-07:00,141.73013305664062,0,0
2022-04-03T02:30:03.996-07:00,140.62991333007812,0,0
2022-04-03T02:45:04.238-07:00,138.13153076171875,0,0
2022-04-03T03:00:04.253-07:00,137.74188232421875,0,0
2022-04-03T03:15:04.231-07:00,140.01104736328125,0,0
2022-04-03T03:30:04.356-07:00,140.20205688476562,0,0
2022-04-03T03:45:04.989-07:00,141.05776977539062,0,0
2022-04-03T04:00:04.134-07:00,143.53323364257812,0,0
2022-04-03T04:15:04.891-07:00,139.84295654296875,0,0
2022-04-03T04:30:05.383-07:00,138.95669555664062,0,0
2022-04-03T04:45:04.301-07:00,140.39306640625,0,0
2022-04-03T05:00:07.336-07:00,141.64608764648438,0,0
2022-04-03T05:15:04.347-07:00,142.25732421875,0,0
2022-04-03T05:30:04.048-07:00,139.8353271484375,0,0
2022-04-03T05:45:04.154-07:00,139.43801879882812,0,0
2022-04-03T06:00:05.187-07:00,139.30050659179688,0,0
2022-04-03T06:15:04.297-07:00,140.12567138671875,0,0
2022-04-03T06:30:04.218-07:00,143.8388671875,0,0
2022-04-03T06:45:04.090-07:00,143.6707763671875,0,0
2022-04-03T07:00:04.377-07:00,139.51443481445312,0,0
2022-04-03T07:15:04.080-07:00,140.81329345703125,0,0
2022-04-03T07:30:04.204-07:00,141.8447265625,0,0
2022-04-03T07:45:04.083-07:00,144.281982421875,0,0
2022-04-03T08:00:04.263-07:00,142.3489990234375,0,0
2022-04-03T08:15:04.212-07:00,138.91848754882812,0,0
2022-04-03T08:30:00.504-07:00,140.41598510742188,0,0
2022-04-03T08:45:04.181-07:00,141.05014038085938,0,0
2022-04-03T09:00:04.140-07:00,140.78271484375,0,0
2022-04-03T09:15:04.176-07:00,141.21060180664062,0,0
2022-04-03T09:30:04.296-07:00,140.27847290039062,0,0
2022-04-03T09:45:04.242-07:00,139.15533447265625,0,0
2022-04-03T10:00:04.144-07:00,138.53646850585938,0,0
2022-04-03T10:15:04.201-07:00,138.70455932617188,0,0
2022-04-03T10:30:04.250-07:00,139.407470703125,0,0
2022-04-03T10:45:04.412-07:00,136.34368896484375,0,0
2022-04-03T11:00:04.074-07:00,136.19088745117188,0,0
2022-04-03T11:15:04.168-07:00,138.75039672851562,0,0
2022-04-03T11:30:04.111-07:00,138.65872192382812,0,0
2022-04-03T11:45:04.409-07:00,137.11538696289062,0,0
2022-04-03T12:00:04.189-07:00,133.0965576171875,0,0
2022-04-03T12:15:04.163-07:00,135.19000244140625,0,0
2022-04-03T12:30:04.070-07:00,135.84707641601562,0,0
2022-04-03T12:45:04.243-07:00,133.79946899414062,0,0
2022-04-03T13:00:04.190-07:00,131.62197875976562,0,0
2022-04-03T13:15:04.348-07:00,133.600830078125,0,0
2022-04-03T13:30:04.196-07:00,135.32754516601562,0,0
2022-04-03T13:45:04.241-07:00,137.11538696289062,0,0
2022-04-03T14:00:04.441-07:00,134.70101928710938,0,0
2022-04-03T14:15:04.246-07:00,132.23321533203125,0,0
2022-04-03T14:30:04.191-07:00,134.50238037109375,0,0
2022-04-03T14:45:05.144-07:00,134.57113647460938,0,0
2022-04-03T15:00:04.174-07:00,131.84353637695312,0,0
2022-04-03T15:15:04.238-07:00,130.96490478515625,0,0
2022-04-03T15:30:04.128-07:00,129.73483276367188,0,0
