t,v,s,r
2022-03-31T23:45:02.737-07:00,138.02139282226562,0,0
2022-04-01T00:00:02.712-07:00,140.27597045898438,0,0
2022-04-01T00:15:02.941-07:00,139.90911865234375,0,0
2022-04-01T00:30:02.940-07:00,138.82388305664062,0,0
2022-04-01T00:45:02.718-07:00,140.29891967773438,0,0
2022-04-01T01:00:02.892-07:00,139.89385986328125,0,0
2022-04-01T01:15:02.773-07:00,139.14486694335938,0,0
2022-04-01T01:30:02.724-07:00,139.36651611328125,0,0
2022-04-01T01:45:02.760-07:00,138.96145629882812,0,0
2022-04-01T02:00:02.838-07:00,139.2977294921875,0,0
2022-04-01T02:15:02.801-07:00,139.54229736328125,0,0
2022-04-01T02:30:02.708-07:00,139.74862670898438,0,0
2022-04-01T02:45:02.951-07:00,138.984375,0,0
2022-04-01T03:00:02.928-07:00,138.90029907226562,0,0
2022-04-01T03:15:02.726-07:00,140.23013305664062,0,0
2022-04-01T03:30:02.729-07:00,139.85562133789062,0,0
2022-04-01T03:45:02.787-07:00,140.3294677734375,0,0
2022-04-01T04:00:02.852-07:00,139.18307495117188,0,0
2022-04-01T04:15:02.798-07:00,139.21365356445312,0,0
2022-04-01T04:30:02.786-07:00,139.84036254882812,0,0
2022-04-01T04:45:02.748-07:00,139.22128295898438,0,0
2022-04-01T05:00:03.757-07:00,138.33474731445312,0,0
2022-04-01T05:15:02.740-07:00,139.01495361328125,0,0
2022-04-01T05:30:02.721-07:00,138.27362060546875,0,0
2022-04-01T05:45:02.831-07:00,138.12075805664062,0,0
2022-04-01T06:00:02.919-07:00,140.00848388671875,0,0
2022-04-01T06:15:02.826-07:00,139.90911865234375,0,0
2022-04-01T06:30:02.791-07:00,141.09375,0,0
2022-04-01T06:45:02.880-07:00,139.20602416992188,0,0
2022-04-01T07:00:03.039-07:00,138.885009765625,0,0
2022-04-01T07:15:02.834-07:00,138.80859375,0,0
2022-04-01T07:30:03.025-07:00,139.3359375,0,0
2022-04-01T07:45:02.709-07:00,138.7703857421875,0,0
2022-04-01T08:00:02.775-07:00,139.8021240234375,0,0
2022-04-01T08:15:02.962-07:00,140.22247314453125,0,0
2022-04-01T08:30:03.036-07:00,139.06845092773438,0,0
2022-04-01T08:45:02.746-07:00,138.83917236328125,0,0
2022-04-01T09:00:02.839-07:00,139.763916015625,0,0
2022-04-01T09:15:02.891-07:00,138.64047241210938,0,0
2022-04-01T09:30:02.813-07:00,139.083740234375,0,0
2022-04-01T09:45:02.746-07:00,139.13723754882812,0,0
2022-04-01T10:00:02.988-07:00,139.0225830078125,0,0
2022-04-01T10:15:02.844-07:00,138.52581787109375,0,0
2022-04-01T10:30:02.693-07:00,138.9461669921875,0,0
2022-04-01T10:45:03.147-07:00,138.97674560546875,0,0
2022-04-01T11:00:02.679-07:00,139.20602416992188,0,0
2022-04-01T11:15:02.700-07:00,139.75628662109375,0,0
2022-04-01T11:30:02.726-07:00,139.6492919921875,0,0
2022-04-01T11:45:02.775-07:00,139.93206787109375,0,0
2022-04-01T12:00:02.726-07:00,140.33712768554688,0,0
2022-04-01T12:15:02.723-07:00,139.20602416992188,0,0
2022-04-01T12:30:02.862-07:00,138.90029907226562,0,0
2022-04-01T12:45:02.746-07:00,138.54110717773438,0,0
2022-04-01T13:00:02.707-07:00,139.29006958007812,0,0
2022-04-01T13:15:02.821-07:00,140.19189453125,0,0
2022-04-01T13:30:02.716-07:00,140.0390625,0,0
2022-04-01T13:45:00.313-07:00,138.72451782226562,0,0
2022-04-01T14:00:00.264-07:00,138.97674560546875,0,0
2022-04-01T14:15:00.327-07:00,139.81741333007812,0,0
2022-04-01T14:30:00.291-07:00,140.19955444335938,0,0
2022-04-01T14:45:00.276-07:00,138.984375,0,0
2022-04-01T15:00:00.290-07:00,138.99200439453125,0,0
2022-04-01T15:15:00.308-07:00,139.05316162109375,0,0
2022-04-01T15:30:00.572-07:00,139.80978393554688,0,0
2022-04-01T15:45:00.300-07:00,139.786865234375,0,0
2022-04-01T16:00:02.464-07:00,138.08255004882812,0,0
2022-04-01T16:15:02.706-07:00,138.85446166992188,0,0
2022-04-01T16:30:02.700-07:00,140.28363037109375,0,0
2022-04-01T16:45:02.768-07:00,139.435302734375,0,0
2022-04-01T17:00:02.778-07:00,139.87091064453125,0,0
2022-04-01T17:15:03.035-07:00,140.39825439453125,0,0
2022-04-01T17:30:02.820-07:00,138.77801513671875,0,0
2022-04-01T17:45:02.810-07:00,138.32711791992188,0,0
2022-04-01T18:00:02.752-07:00,139.57284545898438,0,0
2022-04-01T18:15:02.815-07:00,139.9014892578125,0,0
2022-04-01T18:30:02.934-07:00,138.82388305664062,0,0
2022-04-01T18:45:02.815-07:00,139.39706420898438,0,0
2022-04-01T19:00:02.774-07:00,140.5052490234375,0,0
2022-04-01T19:15:03.341-07:00,138.7703857421875,0,0
2022-04-01T19:30:02.790-07:00,138.95379638671875,0,0
2022-04-01T19:45:02.746-07:00,138.89266967773438,0,0
2022-04-01T20:00:02.699-07:00,138.64047241210938,0,0
2022-04-01T20:15:02.759-07:00,138.65573120117188,0,0
2022-04-01T20:30:02.829-07:00,139.07608032226562,0,0
2022-04-01T20:45:02.731-07:00,139.4505615234375,0,0
2022-04-01T21:00:02.705-07:00,138.33474731445312,0,0
2022-04-01T21:15:02.769-07:00,140.115478515625,0,0
2022-04-01T21:30:02.756-07:00,138.64810180664062,0,0
2022-04-01T21:45:02.906-07:00,139.89385986328125,0,0
2022-04-01T22:00:03.011-07:00,138.22012329101562,0,0
2022-04-01T22:15:02.975-07:00,138.18191528320312,0,0
2022-04-01T22:30:02.830-07:00,139.083740234375,0,0
2022-04-01T22:45:03.666-07:00,140.30654907226562,0,0
2022-04-01T23:00:02.917-07:00,139.09136962890625,0,0
2022-04-01T23:15:02.771-07:00,140.7803955078125,0,0
2022-04-01T23:30:02.737-07:00,139.03024291992188,0,0
2022-04-01T23:45:02.728-07:00,139.55758666992188,0,0
2022-04-02T00:00:02.741-07:00,139.79449462890625,0,0
2022-04-02T00:15:02.934-07:00,139.4735107421875,0,0
2022-04-02T00:30:03.080-07:00,139.57284545898438,0,0
2022-04-02T00:45:02.748-07:00,139.52700805664062,0,0
2022-04-02T01:00:02.783-07:00,138.3424072265625,0,0
2022-04-02T01:15:02.748-07:00,139.86328125,0,0
2022-04-02T01:30:02.878-07:00,139.55758666992188,0,0
2022-04-02T01:45:02.896-07:00,138.68630981445312,0,0
2022-04-02T02:00:02.736-07:00,140.14605712890625,0,0
2022-04-02T02:15:02.837-07:00,140.03140258789062,0,0
2022-04-02T02:30:02.798-07:00,138.41119384765625,0,0
