t,v,s,r
2022-03-31T23:45:01.821-07:00,168.98068237304688,0,0
2022-04-01T00:00:01.821-07:00,176.42124938964844,0,0
2022-04-01T00:15:01.823-07:00,164.55902099609375,0,0
2022-04-01T00:30:01.868-07:00,165.916015625,0,0
2022-04-01T00:45:01.804-07:00,165.38238525390625,0,0
2022-04-01T01:00:01.821-07:00,163.148681640625,0,0
2022-04-01T01:15:01.812-07:00,161.75357055664062,0,0
2022-04-01T01:30:01.885-07:00,164.50567626953125,0,0
2022-04-01T01:45:01.820-07:00,164.6734161376953,0,0
2022-04-01T02:00:01.861-07:00,157.2862091064453,0,0
2022-04-01T02:15:01.899-07:00,167.39500427246094,0,0
2022-04-01T02:30:01.802-07:00,161.67733764648438,0,0
2022-04-01T02:45:01.776-07:00,161.1741943359375,0,0
2022-04-01T03:00:01.772-07:00,162.58453369140625,0,0
2022-04-01T03:15:01.874-07:00,160.95309448242188,0,0
2022-04-01T03:30:01.764-07:00,158.10952758789062,0,0
2022-04-01T03:45:01.807-07:00,167.81427001953125,0,0
2022-04-01T04:00:02.078-07:00,162.7598876953125,0,0
2022-04-01T04:15:01.819-07:00,165.40524291992188,0,0
2022-04-01T04:30:01.850-07:00,170.89419555664062,0,0
2022-04-01T04:45:00.147-07:00,166.6402587890625,0,0
2022-04-01T05:00:01.763-07:00,166.88421630859375,0,0
2022-04-01T05:15:01.865-07:00,165.90838623046875,0,0
2022-04-01T05:30:01.873-07:00,166.29721069335938,0,0
2022-04-01T05:45:01.868-07:00,163.11056518554688,0,0
2022-04-01T06:00:01.845-07:00,169.35421752929688,0,0
2022-04-01T06:15:01.822-07:00,168.69097900390625,0,0
2022-04-01T06:30:02.037-07:00,166.67837524414062,0,0
2022-04-01T06:45:01.862-07:00,169.39236450195312,0,0
2022-04-01T07:00:01.880-07:00,171.11526489257812,0,0
2022-04-01T07:15:01.805-07:00,170.23092651367188,0,0
2022-04-01T07:30:01.881-07:00,167.82952880859375,0,0
2022-04-01T07:45:01.879-07:00,169.44570922851562,0,0
2022-04-01T08:00:01.940-07:00,168.01248168945312,0,0
2022-04-01T08:15:01.745-07:00,170.6883544921875,0,0
2022-04-01T08:30:01.811-07:00,176.13156127929688,0,0
2022-04-01T08:45:01.795-07:00,172.31979370117188,0,0
2022-04-01T09:00:01.799-07:00,177.1073455810547,0,0
2022-04-01T09:15:01.912-07:00,171.854736328125,0,0
2022-04-01T09:30:01.991-07:00,160.49569702148438,0,0
2022-04-01T09:45:01.782-07:00,161.82980346679688,0,0
2022-04-01T10:00:01.779-07:00,164.5819091796875,0,0
2022-04-01T10:15:01.826-07:00,162.00515747070312,0,0
2022-04-01T10:30:01.837-07:00,155.8148651123047,0,0
2022-04-01T10:45:01.869-07:00,157.0269775390625,0,0
2022-04-01T11:00:01.819-07:00,156.37901306152344,0,0
2022-04-01T11:15:01.826-07:00,158.26199340820312,0,0
2022-04-01T11:30:00.664-07:00,155.59376525878906,0,0
2022-04-01T11:45:01.875-07:00,155.90634155273438,0,0
2022-04-01T12:00:01.901-07:00,158.65841674804688,0,0
2022-04-01T12:15:01.964-07:00,162.37869262695312,0,0
2022-04-01T12:30:01.946-07:00,157.2938232421875,0,0
2022-04-01T12:45:01.839-07:00,154.57220458984375,0,0
2022-04-01T13:00:01.868-07:00,156.1502685546875,0,0
2022-04-01T13:15:01.838-07:00,160.73202514648438,0,0
2022-04-01T13:30:01.865-07:00,151.52279663085938,0,0
2022-04-01T13:45:01.902-07:00,158.65841674804688,0,0
2022-04-01T14:00:01.842-07:00,160.9912109375,0,0
2022-04-01T14:15:01.853-07:00,159.641845703125,0,0
2022-04-01T14:30:01.820-07:00,156.84402465820312,0,0
2022-04-01T14:45:00.141-07:00,150.72994995117188,0,0
2022-04-01T15:00:01.807-07:00,153.8555908203125,0,0
2022-04-01T15:15:01.793-07:00,151.90396118164062,0,0
2022-04-01T15:30:01.919-07:00,149.045166015625,0,0
2022-04-01T15:45:01.777-07:00,151.73626708984375,0,0
2022-04-01T16:00:01.825-07:00,155.57089233398438,0,0
2022-04-01T16:15:01.935-07:00,152.91790771484375,0,0
2022-04-01T16:30:01.762-07:00,150.66134643554688,0,0
2022-04-01T16:45:01.809-07:00,152.49099731445312,0,0
2022-04-01T17:00:01.942-07:00,155.1897430419922,0,0
2022-04-01T17:15:01.867-07:00,145.61456298828125,0,0
2022-04-01T17:30:02.013-07:00,155.55563354492188,0,0
2022-04-01T17:45:01.875-07:00,159.6571044921875,0,0
2022-04-01T18:00:01.850-07:00,159.84005737304688,0,0
2022-04-01T18:15:02.156-07:00,162.80563354492188,0,0
2022-04-01T18:30:01.853-07:00,159.55038452148438,0,0
2022-04-01T18:45:01.922-07:00,155.08297729492188,0,0
2022-04-01T19:00:01.842-07:00,152.57485961914062,0,0
2022-04-01T19:15:01.972-07:00,152.78829956054688,0,0
2022-04-01T19:30:01.819-07:00,155.41079711914062,0,0
2022-04-01T19:45:01.870-07:00,155.830078125,0,0
2022-04-01T20:00:01.847-07:00,162.36346435546875,0,0
2022-04-01T20:15:01.831-07:00,166.88421630859375,0,0
2022-04-01T20:30:01.884-07:00,169.19415283203125,0,0
2022-04-01T20:45:01.966-07:00,167.25015258789062,0,0
2022-04-01T21:00:01.812-07:00,157.1947021484375,0,0
2022-04-01T21:15:01.784-07:00,163.50698852539062,0,0
2022-04-01T21:30:01.881-07:00,167.43310546875,0,0
2022-04-01T21:45:01.812-07:00,172.4112548828125,0,0
2022-04-01T22:00:01.809-07:00,167.49407958984375,0,0
2022-04-01T22:15:01.828-07:00,170.34527587890625,0,0
2022-04-01T22:30:01.882-07:00,170.33004760742188,0,0
2022-04-01T22:45:01.814-07:00,178.16702270507812,0,0
2022-04-01T23:00:01.845-07:00,174.13418579101562,0,0
2022-04-01T23:15:01.831-07:00,165.58819580078125,0,0
2022-04-01T23:30:01.904-07:00,164.55902099609375,0,0
2022-04-01T23:45:01.825-07:00,160.09927368164062,0,0
2022-04-02T00:00:01.777-07:00,160.64053344726562,0,0
2022-04-02T00:15:01.910-07:00,166.15997314453125,0,0
2022-04-02T00:30:01.893-07:00,167.1815185546875,0,0
2022-04-02T00:45:01.761-07:00,163.17916870117188,0,0
2022-04-02T01:00:01.978-07:00,160.96835327148438,0,0
2022-04-02T01:15:01.845-07:00,161.1741943359375,0,0
2022-04-02T01:30:01.772-07:00,164.00250244140625,0,0
2022-04-02T01:45:01.836-07:00,164.94021606445312,0,0
2022-04-02T02:00:01.875-07:00,169.19415283203125,0,0
2022-04-02T02:15:02.052-07:00,171.61080932617188,0,0
2022-04-02T02:30:02.012-07:00,166.1676025390625,0,0
2022-04-02T02:45:02.219-07:00,165.00119018554688,0,0
2022-04-02T03:00:01.783-07:00,164.73439025878906,0,0
2022-04-02T03:15:02.327-07:00,162.69125366210938,0,0
2022-04-02T03:30:01.793-07:00,164.15499877929688,0,0
2022-04-02T03:45:02.532-07:00,164.8182373046875,0,0
2022-04-02T04:00:01.865-07:00,165.80166625976562,0,0
2022-04-02T04:15:01.968-07:00,168.9501953125,0,0
2022-04-02T04:30:01.806-07:00,165.9998779296875,0,0
2022-04-02T04:45:01.868-07:00,170.9323272705078,0,0
2022-04-02T05:00:01.809-07:00,175.01089477539062,0,0
2022-04-02T05:15:01.858-07:00,173.4404296875,0,0
2022-04-02T05:30:01.943-07:00,166.9451904296875,0,0
2022-04-02T05:45:01.810-07:00,165.5958251953125,0,0
2022-04-02T06:00:01.866-07:00,164.50567626953125,0,0
2022-04-02T06:15:01.783-07:00,169.77354431152344,0,0
2022-04-02T06:30:01.860-07:00,167.48648071289062,0,0
2022-04-02T06:45:01.785-07:00,162.1195068359375,0,0
2022-04-02T07:00:01.821-07:00,167.837158203125,0,0
2022-04-02T07:15:02.050-07:00,166.27432250976562,0,0
2022-04-02T07:30:01.993-07:00,164.37606811523438,0,0
2022-04-02T07:45:01.870-07:00,161.28854370117188,0,0
