t,v,s,r
2022-03-31T23:45:05.893-07:00,0,0,0
2022-04-01T00:00:05.997-07:00,0,0,0
2022-04-01T00:15:05.958-07:00,0,0,0
2022-04-01T00:30:05.856-07:00,0,0,0
2022-04-01T00:45:05.858-07:00,0,0,0
2022-04-01T01:00:06.037-07:00,0,0,0
2022-04-01T01:15:06.080-07:00,0,0,0
2022-04-01T01:30:06.027-07:00,0,0,0
2022-04-01T01:45:06.656-07:00,0,0,0
2022-04-01T02:00:06.002-07:00,0,0,0
2022-04-01T02:15:05.984-07:00,0,0,0
2022-04-01T02:30:06.245-07:00,0,0,0
2022-04-01T02:45:06.048-07:00,0,0,0
2022-04-01T03:00:06.279-07:00,0,0,0
2022-04-01T03:15:06.071-07:00,0,0,0
2022-04-01T03:30:05.952-07:00,0,0,0
2022-04-01T03:45:06.089-07:00,0,0,0
2022-04-01T04:00:05.932-07:00,0,0,0
2022-04-01T04:15:06.102-07:00,0,0,0
2022-04-01T04:30:06.084-07:00,0,0,0
2022-04-01T04:45:05.988-07:00,0,0,0
2022-04-01T05:00:06.239-07:00,0,0,0
2022-04-01T05:15:06.012-07:00,0,0,0
2022-04-01T05:30:06.126-07:00,0,0,0
2022-04-01T05:45:06.185-07:00,0,0,0
2022-04-01T06:00:06.117-07:00,0,0,0
2022-04-01T06:15:05.821-07:00,0,0,0
2022-04-01T06:30:05.921-07:00,0,0,0
2022-04-01T06:45:05.833-07:00,0,0,0
2022-04-01T07:00:06.220-07:00,0,0,0
2022-04-01T07:15:06.139-07:00,0,0,0
2022-04-01T07:30:05.894-07:00,0,0,0
2022-04-01T07:45:06.049-07:00,0,0,0
2022-04-01T08:00:05.874-07:00,0,0,0
2022-04-01T08:15:06.050-07:00,0,0,0
2022-04-01T08:30:06.051-07:00,0,0,0
2022-04-01T08:45:05.924-07:00,0,0,0
2022-04-01T09:00:05.922-07:00,0,0,0
2022-04-01T09:15:05.877-07:00,0,0,0
2022-04-01T09:30:07.635-07:00,0,0,0
2022-04-01T09:45:07.498-07:00,0,0,0
2022-04-01T10:00:09.273-07:00,0,0,0
2022-04-01T10:15:07.533-07:00,0,0,0
2022-04-01T10:30:07.411-07:00,0,0,0
2022-04-01T10:45:07.465-07:00,0,0,0
2022-04-01T11:00:07.612-07:00,0,0,0
2022-04-01T11:15:08.114-07:00,0,0,0
2022-04-01T11:30:07.298-07:00,0,0,0
2022-04-01T11:45:07.573-07:00,0,0,0
2022-04-01T12:00:07.546-07:00,0,0,0
2022-04-01T12:15:07.410-07:00,0,0,0
2022-04-01T12:30:07.703-07:00,0,0,0
2022-04-01T12:45:07.292-07:00,0,0,0
2022-04-01T13:00:07.636-07:00,0,0,0
2022-04-01T13:15:07.613-07:00,0,0,0
2022-04-01T13:30:07.391-07:00,0,0,0
2022-04-01T13:45:07.359-07:00,0,0,0
2022-04-01T14:00:07.420-07:00,0,0,0
2022-04-01T14:15:07.617-07:00,0,0,0
2022-04-01T14:30:07.363-07:00,0,0,0
2022-04-01T14:45:07.548-07:00,0,0,0
2022-04-01T15:00:07.513-07:00,0,0,0
2022-04-01T15:15:07.771-07:00,0,0,0
2022-04-01T15:30:07.461-07:00,0,0,0
2022-04-01T15:45:07.322-07:00,0,0,0
2022-04-01T16:00:07.860-07:00,0,0,0
2022-04-01T16:15:07.381-07:00,0,0,0
2022-04-01T16:30:07.409-07:00,0,0,0
2022-04-01T16:45:07.510-07:00,0,0,0
2022-04-01T17:00:07.501-07:00,0,0,0
2022-04-01T17:15:07.510-07:00,0,0,0
2022-04-01T17:30:07.652-07:00,0,0,0
2022-04-01T17:45:07.391-07:00,0,0,0
2022-04-01T18:00:07.258-07:00,0,0,0
2022-04-01T18:15:07.331-07:00,0,0,0
2022-04-01T18:30:07.456-07:00,0,0,0
2022-04-01T18:45:07.362-07:00,0,0,0
2022-04-01T19:00:07.517-07:00,0,0,0
2022-04-01T19:15:07.271-07:00,0,0,0
2022-04-01T19:30:07.532-07:00,0,0,0
2022-04-01T19:45:07.661-07:00,0,0,0
2022-04-01T20:00:07.729-07:00,0,0,0
2022-04-01T20:15:07.671-07:00,0,0,0
2022-04-01T20:30:07.683-07:00,0,0,0
2022-04-01T20:45:07.756-07:00,0,0,0
2022-04-01T21:00:07.624-07:00,0,0,0
2022-04-01T21:15:07.335-07:00,0,0,0
2022-04-01T21:30:07.368-07:00,0,0,0
2022-04-01T21:45:07.621-07:00,0,0,0
2022-04-01T22:00:07.499-07:00,0,0,0
2022-04-01T22:15:07.502-07:00,0,0,0
2022-04-01T22:30:07.634-07:00,0,0,0
2022-04-01T22:45:07.518-07:00,0,0,0
2022-04-01T23:00:07.281-07:00,0,0,0
2022-04-01T23:15:07.447-07:00,0,0,0
2022-04-01T23:30:07.744-07:00,0,0,0
2022-04-01T23:45:08.073-07:00,0,0,0
2022-04-02T00:00:07.557-07:00,0,0,0
2022-04-02T00:15:07.497-07:00,0,0,0
2022-04-02T00:30:07.433-07:00,0,0,0
2022-04-02T00:45:07.495-07:00,0,0,0
2022-04-02T01:00:07.485-07:00,0,0,0
2022-04-02T01:15:07.711-07:00,0,0,0
2022-04-02T01:30:07.907-07:00,0,0,0
2022-04-02T01:45:07.274-07:00,0,0,0
2022-04-02T02:00:08.262-07:00,0,0,0
2022-04-02T02:15:09.304-07:00,0,0,0
2022-04-02T02:30:08.020-07:00,0,0,0
2022-04-02T02:45:07.170-07:00,0,0,0
2022-04-02T03:00:07.490-07:00,0,0,0
2022-04-02T03:15:08.170-07:00,0,0,0
2022-04-02T03:30:07.675-07:00,0,0,0
2022-04-02T03:45:07.432-07:00,0,0,0
2022-04-02T04:00:07.554-07:00,0,0,0
2022-04-02T04:15:07.390-07:00,0,0,0
2022-04-02T04:30:07.333-07:00,0,0,0
2022-04-02T04:45:07.250-07:00,0,0,0
2022-04-02T05:00:07.290-07:00,0,0,0
2022-04-02T05:15:07.607-07:00,0,0,0
2022-04-02T05:30:07.439-07:00,0,0,0
2022-04-02T05:45:07.613-07:00,0,0,0
2022-04-02T06:00:08.099-07:00,0,0,0
2022-04-02T06:15:07.413-07:00,0,0,0
2022-04-02T06:30:08.125-07:00,0,0,0
2022-04-02T06:45:07.199-07:00,0,0,0
2022-04-02T07:00:08.281-07:00,0,0,0
2022-04-02T07:15:07.293-07:00,0,0,0
2022-04-02T07:30:08.549-07:00,0,0,0
2022-04-02T07:45:07.351-07:00,0,0,0
2022-04-02T08:00:08.338-07:00,0,0,0
2022-04-02T08:15:07.341-07:00,0,0,0
2022-04-02T08:30:08.358-07:00,0,0,0
2022-04-02T08:45:07.417-07:00,0,0,0
2022-04-02T09:00:08.118-07:00,0,0,0
2022-04-02T09:15:07.286-07:00,0,0,0
2022-04-02T09:30:08.246-07:00,0,0,0
2022-04-02T09:45:07.319-07:00,0,0,0
2022-04-02T10:00:08.256-07:00,0,0,0
2022-04-02T10:15:07.784-07:00,0,0,0
2022-04-02T10:30:08.216-07:00,0,0,0
2022-04-02T10:45:07.402-07:00,0,0,0
2022-04-02T11:00:09.472-07:00,0,0,0
2022-04-02T11:15:07.222-07:00,0,0,0
2022-04-02T11:30:08.185-07:00,0,0,0
2022-04-02T11:45:07.291-07:00,0,0,0
2022-04-02T12:00:08.250-07:00,0,0,0
2022-04-02T12:15:07.265-07:00,0,0,0
2022-04-02T12:30:08.115-07:00,0,0,0
2022-04-02T12:45:07.282-07:00,0,0,0
2022-04-02T13:00:08.249-07:00,0,0,0
2022-04-02T13:15:07.453-07:00,0,0,0
2022-04-02T13:30:08.295-07:00,0,0,0
2022-04-02T13:45:07.512-07:00,0,0,0
2022-04-02T14:00:08.219-07:00,0,0,0
2022-04-02T14:15:07.345-07:00,0,0,0
2022-04-02T14:30:07.747-07:00,0,0,0
2022-04-02T14:45:07.054-07:00,0,0,0
2022-04-02T15:00:07.272-07:00,0,0,0
2022-04-02T15:15:07.442-07:00,0,0,0
2022-04-02T15:30:07.405-07:00,0,0,0
2022-04-02T15:45:07.310-07:00,0,0,0
2022-04-02T16:00:07.173-07:00,0,0,0
2022-04-02T16:15:07.382-07:00,0,0,0
2022-04-02T16:30:07.241-07:00,0,0,0
2022-04-02T16:45:07.718-07:00,0,0,0
2022-04-02T17:00:07.408-07:00,0,0,0
2022-04-02T17:15:07.233-07:00,0,0,0
2022-04-02T17:30:08.309-07:00,0,0,0
2022-04-02T17:45:07.423-07:00,0,0,0
2022-04-02T18:00:07.401-07:00,0,0,0
2022-04-02T18:15:09.565-07:00,0,0,0
2022-04-02T18:30:08.511-07:00,0,0,0
2022-04-02T18:45:07.515-07:00,0,0,0
2022-04-02T19:00:07.496-07:00,0,0,0
2022-04-02T19:15:07.365-07:00,0,0,0
2022-04-02T19:30:07.548-07:00,0,0,0
2022-04-02T19:45:07.713-07:00,0,0,0
2022-04-02T20:00:07.507-07:00,0,0,0
2022-04-02T20:15:07.537-07:00,0,0,0
2022-04-02T20:30:07.366-07:00,0,0,0
2022-04-02T20:45:07.270-07:00,0,0,0
2022-04-02T21:00:07.498-07:00,0,0,0
2022-04-02T21:15:07.301-07:00,0,0,0
2022-04-02T21:30:07.604-07:00,0,0,0
2022-04-02T21:45:07.684-07:00,0,0,0
2022-04-02T22:00:07.459-07:00,0,0,0
2022-04-02T22:15:07.431-07:00,0,0,0
2022-04-02T22:30:07.329-07:00,0,0,0
2022-04-02T22:45:07.401-07:00,0,0,0
2022-04-02T23:00:07.531-07:00,0,0,0
2022-04-02T23:15:07.451-07:00,0,0,0
2022-04-02T23:30:07.500-07:00,0,0,0
2022-04-02T23:45:07.435-07:00,0,0,0
2022-04-03T00:00:07.541-07:00,0,0,0
2022-04-03T00:15:09.626-07:00,0,0,0
2022-04-03T00:30:07.466-07:00,0,0,0
2022-04-03T00:45:08.618-07:00,0,0,0
2022-04-03T01:00:07.273-07:00,0,0,0
2022-04-03T01:15:07.870-07:00,0,0,0
2022-04-03T01:30:07.532-07:00,0,0,0
2022-04-03T01:45:07.698-07:00,0,0,0
2022-04-03T02:00:07.489-07:00,0,0,0
2022-04-03T02:15:07.529-07:00,0,0,0
2022-04-03T02:30:07.551-07:00,0,0,0
2022-04-03T02:45:07.577-07:00,0,0,0
2022-04-03T03:00:07.543-07:00,0,0,0
2022-04-03T03:15:07.825-07:00,0,0,0
2022-04-03T03:30:07.504-07:00,0,0,0
2022-04-03T03:45:07.402-07:00,0,0,0
2022-04-03T04:00:07.470-07:00,0,0,0
2022-04-03T04:15:08.653-07:00,0,0,0
2022-04-03T04:30:07.551-07:00,0,0,0
2022-04-03T04:45:07.514-07:00,0,0,0
2022-04-03T05:00:09.857-07:00,0,0,0
2022-04-03T05:15:08.617-07:00,0,0,0
2022-04-03T05:30:07.489-07:00,0,0,0
2022-04-03T05:45:08.559-07:00,0,0,0
2022-04-03T06:00:07.406-07:00,0,0,0
2022-04-03T06:15:07.239-07:00,0,0,0
2022-04-03T06:30:07.470-07:00,0,0,0
2022-04-03T06:45:07.509-07:00,0,0,0
2022-04-03T07:00:07.755-07:00,0,0,0
2022-04-03T07:15:08.543-07:00,0,0,0
2022-04-03T07:30:07.201-07:00,0,0,0
2022-04-03T07:45:07.340-07:00,0,0,0
2022-04-03T08:00:07.375-07:00,0,0,0
2022-04-03T08:15:07.473-07:00,0,0,0
2022-04-03T08:30:07.386-07:00,0,0,0
2022-04-03T08:45:07.475-07:00,0,0,0
2022-04-03T09:00:07.632-07:00,0,0,0
2022-04-03T09:15:07.366-07:00,0,0,0
2022-04-03T09:30:07.468-07:00,0,0,0
2022-04-03T09:45:07.565-07:00,0,0,0
2022-04-03T10:00:07.726-07:00,0,0,0
2022-04-03T10:15:07.511-07:00,0,0,0
2022-04-03T10:30:07.483-07:00,0,0,0
2022-04-03T10:45:07.585-07:00,0,0,0
2022-04-03T11:00:07.771-07:00,0,0,0
2022-04-03T11:15:07.843-07:00,0,0,0
2022-04-03T11:30:07.320-07:00,0,0,0
2022-04-03T11:45:07.608-07:00,0,0,0
2022-04-03T12:00:07.380-07:00,0,0,0
2022-04-03T12:15:07.390-07:00,0,0,0
2022-04-03T12:30:07.352-07:00,0,0,0
2022-04-03T12:45:07.345-07:00,0,0,0
2022-04-03T13:00:07.834-07:00,0,0,0
2022-04-03T13:15:07.395-07:00,0,0,0
2022-04-03T13:30:07.340-07:00,0,0,0
2022-04-03T13:45:08.368-07:00,0,0,0
2022-04-03T14:00:07.198-07:00,0,0,0
