t,v,s,r
2022-03-31T23:45:05.850-07:00,141.74334716796875,0,0
2022-04-01T00:00:05.955-07:00,142.67788696289062,0,0
2022-04-01T00:15:05.913-07:00,142.76980590820312,0,0
2022-04-01T00:30:05.812-07:00,143.12985229492188,0,0
2022-04-01T00:45:05.814-07:00,142.4097900390625,0,0
2022-04-01T01:00:05.987-07:00,143.39028930664062,0,0
2022-04-01T01:15:06.037-07:00,143.47454833984375,0,0
2022-04-01T01:30:05.984-07:00,141.24542236328125,0,0
2022-04-01T01:45:06.612-07:00,141.92718505859375,0,0
2022-04-01T02:00:05.959-07:00,141.49053955078125,0,0
2022-04-01T02:15:05.940-07:00,142.6549072265625,0,0
2022-04-01T02:30:06.194-07:00,143.26007080078125,0,0
2022-04-01T02:45:06.003-07:00,143.3060302734375,0,0
2022-04-01T03:00:06.238-07:00,143.336669921875,0,0
2022-04-01T03:15:06.026-07:00,142.5323486328125,0,0
2022-04-01T03:30:05.910-07:00,141.55947875976562,0,0
2022-04-01T03:45:06.046-07:00,141.31436157226562,0,0
2022-04-01T04:00:05.889-07:00,141.54415893554688,0,0
2022-04-01T04:15:06.052-07:00,142.22592163085938,0,0
2022-04-01T04:30:06.031-07:00,142.379150390625,0,0
2022-04-01T04:45:05.948-07:00,142.64724731445312,0,0
2022-04-01T05:00:06.197-07:00,142.034423828125,0,0
2022-04-01T05:15:05.966-07:00,141.1075439453125,0,0
2022-04-01T05:30:06.082-07:00,141.46755981445312,0,0
2022-04-01T05:45:06.132-07:00,141.16116333007812,0,0
2022-04-01T06:00:06.073-07:00,141.23776245117188,0,0
2022-04-01T06:15:05.779-07:00,142.87704467773438,0,0
2022-04-01T06:30:05.880-07:00,140.92367553710938,0,0
2022-04-01T06:45:05.790-07:00,140.54067993164062,0,0
2022-04-01T07:00:06.171-07:00,140.98495483398438,0,0
2022-04-01T07:15:06.095-07:00,142.61660766601562,0,0
2022-04-01T07:30:05.848-07:00,141.78164672851562,0,0
2022-04-01T07:45:06.004-07:00,141.98080444335938,0,0
2022-04-01T08:00:05.832-07:00,143.1221923828125,0,0
2022-04-01T08:15:05.995-07:00,143.52816772460938,0,0
2022-04-01T08:30:06.010-07:00,143.63540649414062,0,0
2022-04-01T08:45:05.882-07:00,143.55880737304688,0,0
2022-04-01T09:00:05.872-07:00,144.52401733398438,0,0
2022-04-01T09:15:05.832-07:00,144.50869750976562,0,0
2022-04-01T09:30:07.580-07:00,143.31369018554688,0,0
2022-04-01T09:45:07.448-07:00,143.57412719726562,0,0
2022-04-01T10:00:09.203-07:00,144.53167724609375,0,0
2022-04-01T10:15:07.477-07:00,144.65423583984375,0,0
2022-04-01T10:30:07.359-07:00,144.638916015625,0,0
2022-04-01T10:45:07.415-07:00,142.98428344726562,0,0
2022-04-01T11:00:07.555-07:00,143.22177124023438,0,0
2022-04-01T11:15:08.056-07:00,143.97247314453125,0,0
2022-04-01T11:30:07.240-07:00,143.926513671875,0,0
2022-04-01T11:45:07.523-07:00,145.106201171875,0,0
2022-04-01T12:00:07.496-07:00,143.94949340820312,0,0
2022-04-01T12:15:07.350-07:00,143.53582763671875,0,0
2022-04-01T12:30:07.643-07:00,144.56997680664062,0,0
2022-04-01T12:45:07.236-07:00,143.88055419921875,0,0
2022-04-01T13:00:07.578-07:00,144.0184326171875,0,0
2022-04-01T13:15:07.549-07:00,144.40145874023438,0,0
2022-04-01T13:30:07.340-07:00,145.1981201171875,0,0
2022-04-01T13:45:07.307-07:00,142.96896362304688,0,0
2022-04-01T14:00:07.356-07:00,142.44808959960938,0,0
2022-04-01T14:15:07.555-07:00,144.35549926757812,0,0
2022-04-01T14:30:07.311-07:00,144.07205200195312,0,0
2022-04-01T14:45:07.497-07:00,142.90768432617188,0,0
2022-04-01T15:00:07.460-07:00,143.07623291015625,0,0
2022-04-01T15:15:07.715-07:00,145.23641967773438,0,0
2022-04-01T15:30:07.406-07:00,144.47039794921875,0,0
2022-04-01T15:45:07.265-07:00,143.94949340820312,0,0
2022-04-01T16:00:07.784-07:00,142.6549072265625,0,0
2022-04-01T16:15:07.329-07:00,143.865234375,0,0
2022-04-01T16:30:07.349-07:00,143.57412719726562,0,0
2022-04-01T16:45:07.456-07:00,144.97598266601562,0,0
2022-04-01T17:00:07.447-07:00,143.19113159179688,0,0
2022-04-01T17:15:07.458-07:00,143.79629516601562,0,0
2022-04-01T17:30:07.580-07:00,143.01495361328125,0,0
2022-04-01T17:45:07.342-07:00,142.92300415039062,0,0
2022-04-01T18:00:07.199-07:00,143.32901000976562,0,0
2022-04-01T18:15:07.278-07:00,143.60476684570312,0,0
2022-04-01T18:30:07.405-07:00,143.53582763671875,0,0
2022-04-01T18:45:07.311-07:00,142.991943359375,0,0
2022-04-01T19:00:07.464-07:00,142.50936889648438,0,0
2022-04-01T19:15:07.218-07:00,141.95782470703125,0,0
2022-04-01T19:30:07.461-07:00,142.58596801757812,0,0
2022-04-01T19:45:07.609-07:00,142.97662353515625,0,0
2022-04-01T20:00:07.673-07:00,143.1221923828125,0,0
2022-04-01T20:15:07.619-07:00,144.171630859375,0,0
2022-04-01T20:30:07.630-07:00,142.67788696289062,0,0
2022-04-01T20:45:07.699-07:00,142.51702880859375,0,0
2022-04-01T21:00:07.571-07:00,143.76565551757812,0,0
2022-04-01T21:15:07.273-07:00,143.82693481445312,0,0
2022-04-01T21:30:07.319-07:00,142.17230224609375,0,0
2022-04-01T21:45:07.570-07:00,143.41326904296875,0,0
2022-04-01T22:00:07.447-07:00,143.82693481445312,0,0
2022-04-01T22:15:07.448-07:00,142.66256713867188,0,0
2022-04-01T22:30:07.585-07:00,140.916015625,0,0
2022-04-01T22:45:07.462-07:00,142.624267578125,0,0
2022-04-01T23:00:07.226-07:00,143.17581176757812,0,0
2022-04-01T23:15:07.388-07:00,143.8345947265625,0,0
2022-04-01T23:30:07.688-07:00,143.60476684570312,0,0
2022-04-01T23:45:08.015-07:00,141.39096069335938,0,0
2022-04-02T00:00:07.498-07:00,142.08038330078125,0,0
2022-04-02T00:15:07.446-07:00,141.37564086914062,0,0
2022-04-02T00:30:07.383-07:00,142.90768432617188,0,0
2022-04-02T00:45:07.446-07:00,142.73916625976562,0,0
2022-04-02T01:00:07.435-07:00,142.67022705078125,0,0
2022-04-02T01:15:07.661-07:00,141.11520385742188,0,0
2022-04-02T01:30:07.838-07:00,140.73983764648438,0,0
2022-04-02T01:45:07.221-07:00,143.43624877929688,0,0
2022-04-02T02:00:08.205-07:00,144.28652954101562,0,0
2022-04-02T02:15:09.253-07:00,142.1263427734375,0,0
2022-04-02T02:30:07.969-07:00,141.11520385742188,0,0
2022-04-02T02:45:07.112-07:00,142.22592163085938,0,0
2022-04-02T03:00:07.433-07:00,141.444580078125,0,0
2022-04-02T03:15:08.115-07:00,140.77047729492188,0,0
2022-04-02T03:30:07.623-07:00,141.49053955078125,0,0
2022-04-02T03:45:07.370-07:00,142.3485107421875,0,0
2022-04-02T04:00:07.504-07:00,142.685546875,0,0
2022-04-02T04:15:07.323-07:00,142.45574951171875,0,0
2022-04-02T04:30:07.282-07:00,140.87005615234375,0,0
2022-04-02T04:45:07.197-07:00,141.43692016601562,0,0
2022-04-02T05:00:07.241-07:00,142.75448608398438,0,0
2022-04-02T05:15:07.554-07:00,141.46755981445312,0,0
2022-04-02T05:30:07.386-07:00,143.10687255859375,0,0
2022-04-02T05:45:07.555-07:00,142.9996337890625,0,0
2022-04-02T06:00:08.044-07:00,140.93133544921875,0,0
2022-04-02T06:15:07.359-07:00,140.87771606445312,0,0
2022-04-02T06:30:08.073-07:00,142.95364379882812,0,0
2022-04-02T06:45:07.150-07:00,142.70086669921875,0,0
2022-04-02T07:00:08.228-07:00,141.505859375,0,0
2022-04-02T07:15:07.239-07:00,141.6973876953125,0,0
2022-04-02T07:30:08.486-07:00,142.7774658203125,0,0
2022-04-02T07:45:07.286-07:00,141.77398681640625,0,0
2022-04-02T08:00:08.286-07:00,141.0462646484375,0,0
2022-04-02T08:15:07.289-07:00,143.16049194335938,0,0
2022-04-02T08:30:08.303-07:00,142.87704467773438,0,0
2022-04-02T08:45:07.358-07:00,142.76214599609375,0,0
2022-04-02T09:00:08.069-07:00,143.7733154296875,0,0
