t,v,s,r
2022-03-31T23:45:03.482-07:00,172.02166748046875,0,0
2022-04-01T00:00:01.092-07:00,173.2899932861328,0,0
2022-04-01T00:15:01.138-07:00,173.87063598632812,0,0
2022-04-01T00:30:01.121-07:00,174.1686248779297,0,0
2022-04-01T00:45:01.573-07:00,171.1201171875,0,0
2022-04-01T01:00:01.190-07:00,170.41720581054688,0,0
2022-04-01T01:15:01.115-07:00,172.9538116455078,0,0
2022-04-01T01:30:01.035-07:00,174.1915283203125,0,0
2022-04-01T01:45:01.141-07:00,174.48184204101562,0,0
2022-04-01T02:00:00.093-07:00,172.75515747070312,0,0
2022-04-01T02:15:01.216-07:00,171.47921752929688,0,0
2022-04-01T02:30:01.160-07:00,173.3892822265625,0,0
2022-04-01T02:45:01.248-07:00,175.009033203125,0,0
2022-04-01T03:00:01.158-07:00,173.9852294921875,0,0
2022-04-01T03:15:01.153-07:00,172.02166748046875,0,0
2022-04-01T03:30:01.175-07:00,172.1592254638672,0,0
2022-04-01T03:45:01.086-07:00,172.54119873046875,0,0
2022-04-01T04:00:01.179-07:00,173.6643524169922,0,0
2022-04-01T04:15:01.204-07:00,174.31378173828125,0,0
2022-04-01T04:30:01.178-07:00,171.39517211914062,0,0
2022-04-01T04:45:01.189-07:00,176.04812622070312,0,0
2022-04-01T05:00:00.104-07:00,176.3690185546875,0,0
2022-04-01T05:15:01.164-07:00,175.03961181640625,0,0
2022-04-01T05:30:01.112-07:00,174.04635620117188,0,0
2022-04-01T05:45:01.125-07:00,175.58970642089844,0,0
2022-04-01T06:00:01.109-07:00,176.07106018066406,0,0
2022-04-01T06:15:01.082-07:00,175.811279296875,0,0
2022-04-01T06:30:01.246-07:00,175.42161560058594,0,0
2022-04-01T06:45:01.103-07:00,176.5142059326172,0,0
2022-04-01T07:00:01.203-07:00,177.5074005126953,0,0
2022-04-01T07:15:01.110-07:00,177.59912109375,0,0
2022-04-01T07:30:01.195-07:00,176.22384643554688,0,0
2022-04-01T07:45:01.156-07:00,178.79864501953125,0,0
2022-04-01T08:00:01.637-07:00,181.08309936523438,0,0
2022-04-01T08:15:01.131-07:00,179.21884155273438,0,0
2022-04-01T08:30:01.122-07:00,177.90472412109375,0,0
2022-04-01T08:45:01.071-07:00,176.52182006835938,0,0
2022-04-01T09:00:01.135-07:00,176.10159301757812,0,0
2022-04-01T09:15:01.151-07:00,178.7222137451172,0,0
2022-04-01T09:30:01.179-07:00,177.46920776367188,0,0
2022-04-01T09:45:01.054-07:00,171.456298828125,0,0
2022-04-01T10:00:01.288-07:00,171.44100952148438,0,0
2022-04-01T10:15:01.105-07:00,176.0022735595703,0,0
2022-04-01T10:30:01.149-07:00,173.91648864746094,0,0
2022-04-01T10:45:01.188-07:00,165.42807006835938,0,0
2022-04-01T11:00:00.096-07:00,167.1318817138672,0,0
2022-04-01T11:15:01.214-07:00,173.45803833007812,0,0
2022-04-01T11:30:01.132-07:00,169.202392578125,0,0
2022-04-01T11:45:01.125-07:00,162.48654174804688,0,0
2022-04-01T12:00:01.219-07:00,166.0927734375,0,0
