t,v,s,r
2022-03-31T23:45:10.483-07:00,316.6467590332031,0,0
2022-04-01T00:00:12.701-07:00,336.77838134765625,0,0
2022-04-01T00:15:10.795-07:00,284.5726318359375,0,0
2022-04-01T00:30:11.123-07:00,296.5151062011719,0,0
2022-04-01T00:45:13.666-07:00,248.74513244628906,0,0
2022-04-01T01:00:10.943-07:00,365.44036865234375,0,0
2022-04-01T01:15:15.773-07:00,272.2889099121094,0,0
2022-04-01T01:30:10.645-07:00,287.3023376464844,0,0
2022-04-01T01:45:11.089-07:00,382.8423156738281,0,0
2022-04-01T02:00:10.815-07:00,374.31195068359375,0,0
2022-04-01T02:15:10.730-07:00,260.0052185058594,0,0
2022-04-01T02:30:10.593-07:00,253.5221405029297,0,0
2022-04-01T02:45:10.892-07:00,269.2179870605469,0,0
2022-04-01T03:00:10.582-07:00,444.94329833984375,0,0
2022-04-01T03:15:10.965-07:00,369.1937255859375,0,0
2022-04-01T03:30:10.401-07:00,359.6397399902344,0,0
2022-04-01T03:45:10.649-07:00,301.2921142578125,0,0
2022-04-01T04:00:13.551-07:00,309.8224792480469,0,0
2022-04-01T04:15:11.019-07:00,284.5726318359375,0,0
2022-04-01T04:30:13.236-07:00,307.0927429199219,0,0
2022-04-01T04:45:10.744-07:00,339.84930419921875,0,0
2022-04-01T05:00:13.514-07:00,425.49407958984375,0,0
2022-04-01T05:15:12.351-07:00,368.8525085449219,0,0
2022-04-01T05:30:12.574-07:00,392.39630126953125,0,0
2022-04-01T05:45:13.190-07:00,423.44677734375,0,0
2022-04-01T06:00:13.748-07:00,536.388671875,0,0
2022-04-01T06:15:10.857-07:00,348.72088623046875,0,0
2022-04-01T06:30:12.369-07:00,323.4710388183594,0,0
2022-04-01T06:45:08.652-07:00,362.7106628417969,0,0
2022-04-01T07:00:10.757-07:00,424.4704284667969,0,0
2022-04-01T07:15:16.148-07:00,427.20013427734375,0,0
2022-04-01T07:30:10.463-07:00,339.5080871582031,0,0
2022-04-01T07:45:10.928-07:00,308.11639404296875,0,0
2022-04-01T08:00:11.055-07:00,323.12982177734375,0,0
2022-04-01T08:15:10.462-07:00,376.700439453125,0,0
2022-04-01T08:30:11.131-07:00,338.82568359375,0,0
2022-04-01T08:45:09.420-07:00,272.9713439941406,0,0
2022-04-01T09:00:10.975-07:00,283.5489501953125,0,0
2022-04-01T09:15:10.415-07:00,339.1668701171875,0,0
2022-04-01T09:30:11.052-07:00,283.89019775390625,0,0
2022-04-01T09:45:10.170-07:00,277.06591796875,0,0
2022-04-01T10:00:13.540-07:00,268.1943359375,0,0
2022-04-01T10:15:11.514-07:00,316.3055419921875,0,0
2022-04-01T10:30:13.385-07:00,242.9445037841797,0,0
2022-04-01T10:45:11.269-07:00,285.9374694824219,0,0
2022-04-01T11:00:10.637-07:00,310.1636657714844,0,0
2022-04-01T11:15:10.976-07:00,309.8224792480469,0,0
2022-04-01T11:30:13.875-07:00,249.08633422851562,0,0
2022-04-01T11:45:11.295-07:00,260.3464050292969,0,0
2022-04-01T12:00:10.805-07:00,308.11639404296875,0,0
2022-04-01T12:15:14.126-07:00,296.8563232421875,0,0
2022-04-01T12:30:10.868-07:00,216.3297882080078,0,0
2022-04-01T12:45:11.343-07:00,222.47164916992188,0,0
2022-04-01T13:00:11.262-07:00,221.10678100585938,0,0
2022-04-01T13:15:11.447-07:00,235.0965576171875,0,0
2022-04-01T13:30:11.355-07:00,217.69464111328125,0,0
2022-04-01T13:45:11.120-07:00,166.85372924804688,0,0
2022-04-01T14:00:10.595-07:00,224.17771911621094,0,0
2022-04-01T14:15:10.983-07:00,226.5662078857422,0,0
2022-04-01T14:30:11.353-07:00,199.95150756835938,0,0
2022-04-01T14:45:11.439-07:00,208.8230743408203,0,0
2022-04-01T15:00:11.013-07:00,194.15086364746094,0,0
2022-04-01T15:15:10.810-07:00,205.06971740722656,0,0
2022-04-01T15:30:11.228-07:00,240.89720153808594,0,0
2022-04-01T15:45:10.814-07:00,217.01222229003906,0,0
2022-04-01T16:00:10.618-07:00,262.052490234375,0,0
2022-04-01T16:15:11.344-07:00,238.16749572753906,0,0
2022-04-01T16:30:11.005-07:00,233.73170471191406,0,0
2022-04-01T16:45:10.805-07:00,232.70806884765625,0,0
2022-04-01T17:00:10.921-07:00,247.7214813232422,0,0
2022-04-01T17:15:10.839-07:00,281.16046142578125,0,0
2022-04-01T17:30:11.111-07:00,282.18414306640625,0,0
2022-04-01T17:45:14.910-07:00,268.87677001953125,0,0
2022-04-01T18:00:10.685-07:00,192.44479370117188,0,0
2022-04-01T18:15:10.678-07:00,270.24163818359375,0,0
2022-04-01T18:30:10.470-07:00,305.3866882324219,0,0
2022-04-01T18:45:10.720-07:00,318.0116271972656,0,0
2022-04-01T19:00:10.891-07:00,285.5962829589844,0,0
2022-04-01T19:15:11.227-07:00,303.68060302734375,0,0
2022-04-01T19:30:11.131-07:00,254.88699340820312,0,0
2022-04-01T19:45:11.148-07:00,192.10357666015625,0,0
2022-04-01T20:00:11.452-07:00,272.630126953125,0,0
2022-04-01T20:15:11.788-07:00,310.5048828125,0,0
2022-04-01T20:30:11.308-07:00,266.4882507324219,0,0
2022-04-01T20:45:11.369-07:00,380.45379638671875,0,0
2022-04-01T21:00:11.225-07:00,314.25823974609375,0,0
2022-04-01T21:15:09.800-07:00,242.9445037841797,0,0
2022-04-01T21:30:11.499-07:00,336.095947265625,0,0
2022-04-01T21:45:13.927-07:00,307.0927429199219,0,0
2022-04-01T22:00:11.323-07:00,369.87615966796875,0,0
2022-04-01T22:15:11.245-07:00,307.4339599609375,0,0
2022-04-01T22:30:11.318-07:00,320.7413024902344,0,0
2022-04-01T22:45:11.205-07:00,320.4001159667969,0,0
2022-04-01T23:00:11.381-07:00,258.6403503417969,0,0
2022-04-01T23:15:13.672-07:00,321.08251953125,0,0
2022-04-01T23:30:10.553-07:00,372.60589599609375,0,0
2022-04-01T23:45:10.621-07:00,366.122802734375,0,0
2022-04-02T00:00:13.054-07:00,329.9541015625,0,0
2022-04-02T00:15:11.038-07:00,356.9100036621094,0,0
2022-04-02T00:30:10.735-07:00,266.4882507324219,0,0
2022-04-02T00:45:10.664-07:00,254.2045440673828,0,0
2022-04-02T01:00:13.415-07:00,396.83209228515625,0,0
2022-04-02T01:15:10.392-07:00,339.5080871582031,0,0
2022-04-02T01:30:11.307-07:00,282.18414306640625,0,0
2022-04-02T01:45:11.271-07:00,293.785400390625,0,0
2022-04-02T02:00:10.653-07:00,287.9847717285156,0,0
2022-04-02T02:15:12.420-07:00,224.86013793945312,0,0
2022-04-02T02:30:10.282-07:00,420.7170715332031,0,0
2022-04-02T02:45:10.559-07:00,349.7445068359375,0,0
2022-04-02T03:00:10.853-07:00,309.48126220703125,0,0
2022-04-02T03:15:10.810-07:00,328.248046875,0,0
2022-04-02T03:30:10.951-07:00,348.72088623046875,0,0
2022-04-02T03:45:11.087-07:00,312.2109680175781,0,0
2022-04-02T04:00:11.147-07:00,378.4065246582031,0,0
2022-04-02T04:15:10.658-07:00,385.9132080078125,0,0
2022-04-02T04:30:11.074-07:00,333.70745849609375,0,0
2022-04-02T04:45:13.394-07:00,316.98797607421875,0,0
2022-04-02T05:00:19.280-07:00,311.8697509765625,0,0
2022-04-02T05:15:11.038-07:00,336.77838134765625,0,0
2022-04-02T05:30:11.354-07:00,317.6703796386719,0,0
2022-04-02T05:45:11.236-07:00,363.7342834472656,0,0
2022-04-02T06:00:11.202-07:00,349.0621032714844,0,0
2022-04-02T06:15:10.770-07:00,296.5151062011719,0,0
2022-04-02T06:30:10.662-07:00,284.913818359375,0,0
2022-04-02T06:45:10.853-07:00,275.3598327636719,0,0
2022-04-02T07:00:10.724-07:00,370.2173767089844,0,0
2022-04-02T07:15:10.882-07:00,383.52471923828125,0,0
2022-04-02T07:30:12.410-07:00,278.77197265625,0,0
2022-04-02T07:45:10.490-07:00,241.9208526611328,0,0
2022-04-02T08:00:10.817-07:00,362.0282287597656,0,0
2022-04-02T08:15:10.797-07:00,404.3387756347656,0,0
2022-04-02T08:30:10.319-07:00,329.27166748046875,0,0
2022-04-02T08:45:10.953-07:00,299.92724609375,0,0
2022-04-02T09:00:11.174-07:00,237.8262939453125,0,0
2022-04-02T09:15:11.639-07:00,330.2953186035156,0,0
2022-04-02T09:30:11.398-07:00,276.38348388671875,0,0
2022-04-02T09:45:11.159-07:00,314.25823974609375,0,0
2022-04-02T10:00:13.928-07:00,324.1534423828125,0,0
2022-04-02T10:15:13.869-07:00,240.89720153808594,0,0
2022-04-02T10:30:11.736-07:00,204.0460662841797,0,0
2022-04-02T10:45:10.990-07:00,221.78919982910156,0,0
2022-04-02T11:00:13.409-07:00,246.69784545898438,0,0
2022-04-02T11:15:10.170-07:00,224.86013793945312,0,0
2022-04-02T11:30:10.545-07:00,379.7713623046875,0,0
2022-04-02T11:45:10.932-07:00,349.0621032714844,0,0
2022-04-02T12:00:09.894-07:00,209.50550842285156,0,0
2022-04-02T12:15:10.647-07:00,239.1911163330078,0,0
2022-04-02T12:30:11.092-07:00,247.0390625,0,0
2022-04-02T12:45:14.204-07:00,279.1131896972656,0,0
2022-04-02T13:00:10.484-07:00,247.7214813232422,0,0
2022-04-02T13:15:10.989-07:00,194.49208068847656,0,0
2022-04-02T13:30:10.501-07:00,217.69464111328125,0,0
2022-04-02T13:45:10.865-07:00,305.04547119140625,0,0
2022-04-02T14:00:10.645-07:00,219.05950927734375,0,0
2022-04-02T14:15:10.966-07:00,203.3636474609375,0,0
2022-04-02T14:30:14.029-07:00,247.7214813232422,0,0
2022-04-02T14:45:11.036-07:00,279.7956237792969,0,0
2022-04-02T15:00:11.121-07:00,277.7483215332031,0,0
2022-04-02T15:15:11.206-07:00,256.2518310546875,0,0
2022-04-02T15:30:13.895-07:00,214.62371826171875,0,0
2022-04-02T15:45:13.705-07:00,244.30934143066406,0,0
2022-04-02T16:00:10.855-07:00,298.22119140625,0,0
2022-04-02T16:15:10.914-07:00,271.94769287109375,0,0
2022-04-02T16:30:10.895-07:00,260.0052185058594,0,0
2022-04-02T16:45:10.860-07:00,271.2652587890625,0,0
2022-04-02T17:00:11.138-07:00,280.1368103027344,0,0
2022-04-02T17:15:11.229-07:00,294.8090515136719,0,0
2022-04-02T17:30:11.144-07:00,234.4141387939453,0,0
2022-04-02T17:45:15.538-07:00,351.109375,0,0
2022-04-02T18:00:10.954-07:00,358.2748718261719,0,0
2022-04-02T18:15:10.928-07:00,261.7112731933594,0,0
2022-04-02T18:30:13.146-07:00,232.36683654785156,0,0
2022-04-02T18:45:13.569-07:00,209.84671020507812,0,0
2022-04-02T19:00:10.694-07:00,298.22119140625,0,0
2022-04-02T19:15:10.426-07:00,300.60968017578125,0,0
2022-04-02T19:30:10.392-07:00,343.9438781738281,0,0
2022-04-02T19:45:10.451-07:00,345.64996337890625,0,0
2022-04-02T20:00:10.113-07:00,287.6435546875,0,0
2022-04-02T20:15:10.159-07:00,237.8262939453125,0,0
2022-04-02T20:30:10.629-07:00,232.70806884765625,0,0
2022-04-02T20:45:10.599-07:00,327.5655822753906,0,0
2022-04-02T21:00:13.235-07:00,348.72088623046875,0,0
2022-04-02T21:15:13.406-07:00,329.6128845214844,0,0
2022-04-02T21:30:10.417-07:00,340.53173828125,0,0
2022-04-02T21:45:10.472-07:00,287.6435546875,0,0
2022-04-02T22:00:13.201-07:00,266.4882507324219,0,0
2022-04-02T22:15:09.980-07:00,379.7713623046875,0,0
2022-04-02T22:30:11.088-07:00,382.15985107421875,0,0
2022-04-02T22:45:10.988-07:00,340.1905212402344,0,0
2022-04-02T23:00:15.464-07:00,291.39691162109375,0,0
2022-04-02T23:15:10.611-07:00,214.9649200439453,0,0
2022-04-02T23:30:11.152-07:00,208.14064025878906,0,0
2022-04-02T23:45:09.941-07:00,317.6703796386719,0,0
2022-04-03T00:00:10.654-07:00,387.278076171875,0,0
2022-04-03T00:15:13.589-07:00,275.7010498046875,0,0
2022-04-03T00:30:10.878-07:00,293.4441833496094,0,0
2022-04-03T00:45:11.060-07:00,283.207763671875,0,0
2022-04-03T01:00:10.764-07:00,384.2071533203125,0,0
2022-04-03T01:15:10.670-07:00,399.561767578125,0,0
2022-04-03T01:30:10.844-07:00,330.2953186035156,0,0
2022-04-03T01:45:10.880-07:00,247.7214813232422,0,0
2022-04-03T02:00:11.123-07:00,255.5694122314453,0,0
2022-04-03T02:15:11.380-07:00,336.4371643066406,0,0
2022-04-03T02:30:11.463-07:00,382.5010681152344,0,0
2022-04-03T02:45:11.507-07:00,362.7106628417969,0,0
2022-04-03T03:00:11.358-07:00,307.4339599609375,0,0
2022-04-03T03:15:11.005-07:00,284.913818359375,0,0
2022-04-03T03:30:12.198-07:00,277.7483215332031,0,0
2022-04-03T03:45:11.230-07:00,338.82568359375,0,0
2022-04-03T04:00:12.051-07:00,409.7982177734375,0,0
2022-04-03T04:15:15.226-07:00,338.4844665527344,0,0
2022-04-03T04:30:10.960-07:00,299.2448425292969,0,0
2022-04-03T04:45:11.097-07:00,272.630126953125,0,0
2022-04-03T05:00:15.539-07:00,264.7821960449219,0,0
2022-04-03T05:15:11.210-07:00,380.45379638671875,0,0
2022-04-03T05:30:11.183-07:00,351.79180908203125,0,0
2022-04-03T05:45:11.186-07:00,269.2179870605469,0,0
2022-04-03T06:00:10.806-07:00,285.5962829589844,0,0
2022-04-03T06:15:11.382-07:00,303.68060302734375,0,0
2022-04-03T06:30:10.967-07:00,269.900390625,0,0
2022-04-03T06:45:10.931-07:00,325.1770935058594,0,0
2022-04-03T07:00:10.594-07:00,355.2039489746094,0,0
2022-04-03T07:15:10.888-07:00,328.5892639160156,0,0
2022-04-03T07:30:10.853-07:00,323.12982177734375,0,0
2022-04-03T07:45:10.662-07:00,304.7042541503906,0,0
2022-04-03T08:00:07.036-07:00,292.0793151855469,0,0
2022-04-03T08:15:14.194-07:00,335.7547302246094,0,0
2022-04-03T08:30:11.229-07:00,334.0486755371094,0,0
2022-04-03T08:45:11.263-07:00,324.1534423828125,0,0
2022-04-03T09:00:10.780-07:00,315.62310791015625,0,0
2022-04-03T09:15:12.479-07:00,272.630126953125,0,0
2022-04-03T09:30:10.571-07:00,226.9074249267578,0,0
2022-04-03T09:45:11.111-07:00,263.4173583984375,0,0
2022-04-03T10:00:10.612-07:00,291.0556945800781,0,0
2022-04-03T10:15:10.636-07:00,304.0218200683594,0,0
2022-04-03T10:30:11.326-07:00,242.9445037841797,0,0
2022-04-03T10:45:10.499-07:00,207.11700439453125,0,0
2022-04-03T11:00:10.294-07:00,262.052490234375,0,0
2022-04-03T11:15:10.298-07:00,318.69403076171875,0,0
2022-04-03T11:30:10.156-07:00,286.6199035644531,0,0
2022-04-03T11:45:10.364-07:00,297.53875732421875,0,0
2022-04-03T12:00:10.211-07:00,314.5994873046875,0,0
2022-04-03T12:15:10.824-07:00,241.23843383789062,0,0
2022-04-03T12:30:10.669-07:00,209.84671020507812,0,0
2022-04-03T12:45:10.576-07:00,278.77197265625,0,0
2022-04-03T13:00:10.713-07:00,363.0518798828125,0,0
2022-04-03T13:15:10.971-07:00,310.1636657714844,0,0
2022-04-03T13:30:10.576-07:00,281.16046142578125,0,0
2022-04-03T13:45:13.450-07:00,249.08633422851562,0,0
2022-04-03T14:00:10.785-07:00,249.42755126953125,0,0
2022-04-03T14:15:10.560-07:00,314.25823974609375,0,0
2022-04-03T14:30:10.435-07:00,271.2652587890625,0,0
2022-04-03T14:45:10.737-07:00,239.53236389160156,0,0
2022-04-03T15:00:10.234-07:00,344.9674987792969,0,0
2022-04-03T15:15:10.539-07:00,283.5489501953125,0,0
2022-04-03T15:30:10.623-07:00,245.6741943359375,0,0
2022-04-03T15:45:10.798-07:00,257.9579162597656,0,0
