t,v,s,r
2022-03-31T23:45:10.440-07:00,161.97723388671875,0,0
2022-04-01T00:00:12.666-07:00,160.48480224609375,0,0
2022-04-01T00:15:10.754-07:00,161.9619140625,0,0
2022-04-01T00:30:11.087-07:00,164.54107666015625,0,0
2022-04-01T00:45:13.626-07:00,157.76788330078125,0,0
2022-04-01T01:00:10.906-07:00,160.70675659179688,0,0
2022-04-01T01:15:15.731-07:00,162.10733032226562,0,0
2022-04-01T01:30:10.610-07:00,162.1762237548828,0,0
2022-04-01T01:45:11.040-07:00,158.69393920898438,0,0
2022-04-01T02:00:10.779-07:00,165.22222900390625,0,0
2022-04-01T02:15:10.696-07:00,164.71713256835938,0,0
2022-04-01T02:30:10.552-07:00,160.62258911132812,0,0
2022-04-01T02:45:10.854-07:00,158.59445190429688,0,0
2022-04-01T03:00:10.543-07:00,164.16607666015625,0,0
2022-04-01T03:15:10.903-07:00,163.02574157714844,0,0
2022-04-01T03:30:10.362-07:00,161.05880737304688,0,0
2022-04-01T03:45:10.613-07:00,161.44151306152344,0,0
2022-04-01T04:00:13.513-07:00,156.58160400390625,0,0
2022-04-01T04:15:10.979-07:00,165.47479248046875,0,0
2022-04-01T04:30:13.201-07:00,162.42111206054688,0,0
2022-04-01T04:45:10.708-07:00,162.84970092773438,0,0
2022-04-01T05:00:13.476-07:00,166.95956420898438,0,0
2022-04-01T05:15:12.306-07:00,164.24261474609375,0,0
2022-04-01T05:30:12.549-07:00,163.1405487060547,0,0
2022-04-01T05:45:13.152-07:00,162.59713745117188,0,0
2022-04-01T06:00:13.712-07:00,167.17385864257812,0,0
2022-04-01T06:15:10.817-07:00,169.27850341796875,0,0
2022-04-01T06:30:12.330-07:00,163.72982788085938,0,0
2022-04-01T06:45:08.626-07:00,161.26547241210938,0,0
2022-04-01T07:00:10.724-07:00,166.98251342773438,0,0
2022-04-01T07:15:16.110-07:00,167.78611755371094,0,0
2022-04-01T07:30:10.422-07:00,168.03866577148438,0,0
2022-04-01T07:45:10.890-07:00,164.227294921875,0,0
2022-04-01T08:00:11.011-07:00,165.42889404296875,0,0
2022-04-01T08:15:10.423-07:00,168.74276733398438,0,0
2022-04-01T08:30:11.080-07:00,167.95449829101562,0,0
2022-04-01T08:45:09.395-07:00,164.75537109375,0,0
2022-04-01T09:00:10.936-07:00,159.742431640625,0,0
2022-04-01T09:15:10.370-07:00,166.61514282226562,0,0
2022-04-01T09:30:11.012-07:00,162.69662475585938,0,0
2022-04-01T09:45:10.121-07:00,159.0000762939453,0,0
2022-04-01T10:00:13.505-07:00,159.50518798828125,0,0
2022-04-01T10:15:11.467-07:00,165.29112243652344,0,0
2022-04-01T10:30:13.341-07:00,154.94378662109375,0,0
2022-04-01T10:45:11.228-07:00,155.41064453125,0,0
2022-04-01T11:00:10.582-07:00,159.82662963867188,0,0
2022-04-01T11:15:10.931-07:00,159.37509155273438,0,0
2022-04-01T11:30:13.840-07:00,154.905517578125,0,0
2022-04-01T11:45:11.251-07:00,153.17587280273438,0,0
2022-04-01T12:00:10.771-07:00,156.66580200195312,0,0
2022-04-01T12:15:14.089-07:00,156.3367156982422,0,0
2022-04-01T12:30:10.825-07:00,155.41830444335938,0,0
2022-04-01T12:45:11.311-07:00,151.3543701171875,0,0
2022-04-01T13:00:11.220-07:00,151.71408081054688,0,0
2022-04-01T13:15:11.409-07:00,154.11721801757812,0,0
2022-04-01T13:30:11.313-07:00,153.76516723632812,0,0
2022-04-01T13:45:11.083-07:00,147.2062530517578,0,0
2022-04-01T14:00:10.551-07:00,150.60433959960938,0,0
2022-04-01T14:15:10.944-07:00,148.36190795898438,0,0
2022-04-01T14:30:11.318-07:00,152.53298950195312,0,0
2022-04-01T14:45:11.404-07:00,148.81344604492188,0,0
2022-04-01T15:00:10.973-07:00,147.22921752929688,0,0
