t,v,s,r
2022-01-16T20:00:04.311-08:00,160.02944946289062,0,0
2022-04-18T06:15:05.671-07:00,36.168701171875,0,1
2022-04-18T06:30:04.161-07:00,299.2448425292969,0,0
2022-04-18T06:45:04.813-07:00,246.3566436767578,0,0
2022-04-18T07:00:03.613-07:00,197.56300354003906,0,0
2022-04-18T07:15:04.729-07:00,183.57321166992188,0,0
2022-04-18T07:30:03.544-07:00,180.50230407714844,0,0
2022-04-18T07:45:04.420-07:00,195.51571655273438,0,0
2022-04-18T08:00:03.487-07:00,199.26907348632812,0,0
2022-04-18T08:15:04.750-07:00,180.50230407714844,0,0
2022-04-18T08:30:03.679-07:00,164.8064422607422,0,0
2022-04-18T08:45:05.569-07:00,174.36044311523438,0,0
2022-04-18T09:00:04.575-07:00,183.91444396972656,0,0
2022-04-18T09:15:05.370-07:00,177.09014892578125,0,0
2022-04-18T09:30:04.626-07:00,151.84030151367188,0,0
2022-04-18T09:45:05.303-07:00,160.02944946289062,0,0
2022-04-18T10:00:04.508-07:00,171.97193908691406,0,0
2022-04-18T10:15:05.465-07:00,173.3367919921875,0,0
2022-04-18T10:30:04.561-07:00,155.5936737060547,0,0
2022-04-18T10:45:05.516-07:00,142.28631591796875,0,0
2022-04-18T11:00:04.458-07:00,145.01602172851562,0,0
2022-04-18T11:15:05.439-07:00,159.688232421875,0,0
2022-04-18T11:30:04.479-07:00,139.5565948486328,0,0
2022-04-18T11:45:06.431-07:00,124.54316711425781,0,0
2022-04-18T12:00:04.620-07:00,126.24923706054688,0,0
2022-04-18T12:15:05.658-07:00,138.532958984375,0,0
2022-04-18T12:30:04.615-07:00,142.28631591796875,0,0
2022-04-18T12:45:05.593-07:00,126.93167114257812,0,0
2022-04-18T13:00:04.372-07:00,117.37767791748047,0,0
2022-04-18T13:15:05.312-07:00,124.54316711425781,0,0
2022-04-18T13:30:04.499-07:00,129.32017517089844,0,0
2022-04-18T13:45:05.408-07:00,118.40131378173828,0,0
2022-04-18T14:00:04.598-07:00,114.98917388916016,0,0
2022-04-18T14:15:06.022-07:00,114.98917388916016,0,0
2022-04-18T14:30:04.438-07:00,108.84732055664062,0,0
2022-04-18T14:45:05.473-07:00,108.84732055664062,0,0
2022-04-18T15:00:04.378-07:00,104.75275421142578,0,0
2022-04-18T15:15:05.314-07:00,94.51632690429688,0,0
2022-04-18T15:30:04.573-07:00,94.8575439453125,0,0
2022-04-18T15:45:05.619-07:00,104.75275421142578,0,0
2022-04-18T16:00:04.586-07:00,107.48246002197266,0,0
2022-04-18T16:15:05.335-07:00,105.7763900756836,0,0
2022-04-18T16:30:04.500-07:00,106.80003356933594,0,0
2022-04-18T16:45:05.345-07:00,99.63453674316406,0,0
2022-04-18T17:00:04.535-07:00,100.99939727783203,0,0
2022-04-18T17:15:05.412-07:00,115.33038330078125,0,0
2022-04-18T17:30:04.577-07:00,119.42495727539062,0,0
2022-04-18T17:45:04.708-07:00,131.36744689941406,0,0
2022-04-18T18:00:07.032-07:00,124.88439178466797,0,0
2022-04-18T18:15:04.628-07:00,130.68502807617188,0,0
2022-04-18T18:30:05.845-07:00,120.7898178100586,0,0
2022-04-18T18:45:04.747-07:00,135.46202087402344,0,0
2022-04-18T19:00:04.554-07:00,136.1444549560547,0,0
2022-04-18T19:15:04.996-07:00,147.7457275390625,0,0
2022-04-18T19:30:04.646-07:00,143.9923858642578,0,0
2022-04-18T19:45:04.535-07:00,135.46202087402344,0,0
2022-04-18T20:00:04.528-07:00,134.43838500976562,0,0
2022-04-18T20:15:04.513-07:00,139.5565948486328,0,0
2022-04-18T20:30:04.543-07:00,150.81666564941406,0,0
2022-04-18T20:45:04.561-07:00,160.71188354492188,0,0
2022-04-18T21:00:04.809-07:00,161.39430236816406,0,0
2022-04-18T21:15:04.622-07:00,148.76937866210938,0,0
2022-04-18T21:30:04.563-07:00,138.532958984375,0,0
2022-04-18T21:45:04.553-07:00,153.20516967773438,0,0
2022-04-18T22:00:04.509-07:00,169.58343505859375,0,0
2022-04-18T22:15:05.639-07:00,166.17129516601562,0,0
2022-04-18T22:30:04.451-07:00,154.91123962402344,0,0
2022-04-18T22:45:04.698-07:00,152.1815185546875,0,0
2022-04-18T23:00:04.534-07:00,159.0058135986328,0,0
2022-04-18T23:15:04.651-07:00,183.91444396972656,0,0
2022-04-18T23:30:04.653-07:00,173.3367919921875,0,0
2022-04-18T23:45:04.556-07:00,157.6409454345703,0,0
2022-04-19T00:00:04.464-07:00,151.84030151367188,0,0
2022-04-19T00:15:04.668-07:00,168.2185821533203,0,0
2022-04-19T00:30:04.657-07:00,180.843505859375,0,0
2022-04-19T00:45:04.638-07:00,172.99559020996094,0,0
2022-04-19T01:00:04.562-07:00,166.85372924804688,0,0
2022-04-19T01:15:04.620-07:00,162.07672119140625,0,0
2022-04-19T01:30:04.568-07:00,178.11380004882812,0,0
2022-04-19T01:45:04.535-07:00,174.01922607421875,0,0
2022-04-19T02:00:05.606-07:00,173.67800903320312,0,0
2022-04-19T02:15:04.835-07:00,168.2185821533203,0,0
2022-04-19T02:30:04.715-07:00,168.2185821533203,0,0
2022-04-19T02:45:04.526-07:00,181.18472290039062,0,0
2022-04-19T03:00:04.635-07:00,185.9617156982422,0,0
2022-04-19T03:15:04.577-07:00,181.52593994140625,0,0
2022-04-19T03:30:04.452-07:00,172.99559020996094,0,0
2022-04-19T03:45:04.903-07:00,170.265869140625,0,0
2022-04-19T04:00:04.624-07:00,178.11380004882812,0,0
2022-04-19T04:15:04.500-07:00,176.06651306152344,0,0
2022-04-19T04:30:04.497-07:00,172.99559020996094,0,0
2022-04-19T04:45:04.707-07:00,169.2422332763672,0,0
2022-04-19T05:00:04.600-07:00,170.94830322265625,0,0
2022-04-19T05:15:04.871-07:00,173.67800903320312,0,0
2022-04-19T05:30:04.535-07:00,180.16107177734375,0,0
2022-04-19T05:45:04.621-07:00,175.7252960205078,0,0
2022-04-19T06:00:04.635-07:00,172.99559020996094,0,0
2022-04-19T06:15:04.814-07:00,168.55979919433594,0,0
2022-04-19T06:30:04.831-07:00,182.54957580566406,0,0
2022-04-19T06:45:04.618-07:00,186.64414978027344,0,0
2022-04-19T07:00:04.530-07:00,188.3502197265625,0,0
2022-04-19T07:15:04.561-07:00,167.53616333007812,0,0
2022-04-19T07:30:04.665-07:00,170.60708618164062,0,0
2022-04-19T07:45:04.562-07:00,170.94830322265625,0,0
2022-04-19T08:00:04.577-07:00,184.93807983398438,0,0
2022-04-19T08:15:04.556-07:00,177.7725830078125,0,0
2022-04-19T08:30:05.545-07:00,170.94830322265625,0,0
2022-04-19T08:45:04.566-07:00,158.32337951660156,0,0
2022-04-19T09:00:04.518-07:00,176.06651306152344,0,0
2022-04-19T09:15:04.755-07:00,180.50230407714844,0,0
2022-04-19T09:30:04.449-07:00,175.04286193847656,0,0
2022-04-19T09:45:04.793-07:00,168.55979919433594,0,0
2022-04-19T10:00:04.445-07:00,154.2288055419922,0,0
2022-04-19T10:15:04.575-07:00,151.4990997314453,0,0
