t,v,s,r
2022-03-31T23:45:11.374-07:00,50.928131103515625,0,0
2022-04-01T00:00:10.784-07:00,50.79034423828125,0,0
2022-04-01T00:15:12.006-07:00,51.004669189453125,0,0
2022-04-01T00:30:11.665-07:00,50.97406005859375,0,0
2022-04-01T00:45:12.091-07:00,50.690826416015625,0,0
2022-04-01T01:00:11.812-07:00,50.79034423828125,0,0
2022-04-01T01:15:11.039-07:00,50.721435546875,0,0
2022-04-01T01:30:11.015-07:00,50.637237548828125,0,0
2022-04-01T01:45:11.688-07:00,50.60662841796875,0,0
2022-04-01T02:00:12.264-07:00,50.820953369140625,0,0
2022-04-01T02:15:11.821-07:00,50.6448974609375,0,0
2022-04-01T02:30:12.143-07:00,50.637237548828125,0,0
2022-04-01T02:45:12.084-07:00,50.637237548828125,0,0
2022-04-01T03:00:12.157-07:00,50.698486328125,0,0
2022-04-01T03:15:11.587-07:00,50.66021728515625,0,0
2022-04-01T03:30:11.838-07:00,50.7750244140625,0,0
2022-04-01T03:45:11.606-07:00,50.798004150390625,0,0
2022-04-01T04:00:11.553-07:00,50.614288330078125,0,0
2022-04-01T04:15:11.836-07:00,50.943450927734375,0,0
2022-04-01T04:30:11.162-07:00,50.62957763671875,0,0
2022-04-01T04:45:11.166-07:00,50.491790771484375,0,0
2022-04-01T05:00:15.977-07:00,50.71380615234375,0,0
2022-04-01T05:15:11.280-07:00,50.9051513671875,0,0
2022-04-01T05:30:10.660-07:00,50.8056640625,0,0
2022-04-01T05:45:01.103-07:00,50.71380615234375,0,0
2022-04-01T06:00:11.900-07:00,50.223876953125,0,0
2022-04-01T06:15:11.880-07:00,50.285125732421875,0,0
2022-04-01T06:30:13.843-07:00,50.338714599609375,0,0
2022-04-01T06:45:11.344-07:00,50.484161376953125,0,0
2022-04-01T07:00:14.463-07:00,50.759735107421875,0,0
2022-04-01T07:15:12.015-07:00,50.79034423828125,0,0
2022-04-01T07:30:11.289-07:00,50.667877197265625,0,0
2022-04-01T07:45:12.600-07:00,51.004669189453125,0,0
2022-04-01T08:00:11.824-07:00,50.981719970703125,0,0
2022-04-01T08:15:12.135-07:00,50.79034423828125,0,0
2022-04-01T08:30:11.487-07:00,50.9893798828125,0,0
2022-04-01T08:45:11.392-07:00,50.92047119140625,0,0
2022-04-01T09:00:11.632-07:00,50.66021728515625,0,0
2022-04-01T09:15:12.059-07:00,50.614288330078125,0,0
2022-04-01T09:30:11.251-07:00,50.943450927734375,0,0
2022-04-01T09:45:11.447-07:00,49.0679931640625,0,0
2022-04-01T10:00:11.372-07:00,48.157073974609375,0,0
2022-04-01T10:15:12.421-07:00,48.24127197265625,0,0
2022-04-01T10:30:11.319-07:00,49.259368896484375,0,0
2022-04-01T10:45:11.360-07:00,49.665069580078125,0,0
2022-04-01T11:00:11.974-07:00,49.3282470703125,0,0
2022-04-01T11:15:11.947-07:00,49.335906982421875,0,0
2022-04-01T11:30:11.995-07:00,49.075653076171875,0,0
2022-04-01T11:45:11.768-07:00,48.585723876953125,0,0
2022-04-01T12:00:12.309-07:00,48.455596923828125,0,0
2022-04-01T12:15:12.025-07:00,47.958038330078125,0,0
2022-04-01T12:30:11.773-07:00,47.850860595703125,0,0
2022-04-01T12:45:11.324-07:00,47.644195556640625,0,0
2022-04-01T13:00:11.122-07:00,47.613555908203125,0,0
2022-04-01T13:15:10.852-07:00,47.34564208984375,0,0
2022-04-01T13:30:11.637-07:00,47.41455078125,0,0
2022-04-01T13:45:11.918-07:00,47.062408447265625,0,0
2022-04-01T14:00:10.808-07:00,47.08538818359375,0,0
2022-04-01T14:15:11.655-07:00,47.315032958984375,0,0
2022-04-01T14:30:11.070-07:00,46.985870361328125,0,0
2022-04-01T14:45:10.893-07:00,47.299713134765625,0,0
2022-04-01T15:00:10.661-07:00,47.039459228515625,0,0
2022-04-01T15:15:10.988-07:00,47.29205322265625,0,0
2022-04-01T15:30:11.364-07:00,47.1466064453125,0,0
2022-04-01T15:45:10.117-07:00,47.1466064453125,0,0
2022-04-01T16:00:10.344-07:00,47.03179931640625,0,0
2022-04-01T16:15:11.570-07:00,47.544677734375,0,0
2022-04-01T16:30:11.722-07:00,47.827911376953125,0,0
2022-04-01T16:45:11.054-07:00,47.567626953125,0,0
2022-04-01T17:00:11.010-07:00,47.590606689453125,0,0
2022-04-01T17:15:10.457-07:00,47.889129638671875,0,0
2022-04-01T17:30:11.468-07:00,47.71307373046875,0,0
2022-04-01T17:45:11.545-07:00,47.866180419921875,0,0
2022-04-01T18:00:11.124-07:00,48.26422119140625,0,0
2022-04-01T18:15:12.210-07:00,48.271881103515625,0,0
2022-04-01T18:30:12.062-07:00,48.930206298828125,0,0
2022-04-01T18:45:11.525-07:00,49.4354248046875,0,0
2022-04-01T19:00:12.213-07:00,49.703338623046875,0,0
2022-04-01T19:15:12.253-07:00,50.246856689453125,0,0
2022-04-01T19:30:12.088-07:00,50.246856689453125,0,0
2022-04-01T19:45:11.464-07:00,50.10906982421875,0,0
2022-04-01T20:00:11.140-07:00,50.507110595703125,0,0
2022-04-01T20:15:10.530-07:00,50.744415283203125,0,0
2022-04-01T20:30:11.501-07:00,50.6448974609375,0,0
2022-04-01T20:45:11.753-07:00,50.836273193359375,0,0
2022-04-01T21:00:13.376-07:00,50.782684326171875,0,0
2022-04-01T21:15:01.051-07:00,50.637237548828125,0,0
2022-04-01T21:30:12.079-07:00,50.874542236328125,0,0
2022-04-01T21:45:11.581-07:00,50.935791015625,0,0
2022-04-01T22:00:11.585-07:00,50.71380615234375,0,0
2022-04-01T22:15:11.518-07:00,50.851593017578125,0,0
2022-04-01T22:30:10.957-07:00,50.92047119140625,0,0
2022-04-01T22:45:11.482-07:00,50.71380615234375,0,0
2022-04-01T23:00:11.742-07:00,50.721435546875,0,0
2022-04-01T23:15:11.615-07:00,50.859222412109375,0,0
2022-04-01T23:30:10.876-07:00,50.767364501953125,0,0
2022-04-01T23:45:10.743-07:00,50.73675537109375,0,0
2022-04-02T00:00:10.887-07:00,50.859222412109375,0,0
2022-04-02T00:15:11.130-07:00,50.958740234375,0,0
2022-04-02T00:30:14.757-07:00,50.759735107421875,0,0
2022-04-02T00:45:11.897-07:00,50.675506591796875,0,0
2022-04-02T01:00:10.792-07:00,50.71380615234375,0,0
2022-04-02T01:15:11.877-07:00,50.667877197265625,0,0
