t,v,s,r
2022-03-31T23:45:02.618-07:00,28156.5703125,0,0
2022-04-01T00:00:02.526-07:00,28422.98828125,0,0
2022-04-01T00:15:02.817-07:00,28592.728515625,0,0
2022-04-01T00:30:02.373-07:00,28744.77734375,0,0
2022-04-01T00:45:02.618-07:00,28647.064453125,0,0
2022-04-01T01:00:02.889-07:00,28380.427734375,0,0
2022-04-01T01:15:02.416-07:00,28609.361328125,0,0
2022-04-01T01:30:06.458-07:00,28783.40625,0,0
2022-04-01T01:45:02.547-07:00,20743.171875,0,0
2022-04-01T02:00:02.665-07:00,21514.89453125,0,0
2022-04-01T02:15:02.409-07:00,21892.671875,0,0
2022-04-01T02:30:02.792-07:00,29846.572265625,0,0
2022-04-01T02:45:02.526-07:00,29465.544921875,0,0
2022-04-01T03:00:02.675-07:00,29464.119140625,0,0
2022-04-01T03:15:02.415-07:00,29353.287109375,0,0
2022-04-01T03:30:02.494-07:00,29409.1875,0,0
2022-04-01T03:45:02.709-07:00,29636.49609375,0,0
2022-04-01T04:00:02.706-07:00,29426.21484375,0,0
2022-04-01T04:15:02.560-07:00,29028.732421875,0,0
2022-04-01T04:30:02.496-07:00,29120.400390625,0,0
2022-04-01T04:45:02.473-07:00,29085.87890625,0,0
2022-04-01T05:00:02.820-07:00,29123.48046875,0,0
2022-04-01T05:15:02.349-07:00,29176.564453125,0,0
2022-04-01T05:30:02.474-07:00,25882.4453125,0,0
2022-04-01T05:45:02.330-07:00,25525.916015625,0,0
2022-04-01T06:00:02.438-07:00,25377.88671875,0,0
2022-04-01T06:15:02.499-07:00,25792.0703125,0,0
2022-04-01T06:30:02.468-07:00,25208.650390625,0,0
2022-04-01T06:45:02.449-07:00,25688.77734375,0,0
2022-04-01T07:00:02.485-07:00,26020.95703125,0,0
2022-04-01T07:15:02.396-07:00,25891.146484375,0,0
2022-04-01T07:30:02.530-07:00,25943.880859375,0,0
2022-04-01T07:45:02.551-07:00,26220.40625,0,0
2022-04-01T08:00:02.466-07:00,26096.611328125,0,0
2022-04-01T08:15:02.568-07:00,26218.4296875,0,0
2022-04-01T08:30:02.650-07:00,26666.671875,0,0
2022-04-01T08:45:02.475-07:00,39282.83984375,0,0
2022-04-01T09:00:02.449-07:00,39255.41796875,0,0
2022-04-01T09:15:02.513-07:00,56776.85546875,0,0
2022-04-01T09:30:02.551-07:00,48954.8671875,0,0
2022-04-01T09:45:02.474-07:00,52235.85546875,0,0
2022-04-01T10:00:02.633-07:00,34642.125,0,0
2022-04-01T10:15:02.532-07:00,37940.06640625,0,0
2022-04-01T10:30:02.486-07:00,33004.96484375,0,0
2022-04-01T10:45:02.482-07:00,36287.28515625,0,0
2022-04-01T11:00:02.307-07:00,38854.76953125,0,0
2022-04-01T11:15:02.452-07:00,51166.83984375,0,0
