t,v,s,r
2022-03-31T23:45:02.591-07:00,57.29046630859375,0,0
2022-04-01T00:00:02.491-07:00,57.305755615234375,0,0
2022-04-01T00:15:02.794-07:00,57.298126220703125,0,0
2022-04-01T00:30:02.338-07:00,57.298126220703125,0,0
2022-04-01T00:45:02.582-07:00,57.29046630859375,0,0
2022-04-01T01:00:02.860-07:00,57.221649169921875,0,0
2022-04-01T01:15:02.385-07:00,57.1910400390625,0,0
2022-04-01T01:30:06.429-07:00,57.18341064453125,0,0
2022-04-01T01:45:02.520-07:00,57.81817626953125,0,0
2022-04-01T02:00:02.633-07:00,58.19293212890625,0,0
2022-04-01T02:15:02.385-07:00,58.46826171875,0,0
2022-04-01T02:30:02.757-07:00,58.024688720703125,0,0
2022-04-01T02:45:02.497-07:00,57.802886962890625,0,0
2022-04-01T03:00:02.635-07:00,57.695831298828125,0,0
2022-04-01T03:15:02.379-07:00,57.649932861328125,0,0
2022-04-01T03:30:02.464-07:00,57.61932373046875,0,0
2022-04-01T03:45:02.680-07:00,57.55816650390625,0,0
2022-04-01T04:00:02.667-07:00,57.44342041015625,0,0
2022-04-01T04:15:02.498-07:00,57.343994140625,0,0
2022-04-01T04:30:02.461-07:00,57.2598876953125,0,0
2022-04-01T04:45:02.445-07:00,57.198699951171875,0,0
2022-04-01T05:00:02.794-07:00,57.1680908203125,0,0
2022-04-01T05:15:02.318-07:00,57.13751220703125,0,0
2022-04-01T05:30:02.442-07:00,57.244598388671875,0,0
2022-04-01T05:45:02.306-07:00,57.351654052734375,0,0
2022-04-01T06:00:02.402-07:00,57.458740234375,0,0
2022-04-01T06:15:02.468-07:00,57.581085205078125,0,0
2022-04-01T06:30:02.438-07:00,57.573455810546875,0,0
2022-04-01T06:45:02.426-07:00,57.6346435546875,0,0
2022-04-01T07:00:02.454-07:00,57.71875,0,0
2022-04-01T07:15:02.372-07:00,57.810546875,0,0
2022-04-01T07:30:02.500-07:00,57.833465576171875,0,0
2022-04-01T07:45:02.521-07:00,57.9635009765625,0,0
2022-04-01T08:00:02.444-07:00,58.032318115234375,0,0
2022-04-01T08:15:02.483-07:00,58.284698486328125,0,0
2022-04-01T08:30:02.611-07:00,58.41473388671875,0,0
2022-04-01T08:45:02.444-07:00,58.76654052734375,0,0
2022-04-01T09:00:02.413-07:00,58.774169921875,0,0
