t,v,s,r
2022-03-31T23:45:00.528-07:00,44.498653411865234,0,0
2022-04-01T00:00:00.598-07:00,43.20290756225586,0,0
2022-04-01T00:15:00.458-07:00,43.184120178222656,0,0
2022-04-01T00:30:00.468-07:00,43.814781188964844,0,0
2022-04-01T00:45:00.522-07:00,44.37904357910156,0,0
2022-04-01T01:00:00.563-07:00,44.99692916870117,0,0
2022-04-01T01:15:00.475-07:00,43.12120056152344,0,0
2022-04-01T01:30:00.471-07:00,43.8071403503418,0,0
2022-04-01T01:45:00.497-07:00,44.41014862060547,0,0
2022-04-01T02:00:00.476-07:00,44.97947311401367,0,0
2022-04-01T02:15:00.449-07:00,45.524356842041016,0,0
2022-04-01T02:30:00.511-07:00,43.6187858581543,0,0
2022-04-01T02:45:00.561-07:00,44.22672653198242,0,0
2022-04-01T03:00:00.559-07:00,43.33334732055664,0,0
2022-04-01T03:15:01.561-07:00,43.990474700927734,0,0
2022-04-01T03:30:00.451-07:00,43.324581146240234,0,0
2022-04-01T03:45:00.495-07:00,43.913448333740234,0,0
2022-04-01T04:00:00.512-07:00,44.549659729003906,0,0
2022-04-01T04:15:00.540-07:00,45.08983612060547,0,0
2022-04-01T04:30:00.456-07:00,45.69118881225586,0,0
2022-04-01T04:45:00.440-07:00,43.55785369873047,0,0
2022-04-01T05:00:00.570-07:00,44.14380645751953,0,0
2022-04-01T05:15:00.465-07:00,44.74766540527344,0,0
2022-04-01T05:30:00.538-07:00,45.30723571777344,0,0
2022-04-01T05:45:00.695-07:00,45.86574935913086,0,0
2022-04-01T06:00:00.455-07:00,46.41603469848633,0,0
2022-04-01T06:15:00.536-07:00,43.38248062133789,0,0
2022-04-01T06:30:00.606-07:00,44.042110443115234,0,0
2022-04-01T06:45:00.444-07:00,44.63804244995117,0,0
2022-04-01T07:00:00.504-07:00,45.15485382080078,0,0
2022-04-01T07:15:00.502-07:00,45.73636245727539,0,0
2022-04-01T07:30:00.489-07:00,46.245426177978516,0,0
2022-04-01T07:45:00.451-07:00,43.44363784790039,0,0
2022-04-01T08:00:00.586-07:00,44.1106071472168,0,0
2022-04-01T08:15:00.506-07:00,44.686492919921875,0,0
2022-04-01T08:30:00.456-07:00,43.3886833190918,0,0
2022-04-01T08:45:00.457-07:00,44.06325149536133,0,0
2022-04-01T09:00:00.579-07:00,44.6060905456543,0,0
2022-04-01T09:15:00.533-07:00,43.61512756347656,0,0
2022-04-01T09:30:00.478-07:00,44.24390411376953,0,0
2022-04-01T09:45:00.038-07:00,43.213985443115234,0,0
2022-04-01T10:00:00.565-07:00,43.4072380065918,0,0
2022-04-01T10:15:00.752-07:00,43.33822250366211,0,0
2022-04-01T10:30:00.492-07:00,43.99717330932617,0,0
2022-04-01T10:45:01.483-07:00,43.58719253540039,0,0
2022-04-01T11:00:00.465-07:00,43.65156936645508,0,0
2022-04-01T11:15:00.465-07:00,43.29711151123047,0,0
2022-04-01T11:30:00.510-07:00,43.35466766357422,0,0
2022-04-01T11:45:00.444-07:00,43.32632064819336,0,0
2022-04-01T12:00:00.540-07:00,43.23145294189453,0,0
2022-04-01T12:15:00.590-07:00,43.32192611694336,0,0
2022-04-01T12:30:00.556-07:00,43.378108978271484,0,0
2022-04-01T12:45:00.482-07:00,43.3557243347168,0,0
2022-04-01T13:00:00.456-07:00,43.396366119384766,0,0
2022-04-01T13:15:00.506-07:00,43.239139556884766,0,0
2022-04-01T13:30:00.507-07:00,43.27103805541992,0,0
2022-04-01T13:45:00.558-07:00,43.24844741821289,0,0
2022-04-01T14:00:00.429-07:00,43.22024154663086,0,0
2022-04-01T14:15:00.471-07:00,43.23801040649414,0,0
2022-04-01T14:30:00.620-07:00,43.300506591796875,0,0
2022-04-01T14:45:00.476-07:00,43.230369567871094,0,0
2022-04-01T15:00:03.054-07:00,43.273746490478516,0,0
2022-04-01T15:15:00.617-07:00,43.28598403930664,0,0
2022-04-01T15:30:00.552-07:00,43.276824951171875,0,0
2022-04-01T15:45:00.505-07:00,43.27881622314453,0,0
2022-04-01T16:00:00.605-07:00,43.151397705078125,0,0
2022-04-01T16:15:02.287-07:00,43.13636779785156,0,0
2022-04-01T16:30:00.447-07:00,43.07522201538086,0,0
2022-04-01T16:45:00.507-07:00,43.180702209472656,0,0
2022-04-01T17:00:00.526-07:00,43.04625701904297,0,0
2022-04-01T17:15:00.574-07:00,43.092681884765625,0,0
2022-04-01T17:30:00.492-07:00,43.084754943847656,0,0
2022-04-01T17:45:00.565-07:00,43.02180099487305,0,0
2022-04-01T18:00:00.508-07:00,43.09907150268555,0,0
2022-04-01T18:15:00.501-07:00,43.12700271606445,0,0
2022-04-01T18:30:00.483-07:00,43.012821197509766,0,0
2022-04-01T18:45:00.483-07:00,43.05318832397461,0,0
2022-04-01T19:00:00.486-07:00,43.03164291381836,0,0
2022-04-01T19:15:00.504-07:00,43.08119583129883,0,0
2022-04-01T19:30:00.457-07:00,43.02476501464844,0,0
2022-04-01T19:45:00.627-07:00,43.090946197509766,0,0
2022-04-01T20:00:00.503-07:00,43.47212600708008,0,0
2022-04-01T20:15:00.506-07:00,43.270957946777344,0,0
2022-04-01T20:30:00.541-07:00,43.90908432006836,0,0
2022-04-01T20:45:00.460-07:00,43.478050231933594,0,0
