t,v,s,r
2022-03-31T23:45:00.841-07:00,1.3651323522590579e-39,0,0
2022-04-01T00:00:01.070-07:00,1.3651281483636649e-39,0,0
2022-04-01T00:15:00.808-07:00,1.3651253457667362e-39,0,0
2022-04-01T00:30:00.960-07:00,1.3651323522590579e-39,0,0
2022-04-01T00:45:01.206-07:00,1.3651323522590579e-39,0,0
2022-04-01T01:00:00.942-07:00,0.44052842259407043,0,0
2022-04-01T01:15:00.833-07:00,1.3577853444106029e-39,0,0
2022-04-01T01:30:00.936-07:00,1.3651323522590579e-39,0,0
2022-04-01T01:45:00.926-07:00,1.3651309509605935e-39,0,0
2022-04-01T02:00:00.956-07:00,1.3651239444682719e-39,0,0
2022-04-01T02:15:00.972-07:00,0.40652862191200256,0,0
2022-04-01T02:30:00.945-07:00,1.3651323522590579e-39,0,0
2022-04-01T02:45:00.828-07:00,1.3519068973527602e-39,0,0
2022-04-01T03:00:01.030-07:00,1.3651239444682719e-39,0,0
2022-04-01T03:15:00.828-07:00,1.3592539052012153e-39,0,0
2022-04-01T03:30:00.937-07:00,1.3651323522590579e-39,0,0
2022-04-01T03:45:00.809-07:00,1.3651309509605935e-39,0,0
2022-04-01T04:00:00.919-07:00,1.3592539052012153e-39,0,0
2022-04-01T04:15:00.829-07:00,1.3651281483636649e-39,0,0
2022-04-01T04:30:00.957-07:00,1.3651323522590579e-39,0,0
2022-04-01T04:45:00.963-07:00,1.3651281483636649e-39,0,0
2022-04-01T05:00:00.960-07:00,1.3651323522590579e-39,0,0
2022-04-01T05:15:00.825-07:00,1.3651281483636649e-39,0,0
2022-04-01T05:30:00.949-07:00,1.3577783379182812e-39,0,0
2022-04-01T05:45:00.825-07:00,1.3651323522590579e-39,0,0
2022-04-01T06:00:00.974-07:00,1.3651281483636649e-39,0,0
2022-04-01T06:15:00.816-07:00,0.3285290598869324,0,0
2022-04-01T06:30:00.943-07:00,1.3651323522590579e-39,0,0
2022-04-01T06:45:00.836-07:00,1.3577853444106029e-39,0,0
2022-04-01T07:00:00.961-07:00,1.334274358776161e-39,0,0
2022-04-01T07:15:00.798-07:00,1.312233335230796e-39,0,0
2022-04-01T07:30:00.942-07:00,1.346029851593382e-39,0,0
2022-04-01T07:45:00.871-07:00,1.3048877286808053e-39,0,0
2022-04-01T08:00:00.950-07:00,1.3298658738073952e-39,0,0
2022-04-01T08:15:00.884-07:00,1.3519068973527602e-39,0,0
