t,v,s,r
2022-03-31T23:45:01.371-07:00,23,0,0
2022-04-01T00:00:01.612-07:00,20,0,0
2022-04-01T00:15:01.341-07:00,15,0,0
2022-04-01T00:30:01.474-07:00,17,0,0
2022-04-01T00:45:01.930-07:00,21,0,0
2022-04-01T01:00:01.453-07:00,5,0,0
2022-04-01T01:15:01.350-07:00,30,0,0
2022-04-01T01:30:01.467-07:00,21,0,0
2022-04-01T01:45:01.456-07:00,20,0,0
2022-04-01T02:00:01.470-07:00,17,0,0
2022-04-01T02:15:01.496-07:00,5,0,0
2022-04-01T02:30:01.473-07:00,24,0,0
2022-04-01T02:45:01.360-07:00,23,0,0
2022-04-01T03:00:01.556-07:00,18,0,0
2022-04-01T03:15:01.345-07:00,20,0,0
2022-04-01T03:30:01.554-07:00,30,0,0
2022-04-01T03:45:01.341-07:00,18,0,0
2022-04-01T04:00:01.434-07:00,21,0,0
2022-04-01T04:15:01.358-07:00,19,0,0
2022-04-01T04:30:01.465-07:00,25,0,0
2022-04-01T04:45:01.467-07:00,27,0,0
2022-04-01T05:00:01.488-07:00,24,0,0
2022-04-01T05:15:01.360-07:00,26,0,0
2022-04-01T05:30:01.450-07:00,31,0,0
2022-04-01T05:45:01.377-07:00,21,0,0
2022-04-01T06:00:01.496-07:00,20,0,0
2022-04-01T06:15:01.350-07:00,6,0,0
2022-04-01T06:30:01.453-07:00,30,0,0
2022-04-01T06:45:01.349-07:00,31,0,0
2022-04-01T07:00:01.472-07:00,15,0,0
2022-04-01T07:15:01.303-07:00,14,0,0
2022-04-01T07:30:01.471-07:00,28,0,0
2022-04-01T07:45:01.388-07:00,17,0,0
2022-04-01T08:00:01.460-07:00,15,0,0
2022-04-01T08:15:01.403-07:00,19,0,0
2022-04-01T08:30:01.487-07:00,35,0,0
2022-04-01T08:45:01.357-07:00,16,0,0
2022-04-01T09:00:01.445-07:00,9,0,0
2022-04-01T09:15:01.464-07:00,3,0,0
2022-04-01T09:30:01.459-07:00,16,0,0
2022-04-01T09:45:01.369-07:00,21,0,0
2022-04-01T10:00:01.456-07:00,13,0,0
2022-04-01T10:15:01.472-07:00,3,0,0
2022-04-01T10:30:01.503-07:00,14,0,0
2022-04-01T10:45:01.373-07:00,15,0,0
2022-04-01T11:00:01.471-07:00,14,0,0
2022-04-01T11:15:01.356-07:00,3,0,0
2022-04-01T11:30:01.498-07:00,15,0,0
2022-04-01T11:45:01.357-07:00,15,0,0
2022-04-01T12:00:01.606-07:00,17,0,0
2022-04-01T12:15:01.358-07:00,15,0,0
2022-04-01T12:30:01.502-07:00,2,0,0
2022-04-01T12:45:01.447-07:00,3,0,0
2022-04-01T13:00:01.462-07:00,3,0,0
2022-04-01T13:15:01.359-07:00,3,0,0
2022-04-01T13:30:01.471-07:00,3,0,0
2022-04-01T13:45:01.346-07:00,2,0,0
2022-04-01T14:00:01.448-07:00,2,0,0
2022-04-01T14:15:01.344-07:00,2,0,0
2022-04-01T14:30:01.442-07:00,3,0,0
2022-04-01T14:45:01.351-07:00,3,0,0
2022-04-01T15:00:01.537-07:00,13,0,0
2022-04-01T15:15:01.330-07:00,15,0,0
2022-04-01T15:30:01.615-07:00,15,0,0
2022-04-01T15:45:01.329-07:00,3,0,0
2022-04-01T16:00:01.452-07:00,3,0,0
2022-04-01T16:15:01.405-07:00,3,0,0
2022-04-01T16:30:01.459-07:00,6,0,0
2022-04-01T16:45:01.780-07:00,14,0,0
2022-04-01T17:00:01.454-07:00,3,0,0
2022-04-01T17:15:01.406-07:00,3,0,0
2022-04-01T17:30:01.443-07:00,13,0,0
2022-04-01T17:45:01.371-07:00,2,0,0
2022-04-01T18:00:01.454-07:00,2,0,0
2022-04-01T18:15:01.366-07:00,2,0,0
2022-04-01T18:30:01.485-07:00,2,0,0
2022-04-01T18:45:01.370-07:00,2,0,0
2022-04-01T19:00:01.546-07:00,2,0,0
2022-04-01T19:15:01.364-07:00,2,0,0
2022-04-01T19:30:01.466-07:00,5,0,0
2022-04-01T19:45:01.339-07:00,5,0,0
2022-04-01T20:00:01.550-07:00,5,0,0
2022-04-01T20:15:01.342-07:00,5,0,0
2022-04-01T20:30:01.637-07:00,5,0,0
2022-04-01T20:45:01.360-07:00,20,0,0
2022-04-01T21:00:01.597-07:00,5,0,0
2022-04-01T21:15:01.324-07:00,5,0,0
2022-04-01T21:30:01.602-07:00,5,0,0
2022-04-01T21:45:01.376-07:00,5,0,0
2022-04-01T22:00:01.470-07:00,5,0,0
2022-04-01T22:15:01.415-07:00,5,0,0
2022-04-01T22:30:01.453-07:00,5,0,0
2022-04-01T22:45:01.365-07:00,5,0,0
2022-04-01T23:00:01.482-07:00,21,0,0
2022-04-01T23:15:01.341-07:00,5,0,0
2022-04-01T23:30:01.508-07:00,15,0,0
2022-04-01T23:45:01.450-07:00,5,0,0
2022-04-02T00:00:01.599-07:00,16,0,0
2022-04-02T00:15:01.330-07:00,5,0,0
2022-04-02T00:30:02.405-07:00,22,0,0
2022-04-02T00:45:01.338-07:00,14,0,0
2022-04-02T01:00:01.498-07:00,24,0,0
2022-04-02T01:15:01.411-07:00,5,0,0
2022-04-02T01:30:01.489-07:00,5,0,0
2022-04-02T01:45:01.359-07:00,29,0,0
2022-04-02T02:00:01.507-07:00,26,0,0
2022-04-02T02:15:01.507-07:00,20,0,0
2022-04-02T02:30:01.569-07:00,5,0,0
2022-04-02T02:45:01.368-07:00,25,0,0
2022-04-02T03:00:01.462-07:00,25,0,0
2022-04-02T03:15:01.342-07:00,17,0,0
2022-04-02T03:30:01.475-07:00,24,0,0
2022-04-02T03:45:01.446-07:00,29,0,0
2022-04-02T04:00:01.479-07:00,28,0,0
2022-04-02T04:15:01.346-07:00,17,0,0
2022-04-02T04:30:01.704-07:00,21,0,0
2022-04-02T04:45:01.497-07:00,26,0,0
2022-04-02T05:00:01.655-07:00,26,0,0
2022-04-02T05:15:01.389-07:00,21,0,0
2022-04-02T05:30:01.476-07:00,16,0,0
2022-04-02T05:45:01.359-07:00,26,0,0
2022-04-02T06:00:01.502-07:00,14,0,0
2022-04-02T06:15:01.378-07:00,16,0,0
2022-04-02T06:30:01.456-07:00,22,0,0
2022-04-02T06:45:01.442-07:00,44,0,0
2022-04-02T07:00:01.626-07:00,16,0,0
2022-04-02T07:15:01.358-07:00,16,0,0
2022-04-02T07:30:01.479-07:00,17,0,0
2022-04-02T07:45:01.354-07:00,22,0,0
2022-04-02T08:00:01.908-07:00,13,0,0
2022-04-02T08:15:01.385-07:00,20,0,0
2022-04-02T08:30:01.722-07:00,2,0,0
2022-04-02T08:45:01.431-07:00,29,0,0
2022-04-02T09:00:01.486-07:00,18,0,0
2022-04-02T09:15:01.361-07:00,2,0,0
2022-04-02T09:30:01.868-07:00,17,0,0
2022-04-02T09:45:01.353-07:00,24,0,0
2022-04-02T10:00:01.714-07:00,19,0,0
2022-04-02T10:15:01.463-07:00,3,0,0
2022-04-02T10:30:01.486-07:00,2,0,0
2022-04-02T10:45:01.444-07:00,24,0,0
2022-04-02T11:00:01.490-07:00,25,0,0
2022-04-02T11:15:01.371-07:00,16,0,0
2022-04-02T11:30:01.499-07:00,14,0,0
2022-04-02T11:45:01.377-07:00,3,0,0
2022-04-02T12:00:01.555-07:00,15,0,0
2022-04-02T12:15:01.414-07:00,2,0,0
2022-04-02T12:30:01.494-07:00,13,0,0
2022-04-02T12:45:01.376-07:00,13,0,0
2022-04-02T13:00:01.559-07:00,19,0,0
2022-04-02T13:15:01.562-07:00,2,0,0
2022-04-02T13:30:01.617-07:00,2,0,0
2022-04-02T13:45:01.427-07:00,2,0,0
2022-04-02T14:00:01.491-07:00,2,0,0
2022-04-02T14:15:01.372-07:00,2,0,0
2022-04-02T14:30:01.487-07:00,2,0,0
2022-04-02T14:45:01.351-07:00,13,0,0
2022-04-02T15:00:01.487-07:00,2,0,0
2022-04-02T15:15:01.526-07:00,2,0,0
2022-04-02T15:30:01.667-07:00,2,0,0
2022-04-02T15:45:01.363-07:00,2,0,0
2022-04-02T16:00:01.639-07:00,14,0,0
2022-04-02T16:15:01.343-07:00,2,0,0
2022-04-02T16:30:01.519-07:00,2,0,0
2022-04-02T16:45:01.344-07:00,2,0,0
2022-04-02T17:00:01.483-07:00,2,0,0
2022-04-02T17:15:01.428-07:00,13,0,0
2022-04-02T17:30:01.699-07:00,2,0,0
2022-04-02T17:45:01.354-07:00,2,0,0
2022-04-02T18:00:01.576-07:00,15,0,0
2022-04-02T18:15:01.402-07:00,2,0,0
2022-04-02T18:30:01.493-07:00,2,0,0
2022-04-02T18:45:01.367-07:00,3,0,0
2022-04-02T19:00:01.638-07:00,2,0,0
2022-04-02T19:15:01.392-07:00,2,0,0
2022-04-02T19:30:01.508-07:00,20,0,0
2022-04-02T19:45:01.474-07:00,18,0,0
2022-04-02T20:00:01.492-07:00,5,0,0
2022-04-02T20:15:01.365-07:00,22,0,0
2022-04-02T20:30:01.483-07:00,5,0,0
2022-04-02T20:45:01.361-07:00,18,0,0
2022-04-02T21:00:01.483-07:00,22,0,0
2022-04-02T21:15:01.419-07:00,17,0,0
2022-04-02T21:30:01.634-07:00,5,0,0
2022-04-02T21:45:01.443-07:00,5,0,0
2022-04-02T22:00:01.500-07:00,31,0,0
2022-04-02T22:15:01.515-07:00,5,0,0
2022-04-02T22:30:01.555-07:00,19,0,0
2022-04-02T22:45:01.423-07:00,5,0,0
2022-04-02T23:00:01.486-07:00,16,0,0
2022-04-02T23:15:01.366-07:00,16,0,0
2022-04-02T23:30:01.482-07:00,24,0,0
2022-04-02T23:45:01.428-07:00,14,0,0
2022-04-03T00:00:01.634-07:00,15,0,0
2022-04-03T00:15:01.371-07:00,26,0,0
2022-04-03T00:30:01.540-07:00,16,0,0
2022-04-03T00:45:01.486-07:00,15,0,0
2022-04-03T01:00:01.488-07:00,22,0,0
2022-04-03T01:15:01.366-07:00,17,0,0
2022-04-03T01:30:01.539-07:00,5,0,0
2022-04-03T01:45:01.352-07:00,5,0,0
2022-04-03T02:00:01.519-07:00,23,0,0
2022-04-03T02:15:01.497-07:00,29,0,0
2022-04-03T02:30:01.543-07:00,18,0,0
2022-04-03T02:45:01.345-07:00,5,0,0
2022-04-03T03:00:01.487-07:00,19,0,0
2022-04-03T03:15:01.360-07:00,18,0,0
2022-04-03T03:30:01.489-07:00,27,0,0
2022-04-03T03:45:01.381-07:00,20,0,0
2022-04-03T04:00:01.470-07:00,15,0,0
2022-04-03T04:15:01.330-07:00,19,0,0
2022-04-03T04:30:01.464-07:00,16,0,0
2022-04-03T04:45:01.473-07:00,27,0,0
2022-04-03T05:00:03.571-07:00,18,0,0
2022-04-03T05:15:01.367-07:00,5,0,0
2022-04-03T05:30:01.458-07:00,19,0,0
2022-04-03T05:45:01.364-07:00,27,0,0
2022-04-03T06:00:01.617-07:00,20,0,0
2022-04-03T06:15:01.379-07:00,5,0,0
2022-04-03T06:30:01.444-07:00,16,0,0
2022-04-03T06:45:01.377-07:00,15,0,0
2022-04-03T07:00:01.484-07:00,22,0,0
2022-04-03T07:15:01.372-07:00,2,0,0
2022-04-03T07:30:01.564-07:00,19,0,0
2022-04-03T07:45:01.403-07:00,19,0,0
2022-04-03T08:00:01.451-07:00,12,0,0
2022-04-03T08:15:01.359-07:00,29,0,0
2022-04-03T08:30:01.446-07:00,2,0,0
2022-04-03T08:45:01.352-07:00,16,0,0
2022-04-03T09:00:01.522-07:00,2,0,0
2022-04-03T09:15:01.374-07:00,29,0,0
2022-04-03T09:30:01.541-07:00,16,0,0
2022-04-03T09:45:01.378-07:00,2,0,0
2022-04-03T10:00:01.538-07:00,17,0,0
2022-04-03T10:15:01.397-07:00,19,0,0
2022-04-03T10:30:01.473-07:00,16,0,0
2022-04-03T10:45:01.375-07:00,19,0,0
2022-04-03T11:00:01.496-07:00,14,0,0
2022-04-03T11:15:01.449-07:00,3,0,0
2022-04-03T11:30:01.491-07:00,22,0,0
2022-04-03T11:45:01.369-07:00,2,0,0
2022-04-03T12:00:01.642-07:00,14,0,0
2022-04-03T12:15:01.371-07:00,13,0,0
2022-04-03T12:30:01.563-07:00,17,0,0
2022-04-03T12:45:01.371-07:00,3,0,0
2022-04-03T13:00:01.498-07:00,3,0,0
2022-04-03T13:15:01.353-07:00,15,0,0
2022-04-03T13:30:01.501-07:00,2,0,0
2022-04-03T13:45:01.363-07:00,3,0,0
2022-04-03T14:00:01.485-07:00,13,0,0
2022-04-03T14:15:01.434-07:00,17,0,0
2022-04-03T14:30:01.601-07:00,18,0,0
2022-04-03T14:45:01.440-07:00,2,0,0
2022-04-03T15:00:01.712-07:00,16,0,0
2022-04-03T15:15:01.530-07:00,2,0,0
2022-04-03T15:30:01.494-07:00,16,0,0
2022-04-03T15:45:01.376-07:00,14,0,0
2022-04-03T16:00:01.507-07:00,18,0,0
2022-04-03T16:15:01.360-07:00,2,0,0
2022-04-03T16:30:01.898-07:00,22,0,0
2022-04-03T16:45:01.348-07:00,16,0,0
2022-04-03T17:00:01.464-07:00,2,0,0
2022-04-03T17:15:01.487-07:00,26,0,0
2022-04-03T17:30:01.486-07:00,2,0,0
2022-04-03T17:45:01.389-07:00,2,0,0
2022-04-03T18:00:01.468-07:00,14,0,0
2022-04-03T18:15:01.357-07:00,2,0,0
2022-04-03T18:30:01.478-07:00,11,0,0
2022-04-03T18:45:01.460-07:00,14,0,0
2022-04-03T19:00:01.495-07:00,2,0,0
2022-04-03T19:15:01.364-07:00,2,0,0
2022-04-03T19:30:01.488-07:00,24,0,0
2022-04-03T19:45:01.335-07:00,5,0,0
2022-04-03T20:00:01.571-07:00,19,0,0
2022-04-03T20:15:01.444-07:00,5,0,0
2022-04-03T20:30:01.568-07:00,14,0,0
2022-04-03T20:45:01.351-07:00,15,0,0
2022-04-03T21:00:01.493-07:00,20,0,0
2022-04-03T21:15:01.415-07:00,5,0,0
2022-04-03T21:30:01.476-07:00,5,0,0
2022-04-03T21:45:01.393-07:00,20,0,0
2022-04-03T22:00:01.462-07:00,29,0,0
2022-04-03T22:15:01.471-07:00,17,0,0
2022-04-03T22:30:01.462-07:00,22,0,0
2022-04-03T22:45:01.345-07:00,18,0,0
2022-04-03T23:00:01.563-07:00,21,0,0
2022-04-03T23:15:01.343-07:00,18,0,0
2022-04-03T23:30:01.455-07:00,18,0,0
2022-04-03T23:45:01.368-07:00,30,0,0
2022-04-04T00:00:01.556-07:00,5,0,0
2022-04-04T00:15:01.330-07:00,15,0,0
2022-04-04T00:30:01.586-07:00,5,0,0
2022-04-04T00:45:01.333-07:00,37,0,0
2022-04-04T01:00:01.462-07:00,30,0,0
2022-04-04T01:15:01.324-07:00,5,0,0
2022-04-04T01:30:01.577-07:00,22,0,0
2022-04-04T01:45:01.345-07:00,5,0,0
2022-04-04T02:00:01.483-07:00,33,0,0
2022-04-04T02:15:01.348-07:00,15,0,0
2022-04-04T02:30:01.456-07:00,21,0,0
2022-04-04T02:45:01.476-07:00,17,0,0
2022-04-04T03:00:01.557-07:00,24,0,0
2022-04-04T03:15:01.346-07:00,21,0,0
2022-04-04T03:30:01.437-07:00,15,0,0
2022-04-04T03:45:01.327-07:00,20,0,0
2022-04-04T04:00:01.476-07:00,30,0,0
2022-04-04T04:15:01.349-07:00,17,0,0
2022-04-04T04:30:01.481-07:00,23,0,0
2022-04-04T04:45:01.354-07:00,5,0,0
2022-04-04T05:00:01.580-07:00,31,0,0
2022-04-04T05:15:01.427-07:00,21,0,0
2022-04-04T05:30:01.468-07:00,17,0,0
2022-04-04T05:45:01.413-07:00,20,0,0
2022-04-04T06:00:01.475-07:00,20,0,0
2022-04-04T06:15:01.431-07:00,29,0,0
2022-04-04T06:30:01.478-07:00,24,0,0
2022-04-04T06:45:01.407-07:00,5,0,0
2022-04-04T07:00:01.475-07:00,25,0,0
2022-04-04T07:15:01.446-07:00,20,0,0
2022-04-04T07:30:01.534-07:00,16,0,0
2022-04-04T07:45:01.541-07:00,15,0,0
2022-04-04T08:00:01.502-07:00,24,0,0
2022-04-04T08:15:01.344-07:00,16,0,0
2022-04-04T08:30:02.083-07:00,13,0,0
2022-04-04T08:45:01.484-07:00,18,0,0
2022-04-04T09:00:01.498-07:00,25,0,0
2022-04-04T09:15:01.378-07:00,15,0,0
2022-04-04T09:30:01.511-07:00,27,0,0
2022-04-04T09:45:01.412-07:00,23,0,0
2022-04-04T10:00:01.661-07:00,14,0,0
2022-04-04T10:15:01.375-07:00,17,0,0
2022-04-04T10:30:01.588-07:00,3,0,0
2022-04-04T10:45:01.359-07:00,28,0,0
2022-04-04T11:00:01.547-07:00,21,0,0
2022-04-04T11:15:01.497-07:00,17,0,0
2022-04-04T11:30:01.494-07:00,3,0,0
2022-04-04T11:45:01.351-07:00,3,0,0
2022-04-04T12:00:01.627-07:00,3,0,0
2022-04-04T12:15:01.364-07:00,2,0,0
2022-04-04T12:30:01.633-07:00,19,0,0
2022-04-04T12:45:01.464-07:00,18,0,0
2022-04-04T13:00:01.529-07:00,3,0,0
2022-04-04T13:15:01.371-07:00,3,0,0
2022-04-04T13:30:01.493-07:00,3,0,0
2022-04-04T13:45:01.456-07:00,3,0,0
2022-04-04T14:00:01.464-07:00,2,0,0
2022-04-04T14:15:01.367-07:00,2,0,0
2022-04-04T14:30:01.471-07:00,3,0,0
2022-04-04T14:45:01.378-07:00,3,0,0
2022-04-04T15:00:01.525-07:00,3,0,0
2022-04-04T15:15:01.610-07:00,3,0,0
2022-04-04T15:30:01.457-07:00,2,0,0
2022-04-04T15:45:01.351-07:00,2,0,0
2022-04-04T16:00:01.586-07:00,3,0,0
2022-04-04T16:15:01.359-07:00,3,0,0
2022-04-04T16:30:01.605-07:00,2,0,0
2022-04-04T16:45:01.400-07:00,4,0,0
2022-04-04T17:00:01.513-07:00,4,0,0
2022-04-04T17:15:01.391-07:00,4,0,0
2022-04-04T17:30:01.481-07:00,4,0,0
2022-04-04T17:45:01.367-07:00,3,0,0
2022-04-04T18:00:01.477-07:00,3,0,0
2022-04-04T18:15:01.483-07:00,3,0,0
2022-04-04T18:30:01.479-07:00,2,0,0
2022-04-04T18:45:01.419-07:00,2,0,0
2022-04-04T19:00:01.502-07:00,2,0,0
2022-04-04T19:15:01.497-07:00,2,0,0
2022-04-04T19:30:01.594-07:00,5,0,0
2022-04-04T19:45:01.363-07:00,5,0,0
2022-04-04T20:00:01.477-07:00,5,0,0
2022-04-04T20:15:01.371-07:00,5,0,0
2022-04-04T20:30:01.449-07:00,5,0,0
2022-04-04T20:45:01.380-07:00,5,0,0
2022-04-04T21:00:01.481-07:00,5,0,0
2022-04-04T21:15:01.428-07:00,5,0,0
2022-04-04T21:30:01.490-07:00,5,0,0
2022-04-04T21:45:01.425-07:00,23,0,0
2022-04-04T22:00:01.643-07:00,8,0,0
2022-04-04T22:15:01.340-07:00,5,0,0
2022-04-04T22:30:01.486-07:00,5,0,0
2022-04-04T22:45:01.357-07:00,5,0,0
2022-04-04T23:00:01.487-07:00,5,0,0
2022-04-04T23:15:01.493-07:00,5,0,0
2022-04-04T23:30:01.464-07:00,5,0,0
2022-04-04T23:45:01.393-07:00,5,0,0
2022-04-05T00:00:01.500-07:00,5,0,0
2022-04-05T00:15:01.373-07:00,21,0,0
2022-04-05T00:30:01.615-07:00,19,0,0
2022-04-05T00:45:01.416-07:00,15,0,0
