t,v,s,r
2022-03-31T23:45:01.312-07:00,35.85520935058594,0,0
2022-04-01T00:00:01.630-07:00,36.75743103027344,0,0
2022-04-01T00:15:01.341-07:00,37.957313537597656,0,0
2022-04-01T00:30:01.362-07:00,36.44017791748047,0,0
2022-04-01T00:45:01.299-07:00,33.338653564453125,0,0
2022-04-01T01:00:01.413-07:00,36.68680191040039,0,0
2022-04-01T01:15:01.273-07:00,35.595027923583984,0,0
2022-04-01T01:30:01.314-07:00,34.56486129760742,0,0
2022-04-01T01:45:01.505-07:00,36.521514892578125,0,0
2022-04-01T02:00:01.305-07:00,35.09975814819336,0,0
2022-04-01T02:15:01.310-07:00,33.953739166259766,0,0
2022-04-01T02:30:01.389-07:00,36.96272277832031,0,0
2022-04-01T02:45:01.351-07:00,32.35929870605469,0,0
2022-04-01T03:00:01.410-07:00,31.269561767578125,0,0
2022-04-01T03:15:02.383-07:00,35.852996826171875,0,0
2022-04-01T03:30:01.440-07:00,33.57257080078125,0,0
2022-04-01T03:45:01.305-07:00,34.32752990722656,0,0
2022-04-01T04:00:01.454-07:00,33.683677673339844,0,0
2022-04-01T04:15:01.337-07:00,32.25557327270508,0,0
2022-04-01T04:30:01.352-07:00,32.93865203857422,0,0
2022-04-01T04:45:01.359-07:00,31.789642333984375,0,0
2022-04-01T05:00:02.530-07:00,32.68859100341797,0,0
2022-04-01T05:15:01.412-07:00,35.22999572753906,0,0
2022-04-01T05:30:01.438-07:00,32.711029052734375,0,0
2022-04-01T05:45:01.512-07:00,34.243255615234375,0,0
2022-04-01T06:00:01.320-07:00,34.185020446777344,0,0
2022-04-01T06:15:01.438-07:00,36.48352813720703,0,0
2022-04-01T06:30:01.441-07:00,34.023651123046875,0,0
2022-04-01T06:45:01.376-07:00,33.77299499511719,0,0
2022-04-01T07:00:01.294-07:00,29.506195068359375,0,0
2022-04-01T07:15:01.493-07:00,34.126590728759766,0,0
2022-04-01T07:30:01.420-07:00,34.17036056518555,0,0
2022-04-01T07:45:01.265-07:00,32.78861999511719,0,0
2022-04-01T08:00:01.428-07:00,33.891998291015625,0,0
2022-04-01T08:15:01.402-07:00,34.96809768676758,0,0
2022-04-01T08:30:01.376-07:00,37.694580078125,0,0
2022-04-01T08:45:01.327-07:00,35.30577087402344,0,0
2022-04-01T09:00:01.485-07:00,35.018516540527344,0,0
2022-04-01T09:15:01.371-07:00,37.06688690185547,0,0
2022-04-01T09:30:01.358-07:00,35.16053771972656,0,0
2022-04-01T09:45:00.060-07:00,37.70083999633789,0,0
2022-04-01T10:00:01.383-07:00,31.829601287841797,0,0
2022-04-01T10:15:01.570-07:00,35.50929641723633,0,0
2022-04-01T10:30:01.295-07:00,79.3989028930664,0,0
2022-04-01T10:45:07.178-07:00,34.59292984008789,0,0
2022-04-01T11:00:01.494-07:00,33.99692916870117,0,0
2022-04-01T11:15:01.346-07:00,38.36133575439453,0,0
2022-04-01T11:30:01.411-07:00,71.15008544921875,0,0
2022-04-01T11:45:01.357-07:00,35.412986755371094,0,0
2022-04-01T12:00:01.354-07:00,35.752784729003906,0,0
2022-04-01T12:15:01.470-07:00,76.33226013183594,0,0
2022-04-01T12:30:01.345-07:00,69.90552520751953,0,0
2022-04-01T12:45:01.313-07:00,34.10638427734375,0,0
2022-04-01T13:00:01.324-07:00,36.64754867553711,0,0
2022-04-01T13:15:01.327-07:00,37.36296844482422,0,0
2022-04-01T13:30:01.406-07:00,37.863948822021484,0,0
2022-04-01T13:45:01.521-07:00,37.96697235107422,0,0
2022-04-01T14:00:01.332-07:00,35.91709518432617,0,0
2022-04-01T14:15:01.519-07:00,34.17352294921875,0,0
2022-04-01T14:30:01.461-07:00,42.37903594970703,0,0
2022-04-01T14:45:01.331-07:00,37.73796844482422,0,0
2022-04-01T15:00:03.948-07:00,37.287628173828125,0,0
2022-04-01T15:15:01.623-07:00,40.986053466796875,0,0
2022-04-01T15:30:01.373-07:00,37.31683349609375,0,0
2022-04-01T15:45:01.355-07:00,37.27371597290039,0,0
2022-04-01T16:00:01.408-07:00,37.90260696411133,0,0
2022-04-01T16:15:03.111-07:00,42.866920471191406,0,0
2022-04-01T16:30:01.365-07:00,43.039344787597656,0,0
2022-04-01T16:45:01.309-07:00,40.04058837890625,0,0
2022-04-01T17:00:01.352-07:00,38.8765869140625,0,0
2022-04-01T17:15:01.447-07:00,43.79547882080078,0,0
2022-04-01T17:30:01.327-07:00,46.22005081176758,0,0
2022-04-01T17:45:01.403-07:00,43.2935676574707,0,0
2022-04-01T18:00:01.367-07:00,46.911712646484375,0,0
2022-04-01T18:15:01.327-07:00,41.87429428100586,0,0
2022-04-01T18:30:01.375-07:00,41.57383728027344,0,0
2022-04-01T18:45:01.432-07:00,42.09119415283203,0,0
2022-04-01T19:00:01.446-07:00,41.97679138183594,0,0
2022-04-01T19:15:01.390-07:00,37.124847412109375,0,0
2022-04-01T19:30:01.318-07:00,38.4593505859375,0,0
2022-04-01T19:45:01.490-07:00,73.10785675048828,0,0
2022-04-01T20:00:01.428-07:00,40.12834548950195,0,0
2022-04-01T20:15:01.411-07:00,37.03926467895508,0,0
2022-04-01T20:30:01.366-07:00,38.284149169921875,0,0
2022-04-01T20:45:02.153-07:00,37.330963134765625,0,0
2022-04-01T21:00:01.444-07:00,37.42084503173828,0,0
2022-04-01T21:15:01.386-07:00,40.488502502441406,0,0
2022-04-01T21:30:01.444-07:00,37.065040588378906,0,0
2022-04-01T21:45:01.423-07:00,36.54106140136719,0,0
2022-04-01T22:00:01.444-07:00,35.99042892456055,0,0
2022-04-01T22:15:01.552-07:00,35.859527587890625,0,0
2022-04-01T22:30:01.376-07:00,36.468910217285156,0,0
2022-04-01T22:45:01.392-07:00,36.006263732910156,0,0
2022-04-01T23:00:01.373-07:00,40.361900329589844,0,0
2022-04-01T23:15:01.450-07:00,38.278873443603516,0,0
2022-04-01T23:30:01.410-07:00,37.5374641418457,0,0
2022-04-01T23:45:01.335-07:00,38.190650939941406,0,0
2022-04-02T00:00:01.315-07:00,35.87354278564453,0,0
2022-04-02T00:15:02.178-07:00,33.85396194458008,0,0
2022-04-02T00:30:01.360-07:00,35.966835021972656,0,0
2022-04-02T00:45:01.316-07:00,77.24141693115234,0,0
2022-04-02T01:00:01.392-07:00,35.777320861816406,0,0
2022-04-02T01:15:01.379-07:00,34.596099853515625,0,0
2022-04-02T01:30:01.374-07:00,35.69935989379883,0,0
2022-04-02T01:45:01.349-07:00,34.342926025390625,0,0
2022-04-02T02:00:01.362-07:00,34.81196594238281,0,0
2022-04-02T02:15:01.546-07:00,33.46421432495117,0,0
2022-04-02T02:30:01.346-07:00,32.59258270263672,0,0
2022-04-02T02:45:01.489-07:00,34.50214385986328,0,0
2022-04-02T03:00:01.627-07:00,34.7490119934082,0,0
2022-04-02T03:15:01.495-07:00,34.33695983886719,0,0
2022-04-02T03:30:01.463-07:00,33.85320281982422,0,0
2022-04-02T03:45:01.481-07:00,34.649356842041016,0,0
2022-04-02T04:00:01.395-07:00,34.26572036743164,0,0
2022-04-02T04:15:01.464-07:00,32.633331298828125,0,0
2022-04-02T04:30:01.475-07:00,32.49940490722656,0,0
2022-04-02T04:45:01.354-07:00,32.5163459777832,0,0
2022-04-02T05:00:01.334-07:00,32.525634765625,0,0
2022-04-02T05:15:01.366-07:00,34.21306228637695,0,0
2022-04-02T05:30:01.311-07:00,32.376914978027344,0,0
2022-04-02T05:45:01.310-07:00,31.669631958007812,0,0
2022-04-02T06:00:01.394-07:00,32.65850067138672,0,0
2022-04-02T06:15:01.242-07:00,32.05525207519531,0,0
2022-04-02T06:30:01.373-07:00,32.990966796875,0,0
2022-04-02T06:45:01.343-07:00,32.86579513549805,0,0
2022-04-02T07:00:01.386-07:00,29.319072723388672,0,0
2022-04-02T07:15:01.392-07:00,32.74527359008789,0,0
2022-04-02T07:30:01.446-07:00,33.089149475097656,0,0
2022-04-02T07:45:01.372-07:00,29.815649032592773,0,0
2022-04-02T08:00:01.335-07:00,32.68368911743164,0,0
2022-04-02T08:15:01.433-07:00,30.021526336669922,0,0
2022-04-02T08:30:01.508-07:00,31.108823776245117,0,0
2022-04-02T08:45:01.414-07:00,35.097412109375,4,0
2022-04-02T09:00:01.390-07:00,31.486913681030273,2,0
2022-04-02T09:15:01.320-07:00,32.077823638916016,6,0
2022-04-02T09:30:01.412-07:00,32.75952911376953,6,0
2022-04-02T09:45:00.062-07:00,71.07182312011719,6,0
2022-04-02T10:00:01.349-07:00,32.11448287963867,0,0
2022-04-02T10:15:01.360-07:00,32.629486083984375,4,0
2022-04-02T10:30:01.338-07:00,32.75555419921875,6,0
2022-04-02T10:45:01.414-07:00,32.810630798339844,2,0
2022-04-02T11:00:01.407-07:00,37.67234802246094,4,0
2022-04-02T11:15:01.359-07:00,37.67234802246094,2,0
2022-04-02T11:30:01.502-07:00,34.32676315307617,2,0
2022-04-02T11:45:01.329-07:00,34.32676315307617,6,0
2022-04-02T12:00:01.342-07:00,35.610504150390625,6,0
2022-04-02T12:15:01.385-07:00,35.610504150390625,6,0
2022-04-02T12:30:01.333-07:00,35.610504150390625,6,0
2022-04-02T12:45:01.338-07:00,35.429019927978516,0,0
2022-04-02T13:00:01.355-07:00,33.52625274658203,0,0
2022-04-02T13:15:01.348-07:00,33.54521942138672,0,0
2022-04-02T13:30:01.354-07:00,36.45703125,0,0
2022-04-02T13:45:01.486-07:00,35.323211669921875,0,0
2022-04-02T14:00:01.399-07:00,35.94493103027344,0,0
2022-04-02T14:15:01.452-07:00,77.38638305664062,0,0
2022-04-02T14:30:01.412-07:00,34.91290283203125,0,0
2022-04-02T14:45:01.358-07:00,35.65318298339844,0,0
2022-04-02T15:00:01.708-07:00,36.4067497253418,0,0
2022-04-02T15:15:01.370-07:00,37.69501495361328,0,0
2022-04-02T15:30:01.476-07:00,82.46463012695312,0,0
2022-04-02T15:45:03.710-07:00,38.15521240234375,0,0
2022-04-02T16:00:01.243-07:00,36.75636291503906,0,0
2022-04-02T16:15:01.328-07:00,34.89664840698242,0,0
2022-04-02T16:30:01.385-07:00,34.669654846191406,0,0
