t,v,s,r
2022-03-31T23:45:09.985-07:00,0.8849999904632568,0,0
2022-04-01T00:00:09.870-07:00,0.9229999780654907,0,0
2022-04-01T00:15:13.603-07:00,0.9409999847412109,0,0
2022-04-01T00:30:09.282-07:00,0.8999999761581421,0,0
2022-04-01T00:45:10.026-07:00,0.9490000009536743,0,0
2022-04-01T01:00:12.657-07:00,0.8989999890327454,0,0
2022-04-01T01:15:09.926-07:00,0.8820000290870667,0,0
2022-04-01T01:30:11.089-07:00,0.8970000147819519,0,0
2022-04-01T01:45:11.579-07:00,0.9070000052452087,0,0
2022-04-01T02:00:01.323-07:00,0.8889999985694885,0,0
2022-04-01T02:15:09.313-07:00,0.9240000247955322,0,0
2022-04-01T02:30:09.244-07:00,0.8980000019073486,0,0
2022-04-01T02:45:09.870-07:00,0.8759999871253967,0,0
2022-04-01T03:00:00.721-07:00,0.9240000247955322,0,0
2022-04-01T03:15:09.376-07:00,0.9440000057220459,0,0
2022-04-01T03:30:09.745-07:00,0.8679999709129333,0,0
2022-04-01T03:45:08.882-07:00,0.902999997138977,0,0
2022-04-01T04:00:10.179-07:00,0.9570000171661377,0,0
2022-04-01T04:15:09.531-07:00,0.9470000267028809,0,0
2022-04-01T04:30:10.201-07:00,0.871999979019165,0,0
2022-04-01T04:45:00.772-07:00,0.9490000009536743,0,0
2022-04-01T05:00:12.450-07:00,0.9089999794960022,0,0
2022-04-01T05:15:09.736-07:00,0.8949999809265137,0,0
2022-04-01T05:30:09.887-07:00,0.8479999899864197,0,0
2022-04-01T05:45:01.073-07:00,0.9449999928474426,0,0
2022-04-01T06:00:09.580-07:00,0.9549999833106995,0,0
2022-04-01T06:15:09.390-07:00,0.9610000252723694,0,0
2022-04-01T06:30:09.656-07:00,0.9330000281333923,0,0
2022-04-01T06:45:09.984-07:00,0.9589999914169312,0,0
2022-04-01T07:00:09.679-07:00,0.9150000214576721,0,0
2022-04-01T07:15:10.067-07:00,0.9430000185966492,0,0
2022-04-01T07:30:00.795-07:00,0.8610000014305115,0,0
2022-04-01T07:45:09.463-07:00,0.8960000276565552,0,0
2022-04-01T08:00:09.040-07:00,0.7710000276565552,0,0
2022-04-01T08:15:10.413-07:00,0.8920000195503235,0,0
2022-04-01T08:30:11.358-07:00,0.7239999771118164,0,0
2022-04-01T08:45:10.039-07:00,0.8100000023841858,0,0
2022-04-01T09:00:09.544-07:00,0.8349999785423279,0,0
2022-04-01T09:15:10.188-07:00,0.4699999988079071,0,0
2022-04-01T09:30:10.490-07:00,0.25699999928474426,0,0
2022-04-01T09:45:10.686-07:00,1.9730000495910645,0,0
2022-04-01T10:00:09.774-07:00,0.8410000205039978,0,0
2022-04-01T10:15:09.418-07:00,0.8799999952316284,0,0
2022-04-01T10:30:10.525-07:00,0.8970000147819519,0,0
2022-04-01T10:45:09.710-07:00,0.8980000019073486,0,0
2022-04-01T11:00:08.944-07:00,0.8240000009536743,0,0
