t,v,s,r
2022-03-31T23:45:09.907-07:00,493,0,0
2022-04-01T00:00:09.824-07:00,493,0,0
2022-04-01T00:15:13.563-07:00,493,0,0
2022-04-01T00:30:09.221-07:00,494,0,0
2022-04-01T00:45:09.989-07:00,492,0,0
2022-04-01T01:00:12.608-07:00,491,0,0
2022-04-01T01:15:09.868-07:00,491,0,0
2022-04-01T01:30:11.018-07:00,492,0,0
2022-04-01T01:45:11.506-07:00,492,0,0
2022-04-01T02:00:01.317-07:00,492,0,0
2022-04-01T02:15:09.274-07:00,492,0,0
2022-04-01T02:30:09.178-07:00,492,0,0
2022-04-01T02:45:09.825-07:00,492,0,0
2022-04-01T03:00:00.718-07:00,491,0,0
2022-04-01T03:15:09.308-07:00,492,0,0
2022-04-01T03:30:09.698-07:00,492,0,0
2022-04-01T03:45:08.825-07:00,492,0,0
2022-04-01T04:00:10.128-07:00,491,0,0
2022-04-01T04:15:09.483-07:00,494,0,0
2022-04-01T04:30:10.120-07:00,494,0,0
2022-04-01T04:45:00.770-07:00,494,0,0
2022-04-01T05:00:12.404-07:00,493,0,0
2022-04-01T05:15:09.679-07:00,495,0,0
2022-04-01T05:30:09.824-07:00,493,0,0
2022-04-01T05:45:01.070-07:00,493,0,0
2022-04-01T06:00:09.497-07:00,490,0,0
2022-04-01T06:15:09.335-07:00,494,0,0
2022-04-01T06:30:09.581-07:00,492,0,0
2022-04-01T06:45:09.918-07:00,492,0,0
2022-04-01T07:00:09.624-07:00,492,0,0
2022-04-01T07:15:10.008-07:00,491,0,0
2022-04-01T07:30:00.792-07:00,493,0,0
2022-04-01T07:45:09.421-07:00,491,0,0
2022-04-01T08:00:09.004-07:00,493,0,0
2022-04-01T08:15:10.347-07:00,493,0,0
2022-04-01T08:30:11.300-07:00,494,0,0
2022-04-01T08:45:09.985-07:00,493,0,0
2022-04-01T09:00:09.497-07:00,493,0,0
2022-04-01T09:15:10.124-07:00,492,0,0
2022-04-01T09:30:10.440-07:00,495,0,0
2022-04-01T09:45:10.633-07:00,495,0,0
2022-04-01T10:00:09.727-07:00,494,0,0
2022-04-01T10:15:09.347-07:00,492,0,0
2022-04-01T10:30:10.461-07:00,492,0,0
2022-04-01T10:45:09.669-07:00,491,0,0
2022-04-01T11:00:08.902-07:00,492,0,0
2022-04-01T11:15:09.523-07:00,492,0,0
2022-04-01T11:30:09.222-07:00,495,0,0
2022-04-01T11:45:09.844-07:00,494,0,0
2022-04-01T12:00:09.443-07:00,492,0,0
2022-04-01T12:15:09.383-07:00,494,0,0
2022-04-01T12:30:09.684-07:00,494,0,0
2022-04-01T12:45:09.400-07:00,494,0,0
2022-04-01T13:00:09.466-07:00,494,0,0
2022-04-01T13:15:09.289-07:00,493,0,0
2022-04-01T13:30:03.600-07:00,493,0,0
2022-04-01T13:45:09.531-07:00,493,0,0
2022-04-01T14:00:09.924-07:00,492,0,0
2022-04-01T14:15:09.423-07:00,492,0,0
2022-04-01T14:30:00.746-07:00,492,0,0
2022-04-01T14:45:11.761-07:00,492,0,0
2022-04-01T15:00:09.863-07:00,491,0,0
2022-04-01T15:15:09.371-07:00,492,0,0
2022-04-01T15:30:00.522-07:00,492,0,0
