t,v,s,r
2022-03-31T23:45:10.049-07:00,60.02000045776367,0,0
2022-04-01T00:00:09.935-07:00,60.029998779296875,0,0
2022-04-01T00:15:13.716-07:00,59.9900016784668,0,0
2022-04-01T00:30:09.396-07:00,60.0099983215332,0,0
2022-04-01T00:45:10.155-07:00,59.9900016784668,0,0
2022-04-01T01:00:12.744-07:00,60.0,0,0
2022-04-01T01:15:10.011-07:00,60.029998779296875,0,0
2022-04-01T01:30:11.189-07:00,59.97999954223633,0,0
2022-04-01T01:45:11.675-07:00,59.97999954223633,0,0
2022-04-01T02:00:01.334-07:00,60.0,0,0
2022-04-01T02:15:09.469-07:00,60.0,0,0
2022-04-01T02:30:09.334-07:00,60.0099983215332,0,0
2022-04-01T02:45:09.980-07:00,59.97999954223633,0,0
2022-04-01T03:00:00.742-07:00,59.9900016784668,0,0
2022-04-01T03:15:09.462-07:00,60.02000045776367,0,0
2022-04-01T03:30:09.842-07:00,60.02000045776367,0,0
2022-04-01T03:45:09.006-07:00,60.02000045776367,0,0
2022-04-01T04:00:10.256-07:00,60.02000045776367,0,0
2022-04-01T04:15:09.674-07:00,60.0099983215332,0,0
2022-04-01T04:30:10.305-07:00,60.029998779296875,0,0
2022-04-01T04:45:00.779-07:00,59.97999954223633,0,0
2022-04-01T05:00:12.584-07:00,60.029998779296875,0,0
2022-04-01T05:15:09.839-07:00,59.97999954223633,0,0
2022-04-01T05:30:09.969-07:00,59.97999954223633,0,0
2022-04-01T05:45:01.079-07:00,60.0,0,0
2022-04-01T06:00:09.671-07:00,60.0099983215332,0,0
2022-04-01T06:15:09.504-07:00,59.97999954223633,0,0
2022-04-01T06:30:09.738-07:00,60.0,0,0
2022-04-01T06:45:10.136-07:00,60.02000045776367,0,0
2022-04-01T07:00:09.747-07:00,60.0,0,0
2022-04-01T07:15:10.146-07:00,60.0,0,0
2022-04-01T07:30:00.803-07:00,60.0,0,0
2022-04-01T07:45:09.602-07:00,60.029998779296875,0,0
2022-04-01T08:00:09.103-07:00,60.040000915527344,0,0
2022-04-01T08:15:10.512-07:00,60.02000045776367,0,0
2022-04-01T08:30:11.468-07:00,60.029998779296875,0,0
2022-04-01T08:45:10.289-07:00,60.029998779296875,0,0
2022-04-01T09:00:09.617-07:00,60.0099983215332,0,0
2022-04-01T09:15:10.313-07:00,60.0099983215332,0,0
2022-04-01T09:30:10.591-07:00,60.02000045776367,0,0
2022-04-01T09:45:10.803-07:00,60.0099983215332,0,0
2022-04-01T10:00:09.869-07:00,60.0099983215332,0,0
2022-04-01T10:15:09.519-07:00,59.9900016784668,0,0
2022-04-01T10:30:10.650-07:00,60.02000045776367,0,0
2022-04-01T10:45:09.805-07:00,60.029998779296875,0,0
2022-04-01T11:00:09.023-07:00,60.0099983215332,0,0
2022-04-01T11:15:09.709-07:00,60.0,0,0
2022-04-01T11:30:09.407-07:00,59.97999954223633,0,0
2022-04-01T11:45:10.026-07:00,60.0099983215332,0,0
2022-04-01T12:00:09.636-07:00,59.9900016784668,0,0
2022-04-01T12:15:09.522-07:00,60.0,0,0
2022-04-01T12:30:09.868-07:00,60.0099983215332,0,0
2022-04-01T12:45:09.629-07:00,59.9900016784668,0,0
2022-04-01T13:00:09.630-07:00,60.0,0,0
2022-04-01T13:15:09.426-07:00,59.9900016784668,0,0
2022-04-01T13:30:03.616-07:00,60.0099983215332,0,0
2022-04-01T13:45:09.671-07:00,59.9900016784668,0,0
2022-04-01T14:00:10.080-07:00,59.9900016784668,0,0
2022-04-01T14:15:09.561-07:00,59.9900016784668,0,0
2022-04-01T14:30:00.759-07:00,60.0099983215332,0,0
2022-04-01T14:45:11.928-07:00,60.0099983215332,0,0
2022-04-01T15:00:10.045-07:00,60.0,0,0
2022-04-01T15:15:09.531-07:00,60.02000045776367,0,0
2022-04-01T15:30:00.531-07:00,60.0,0,0
2022-04-01T15:45:09.829-07:00,59.9900016784668,0,0
2022-04-01T16:00:09.508-07:00,60.0,0,0
2022-04-01T16:15:09.814-07:00,59.97999954223633,0,0
2022-04-01T16:30:01.345-07:00,59.97999954223633,0,0
2022-04-01T16:45:09.923-07:00,59.97999954223633,0,0
2022-04-01T17:00:09.003-07:00,60.0,0,0
2022-04-01T17:15:10.205-07:00,59.970001220703125,0,0
2022-04-01T17:30:00.776-07:00,59.970001220703125,0,0
2022-04-01T17:45:10.928-07:00,59.970001220703125,0,0
2022-04-01T18:00:09.707-07:00,59.97999954223633,0,0
2022-04-01T18:15:09.577-07:00,60.0099983215332,0,0
2022-04-01T18:30:00.951-07:00,60.02000045776367,0,0
2022-04-01T18:45:09.806-07:00,60.0099983215332,0,0
2022-04-01T19:00:09.474-07:00,60.0,0,0
2022-04-01T19:15:10.126-07:00,60.02000045776367,0,0
2022-04-01T19:30:00.740-07:00,60.02000045776367,0,0
2022-04-01T19:45:09.593-07:00,60.0099983215332,0,0
2022-04-01T20:00:09.823-07:00,60.0099983215332,0,0
2022-04-01T20:15:09.251-07:00,60.02000045776367,0,0
2022-04-01T20:30:00.755-07:00,59.9900016784668,0,0
2022-04-01T20:45:10.329-07:00,60.02000045776367,0,0
2022-04-01T21:00:09.156-07:00,60.0,0,0
2022-04-01T21:15:09.588-07:00,60.029998779296875,0,0
2022-04-01T21:30:10.218-07:00,60.0099983215332,0,0
2022-04-01T21:45:10.165-07:00,60.0,0,0
2022-04-01T22:00:10.370-07:00,60.0,0,0
2022-04-01T22:15:09.883-07:00,60.02000045776367,0,0
2022-04-01T22:30:09.652-07:00,60.029998779296875,0,0
2022-04-01T22:45:10.113-07:00,60.02000045776367,0,0
2022-04-01T23:00:09.627-07:00,60.02000045776367,0,0
2022-04-01T23:15:09.699-07:00,60.0099983215332,0,0
2022-04-01T23:30:10.863-07:00,60.0,0,0
2022-04-01T23:45:10.709-07:00,60.029998779296875,0,0
2022-04-02T00:00:10.101-07:00,60.0,0,0
2022-04-02T00:15:00.736-07:00,60.02000045776367,0,0
2022-04-02T00:30:09.452-07:00,60.02000045776367,0,0
2022-04-02T00:45:10.282-07:00,60.0099983215332,0,0
2022-04-02T01:00:09.698-07:00,60.02000045776367,0,0
