t,v,s,r
2022-03-31T23:45:10.394-07:00,0,20,0
2022-04-01T00:00:10.279-07:00,0,20,0
2022-04-01T00:15:14.044-07:00,0,20,0
2022-04-01T00:30:09.759-07:00,0,20,0
2022-04-01T00:45:10.714-07:00,0,20,0
2022-04-01T01:00:13.040-07:00,0,20,0
2022-04-01T01:15:10.325-07:00,0,20,0
2022-04-01T01:30:11.554-07:00,0,20,0
2022-04-01T01:45:12.126-07:00,0,20,0
2022-04-01T02:00:01.353-07:00,0,20,0
2022-04-01T02:15:09.819-07:00,0,20,0
2022-04-01T02:30:09.648-07:00,0,20,0
2022-04-01T02:45:10.301-07:00,0,20,0
2022-04-01T03:00:00.768-07:00,0,20,0
2022-04-01T03:15:09.767-07:00,0,20,0
2022-04-01T03:30:10.176-07:00,0,20,0
2022-04-01T03:45:09.400-07:00,0,20,0
2022-04-01T04:00:10.592-07:00,0,20,0
2022-04-01T04:15:10.009-07:00,0,20,0
2022-04-01T04:30:10.713-07:00,0,20,0
2022-04-01T04:45:00.798-07:00,0,20,0
2022-04-01T05:00:13.001-07:00,0,20,0
2022-04-01T05:15:10.148-07:00,0,20,0
2022-04-01T05:30:10.307-07:00,0,20,0
2022-04-01T05:45:01.097-07:00,0,20,0
2022-04-01T06:00:10.078-07:00,0,20,0
2022-04-01T06:15:09.813-07:00,0,20,0
2022-04-01T06:30:10.070-07:00,0,20,0
2022-04-01T06:45:10.509-07:00,0,20,0
2022-04-01T07:00:10.012-07:00,0,20,0
2022-04-01T07:15:10.479-07:00,0,20,0
2022-04-01T07:30:00.829-07:00,0,20,0
2022-04-01T07:45:09.976-07:00,0,20,0
2022-04-01T08:00:09.431-07:00,0,20,0
2022-04-01T08:15:10.827-07:00,0,20,0
2022-04-01T08:30:11.914-07:00,0,20,0
2022-04-01T08:45:10.690-07:00,0,20,0
2022-04-01T09:00:10.003-07:00,0,20,0
2022-04-01T09:15:10.690-07:00,0,20,0
2022-04-01T09:30:10.933-07:00,0,20,0
2022-04-01T09:45:11.202-07:00,0,20,0
2022-04-01T10:00:10.154-07:00,0,20,0
2022-04-01T10:15:09.955-07:00,0,20,0
2022-04-01T10:30:10.961-07:00,0,20,0
2022-04-01T10:45:10.169-07:00,0,20,0
2022-04-01T11:00:09.425-07:00,0,20,0
2022-04-01T11:15:10.098-07:00,0,20,0
2022-04-01T11:30:09.764-07:00,0,20,0
2022-04-01T11:45:10.440-07:00,0,20,0
2022-04-01T12:00:09.941-07:00,0,20,0
2022-04-01T12:15:09.829-07:00,0,20,0
2022-04-01T12:30:10.231-07:00,0,20,0
2022-04-01T12:45:09.948-07:00,0,20,0
2022-04-01T13:00:09.943-07:00,0,20,0
2022-04-01T13:15:09.758-07:00,0,20,0
2022-04-01T13:30:03.639-07:00,0,20,0
2022-04-01T13:45:10.040-07:00,0,20,0
2022-04-01T14:00:10.485-07:00,0,20,0
2022-04-01T14:15:09.935-07:00,0,20,0
2022-04-01T14:30:00.777-07:00,0,20,0
2022-04-01T14:45:12.310-07:00,0,20,0
2022-04-01T15:00:10.426-07:00,0,20,0
2022-04-01T15:15:09.818-07:00,0,20,0
2022-04-01T15:30:00.550-07:00,0,20,0
2022-04-01T15:45:10.234-07:00,0,20,0
2022-04-01T16:00:09.830-07:00,0,20,0
2022-04-01T16:15:10.132-07:00,0,20,0
2022-04-01T16:30:01.394-07:00,0,20,0
2022-04-01T16:45:10.252-07:00,0,20,0
2022-04-01T17:00:09.358-07:00,0,20,0
2022-04-01T17:15:10.455-07:00,0,20,0
2022-04-01T17:30:00.795-07:00,0,20,0
2022-04-01T17:45:11.274-07:00,0,20,0
2022-04-01T18:00:10.068-07:00,0,20,0
2022-04-01T18:15:09.959-07:00,0,20,0
2022-04-01T18:30:00.975-07:00,0,20,0
2022-04-01T18:45:10.199-07:00,0,20,0
2022-04-01T19:00:09.813-07:00,0,20,0
2022-04-01T19:15:10.440-07:00,0,20,0
2022-04-01T19:30:00.759-07:00,0,20,0
2022-04-01T19:45:09.915-07:00,0,20,0
2022-04-01T20:00:10.388-07:00,0,20,0
2022-04-01T20:15:09.559-07:00,0,20,0
2022-04-01T20:30:00.777-07:00,0,20,0
2022-04-01T20:45:10.736-07:00,0,20,0
2022-04-01T21:00:09.474-07:00,0,20,0
2022-04-01T21:15:09.905-07:00,0,20,0
2022-04-01T21:30:10.566-07:00,0,20,0
2022-04-01T21:45:10.423-07:00,0,20,0
2022-04-01T22:00:10.685-07:00,0,20,0
2022-04-01T22:15:10.474-07:00,0,20,0
2022-04-01T22:30:09.953-07:00,0,20,0
2022-04-01T22:45:10.574-07:00,0,20,0
2022-04-01T23:00:09.995-07:00,0,20,0
2022-04-01T23:15:10.105-07:00,0,20,0
2022-04-01T23:30:11.243-07:00,0,20,0
2022-04-01T23:45:11.118-07:00,0,20,0
2022-04-02T00:00:10.424-07:00,0,20,0
2022-04-02T00:15:00.761-07:00,0,20,0
2022-04-02T00:30:09.820-07:00,0,20,0
2022-04-02T00:45:10.658-07:00,0,20,0
2022-04-02T01:00:10.062-07:00,0,20,0
2022-04-02T01:15:10.491-07:00,0,20,0
2022-04-02T01:30:10.864-07:00,0,20,0
2022-04-02T01:45:10.332-07:00,0,20,0
2022-04-02T02:00:11.355-07:00,0,20,0
2022-04-02T02:15:11.442-07:00,0,20,0
2022-04-02T02:30:10.393-07:00,0,20,0
2022-04-02T02:45:09.957-07:00,0,20,0
2022-04-02T03:00:11.007-07:00,0,20,0
2022-04-02T03:15:09.678-07:00,0,20,0
2022-04-02T03:30:10.416-07:00,0,20,0
2022-04-02T03:45:09.730-07:00,0,20,0
2022-04-02T04:00:00.779-07:00,0,20,0
2022-04-02T04:15:09.485-07:00,0,20,0
2022-04-02T04:30:09.842-07:00,0,20,0
2022-04-02T04:45:10.638-07:00,0,20,0
2022-04-02T05:00:13.941-07:00,0,20,0
2022-04-02T05:15:09.609-07:00,0,20,0
