t,v,s,r
2022-03-31T23:45:10.428-07:00,0,20,0
2022-04-01T00:00:10.343-07:00,0,20,0
2022-04-01T00:15:14.068-07:00,0,20,0
2022-04-01T00:30:09.828-07:00,0,20,0
2022-04-01T00:45:10.743-07:00,0,20,0
2022-04-01T01:00:13.070-07:00,0,20,0
2022-04-01T01:15:10.358-07:00,0,20,0
2022-04-01T01:30:11.593-07:00,0,20,0
2022-04-01T01:45:12.177-07:00,0,20,0
2022-04-01T02:00:01.360-07:00,0,20,0
2022-04-01T02:15:09.852-07:00,0,20,0
2022-04-01T02:30:09.691-07:00,0,20,0
2022-04-01T02:45:10.355-07:00,0,20,0
2022-04-01T03:00:00.771-07:00,0,20,0
2022-04-01T03:15:09.791-07:00,0,20,0
2022-04-01T03:30:10.210-07:00,0,20,0
2022-04-01T03:45:09.436-07:00,0,20,0
2022-04-01T04:00:10.622-07:00,0,20,0
2022-04-01T04:15:10.039-07:00,0,20,0
2022-04-01T04:30:10.759-07:00,0,20,0
2022-04-01T04:45:00.813-07:00,0,20,0
2022-04-01T05:00:13.039-07:00,0,20,0
2022-04-01T05:15:10.199-07:00,0,20,0
2022-04-01T05:30:10.354-07:00,0,20,0
2022-04-01T05:45:01.099-07:00,0,20,0
2022-04-01T06:00:10.154-07:00,0,20,0
2022-04-01T06:15:09.843-07:00,0,20,0
2022-04-01T06:30:10.097-07:00,0,20,0
2022-04-01T06:45:10.557-07:00,0,20,0
2022-04-01T07:00:10.037-07:00,0,20,0
2022-04-01T07:15:10.505-07:00,0,20,0
2022-04-01T07:30:00.831-07:00,0,20,0
2022-04-01T07:45:10.017-07:00,0,20,0
2022-04-01T08:00:09.477-07:00,0,20,0
2022-04-01T08:15:10.904-07:00,0,20,0
2022-04-01T08:30:11.948-07:00,0,20,0
2022-04-01T08:45:10.741-07:00,0,20,0
2022-04-01T09:00:10.038-07:00,0,20,0
2022-04-01T09:15:10.715-07:00,0,20,0
2022-04-01T09:30:10.967-07:00,0,20,0
2022-04-01T09:45:11.246-07:00,0,20,0
2022-04-01T10:00:10.201-07:00,0,20,0
2022-04-01T10:15:09.984-07:00,0,20,0
2022-04-01T10:30:10.988-07:00,0,20,0
2022-04-01T10:45:10.218-07:00,0,20,0
2022-04-01T11:00:09.465-07:00,0,20,0
2022-04-01T11:15:10.158-07:00,0,20,0
2022-04-01T11:30:09.796-07:00,0,20,0
2022-04-01T11:45:10.510-07:00,0,20,0
2022-04-01T12:00:09.993-07:00,0,20,0
2022-04-01T12:15:09.867-07:00,0,20,0
2022-04-01T12:30:10.257-07:00,0,20,0
2022-04-01T12:45:09.989-07:00,0,20,0
2022-04-01T13:00:09.968-07:00,0,20,0
2022-04-01T13:15:09.826-07:00,0,20,0
2022-04-01T13:30:03.643-07:00,0,20,0
2022-04-01T13:45:10.104-07:00,0,20,0
2022-04-01T14:00:10.511-07:00,0,20,0
2022-04-01T14:15:09.983-07:00,0,20,0
2022-04-01T14:30:00.779-07:00,0,20,0
2022-04-01T14:45:12.343-07:00,0,20,0
2022-04-01T15:00:10.466-07:00,0,20,0
2022-04-01T15:15:09.859-07:00,0,20,0
2022-04-01T15:30:00.552-07:00,0,20,0
2022-04-01T15:45:10.264-07:00,0,20,0
2022-04-01T16:00:09.854-07:00,0,20,0
2022-04-01T16:15:10.157-07:00,0,20,0
2022-04-01T16:30:01.396-07:00,0,20,0
2022-04-01T16:45:10.298-07:00,0,20,0
2022-04-01T17:00:09.388-07:00,0,20,0
2022-04-01T17:15:10.484-07:00,0,20,0
2022-04-01T17:30:00.797-07:00,0,20,0
