t,v,s,r
2022-03-31T23:45:11.803-07:00,489,0,0
2022-04-01T00:00:11.814-07:00,489,0,0
2022-04-01T00:15:12.610-07:00,490,0,0
2022-04-01T00:30:11.879-07:00,491,0,0
2022-04-01T00:45:12.223-07:00,487,0,0
2022-04-01T01:00:11.710-07:00,487,0,0
2022-04-01T01:15:11.806-07:00,488,0,0
2022-04-01T01:30:11.767-07:00,488,0,0
2022-04-01T01:45:11.534-07:00,489,0,0
2022-04-01T02:00:11.791-07:00,488,0,0
2022-04-01T02:15:11.356-07:00,488,0,0
2022-04-01T02:30:11.632-07:00,489,0,0
2022-04-01T02:45:12.042-07:00,489,0,0
2022-04-01T03:00:11.630-07:00,488,0,0
2022-04-01T03:15:11.830-07:00,488,0,0
2022-04-01T03:30:11.755-07:00,488,0,0
2022-04-01T03:45:13.449-07:00,488,0,0
2022-04-01T04:00:11.860-07:00,486,0,0
2022-04-01T04:15:11.666-07:00,490,0,0
2022-04-01T04:30:11.577-07:00,490,0,0
2022-04-01T04:45:12.035-07:00,490,0,0
2022-04-01T05:00:11.562-07:00,489,0,0
2022-04-01T05:15:11.817-07:00,491,0,0
2022-04-01T05:30:12.022-07:00,491,0,0
2022-04-01T05:45:11.583-07:00,491,0,0
2022-04-01T06:00:11.901-07:00,488,0,0
2022-04-01T06:15:11.867-07:00,490,0,0
2022-04-01T06:30:11.430-07:00,487,0,0
2022-04-01T06:45:11.783-07:00,487,0,0
2022-04-01T07:00:11.763-07:00,487,0,0
2022-04-01T07:15:12.512-07:00,486,0,0
2022-04-01T07:30:11.668-07:00,491,0,0
2022-04-01T07:45:11.833-07:00,488,0,0
2022-04-01T08:00:11.601-07:00,488,0,0
2022-04-01T08:15:11.728-07:00,488,0,0
2022-04-01T08:30:11.792-07:00,490,0,0
2022-04-01T08:45:11.558-07:00,488,0,0
2022-04-01T09:00:11.564-07:00,487,0,0
2022-04-01T09:15:11.580-07:00,487,0,0
2022-04-01T09:30:11.820-07:00,493,0,0
2022-04-01T09:45:11.559-07:00,493,0,0
2022-04-01T10:00:11.514-07:00,493,0,0
2022-04-01T10:15:11.793-07:00,492,0,0
2022-04-01T10:30:11.899-07:00,490,0,0
2022-04-01T10:45:11.446-07:00,489,0,0
2022-04-01T11:00:12.128-07:00,490,0,0
2022-04-01T11:15:11.593-07:00,491,0,0
2022-04-01T11:30:12.426-07:00,493,0,0
2022-04-01T11:45:11.811-07:00,490,0,0
2022-04-01T12:00:11.541-07:00,489,0,0
2022-04-01T12:15:11.806-07:00,489,0,0
2022-04-01T12:30:12.274-07:00,489,0,0
