t,v,s,r
2022-03-31T23:45:11.962-07:00,59,0,0
2022-04-01T00:00:11.955-07:00,59,0,0
2022-04-01T00:15:12.755-07:00,59,0,0
2022-04-01T00:30:12.013-07:00,59,0,0
2022-04-01T00:45:12.387-07:00,59,0,0
2022-04-01T01:00:11.855-07:00,58,0,0
2022-04-01T01:15:11.949-07:00,59,0,0
2022-04-01T01:30:11.923-07:00,59,0,0
2022-04-01T01:45:11.677-07:00,59,0,0
2022-04-01T02:00:11.934-07:00,58,0,0
2022-04-01T02:15:11.509-07:00,58,0,0
2022-04-01T02:30:11.765-07:00,58,0,0
2022-04-01T02:45:12.203-07:00,59,0,0
2022-04-01T03:00:11.789-07:00,59,0,0
2022-04-01T03:15:11.967-07:00,58,0,0
2022-04-01T03:30:11.902-07:00,59,0,0
2022-04-01T03:45:13.591-07:00,58,0,0
2022-04-01T04:00:12.011-07:00,58,0,0
2022-04-01T04:15:11.828-07:00,60,0,0
2022-04-01T04:30:11.735-07:00,60,0,0
2022-04-01T04:45:12.174-07:00,59,0,0
2022-04-01T05:00:11.718-07:00,59,0,0
2022-04-01T05:15:11.970-07:00,61,0,0
2022-04-01T05:30:12.166-07:00,60,0,0
2022-04-01T05:45:11.729-07:00,60,0,0
2022-04-01T06:00:12.043-07:00,59,0,0
2022-04-01T06:15:12.025-07:00,60,0,0
2022-04-01T06:30:11.575-07:00,58,0,0
2022-04-01T06:45:11.936-07:00,58,0,0
2022-04-01T07:00:11.918-07:00,58,0,0
2022-04-01T07:15:12.650-07:00,58,0,0
2022-04-01T07:30:11.827-07:00,59,0,0
2022-04-01T07:45:11.995-07:00,57,0,0
2022-04-01T08:00:11.758-07:00,57,0,0
2022-04-01T08:15:11.881-07:00,57,0,0
2022-04-01T08:30:11.961-07:00,57,0,0
2022-04-01T08:45:11.701-07:00,58,0,0
2022-04-01T09:00:11.708-07:00,57,0,0
2022-04-01T09:15:11.733-07:00,57,0,0
2022-04-01T09:30:11.969-07:00,59,0,0
2022-04-01T09:45:11.705-07:00,59,0,0
2022-04-01T10:00:11.660-07:00,60,0,0
2022-04-01T10:15:11.937-07:00,59,0,0
2022-04-01T10:30:12.046-07:00,90,0,0
2022-04-01T10:45:11.607-07:00,91,0,0
2022-04-01T11:00:12.274-07:00,65,0,0
2022-04-01T11:15:11.780-07:00,63,0,0
2022-04-01T11:30:12.586-07:00,66,0,0
2022-04-01T11:45:11.967-07:00,65,0,0
2022-04-01T12:00:11.681-07:00,66,0,0
2022-04-01T12:15:11.955-07:00,63,0,0
2022-04-01T12:30:12.428-07:00,63,0,0
2022-04-01T12:45:12.224-07:00,65,0,0
2022-04-01T13:00:12.597-07:00,66,0,0
2022-04-01T13:15:11.988-07:00,64,0,0
2022-04-01T13:30:11.733-07:00,64,0,0
2022-04-01T13:45:13.230-07:00,67,0,0
2022-04-01T14:00:12.314-07:00,64,0,0
2022-04-01T14:15:13.415-07:00,64,0,0
2022-04-01T14:30:12.152-07:00,67,0,0
2022-04-01T14:45:11.942-07:00,65,0,0
2022-04-01T15:00:12.355-07:00,64,0,0
2022-04-01T15:15:12.192-07:00,63,0,0
2022-04-01T15:30:11.877-07:00,63,0,0
2022-04-01T15:45:12.291-07:00,63,0,0
2022-04-01T16:00:11.879-07:00,64,0,0
2022-04-01T16:15:11.812-07:00,64,0,0
2022-04-01T16:30:12.308-07:00,61,0,0
2022-04-01T16:45:12.735-07:00,61,0,0
2022-04-01T17:00:12.051-07:00,61,0,0
2022-04-01T17:15:13.020-07:00,62,0,0
2022-04-01T17:30:11.901-07:00,62,0,0
2022-04-01T17:45:12.082-07:00,64,0,0
2022-04-01T18:00:11.766-07:00,62,0,0
2022-04-01T18:15:11.819-07:00,61,0,0
2022-04-01T18:30:12.918-07:00,62,0,0
2022-04-01T18:45:11.792-07:00,62,0,0
2022-04-01T19:00:12.001-07:00,63,0,0
2022-04-01T19:15:11.917-07:00,65,0,0
2022-04-01T19:30:11.953-07:00,65,0,0
2022-04-01T19:45:11.869-07:00,62,0,0
2022-04-01T20:00:13.019-07:00,64,0,0
2022-04-01T20:15:11.898-07:00,62,0,0
2022-04-01T20:30:12.100-07:00,62,0,0
2022-04-01T20:45:11.748-07:00,63,0,0
2022-04-01T21:00:12.128-07:00,64,0,0
2022-04-01T21:15:12.123-07:00,63,0,0
2022-04-01T21:30:11.656-07:00,61,0,0
2022-04-01T21:45:12.984-07:00,58,0,0
2022-04-01T22:00:12.263-07:00,64,0,0
2022-04-01T22:15:12.036-07:00,62,0,0
2022-04-01T22:30:11.966-07:00,62,0,0
2022-04-01T22:45:12.023-07:00,60,0,0
2022-04-01T23:00:12.004-07:00,63,0,0
2022-04-01T23:15:12.023-07:00,62,0,0
2022-04-01T23:30:11.840-07:00,62,0,0
2022-04-01T23:45:11.958-07:00,61,0,0
2022-04-02T00:00:12.267-07:00,61,0,0
2022-04-02T00:15:11.651-07:00,61,0,0
2022-04-02T00:30:12.215-07:00,62,0,0
2022-04-02T00:45:13.326-07:00,62,0,0
2022-04-02T01:00:11.746-07:00,62,0,0
2022-04-02T01:15:12.091-07:00,62,0,0
2022-04-02T01:30:12.213-07:00,62,0,0
2022-04-02T01:45:11.782-07:00,62,0,0
2022-04-02T02:00:12.225-07:00,62,0,0
2022-04-02T02:15:12.706-07:00,63,0,0
2022-04-02T02:30:11.939-07:00,63,0,0
2022-04-02T02:45:11.796-07:00,62,0,0
2022-04-02T03:00:11.829-07:00,62,0,0
2022-04-02T03:15:12.011-07:00,62,0,0
2022-04-02T03:30:11.946-07:00,62,0,0
2022-04-02T03:45:11.825-07:00,61,0,0
2022-04-02T04:00:12.035-07:00,62,0,0
2022-04-02T04:15:11.851-07:00,62,0,0
2022-04-02T04:30:11.870-07:00,62,0,0
2022-04-02T04:45:12.017-07:00,62,0,0
2022-04-02T05:00:11.827-07:00,62,0,0
2022-04-02T05:15:11.957-07:00,62,0,0
2022-04-02T05:30:11.848-07:00,62,0,0
2022-04-02T05:45:12.487-07:00,62,0,0
2022-04-02T06:00:12.317-07:00,62,0,0
2022-04-02T06:15:13.343-07:00,63,0,0
2022-04-02T06:30:12.132-07:00,63,0,0
2022-04-02T06:45:12.112-07:00,64,0,0
2022-04-02T07:00:12.010-07:00,63,0,0
2022-04-02T07:15:12.288-07:00,61,0,0
2022-04-02T07:30:12.112-07:00,63,0,0
2022-04-02T07:45:11.987-07:00,63,0,0
2022-04-02T08:00:13.142-07:00,63,0,0
2022-04-02T08:15:11.637-07:00,65,0,0
2022-04-02T08:30:13.116-07:00,64,0,0
2022-04-02T08:45:11.950-07:00,63,0,0
2022-04-02T09:00:11.883-07:00,63,0,0
2022-04-02T09:15:12.045-07:00,62,0,0
2022-04-02T09:30:11.953-07:00,64,0,0
2022-04-02T09:45:13.354-07:00,61,0,0
2022-04-02T10:00:12.204-07:00,62,0,0
2022-04-02T10:15:11.815-07:00,64,0,0
2022-04-02T10:30:12.208-07:00,63,0,0
2022-04-02T10:45:11.856-07:00,62,0,0
2022-04-02T11:00:12.056-07:00,57,0,0
2022-04-02T11:15:12.373-07:00,63,0,0
2022-04-02T11:30:11.932-07:00,63,0,0
2022-04-02T11:45:12.032-07:00,65,0,0
2022-04-02T12:00:12.086-07:00,63,0,0
2022-04-02T12:15:11.730-07:00,63,0,0
2022-04-02T12:30:11.931-07:00,65,0,0
2022-04-02T12:45:11.912-07:00,64,0,0
2022-04-02T13:00:12.031-07:00,63,0,0
