t,v,s,r
2022-03-31T23:45:07.447-07:00,-0.9954187273979187,0,0
2022-04-01T00:00:07.463-07:00,-0.9957918524742126,0,0
2022-04-01T00:15:07.470-07:00,-0.995550274848938,0,0
2022-04-01T00:30:07.109-07:00,-0.9954899549484253,0,0
2022-04-01T00:45:07.834-07:00,-0.9956824779510498,0,0
2022-04-01T01:00:11.138-07:00,-0.9953331351280212,0,0
2022-04-01T01:15:07.235-07:00,-0.9956774115562439,0,0
2022-04-01T01:30:13.787-07:00,-0.9962802529335022,0,0
2022-04-01T01:45:07.567-07:00,-0.9957314729690552,0,0
2022-04-01T02:00:07.601-07:00,-0.9955794811248779,0,0
2022-04-01T02:15:07.466-07:00,-0.9964012503623962,0,0
2022-04-01T02:30:07.649-07:00,-0.9959556460380554,0,0
2022-04-01T02:45:07.602-07:00,-0.9955713152885437,0,0
2022-04-01T03:00:07.703-07:00,-0.9956750869750977,0,0
2022-04-01T03:15:07.546-07:00,-0.9961292743682861,0,0
2022-04-01T03:30:07.224-07:00,-0.9959526062011719,0,0
2022-04-01T03:45:07.634-07:00,-0.9947470426559448,0,0
2022-04-01T04:00:07.195-07:00,-0.9958115816116333,0,0
2022-04-01T04:15:07.610-07:00,-0.9965093731880188,0,0
2022-04-01T04:30:07.763-07:00,-0.9954000115394592,0,0
2022-04-01T04:45:07.768-07:00,-0.9961404204368591,0,0
2022-04-01T05:00:07.656-07:00,-0.9953687787055969,0,0
2022-04-01T05:15:07.522-07:00,-0.9958292245864868,0,0
2022-04-01T05:30:07.317-07:00,-0.9956382513046265,0,0
2022-04-01T05:45:07.102-07:00,-0.9961790442466736,0,0
2022-04-01T06:00:07.375-07:00,-0.996688961982727,0,0
2022-04-01T06:15:10.793-07:00,-0.9958856701850891,0,0
2022-04-01T06:30:07.348-07:00,-0.9961932301521301,0,0
2022-04-01T06:45:07.137-07:00,-0.9962975382804871,0,0
2022-04-01T07:00:07.450-07:00,-0.9960166215896606,0,0
2022-04-01T07:15:07.177-07:00,-0.9965640902519226,0,0
2022-04-01T07:30:07.340-07:00,-0.9963077902793884,0,0
2022-04-01T07:45:07.733-07:00,-0.9968451261520386,0,0
2022-04-01T08:00:07.206-07:00,-0.9975070953369141,0,0
2022-04-01T08:15:07.426-07:00,-0.9968581795692444,0,0
2022-04-01T08:30:07.294-07:00,-0.9968243837356567,0,0
2022-04-01T08:45:07.180-07:00,-0.9974033832550049,0,0
2022-04-01T09:00:07.553-07:00,-0.9966132044792175,0,0
2022-04-01T09:15:07.390-07:00,-0.9973286390304565,0,0
2022-04-01T09:30:07.710-07:00,-0.9947256445884705,0,0
2022-04-01T09:45:07.554-07:00,-0.9969068765640259,0,0
2022-04-01T10:00:07.569-07:00,-0.9976610541343689,0,0
2022-04-01T10:15:07.640-07:00,-0.9975263476371765,0,0
2022-04-01T10:30:07.632-07:00,-0.9974927306175232,0,0
2022-04-01T10:45:13.269-07:00,-0.9967690110206604,0,0
2022-04-01T11:00:07.890-07:00,-0.9973798394203186,0,0
2022-04-01T11:15:07.507-07:00,-0.9971653819084167,0,0
2022-04-01T11:30:08.267-07:00,-0.9968374371528625,0,0
2022-04-01T11:45:07.336-07:00,-0.9966151118278503,0,0
2022-04-01T12:00:07.454-07:00,-0.9967862963676453,0,0
2022-04-01T12:15:07.499-07:00,-0.9980175495147705,0,0
2022-04-01T12:30:07.507-07:00,-0.9970826506614685,0,0
2022-04-01T12:45:07.620-07:00,-0.9970265626907349,0,0
2022-04-01T13:00:07.517-07:00,-0.9966005682945251,0,0
2022-04-01T13:15:07.454-07:00,-0.9968057870864868,0,0
2022-04-01T13:30:07.364-07:00,-0.996561586856842,0,0
2022-04-01T13:45:07.440-07:00,-0.9960734844207764,0,0
2022-04-01T14:00:07.298-07:00,-0.9977508187294006,0,0
2022-04-01T14:15:07.008-07:00,-0.9968291521072388,0,0
2022-04-01T14:30:07.344-07:00,-0.9969679117202759,0,0
2022-04-01T14:45:07.050-07:00,-0.9965813159942627,0,0
2022-04-01T15:00:07.499-07:00,-0.9965554475784302,0,0
2022-04-01T15:15:08.085-07:00,-0.9970553517341614,0,0
2022-04-01T15:30:07.175-07:00,-0.9969347715377808,0,0
2022-04-01T15:45:11.033-07:00,-0.9967466592788696,0,0
2022-04-01T16:00:07.572-07:00,-0.9966926574707031,0,0
2022-04-01T16:15:07.483-07:00,-0.9970579147338867,0,0
2022-04-01T16:30:07.638-07:00,-0.9967226982116699,0,0
2022-04-01T16:45:09.734-07:00,-0.9967745542526245,0,0
2022-04-01T17:00:07.554-07:00,-0.9965347647666931,0,0
2022-04-01T17:15:07.855-07:00,-0.9963327050209045,0,0
2022-04-01T17:30:10.752-07:00,-0.9972158074378967,0,0
2022-04-01T17:45:10.364-07:00,-0.9967352747917175,0,0
2022-04-01T18:00:07.222-07:00,-0.9970200657844543,0,0
2022-04-01T18:15:07.349-07:00,-0.9964467287063599,0,0
2022-04-01T18:30:07.573-07:00,-0.9967531561851501,0,0
2022-04-01T18:45:07.729-07:00,-0.9968248605728149,0,0
2022-04-01T19:00:07.405-07:00,-0.9965465068817139,0,0
2022-04-01T19:15:07.692-07:00,-0.9964144825935364,0,0
2022-04-01T19:30:07.266-07:00,-0.9970260262489319,0,0
2022-04-01T19:45:07.467-07:00,-0.9969415068626404,0,0
2022-04-01T20:00:07.302-07:00,-0.9962131381034851,0,0
2022-04-01T20:15:07.928-07:00,-0.9959445595741272,0,0
2022-04-01T20:30:07.405-07:00,-0.9958240985870361,0,0
2022-04-01T20:45:07.621-07:00,-0.9961608052253723,0,0
2022-04-01T21:00:07.623-07:00,-0.9957820177078247,4,0
2022-04-01T21:15:07.625-07:00,-0.9962210655212402,0,0
2022-04-01T21:30:07.288-07:00,-0.9954731464385986,0,0
2022-04-01T21:45:11.703-07:00,-0.995940089225769,0,0
2022-04-01T22:00:07.165-07:00,-0.995915412902832,0,0
2022-04-01T22:15:07.382-07:00,-0.9957428574562073,0,0
2022-04-01T22:30:07.835-07:00,-0.9954591393470764,0,0
2022-04-01T22:45:10.748-07:00,-0.9958041906356812,0,0
2022-04-01T23:00:07.537-07:00,-0.9947725534439087,0,0
2022-04-01T23:15:07.742-07:00,-0.9958198070526123,0,0
2022-04-01T23:30:07.435-07:00,-0.9947255253791809,0,0
2022-04-01T23:45:07.755-07:00,-0.9960148930549622,0,0
2022-04-02T00:00:07.463-07:00,-0.9955071210861206,0,0
2022-04-02T00:15:07.441-07:00,-0.9962307810783386,0,0
2022-04-02T00:30:07.750-07:00,-0.9955081939697266,0,0
2022-04-02T00:45:07.194-07:00,-0.9950610995292664,0,0
2022-04-02T01:00:07.789-07:00,-0.9947965145111084,0,0
2022-04-02T01:15:07.498-07:00,-0.9959506988525391,0,0
2022-04-02T01:30:07.470-07:00,-0.9947341084480286,0,0
2022-04-02T01:45:07.094-07:00,-0.9946531653404236,0,0
2022-04-02T02:00:07.474-07:00,-0.9951109886169434,0,0
2022-04-02T02:15:12.963-07:00,-0.9949889779090881,0,0
2022-04-02T02:30:07.578-07:00,-0.9948305487632751,0,0
2022-04-02T02:45:07.297-07:00,-0.9947968125343323,0,0
2022-04-02T03:00:07.268-07:00,-0.9952349066734314,0,0
2022-04-02T03:15:07.234-07:00,-0.9948300123214722,0,0
2022-04-02T03:30:13.797-07:00,-0.9946551322937012,0,0
2022-04-02T03:45:07.291-07:00,-0.9949533343315125,0,0
2022-04-02T04:00:07.182-07:00,-0.9945167303085327,4,0
2022-04-02T04:15:07.518-07:00,-0.994431734085083,0,0
2022-04-02T04:30:07.551-07:00,-0.9951683878898621,0,0
