t,v,s,r
2022-03-31T23:45:07.585-07:00,488.4022216796875,0,0
2022-04-01T00:00:07.601-07:00,488.7642517089844,0,0
2022-04-01T00:15:07.592-07:00,488.9632568359375,0,0
2022-04-01T00:30:07.226-07:00,488.5908203125,0,0
2022-04-01T00:45:07.948-07:00,489.1617736816406,0,0
2022-04-01T01:00:11.268-07:00,488.9667663574219,0,0
2022-04-01T01:15:07.428-07:00,489.17681884765625,0,0
2022-04-01T01:30:13.912-07:00,489.1181335449219,0,0
2022-04-01T01:45:07.686-07:00,488.8049621582031,0,0
2022-04-01T02:00:07.710-07:00,489.0386047363281,0,0
2022-04-01T02:15:07.581-07:00,488.57220458984375,0,0
2022-04-01T02:30:07.759-07:00,488.9040832519531,0,0
2022-04-01T02:45:07.727-07:00,489.21759033203125,0,0
2022-04-01T03:00:07.875-07:00,489.0185241699219,0,0
2022-04-01T03:15:07.724-07:00,488.62286376953125,0,0
2022-04-01T03:30:07.344-07:00,488.71063232421875,0,0
2022-04-01T03:45:07.786-07:00,488.9684753417969,0,0
2022-04-01T04:00:07.311-07:00,489.2269287109375,0,0
2022-04-01T04:15:07.757-07:00,488.4766845703125,0,0
2022-04-01T04:30:07.888-07:00,489.1194763183594,0,0
2022-04-01T04:45:07.891-07:00,489.2109069824219,0,0
2022-04-01T05:00:07.762-07:00,488.7547912597656,0,0
2022-04-01T05:15:07.689-07:00,489.2698669433594,0,0
2022-04-01T05:30:07.483-07:00,488.74560546875,0,0
2022-04-01T05:45:07.629-07:00,489.2486267089844,0,0
2022-04-01T06:00:07.497-07:00,488.30072021484375,0,0
2022-04-01T06:15:10.918-07:00,488.2756652832031,0,0
2022-04-01T06:30:07.482-07:00,489.1253967285156,0,0
2022-04-01T06:45:07.246-07:00,488.52667236328125,0,0
2022-04-01T07:00:07.593-07:00,488.4096374511719,0,0
2022-04-01T07:15:07.291-07:00,488.892822265625,0,0
2022-04-01T07:30:07.460-07:00,488.85540771484375,0,0
2022-04-01T07:45:07.834-07:00,488.7628479003906,0,0
2022-04-01T08:00:07.331-07:00,488.9559020996094,0,0
2022-04-01T08:15:07.546-07:00,488.6385192871094,0,0
2022-04-01T08:30:07.446-07:00,488.708251953125,0,0
2022-04-01T08:45:07.298-07:00,487.80743408203125,0,0
2022-04-01T09:00:07.690-07:00,488.4466552734375,0,0
2022-04-01T09:15:07.510-07:00,488.4009094238281,0,0
2022-04-01T09:30:07.841-07:00,487.8965148925781,0,0
2022-04-01T09:45:07.698-07:00,489.0989990234375,0,0
2022-04-01T10:00:07.695-07:00,487.3594970703125,0,0
2022-04-01T10:15:07.789-07:00,488.0915222167969,0,0
2022-04-01T10:30:07.758-07:00,487.8790283203125,0,0
2022-04-01T10:45:13.411-07:00,488.3157043457031,0,0
2022-04-01T11:00:08.011-07:00,487.4232177734375,0,0
2022-04-01T11:15:07.621-07:00,488.8099670410156,0,0
2022-04-01T11:30:08.376-07:00,488.39947509765625,0,0
2022-04-01T11:45:07.554-07:00,488.3177185058594,0,0
2022-04-01T12:00:07.580-07:00,488.50543212890625,0,0
2022-04-01T12:15:07.633-07:00,489.2976379394531,0,0
2022-04-01T12:30:07.616-07:00,488.3933410644531,0,0
2022-04-01T12:45:07.733-07:00,488.1008605957031,0,0
2022-04-01T13:00:07.653-07:00,487.9683532714844,0,0
