t,v,s,r
2022-03-31T23:45:07.706-07:00,35.646881103515625,0,0
2022-04-01T00:00:07.732-07:00,32.52733612060547,0,0
2022-04-01T00:15:07.713-07:00,32.31412887573242,0,0
2022-04-01T00:30:07.364-07:00,35.241233825683594,0,0
2022-04-01T00:45:08.065-07:00,30.91738510131836,0,0
2022-04-01T01:00:11.438-07:00,34.327186584472656,0,0
2022-04-01T01:15:07.555-07:00,31.40749740600586,0,0
2022-04-01T01:30:14.084-07:00,31.055908203125,0,0
2022-04-01T01:45:07.806-07:00,32.675907135009766,0,0
2022-04-01T02:00:07.822-07:00,32.96131896972656,0,0
2022-04-01T02:15:07.705-07:00,34.3294792175293,0,0
2022-04-01T02:30:07.903-07:00,31.255809783935547,0,0
2022-04-01T02:45:07.839-07:00,32.565460205078125,0,0
2022-04-01T03:00:08.008-07:00,33.63420867919922,0,0
2022-04-01T03:15:07.926-07:00,33.56385040283203,0,0
2022-04-01T03:30:07.454-07:00,32.59895706176758,0,0
2022-04-01T03:45:07.909-07:00,35.49155807495117,0,0
2022-04-01T04:00:07.415-07:00,32.391876220703125,0,0
2022-04-01T04:15:07.917-07:00,34.475120544433594,0,0
2022-04-01T04:30:08.012-07:00,33.22584533691406,0,0
2022-04-01T04:45:08.031-07:00,31.217632293701172,0,0
2022-04-01T05:00:07.881-07:00,34.742889404296875,0,0
2022-04-01T05:15:07.804-07:00,31.979267120361328,0,0
2022-04-01T05:30:07.610-07:00,34.124786376953125,0,0
2022-04-01T05:45:08.950-07:00,30.453811645507812,0,0
2022-04-01T06:00:07.608-07:00,34.000083923339844,0,0
2022-04-01T06:15:11.053-07:00,38.46290588378906,0,0
2022-04-01T06:30:07.614-07:00,31.569116592407227,0,0
2022-04-01T06:45:07.362-07:00,34.06510925292969,0,0
2022-04-01T07:00:07.704-07:00,32.59979248046875,0,0
2022-04-01T07:15:07.450-07:00,33.394325256347656,0,0
2022-04-01T07:30:07.567-07:00,32.522438049316406,0,0
2022-04-01T07:45:07.960-07:00,31.44807243347168,0,0
2022-04-01T08:00:07.466-07:00,27.75103187561035,0,0
2022-04-01T08:15:07.694-07:00,32.422489166259766,0,0
2022-04-01T08:30:07.620-07:00,32.475887298583984,0,0
2022-04-01T08:45:07.410-07:00,32.51150894165039,0,0
2022-04-01T09:00:08.043-07:00,32.7926139831543,0,0
2022-04-01T09:15:07.649-07:00,30.73451042175293,0,0
2022-04-01T09:30:07.958-07:00,36.900123596191406,0,0
2022-04-01T09:45:07.868-07:00,29.551525115966797,0,0
2022-04-01T10:00:07.801-07:00,31.43651008605957,0,0
2022-04-01T10:15:07.967-07:00,31.16661262512207,0,0
2022-04-01T10:30:07.880-07:00,30.298818588256836,0,0
2022-04-01T10:45:13.607-07:00,32.740936279296875,0,0
2022-04-01T11:00:08.176-07:00,35.36509704589844,0,0
2022-04-01T11:15:07.751-07:00,30.21329116821289,0,0
2022-04-01T11:30:08.521-07:00,33.737972259521484,0,0
2022-04-01T11:45:07.665-07:00,33.104087829589844,0,0
2022-04-01T12:00:07.721-07:00,33.09083557128906,0,0
2022-04-01T12:15:07.750-07:00,23.11289405822754,0,0
2022-04-01T12:30:07.728-07:00,33.44219207763672,0,0
2022-04-01T12:45:07.843-07:00,33.124107360839844,0,0
2022-04-01T13:00:07.781-07:00,36.39561080932617,0,0
2022-04-01T13:15:07.721-07:00,34.13779067993164,0,0
2022-04-01T13:30:07.603-07:00,32.218902587890625,0,0
2022-04-01T13:45:07.769-07:00,36.12677764892578,0,0
2022-04-01T14:00:07.527-07:00,31.333850860595703,0,0
2022-04-01T14:15:07.275-07:00,33.8548583984375,0,0
2022-04-01T14:30:07.593-07:00,32.50304412841797,0,0
2022-04-01T14:45:07.282-07:00,32.763526916503906,0,0
2022-04-01T15:00:07.745-07:00,35.58179473876953,0,0
2022-04-01T15:15:08.288-07:00,34.564247131347656,0,0
2022-04-01T15:30:07.528-07:00,34.80091094970703,0,0
2022-04-01T15:45:11.304-07:00,33.0915412902832,0,0
2022-04-01T16:00:07.851-07:00,33.04872131347656,0,0
2022-04-01T16:15:07.711-07:00,34.957801818847656,0,0
2022-04-01T16:30:07.887-07:00,33.94869613647461,0,0
2022-04-01T16:45:10.015-07:00,31.946998596191406,0,0
2022-04-01T17:00:07.773-07:00,33.806915283203125,0,0
2022-04-01T17:15:08.093-07:00,32.63433074951172,0,0
2022-04-01T17:30:11.003-07:00,33.29353332519531,0,0
2022-04-01T17:45:10.649-07:00,32.52191162109375,0,0
2022-04-01T18:00:07.518-07:00,31.848163604736328,0,0
2022-04-01T18:15:07.583-07:00,33.19704818725586,0,0
2022-04-01T18:30:07.799-07:00,31.80565643310547,0,0
2022-04-01T18:45:08.004-07:00,32.72692108154297,0,0
2022-04-01T19:00:07.638-07:00,32.64575958251953,0,0
2022-04-01T19:15:07.942-07:00,33.10627746582031,0,0
2022-04-01T19:30:07.522-07:00,33.1373291015625,0,0
2022-04-01T19:45:07.708-07:00,34.38706970214844,0,0
2022-04-01T20:00:07.838-07:00,36.95988845825195,0,0
2022-04-01T20:15:08.156-07:00,33.77657699584961,0,0
2022-04-01T20:30:07.693-07:00,35.127342224121094,0,0
2022-04-01T20:45:07.865-07:00,35.45351791381836,0,0
2022-04-01T21:00:07.858-07:00,35.41114807128906,4,0
2022-04-01T21:15:07.856-07:00,33.316612243652344,0,0
2022-04-01T21:30:07.537-07:00,35.193397521972656,0,0
