t,v,s,r
2022-03-31T23:45:07.677-07:00,360.35650634765625,0,0
2022-04-01T00:00:07.694-07:00,343.3056640625,0,0
2022-04-01T00:15:07.683-07:00,329.4981384277344,0,0
2022-04-01T00:30:07.325-07:00,355.12353515625,0,0
2022-04-01T00:45:08.027-07:00,320.1597595214844,0,0
2022-04-01T01:00:11.393-07:00,343.4054260253906,0,0
2022-04-01T01:15:07.521-07:00,326.9613342285156,0,0
2022-04-01T01:30:14.057-07:00,338.692138671875,0,0
2022-04-01T01:45:07.773-07:00,338.30145263671875,0,0
2022-04-01T02:00:07.786-07:00,339.21539306640625,0,0
2022-04-01T02:15:07.677-07:00,382.3345947265625,0,0
2022-04-01T02:30:07.873-07:00,339.02593994140625,0,0
2022-04-01T02:45:07.821-07:00,334.0487060546875,0,0
2022-04-01T03:00:07.965-07:00,344.49310302734375,0,0
2022-04-01T03:15:07.889-07:00,372.8902587890625,0,0
2022-04-01T03:30:07.423-07:00,351.8340759277344,0,0
2022-04-01T03:45:07.868-07:00,336.45147705078125,0,0
2022-04-01T04:00:07.389-07:00,335.8786315917969,0,0
2022-04-01T04:15:07.893-07:00,390.4960632324219,0,0
2022-04-01T04:30:07.979-07:00,333.4188232421875,0,0
2022-04-01T04:45:07.997-07:00,337.6530456542969,0,0
2022-04-01T05:00:07.849-07:00,344.90447998046875,0,0
2022-04-01T05:15:07.776-07:00,332.9281005859375,0,0
2022-04-01T05:30:07.569-07:00,351.1444396972656,0,0
2022-04-01T05:45:08.611-07:00,327.58343505859375,0,0
2022-04-01T06:00:07.576-07:00,402.2760009765625,0,0
2022-04-01T06:15:11.020-07:00,410.1097412109375,0,0
2022-04-01T06:30:07.576-07:00,350.01556396484375,0,0
2022-04-01T06:45:07.333-07:00,369.2785339355469,0,0
2022-04-01T07:00:07.680-07:00,366.7906494140625,0,0
2022-04-01T07:15:07.419-07:00,374.5984191894531,0,0
2022-04-01T07:30:07.543-07:00,356.94183349609375,0,0
2022-04-01T07:45:07.920-07:00,366.43707275390625,0,0
2022-04-01T08:00:07.433-07:00,367.869384765625,0,0
2022-04-01T08:15:07.663-07:00,383.38165283203125,0,0
2022-04-01T08:30:07.592-07:00,367.2104187011719,0,0
2022-04-01T08:45:07.377-07:00,434.16717529296875,0,0
2022-04-01T09:00:07.780-07:00,382.30548095703125,0,0
2022-04-01T09:15:07.611-07:00,395.0040283203125,0,0
2022-04-01T09:30:07.930-07:00,404.9408264160156,0,0
2022-04-01T09:45:07.832-07:00,359.59246826171875,0,0
2022-04-01T10:00:07.772-07:00,452.7482604980469,0,0
2022-04-01T10:15:07.926-07:00,409.24456787109375,0,0
2022-04-01T10:30:07.842-07:00,397.23419189453125,0,0
2022-04-01T10:45:13.580-07:00,385.7176208496094,0,0
2022-04-01T11:00:08.151-07:00,452.8390808105469,0,0
