t,v,s,r
2022-03-31T23:45:09.753-07:00,60.034908294677734,0,0
2022-04-01T00:00:09.751-07:00,60.028141021728516,0,0
2022-04-01T00:15:09.793-07:00,60.00060272216797,0,0
2022-04-01T00:30:09.602-07:00,59.996559143066406,0,0
2022-04-01T00:45:10.300-07:00,59.99137496948242,0,0
2022-04-01T01:00:13.584-07:00,60.01409149169922,0,0
2022-04-01T01:15:09.628-07:00,60.02854537963867,0,0
2022-04-01T01:30:16.242-07:00,59.977779388427734,0,0
2022-04-01T01:45:09.833-07:00,59.984317779541016,0,0
2022-04-01T02:00:10.232-07:00,59.99749755859375,0,0
2022-04-01T02:15:09.850-07:00,59.9923210144043,0,0
2022-04-01T02:30:10.115-07:00,60.0133056640625,0,0
2022-04-01T02:45:09.854-07:00,59.98403549194336,0,0
2022-04-01T03:00:10.181-07:00,59.991302490234375,0,0
2022-04-01T03:15:10.225-07:00,60.01456832885742,0,0
2022-04-01T03:30:09.503-07:00,60.01578140258789,0,0
2022-04-01T03:45:10.090-07:00,60.018428802490234,0,0
2022-04-01T04:00:09.762-07:00,60.010311126708984,0,0
2022-04-01T04:15:10.067-07:00,60.005348205566406,0,0
2022-04-01T04:30:13.324-07:00,60.02422332763672,0,0
2022-04-01T04:45:10.224-07:00,59.97840881347656,0,0
2022-04-01T05:00:09.904-07:00,60.02581024169922,0,0
2022-04-01T05:15:09.924-07:00,59.97349548339844,0,0
2022-04-01T05:30:09.841-07:00,59.98832321166992,0,0
2022-04-01T05:45:13.071-07:00,59.9930419921875,0,0
2022-04-01T06:00:09.932-07:00,59.99967956542969,0,0
2022-04-01T06:15:13.129-07:00,59.97909927368164,0,0
2022-04-01T06:30:09.846-07:00,60.0029411315918,0,0
2022-04-01T06:45:09.544-07:00,60.012550354003906,0,0
2022-04-01T07:00:09.818-07:00,59.999061584472656,0,0
2022-04-01T07:15:09.594-07:00,59.99748992919922,0,0
2022-04-01T07:30:09.663-07:00,59.99846267700195,0,0
2022-04-01T07:45:10.069-07:00,60.027931213378906,0,0
2022-04-01T08:00:09.628-07:00,60.03803253173828,0,0
2022-04-01T08:15:09.816-07:00,60.019474029541016,0,0
2022-04-01T08:30:09.744-07:00,60.02663040161133,0,0
2022-04-01T08:45:09.590-07:00,60.03261184692383,0,0
2022-04-01T09:00:10.189-07:00,60.02147674560547,0,0
2022-04-01T09:15:09.798-07:00,60.00838088989258,0,0
2022-04-01T09:30:10.193-07:00,60.02323913574219,0,0
2022-04-01T09:45:09.919-07:00,60.012535095214844,0,0
2022-04-01T10:00:10.061-07:00,60.00994110107422,0,0
2022-04-01T10:15:10.271-07:00,59.98677062988281,0,0
2022-04-01T10:30:10.069-07:00,60.0174674987793,0,0
2022-04-01T10:45:15.682-07:00,60.03289031982422,0,0
2022-04-01T11:00:10.309-07:00,60.00736999511719,0,0
2022-04-01T11:15:13.242-07:00,60.00004577636719,0,0
2022-04-01T11:30:10.723-07:00,59.971004486083984,0,0
2022-04-01T11:45:09.759-07:00,60.006954193115234,0,0
2022-04-01T12:00:10.120-07:00,59.991416931152344,0,0
2022-04-01T12:15:10.029-07:00,59.9997444152832,0,0
2022-04-01T12:30:09.965-07:00,60.0094108581543,0,0
2022-04-01T12:45:10.256-07:00,59.9903450012207,0,0
2022-04-01T13:00:10.119-07:00,59.991981506347656,0,0
2022-04-01T13:15:09.957-07:00,60.000789642333984,0,0
2022-04-01T13:30:10.023-07:00,60.015438079833984,0,0
2022-04-01T13:45:10.048-07:00,59.994449615478516,0,0
2022-04-01T14:00:09.701-07:00,59.982566833496094,0,0
2022-04-01T14:15:09.551-07:00,59.994873046875,0,0
2022-04-01T14:30:09.692-07:00,59.99538040161133,0,0
2022-04-01T14:45:09.459-07:00,60.00477981567383,0,0
2022-04-01T15:00:09.887-07:00,60.00057601928711,0,0
2022-04-01T15:15:10.319-07:00,60.021488189697266,0,0
2022-04-01T15:30:09.831-07:00,60.012603759765625,0,0
