t,v,s,r
2022-03-31T23:45:13.613-07:00,0,20,0
2022-04-01T00:00:13.736-07:00,0,20,0
2022-04-01T00:15:14.020-07:00,0,20,0
2022-04-01T00:30:13.941-07:00,0,20,0
2022-04-01T00:45:17.389-07:00,0,20,0
2022-04-01T01:00:17.508-07:00,0,20,0
2022-04-01T01:15:13.694-07:00,0,20,0
2022-04-01T01:30:20.186-07:00,0,20,0
2022-04-01T01:45:14.082-07:00,0,20,0
2022-04-01T02:00:14.233-07:00,0,20,0
2022-04-01T02:15:15.582-07:00,0,20,0
2022-04-01T02:30:14.282-07:00,0,20,0
2022-04-01T02:45:13.974-07:00,0,20,0
2022-04-01T03:00:13.967-07:00,0,20,0
2022-04-01T03:15:14.189-07:00,0,20,0
2022-04-01T03:30:13.781-07:00,0,20,0
2022-04-01T03:45:13.946-07:00,0,20,0
2022-04-01T04:00:13.865-07:00,0,20,0
2022-04-01T04:15:13.812-07:00,0,20,0
2022-04-01T04:30:17.249-07:00,0,20,0
2022-04-01T04:45:14.123-07:00,0,20,0
2022-04-01T05:00:14.038-07:00,0,20,0
2022-04-01T05:15:14.171-07:00,0,20,0
2022-04-01T05:30:13.763-07:00,0,20,0
2022-04-01T05:45:16.896-07:00,0,20,0
2022-04-01T06:00:17.147-07:00,0,20,0
2022-04-01T06:15:19.349-07:00,0,20,0
2022-04-01T06:30:13.751-07:00,0,20,0
2022-04-01T06:45:14.003-07:00,0,20,0
2022-04-01T07:00:13.701-07:00,0,20,0
2022-04-01T07:15:13.671-07:00,0,20,0
2022-04-01T07:30:13.857-07:00,0,20,0
2022-04-01T07:45:14.056-07:00,0,20,0
2022-04-01T08:00:13.680-07:00,0,20,0
2022-04-01T08:15:13.790-07:00,0,20,0
2022-04-01T08:30:13.710-07:00,0,20,0
2022-04-01T08:45:16.778-07:00,0,20,0
2022-04-01T09:00:14.278-07:00,0,20,0
2022-04-01T09:15:16.900-07:00,0,20,0
2022-04-01T09:30:14.631-07:00,0,20,0
2022-04-01T09:45:13.958-07:00,0,20,0
2022-04-01T10:00:13.910-07:00,0,20,0
2022-04-01T10:15:14.216-07:00,0,20,0
2022-04-01T10:30:13.847-07:00,0,20,0
2022-04-01T10:45:19.851-07:00,0,20,0
2022-04-01T11:00:14.016-07:00,0,20,0
2022-04-01T11:15:17.153-07:00,0,20,0
2022-04-01T11:30:14.616-07:00,0,20,0
2022-04-01T11:45:14.021-07:00,0,20,0
2022-04-01T12:00:14.261-07:00,0,20,0
2022-04-01T12:15:13.917-07:00,0,20,0
2022-04-01T12:30:14.132-07:00,0,20,0
2022-04-01T12:45:14.083-07:00,0,20,0
2022-04-01T13:00:14.315-07:00,0,20,0
2022-04-01T13:15:13.871-07:00,0,20,0
2022-04-01T13:30:14.079-07:00,0,20,0
2022-04-01T13:45:13.786-07:00,0,20,0
2022-04-01T14:00:19.964-07:00,0,20,0
2022-04-01T14:15:13.583-07:00,0,20,0
2022-04-01T14:30:13.441-07:00,0,20,0
2022-04-01T14:45:13.865-07:00,0,20,0
2022-04-01T15:00:14.167-07:00,0,20,0
2022-04-01T15:15:14.289-07:00,0,20,0
2022-04-01T15:30:13.749-07:00,0,20,0
2022-04-01T15:45:17.413-07:00,0,20,0
2022-04-01T16:00:17.606-07:00,0,20,0
2022-04-01T16:15:13.944-07:00,0,20,0
2022-04-01T16:30:13.960-07:00,0,20,0
2022-04-01T16:45:16.015-07:00,0,20,0
2022-04-01T17:00:17.939-07:00,0,20,0
2022-04-01T17:15:14.312-07:00,0,20,0
2022-04-01T17:30:17.428-07:00,0,20,0
2022-04-01T17:45:20.136-07:00,0,20,0
2022-04-01T18:00:13.560-07:00,0,20,0
2022-04-01T18:15:13.692-07:00,0,20,0
2022-04-01T18:30:13.766-07:00,0,20,0
2022-04-01T18:45:13.903-07:00,0,20,0
2022-04-01T19:00:14.055-07:00,0,20,0
2022-04-01T19:15:17.467-07:00,0,20,0
2022-04-01T19:30:13.844-07:00,0,20,0
2022-04-01T19:45:17.445-07:00,0,20,0
2022-04-01T20:00:13.741-07:00,0,20,0
2022-04-01T20:15:14.411-07:00,0,20,0
2022-04-01T20:30:14.410-07:00,0,20,0
2022-04-01T20:45:14.192-07:00,0,20,0
2022-04-01T21:00:13.795-07:00,0,20,0
2022-04-01T21:15:13.643-07:00,0,20,0
2022-04-01T21:30:13.677-07:00,0,20,0
2022-04-01T21:45:18.661-07:00,0,20,0
2022-04-01T22:00:13.932-07:00,0,20,0
2022-04-01T22:15:13.834-07:00,0,20,0
2022-04-01T22:30:14.053-07:00,0,20,0
2022-04-01T22:45:20.542-07:00,0,20,0
2022-04-01T23:00:13.992-07:00,0,20,0
2022-04-01T23:15:14.292-07:00,0,20,0
2022-04-01T23:30:14.100-07:00,0,20,0
2022-04-01T23:45:14.189-07:00,0,20,0
2022-04-02T00:00:13.718-07:00,0,20,0
2022-04-02T00:15:14.147-07:00,0,20,0
2022-04-02T00:30:14.251-07:00,0,20,0
2022-04-02T00:45:13.583-07:00,0,20,0
2022-04-02T01:00:14.075-07:00,0,20,0
2022-04-02T01:15:17.404-07:00,0,20,0
2022-04-02T01:30:14.068-07:00,0,20,0
2022-04-02T01:45:13.977-07:00,0,20,0
2022-04-02T02:00:14.516-07:00,0,20,0
2022-04-02T02:15:19.327-07:00,0,20,0
2022-04-02T02:30:13.861-07:00,0,20,0
2022-04-02T02:45:14.009-07:00,0,20,0
2022-04-02T03:00:13.898-07:00,0,20,0
2022-04-02T03:15:13.470-07:00,0,20,0
2022-04-02T03:30:20.313-07:00,0,20,0
2022-04-02T03:45:13.594-07:00,0,20,0
2022-04-02T04:00:13.643-07:00,0,20,0
2022-04-02T04:15:13.938-07:00,0,20,0
2022-04-02T04:30:13.987-07:00,0,20,0
2022-04-02T04:45:13.672-07:00,0,20,0
2022-04-02T05:00:20.379-07:00,0,20,0
2022-04-02T05:15:13.937-07:00,0,20,0
2022-04-02T05:30:14.190-07:00,0,20,0
2022-04-02T05:45:13.690-07:00,0,20,0
2022-04-02T06:00:13.846-07:00,0,20,0
2022-04-02T06:15:14.017-07:00,0,20,0
2022-04-02T06:30:14.143-07:00,0,20,0
2022-04-02T06:45:14.018-07:00,0,20,0
2022-04-02T07:00:19.386-07:00,0,20,0
2022-04-02T07:15:13.350-07:00,0,20,0
2022-04-02T07:30:14.649-07:00,0,20,0
