t,v,s,r
2022-03-31T23:45:13.732-07:00,0,22,0
2022-04-01T00:00:13.823-07:00,0,22,0
2022-04-01T00:15:14.115-07:00,0,22,0
2022-04-01T00:30:14.032-07:00,0,22,0
2022-04-01T00:45:17.498-07:00,0,22,0
2022-04-01T01:00:17.598-07:00,0,22,0
2022-04-01T01:15:13.774-07:00,0,22,0
2022-04-01T01:30:20.329-07:00,0,22,0
2022-04-01T01:45:14.177-07:00,0,22,0
2022-04-01T02:00:14.324-07:00,0,22,0
2022-04-01T02:15:16.506-07:00,0,22,0
2022-04-01T02:30:14.357-07:00,0,22,0
2022-04-01T02:45:14.059-07:00,0,22,0
2022-04-01T03:00:14.047-07:00,0,22,0
2022-04-01T03:15:14.281-07:00,0,22,0
2022-04-01T03:30:13.859-07:00,0,22,0
2022-04-01T03:45:14.071-07:00,0,22,0
2022-04-01T04:00:13.948-07:00,0,22,0
2022-04-01T04:15:13.903-07:00,0,22,0
2022-04-01T04:30:17.336-07:00,0,22,0
2022-04-01T04:45:14.208-07:00,0,22,0
2022-04-01T05:00:14.126-07:00,0,22,0
2022-04-01T05:15:14.251-07:00,0,22,0
2022-04-01T05:30:13.866-07:00,0,22,0
2022-04-01T05:45:17.001-07:00,0,22,0
2022-04-01T06:00:17.241-07:00,0,22,0
2022-04-01T06:15:20.242-07:00,0,22,0
2022-04-01T06:30:13.860-07:00,0,22,0
2022-04-01T06:45:14.093-07:00,0,22,0
2022-04-01T07:00:13.784-07:00,0,22,0
2022-04-01T07:15:13.763-07:00,0,22,0
2022-04-01T07:30:13.955-07:00,0,22,0
2022-04-01T07:45:14.151-07:00,0,22,0
2022-04-01T08:00:13.757-07:00,0,22,0
2022-04-01T08:15:13.890-07:00,0,22,0
2022-04-01T08:30:13.804-07:00,0,22,0
2022-04-01T08:45:16.857-07:00,0,22,0
2022-04-01T09:00:14.364-07:00,0,22,0
2022-04-01T09:15:17.026-07:00,0,22,0
2022-04-01T09:30:14.728-07:00,0,22,0
2022-04-01T09:45:14.038-07:00,0,22,0
2022-04-01T10:00:13.998-07:00,0,22,0
2022-04-01T10:15:14.313-07:00,0,22,0
2022-04-01T10:30:13.926-07:00,0,22,0
2022-04-01T10:45:19.948-07:00,0,22,0
2022-04-01T11:00:14.119-07:00,0,22,0
2022-04-01T11:15:17.229-07:00,0,22,0
2022-04-01T11:30:14.701-07:00,0,22,0
2022-04-01T11:45:14.200-07:00,0,22,0
2022-04-01T12:00:14.357-07:00,0,22,0
2022-04-01T12:15:14.085-07:00,0,22,0
2022-04-01T12:30:14.220-07:00,0,22,0
2022-04-01T12:45:14.176-07:00,0,22,0
2022-04-01T13:00:14.416-07:00,0,22,0
2022-04-01T13:15:13.964-07:00,0,22,0
2022-04-01T13:30:14.179-07:00,0,22,0
2022-04-01T13:45:13.902-07:00,0,22,0
2022-04-01T14:00:20.073-07:00,0,22,0
2022-04-01T14:15:13.668-07:00,0,22,0
2022-04-01T14:30:13.537-07:00,0,22,0
2022-04-01T14:45:13.962-07:00,0,22,0
2022-04-01T15:00:14.256-07:00,0,22,0
2022-04-01T15:15:14.378-07:00,0,22,0
2022-04-01T15:30:13.834-07:00,0,22,0
2022-04-01T15:45:17.498-07:00,0,22,0
2022-04-01T16:00:17.691-07:00,0,22,0
2022-04-01T16:15:14.074-07:00,0,22,0
2022-04-01T16:30:14.046-07:00,0,22,0
2022-04-01T16:45:16.110-07:00,0,22,0
2022-04-01T17:00:19.173-07:00,0,22,0
2022-04-01T17:15:14.434-07:00,0,22,0
2022-04-01T17:30:17.532-07:00,0,22,0
2022-04-01T17:45:20.249-07:00,0,22,0
2022-04-01T18:00:13.707-07:00,0,22,0
2022-04-01T18:15:13.862-07:00,0,22,0
2022-04-01T18:30:13.874-07:00,0,22,0
2022-04-01T18:45:13.981-07:00,0,22,0
2022-04-01T19:00:14.138-07:00,0,22,0
2022-04-01T19:15:17.563-07:00,0,22,0
2022-04-01T19:30:13.925-07:00,0,22,0
2022-04-01T19:45:17.546-07:00,0,22,0
2022-04-01T20:00:13.838-07:00,0,22,0
2022-04-01T20:15:14.497-07:00,0,22,0
2022-04-01T20:30:14.498-07:00,0,22,0
2022-04-01T20:45:14.322-07:00,0,22,0
2022-04-01T21:00:13.895-07:00,0,22,0
2022-04-01T21:15:13.725-07:00,0,22,0
2022-04-01T21:30:13.775-07:00,0,22,0
2022-04-01T21:45:18.762-07:00,0,22,0
2022-04-01T22:00:14.044-07:00,0,22,0
2022-04-01T22:15:13.930-07:00,0,22,0
2022-04-01T22:30:14.137-07:00,0,22,0
2022-04-01T22:45:20.642-07:00,0,22,0
2022-04-01T23:00:14.098-07:00,0,22,0
2022-04-01T23:15:14.384-07:00,0,22,0
2022-04-01T23:30:14.187-07:00,0,22,0
2022-04-01T23:45:14.281-07:00,0,22,0
2022-04-02T00:00:13.788-07:00,0,22,0
2022-04-02T00:15:14.227-07:00,0,22,0
2022-04-02T00:30:14.370-07:00,0,22,0
2022-04-02T00:45:13.666-07:00,0,22,0
2022-04-02T01:00:14.157-07:00,0,22,0
2022-04-02T01:15:17.502-07:00,0,22,0
2022-04-02T01:30:14.198-07:00,0,22,0
2022-04-02T01:45:14.075-07:00,0,22,0
2022-04-02T02:00:14.651-07:00,0,22,0
2022-04-02T02:15:19.419-07:00,0,22,0
2022-04-02T02:30:14.014-07:00,0,22,0
2022-04-02T02:45:14.106-07:00,0,22,0
