t,v,s,r
2022-03-31T23:45:04.938-07:00,0,20,0
2022-04-01T00:00:00.400-07:00,0,20,0
2022-04-01T00:15:04.995-07:00,0,20,0
2022-04-01T00:30:04.970-07:00,0,20,0
2022-04-01T00:45:05.252-07:00,0,20,0
2022-04-01T01:00:05.024-07:00,0,20,0
2022-04-01T01:15:04.881-07:00,0,20,0
2022-04-01T01:30:05.458-07:00,0,20,0
2022-04-01T01:45:04.957-07:00,0,20,0
2022-04-01T02:00:05.813-07:00,0,20,0
2022-04-01T02:15:04.969-07:00,0,20,0
2022-04-01T02:30:05.029-07:00,0,20,0
2022-04-01T02:45:04.898-07:00,0,20,0
2022-04-01T03:00:00.426-07:00,0,20,0
2022-04-01T03:15:05.499-07:00,0,20,0
2022-04-01T03:30:05.007-07:00,0,20,0
2022-04-01T03:45:05.152-07:00,0,20,0
2022-04-01T04:00:04.815-07:00,0,20,0
2022-04-01T04:15:04.917-07:00,0,20,0
2022-04-01T04:30:05.029-07:00,0,20,0
2022-04-01T04:45:05.507-07:00,0,20,0
2022-04-01T05:00:07.793-07:00,0,20,0
2022-04-01T05:15:05.128-07:00,0,20,0
2022-04-01T05:30:04.967-07:00,0,20,0
2022-04-01T05:45:07.078-07:00,0,20,0
2022-04-01T06:00:05.220-07:00,0,20,0
2022-04-01T06:15:05.622-07:00,0,20,0
2022-04-01T06:30:07.411-07:00,0,20,0
2022-04-01T06:45:05.014-07:00,0,20,0
2022-04-01T07:00:05.165-07:00,0,20,0
2022-04-01T07:15:05.121-07:00,0,20,0
2022-04-01T07:30:05.269-07:00,0,20,0
2022-04-01T07:45:05.195-07:00,0,20,0
2022-04-01T08:00:05.582-07:00,0,20,0
2022-04-01T08:15:05.089-07:00,0,20,0
2022-04-01T08:30:05.234-07:00,0,20,0
2022-04-01T08:45:05.000-07:00,0,20,0
2022-04-01T09:00:05.236-07:00,0,20,0
2022-04-01T09:15:03.069-07:00,0,20,0
2022-04-01T09:30:04.947-07:00,0,20,0
2022-04-01T09:45:04.924-07:00,0,20,0
2022-04-01T10:00:06.276-07:00,0,20,0
2022-04-01T10:15:04.964-07:00,0,20,0
2022-04-01T10:30:05.101-07:00,0,20,0
2022-04-01T10:45:05.146-07:00,0,20,0
2022-04-01T11:00:04.633-07:00,0,20,0
2022-04-01T11:15:05.108-07:00,0,20,0
2022-04-01T11:30:04.864-07:00,0,20,0
2022-04-01T11:45:04.980-07:00,0,20,0
2022-04-01T12:00:05.391-07:00,0,20,0
2022-04-01T12:15:05.716-07:00,0,20,0
2022-04-01T12:30:05.026-07:00,0,20,0
2022-04-01T12:45:05.175-07:00,0,20,0
2022-04-01T13:00:05.053-07:00,0,20,0
2022-04-01T13:15:05.473-07:00,0,20,0
2022-04-01T13:30:05.354-07:00,0,20,0
2022-04-01T13:45:05.148-07:00,0,20,0
2022-04-01T14:00:05.212-07:00,0,20,0
2022-04-01T14:15:05.106-07:00,0,20,0
2022-04-01T14:30:05.327-07:00,0,20,0
2022-04-01T14:45:06.039-07:00,0,20,0
2022-04-01T15:00:04.914-07:00,0,20,0
2022-04-01T15:15:05.367-07:00,0,20,0
2022-04-01T15:30:05.091-07:00,0,20,0
2022-04-01T15:45:05.654-07:00,0,20,0
2022-04-01T16:00:05.790-07:00,0,20,0
2022-04-01T16:15:05.030-07:00,0,20,0
2022-04-01T16:30:05.029-07:00,0,20,0
2022-04-01T16:45:05.096-07:00,0,20,0
2022-04-01T17:00:04.993-07:00,0,20,0
