t,v,s,r
2022-03-31T23:45:01.330-07:00,0.9120000004768372,0,0
2022-04-01T00:00:01.314-07:00,0.9139999747276306,0,0
2022-04-01T00:15:01.312-07:00,0.9120000004768372,0,0
2022-04-01T00:30:01.443-07:00,0.9139999747276306,0,0
2022-04-01T00:45:01.320-07:00,0.9129999876022339,0,0
2022-04-01T01:00:01.339-07:00,0.9139999747276306,0,0
2022-04-01T01:15:01.996-07:00,0.9120000004768372,0,0
2022-04-01T01:30:01.544-07:00,0.9240000247955322,0,0
2022-04-01T01:45:01.332-07:00,0.9120000004768372,0,0
2022-04-01T02:00:01.352-07:00,0.9129999876022339,0,0
2022-04-01T02:15:01.312-07:00,0.9110000133514404,0,0
2022-04-01T02:30:01.377-07:00,0.9120000004768372,0,0
2022-04-01T02:45:01.314-07:00,0.9129999876022339,0,0
2022-04-01T03:00:01.312-07:00,0.9139999747276306,0,0
2022-04-01T03:15:01.364-07:00,0.9120000004768372,0,0
2022-04-01T03:30:01.436-07:00,0.9129999876022339,0,0
2022-04-01T03:45:01.284-07:00,0.9129999876022339,0,0
2022-04-01T04:00:01.304-07:00,0.9120000004768372,0,0
2022-04-01T04:15:01.309-07:00,0.9100000262260437,0,0
2022-04-01T04:30:01.354-07:00,0.9120000004768372,0,0
2022-04-01T04:45:01.344-07:00,0.9110000133514404,0,0
2022-04-01T05:00:01.329-07:00,0.9129999876022339,0,0
2022-04-01T05:15:01.293-07:00,0.9110000133514404,0,0
2022-04-01T05:30:01.297-07:00,0.9210000038146973,0,0
2022-04-01T05:45:01.297-07:00,0.9139999747276306,0,0
2022-04-01T06:00:01.322-07:00,0.9150000214576721,0,0
2022-04-01T06:15:01.319-07:00,0.9160000085830688,0,0
2022-04-01T06:30:01.360-07:00,0.9160000085830688,0,0
2022-04-01T06:45:01.374-07:00,0.9240000247955322,0,0
2022-04-01T07:00:01.324-07:00,0.9229999780654907,0,0
2022-04-01T07:15:01.316-07:00,0.9860000014305115,0,0
2022-04-01T07:30:01.447-07:00,0.8949999809265137,0,0
2022-04-01T07:45:01.302-07:00,0.9869999885559082,0,0
2022-04-01T08:00:03.551-07:00,0.8799999952316284,0,0
2022-04-01T08:15:01.309-07:00,0.8820000290870667,0,0
2022-04-01T08:30:01.343-07:00,0.9789999723434448,0,0
2022-04-01T08:45:01.754-07:00,0.8600000143051147,0,0
2022-04-01T09:00:01.425-07:00,0.9670000076293945,0,0
2022-04-01T09:15:01.365-07:00,0.9639999866485596,0,0
2022-04-01T09:30:01.307-07:00,0.753000020980835,0,0
2022-04-01T09:45:01.336-07:00,0.6470000147819519,0,0
2022-04-01T10:00:01.290-07:00,0.8220000267028809,0,0
2022-04-01T10:15:00.122-07:00,0.8939999938011169,0,0
2022-04-01T10:30:01.381-07:00,0.9879999756813049,0,0
2022-04-01T10:45:01.364-07:00,0.9079999923706055,0,0
2022-04-01T11:00:01.309-07:00,0.984000027179718,0,0
2022-04-01T11:15:01.292-07:00,0.8899999856948853,0,0
2022-04-01T11:30:01.298-07:00,0.8349999785423279,0,0
2022-04-01T11:45:01.244-07:00,0.9769999980926514,0,0
2022-04-01T12:00:01.363-07:00,0.8600000143051147,0,0
2022-04-01T12:15:01.299-07:00,0.21199999749660492,0,0
2022-04-01T12:30:01.332-07:00,0.7160000205039978,0,0
2022-04-01T12:45:01.326-07:00,0.45899999141693115,0,0
2022-04-01T13:00:01.378-07:00,0.5600000023841858,0,0
2022-04-01T13:15:01.393-07:00,0.5400000214576721,0,0
2022-04-01T13:30:01.312-07:00,0.5230000019073486,0,0
2022-04-01T13:45:01.361-07:00,0.5690000057220459,0,0
2022-04-01T14:00:00.124-07:00,0.593999981880188,0,0
2022-04-01T14:15:01.312-07:00,0.5929999947547913,0,0
2022-04-01T14:30:01.288-07:00,0.5960000157356262,0,0
2022-04-01T14:45:01.409-07:00,0.6620000004768372,0,0
2022-04-01T15:00:01.334-07:00,0.6990000009536743,0,0
2022-04-01T15:15:01.343-07:00,0.6449999809265137,0,0
2022-04-01T15:30:01.293-07:00,0.699999988079071,0,0
2022-04-01T15:45:01.347-07:00,0.9430000185966492,0,0
2022-04-01T16:00:01.301-07:00,0.777999997138977,0,0
2022-04-01T16:15:01.279-07:00,0.9559999704360962,0,0
2022-04-01T16:30:01.297-07:00,0.8149999976158142,0,0
2022-04-01T16:45:01.318-07:00,0.9700000286102295,0,0
2022-04-01T17:00:01.314-07:00,0.9750000238418579,0,0
2022-04-01T17:15:01.351-07:00,0.8550000190734863,0,0
2022-04-01T17:30:01.378-07:00,0.9800000190734863,0,0
2022-04-01T17:45:02.734-07:00,0.8809999823570251,0,0
2022-04-01T18:00:01.341-07:00,0.984000027179718,0,0
2022-04-01T18:15:01.401-07:00,0.9020000100135803,0,0
2022-04-01T18:30:01.350-07:00,0.9110000133514404,0,0
2022-04-01T18:45:01.329-07:00,0.9879999756813049,0,0
2022-04-01T19:00:01.305-07:00,0.9129999876022339,0,0
2022-04-01T19:15:01.408-07:00,0.9879999756813049,0,0
2022-04-01T19:30:01.282-07:00,0.9200000166893005,0,0
2022-04-01T19:45:01.302-07:00,0.925000011920929,0,0
2022-04-01T20:00:01.305-07:00,0.921999990940094,0,0
2022-04-01T20:15:01.462-07:00,0.9210000038146973,0,0
2022-04-01T20:30:01.324-07:00,0.9309999942779541,0,0
2022-04-01T20:45:01.287-07:00,0.9179999828338623,0,0
2022-04-01T21:00:01.394-07:00,0.9190000295639038,0,0
2022-04-01T21:15:01.372-07:00,0.9210000038146973,0,0
2022-04-01T21:30:01.294-07:00,0.9190000295639038,0,0
2022-04-01T21:45:03.705-07:00,0.9200000166893005,0,0
2022-04-01T22:00:01.412-07:00,0.9179999828338623,0,0
2022-04-01T22:15:01.322-07:00,0.9169999957084656,0,0
2022-04-01T22:30:01.350-07:00,0.9150000214576721,0,0
2022-04-01T22:45:01.338-07:00,0.9150000214576721,0,0
