t,v,s,r
2022-03-31T23:45:01.928-07:00,16,0,0
2022-04-01T00:00:01.980-07:00,16,0,0
2022-04-01T00:15:03.806-07:00,16,0,0
2022-04-01T00:30:01.884-07:00,16,0,0
2022-04-01T00:45:01.889-07:00,16,0,0
2022-04-01T01:00:01.942-07:00,16,0,0
2022-04-01T01:15:01.966-07:00,16,0,0
2022-04-01T01:30:02.091-07:00,16,0,0
2022-04-01T01:45:02.029-07:00,16,0,0
2022-04-01T02:00:02.123-07:00,16,0,0
2022-04-01T02:15:01.908-07:00,17,0,0
2022-04-01T02:30:01.952-07:00,16,0,0
2022-04-01T02:45:01.915-07:00,16,0,0
2022-04-01T03:00:02.142-07:00,16,0,0
2022-04-01T03:15:01.828-07:00,16,0,0
2022-04-01T03:30:02.156-07:00,16,0,0
2022-04-01T03:45:00.891-07:00,16,0,0
2022-04-01T04:00:02.008-07:00,16,0,0
2022-04-01T04:15:02.305-07:00,15,0,0
2022-04-01T04:30:02.282-07:00,15,0,0
2022-04-01T04:45:02.906-07:00,16,0,0
2022-04-01T05:00:01.870-07:00,18,0,0
2022-04-01T05:15:02.339-07:00,22,0,0
2022-04-01T05:30:02.145-07:00,23,0,0
2022-04-01T05:45:00.782-07:00,23,0,0
2022-04-01T06:00:02.168-07:00,22,0,0
2022-04-01T06:15:01.937-07:00,22,0,0
2022-04-01T06:30:02.006-07:00,22,0,0
2022-04-01T06:45:02.400-07:00,22,0,0
2022-04-01T07:00:01.932-07:00,23,0,0
2022-04-01T07:15:01.955-07:00,22,0,0
2022-04-01T07:30:01.130-07:00,23,0,0
2022-04-01T07:45:02.042-07:00,24,0,0
2022-04-01T08:00:02.563-07:00,24,0,0
2022-04-01T08:15:03.490-07:00,26,0,0
2022-04-01T08:30:01.951-07:00,25,0,0
2022-04-01T08:45:02.072-07:00,24,0,0
2022-04-01T09:00:02.568-07:00,24,0,0
2022-04-01T09:15:00.705-07:00,26,0,0
2022-04-01T09:30:02.329-07:00,26,0,0
2022-04-01T09:45:02.051-07:00,25,0,0
2022-04-01T10:00:01.560-07:00,24,0,0
2022-04-01T10:15:02.853-07:00,26,0,0
2022-04-01T10:30:02.082-07:00,25,0,0
2022-04-01T10:45:01.852-07:00,26,0,0
2022-04-01T11:00:00.770-07:00,27,0,0
2022-04-01T11:15:01.711-07:00,25,0,0
2022-04-01T11:30:02.465-07:00,26,0,0
2022-04-01T11:45:05.188-07:00,29,0,0
2022-04-01T12:00:02.507-07:00,29,0,0
2022-04-01T12:15:02.910-07:00,25,0,0
2022-04-01T12:30:02.341-07:00,25,0,0
2022-04-01T12:45:06.269-07:00,27,0,0
2022-04-01T13:00:02.420-07:00,25,0,0
2022-04-01T13:15:01.967-07:00,27,0,0
2022-04-01T13:30:01.834-07:00,26,0,0
2022-04-01T13:45:02.053-07:00,25,0,0
2022-04-01T14:00:36.837-07:00,27,0,0
2022-04-01T14:15:02.462-07:00,25,0,0
2022-04-01T14:30:00.227-07:00,25,0,0
2022-04-01T14:45:01.582-07:00,30,0,0
2022-04-01T15:00:02.542-07:00,26,0,0
2022-04-01T15:15:02.104-07:00,25,0,0
2022-04-01T15:30:07.881-07:00,26,0,0
2022-04-01T15:45:06.848-07:00,26,0,0
2022-04-01T16:00:07.984-07:00,26,0,0
2022-04-01T16:15:03.244-07:00,25,0,0
2022-04-01T16:30:08.901-07:00,25,0,0
2022-04-01T16:45:07.497-07:00,26,0,0
2022-04-01T17:00:02.399-07:00,25,0,0
2022-04-01T17:15:11.659-07:00,24,0,0
2022-04-01T17:30:02.324-07:00,24,0,0
2022-04-01T17:45:14.035-07:00,24,0,0
2022-04-01T18:00:00.973-07:00,23,0,0
2022-04-01T18:15:10.598-07:00,23,0,0
2022-04-01T18:30:01.962-07:00,22,0,0
