t,v,s,r
2022-03-31T23:45:02.055-07:00,66,0,0
2022-04-01T00:00:02.165-07:00,69,0,0
2022-04-01T00:15:03.953-07:00,68,0,0
2022-04-01T00:30:02.048-07:00,69,0,0
2022-04-01T00:45:02.031-07:00,68,0,0
2022-04-01T01:00:02.073-07:00,68,0,0
2022-04-01T01:15:02.119-07:00,69,0,0
2022-04-01T01:30:02.346-07:00,68,0,0
2022-04-01T01:45:02.162-07:00,69,0,0
2022-04-01T02:00:02.270-07:00,69,0,0
2022-04-01T02:15:02.101-07:00,70,0,0
2022-04-01T02:30:02.094-07:00,70,0,0
2022-04-01T02:45:02.067-07:00,68,0,0
2022-04-01T03:00:02.300-07:00,68,0,0
2022-04-01T03:15:01.948-07:00,68,0,0
2022-04-01T03:30:02.321-07:00,70,0,0
2022-04-01T03:45:00.903-07:00,69,0,0
2022-04-01T04:00:02.135-07:00,68,0,0
2022-04-01T04:15:02.451-07:00,69,0,0
2022-04-01T04:30:02.420-07:00,67,0,0
2022-04-01T04:45:03.047-07:00,69,0,0
2022-04-01T05:00:02.104-07:00,80,0,0
2022-04-01T05:15:02.518-07:00,95,0,0
2022-04-01T05:30:02.324-07:00,96,0,0
2022-04-01T05:45:00.805-07:00,97,0,0
2022-04-01T06:00:02.334-07:00,94,0,0
2022-04-01T06:15:02.080-07:00,96,0,0
2022-04-01T06:30:02.166-07:00,93,0,0
2022-04-01T06:45:02.585-07:00,96,0,0
2022-04-01T07:00:02.079-07:00,98,0,0
2022-04-01T07:15:02.103-07:00,94,0,0
2022-04-01T07:30:01.147-07:00,98,0,0
2022-04-01T07:45:02.306-07:00,100,0,0
2022-04-01T08:00:02.723-07:00,100,0,0
2022-04-01T08:15:03.606-07:00,104,0,0
2022-04-01T08:30:02.066-07:00,103,0,0
2022-04-01T08:45:02.211-07:00,103,0,0
2022-04-01T09:00:02.705-07:00,106,0,0
2022-04-01T09:15:00.715-07:00,105,0,0
2022-04-01T09:30:02.460-07:00,109,0,0
2022-04-01T09:45:02.196-07:00,107,0,0
2022-04-01T10:00:01.686-07:00,105,0,0
2022-04-01T10:15:02.989-07:00,107,0,0
2022-04-01T10:30:02.219-07:00,109,0,0
2022-04-01T10:45:02.033-07:00,110,0,0
2022-04-01T11:00:00.781-07:00,110,0,0
2022-04-01T11:15:01.902-07:00,106,0,0
2022-04-01T11:30:02.607-07:00,109,0,0
2022-04-01T11:45:05.339-07:00,122,0,0
2022-04-01T12:00:02.837-07:00,119,0,0
2022-04-01T12:15:03.162-07:00,107,0,0
2022-04-01T12:30:02.506-07:00,108,0,0
2022-04-01T12:45:06.280-07:00,109,0,0
2022-04-01T13:00:02.546-07:00,107,0,0
2022-04-01T13:15:02.153-07:00,113,0,0
2022-04-01T13:30:01.996-07:00,111,0,0
2022-04-01T13:45:02.178-07:00,109,0,0
2022-04-01T14:00:37.338-07:00,115,0,0
2022-04-01T14:15:02.577-07:00,107,0,0
2022-04-01T14:30:00.238-07:00,117,0,0
2022-04-01T14:45:01.796-07:00,124,0,0
2022-04-01T15:00:02.764-07:00,108,0,0
2022-04-01T15:15:02.232-07:00,107,0,0
2022-04-01T15:30:08.026-07:00,107,0,0
2022-04-01T15:45:07.069-07:00,107,0,0
2022-04-01T16:00:08.188-07:00,106,0,0
2022-04-01T16:15:03.339-07:00,105,0,0
2022-04-01T16:30:09.100-07:00,104,0,0
2022-04-01T16:45:07.891-07:00,109,0,0
2022-04-01T17:00:02.565-07:00,111,0,0
2022-04-01T17:15:12.091-07:00,99,0,0
2022-04-01T17:30:02.503-07:00,99,0,0
2022-04-01T17:45:14.214-07:00,101,0,0
2022-04-01T18:00:00.983-07:00,97,0,0
2022-04-01T18:15:10.745-07:00,94,0,0
2022-04-01T18:30:02.128-07:00,95,0,0
2022-04-01T18:45:12.182-07:00,92,0,0
2022-04-01T19:00:02.063-07:00,67,0,0
2022-04-01T19:15:11.733-07:00,68,0,0
2022-04-01T19:30:02.397-07:00,67,0,0
2022-04-01T19:45:12.328-07:00,67,0,0
2022-04-01T20:00:00.750-07:00,67,0,0
2022-04-01T20:15:10.879-07:00,65,0,0
2022-04-01T20:30:02.152-07:00,65,0,0
2022-04-01T20:45:15.930-07:00,67,0,0
2022-04-01T21:00:02.105-07:00,65,0,0
2022-04-01T21:15:15.595-07:00,66,0,0
2022-04-01T21:30:02.125-07:00,66,0,0
2022-04-01T21:45:14.382-07:00,65,0,0
2022-04-01T22:00:02.005-07:00,66,0,0
2022-04-01T22:15:15.358-07:00,66,0,0
2022-04-01T22:30:02.229-07:00,66,0,0
2022-04-01T22:45:15.293-07:00,65,0,0
2022-04-01T23:00:02.122-07:00,64,0,0
2022-04-01T23:15:14.741-07:00,67,0,0
2022-04-01T23:30:02.252-07:00,65,0,0
2022-04-01T23:45:10.348-07:00,64,0,0
2022-04-02T00:00:02.563-07:00,66,0,0
2022-04-02T00:15:08.055-07:00,66,0,0
2022-04-02T00:30:02.373-07:00,64,0,0
2022-04-02T00:45:06.778-07:00,66,0,0
2022-04-02T01:00:02.200-07:00,67,0,0
2022-04-02T01:15:15.155-07:00,66,0,0
2022-04-02T01:30:02.655-07:00,65,0,0
2022-04-02T01:45:15.895-07:00,66,0,0
2022-04-02T02:00:02.312-07:00,63,0,0
2022-04-02T02:15:15.325-07:00,64,0,0
2022-04-02T02:30:00.825-07:00,66,0,0
2022-04-02T02:45:14.989-07:00,64,0,0
2022-04-02T03:00:02.304-07:00,64,0,0
