t,v,s,r
2022-03-31T23:45:02.027-07:00,52,0,0
2022-04-01T00:00:02.134-07:00,54,0,0
2022-04-01T00:15:03.921-07:00,53,0,0
2022-04-01T00:30:01.998-07:00,55,0,0
2022-04-01T00:45:01.992-07:00,53,0,0
2022-04-01T01:00:02.036-07:00,54,0,0
2022-04-01T01:15:02.091-07:00,55,0,0
2022-04-01T01:30:02.278-07:00,53,0,0
2022-04-01T01:45:02.133-07:00,54,0,0
2022-04-01T02:00:02.221-07:00,54,0,0
2022-04-01T02:15:02.072-07:00,56,0,0
2022-04-01T02:30:02.065-07:00,56,0,0
2022-04-01T02:45:02.026-07:00,53,0,0
2022-04-01T03:00:02.262-07:00,53,0,0
2022-04-01T03:15:01.919-07:00,53,0,0
2022-04-01T03:30:02.283-07:00,55,0,0
2022-04-01T03:45:00.899-07:00,55,0,0
2022-04-01T04:00:02.105-07:00,54,0,0
2022-04-01T04:15:02.417-07:00,53,0,0
2022-04-01T04:30:02.386-07:00,52,0,0
2022-04-01T04:45:03.012-07:00,54,0,0
2022-04-01T05:00:02.027-07:00,66,0,0
2022-04-01T05:15:02.477-07:00,80,0,0
2022-04-01T05:30:02.255-07:00,81,0,0
2022-04-01T05:45:00.803-07:00,83,0,0
2022-04-01T06:00:02.275-07:00,81,0,0
2022-04-01T06:15:02.029-07:00,83,0,0
2022-04-01T06:30:02.137-07:00,79,0,0
2022-04-01T06:45:02.548-07:00,82,0,0
2022-04-01T07:00:02.040-07:00,97,0,0
2022-04-01T07:15:02.063-07:00,81,0,0
2022-04-01T07:30:01.144-07:00,84,0,0
2022-04-01T07:45:02.255-07:00,87,0,0
2022-04-01T08:00:02.689-07:00,86,0,0
2022-04-01T08:15:03.577-07:00,91,0,0
2022-04-01T08:30:02.038-07:00,91,0,0
2022-04-01T08:45:02.183-07:00,91,0,0
2022-04-01T09:00:02.667-07:00,93,0,0
2022-04-01T09:15:00.712-07:00,104,0,0
2022-04-01T09:30:02.431-07:00,96,0,0
2022-04-01T09:45:02.167-07:00,94,0,0
2022-04-01T10:00:01.650-07:00,92,0,0
2022-04-01T10:15:02.960-07:00,95,0,0
2022-04-01T10:30:02.190-07:00,98,0,0
2022-04-01T10:45:01.995-07:00,98,0,0
2022-04-01T11:00:00.778-07:00,99,0,0
2022-04-01T11:15:01.841-07:00,94,0,0
2022-04-01T11:30:02.577-07:00,96,0,0
2022-04-01T11:45:05.295-07:00,116,0,0
2022-04-01T12:00:02.805-07:00,108,0,0
2022-04-01T12:15:03.078-07:00,95,0,0
2022-04-01T12:30:02.466-07:00,94,0,0
2022-04-01T12:45:06.278-07:00,96,0,0
2022-04-01T13:00:02.517-07:00,95,0,0
2022-04-01T13:15:02.085-07:00,101,0,0
2022-04-01T13:30:01.942-07:00,99,0,0
2022-04-01T13:45:02.142-07:00,96,0,0
2022-04-01T14:00:37.223-07:00,103,0,0
2022-04-01T14:15:02.548-07:00,95,0,0
2022-04-01T14:30:00.236-07:00,95,0,0
2022-04-01T14:45:01.768-07:00,121,0,0
2022-04-01T15:00:02.710-07:00,96,0,0
