t,v,s,r
2022-03-31T23:45:01.202-07:00,61,0,0
2022-04-01T00:00:01.136-07:00,61,0,0
2022-04-01T00:15:01.179-07:00,61,0,0
2022-04-01T00:30:01.257-07:00,64,0,0
2022-04-01T00:45:01.185-07:00,63,0,0
2022-04-01T01:00:01.215-07:00,63,0,0
2022-04-01T01:15:03.202-07:00,63,0,0
2022-04-01T01:30:01.195-07:00,63,0,0
2022-04-01T01:45:01.269-07:00,63,0,0
2022-04-01T02:00:01.215-07:00,63,0,0
2022-04-01T02:15:01.228-07:00,63,0,0
2022-04-01T02:30:01.180-07:00,61,0,0
2022-04-01T02:45:01.204-07:00,61,0,0
2022-04-01T03:00:01.235-07:00,61,0,0
2022-04-01T03:15:01.183-07:00,61,0,0
2022-04-01T03:30:01.182-07:00,63,0,0
2022-04-01T03:45:01.200-07:00,63,0,0
2022-04-01T04:00:01.219-07:00,63,0,0
2022-04-01T04:15:01.191-07:00,63,0,0
2022-04-01T04:30:01.237-07:00,64,0,0
2022-04-01T04:45:01.237-07:00,64,0,0
2022-04-01T05:00:01.210-07:00,63,0,0
2022-04-01T05:15:01.209-07:00,64,0,0
2022-04-01T05:30:01.314-07:00,62,0,0
2022-04-01T05:45:01.178-07:00,62,0,0
2022-04-01T06:00:01.161-07:00,62,0,0
2022-04-01T06:15:01.196-07:00,62,0,0
2022-04-01T06:30:01.200-07:00,62,0,0
2022-04-01T06:45:01.229-07:00,64,0,0
2022-04-01T07:00:01.167-07:00,64,0,0
2022-04-01T07:15:01.160-07:00,64,0,0
2022-04-01T07:30:01.245-07:00,64,0,0
2022-04-01T07:45:01.193-07:00,64,0,0
2022-04-01T08:00:01.209-07:00,64,0,0
2022-04-01T08:15:01.189-07:00,64,0,0
2022-04-01T08:30:01.193-07:00,64,0,0
2022-04-01T08:45:01.196-07:00,64,0,0
2022-04-01T09:00:01.194-07:00,62,0,0
2022-04-01T09:15:01.217-07:00,62,0,0
2022-04-01T09:30:01.238-07:00,62,0,0
2022-04-01T09:45:01.198-07:00,62,0,0
2022-04-01T10:00:01.899-07:00,62,0,0
2022-04-01T10:15:01.278-07:00,65,0,0
2022-04-01T10:30:01.220-07:00,66,0,0
2022-04-01T10:45:01.214-07:00,65,0,0
2022-04-01T11:00:01.202-07:00,65,0,0
2022-04-01T11:15:01.199-07:00,64,0,0
2022-04-01T11:30:01.189-07:00,64,0,0
2022-04-01T11:45:01.194-07:00,64,0,0
2022-04-01T12:00:00.145-07:00,64,0,0
2022-04-01T12:15:01.153-07:00,63,0,0
2022-04-01T12:30:01.153-07:00,62,0,0
2022-04-01T12:45:01.188-07:00,62,0,0
2022-04-01T13:00:01.172-07:00,63,0,0
2022-04-01T13:15:01.282-07:00,63,0,0
2022-04-01T13:30:01.164-07:00,65,0,0
2022-04-01T13:45:01.186-07:00,65,0,0
2022-04-01T14:00:01.190-07:00,64,0,0
2022-04-01T14:15:01.215-07:00,64,0,0
2022-04-01T14:30:01.218-07:00,65,0,0
2022-04-01T14:45:01.206-07:00,64,0,0
2022-04-01T15:00:01.185-07:00,65,0,0
2022-04-01T15:15:01.260-07:00,65,0,0
2022-04-01T15:30:03.089-07:00,62,0,0
2022-04-01T15:45:01.228-07:00,63,0,0
2022-04-01T16:00:03.240-07:00,63,0,0
2022-04-01T16:15:01.186-07:00,63,0,0
2022-04-01T16:30:03.342-07:00,63,0,0
2022-04-01T16:45:01.210-07:00,64,0,0
