t,v,s,r
2022-03-31T23:45:02.882-07:00,163,0,0
2022-04-01T00:00:02.840-07:00,161,0,0
2022-04-01T00:15:02.838-07:00,159,0,0
2022-04-01T00:30:03.005-07:00,161,0,0
2022-04-01T00:45:02.926-07:00,160,0,0
2022-04-01T01:00:02.833-07:00,161,0,0
2022-04-01T01:15:03.201-07:00,156,0,0
2022-04-01T01:30:02.949-07:00,180,0,0
2022-04-01T01:45:03.093-07:00,161,0,0
2022-04-01T02:00:02.889-07:00,188,0,0
2022-04-01T02:15:02.894-07:00,164,0,0
2022-04-01T02:30:03.141-07:00,161,0,0
2022-04-01T02:45:02.900-07:00,162,0,0
2022-04-01T03:00:02.965-07:00,158,0,0
2022-04-01T03:15:02.902-07:00,159,0,0
2022-04-01T03:30:02.860-07:00,161,0,0
2022-04-01T03:45:02.868-07:00,203,0,0
2022-04-01T04:00:03.033-07:00,163,0,0
2022-04-01T04:15:03.173-07:00,192,0,0
2022-04-01T04:30:02.861-07:00,162,0,0
2022-04-01T04:45:02.971-07:00,187,0,0
2022-04-01T05:00:02.980-07:00,161,0,0
2022-04-01T05:15:02.911-07:00,160,0,0
2022-04-01T05:30:03.088-07:00,183,0,0
2022-04-01T05:45:02.912-07:00,157,0,0
2022-04-01T06:00:02.973-07:00,160,0,0
2022-04-01T06:15:02.960-07:00,155,0,0
2022-04-01T06:30:05.363-07:00,183,0,0
2022-04-01T06:45:00.416-07:00,162,0,0
2022-04-01T07:00:02.923-07:00,155,0,0
2022-04-01T07:15:02.921-07:00,155,0,0
2022-04-01T07:30:02.977-07:00,189,0,0
2022-04-01T07:45:02.985-07:00,156,0,0
2022-04-01T08:00:05.461-07:00,190,0,0
2022-04-01T08:15:02.907-07:00,186,0,0
2022-04-01T08:30:02.887-07:00,167,0,0
2022-04-01T08:45:03.471-07:00,169,0,0
2022-04-01T09:00:02.849-07:00,170,0,0
2022-04-01T09:15:00.252-07:00,188,0,0
2022-04-01T09:30:03.091-07:00,173,0,0
2022-04-01T09:45:02.953-07:00,171,0,0
2022-04-01T10:00:03.346-07:00,177,0,0
2022-04-01T10:15:02.921-07:00,200,0,0
2022-04-01T10:30:03.151-07:00,177,0,0
2022-04-01T10:45:02.874-07:00,210,0,0
2022-04-01T11:00:02.883-07:00,181,0,0
2022-04-01T11:15:03.074-07:00,205,0,0
2022-04-01T11:30:02.917-07:00,187,0,0
2022-04-01T11:45:00.225-07:00,183,0,0
2022-04-01T12:00:02.911-07:00,179,0,0
2022-04-01T12:15:15.871-07:00,178,0,0
2022-04-01T12:30:02.948-07:00,175,0,0
2022-04-01T12:45:02.826-07:00,177,0,0
