t,v,s,r
2022-03-31T23:45:05.411-07:00,9.355751037597656,0,0
2022-04-01T00:00:04.970-07:00,11.228764533996582,0,0
2022-04-01T00:15:06.202-07:00,9.409150123596191,0,0
2022-04-01T00:30:07.838-07:00,9.294983863830566,0,0
2022-04-01T00:45:05.432-07:00,9.355754852294922,0,0
2022-04-01T01:00:05.057-07:00,9.339202880859375,0,0
2022-04-01T01:15:07.611-07:00,9.282081604003906,0,0
2022-04-01T01:30:05.184-07:00,9.350859642028809,0,0
2022-04-01T01:45:07.669-07:00,9.254254341125488,0,0
2022-04-01T02:00:05.398-07:00,9.370501518249512,0,0
2022-04-01T02:15:05.207-07:00,9.315067291259766,0,0
2022-04-01T02:30:05.440-07:00,9.238630294799805,0,0
2022-04-01T02:45:05.381-07:00,9.220996856689453,0,0
2022-04-01T03:00:05.403-07:00,9.314501762390137,0,0
2022-04-01T03:15:05.164-07:00,9.289219856262207,0,0
2022-04-01T03:30:05.350-07:00,9.215300559997559,0,0
2022-04-01T03:45:05.637-07:00,9.334207534790039,0,0
2022-04-01T04:00:05.640-07:00,9.414337158203125,0,0
2022-04-01T04:15:05.304-07:00,9.405670166015625,0,0
2022-04-01T04:30:05.278-07:00,9.45467758178711,0,0
2022-04-01T04:45:08.937-07:00,9.612293243408203,0,0
2022-04-01T05:00:08.675-07:00,9.281204223632812,0,0
2022-04-01T05:15:05.312-07:00,9.31594467163086,0,0
2022-04-01T05:30:05.458-07:00,9.342447280883789,0,0
2022-04-01T05:45:05.314-07:00,9.290372848510742,0,0
2022-04-01T06:00:06.469-07:00,9.246902465820312,0,0
2022-04-01T06:15:05.471-07:00,9.247238159179688,0,0
2022-04-01T06:30:05.467-07:00,9.388545989990234,0,0
2022-04-01T06:45:05.090-07:00,9.391374588012695,0,0
2022-04-01T07:00:05.189-07:00,9.44952392578125,0,0
2022-04-01T07:15:05.279-07:00,11.789349555969238,0,0
2022-04-01T07:30:05.183-07:00,9.220775604248047,0,0
2022-04-01T07:45:05.321-07:00,9.374894142150879,0,0
2022-04-01T08:00:05.391-07:00,9.38418197631836,0,0
