t,v,s,r
2022-03-31T23:45:05.298-07:00,2410,0,0
2022-04-01T00:00:05.094-07:00,2408,0,0
2022-04-01T00:15:05.474-07:00,2412,0,0
2022-04-01T00:30:05.068-07:00,2413,0,0
2022-04-01T00:45:05.041-07:00,2401,0,0
2022-04-01T01:00:05.201-07:00,2395,0,0
2022-04-01T01:15:05.252-07:00,2400,0,0
2022-04-01T01:30:05.252-07:00,2403,0,0
2022-04-01T01:45:05.374-07:00,2404,0,0
2022-04-01T02:00:06.229-07:00,2404,0,0
2022-04-01T02:15:05.274-07:00,2403,0,0
2022-04-01T02:30:05.201-07:00,2406,0,0
2022-04-01T02:45:05.409-07:00,2407,0,0
2022-04-01T03:00:05.190-07:00,2405,0,0
2022-04-01T03:15:05.213-07:00,2406,0,0
2022-04-01T03:30:05.129-07:00,2404,0,0
2022-04-01T03:45:05.580-07:00,2402,0,0
2022-04-01T04:00:05.315-07:00,2400,0,0
2022-04-01T04:15:05.263-07:00,2416,0,0
2022-04-01T04:30:05.128-07:00,2416,0,0
2022-04-01T04:45:05.143-07:00,2414,0,0
2022-04-01T05:00:05.428-07:00,2411,0,0
2022-04-01T05:15:05.265-07:00,2417,0,0
2022-04-01T05:30:05.219-07:00,2408,0,0
2022-04-01T05:45:05.085-07:00,2407,0,0
2022-04-01T06:00:05.210-07:00,2396,0,0
2022-04-01T06:15:05.148-07:00,2413,0,0
2022-04-01T06:30:05.353-07:00,2414,0,0
2022-04-01T06:45:05.178-07:00,2404,0,0
2022-04-01T07:00:05.270-07:00,2404,0,0
2022-04-01T07:15:05.437-07:00,2398,0,0
2022-04-01T07:30:05.252-07:00,2410,0,0
2022-04-01T07:45:05.774-07:00,2400,0,0
2022-04-01T08:00:05.172-07:00,2416,0,0
2022-04-01T08:15:05.274-07:00,2410,0,0
2022-04-01T08:30:05.055-07:00,2415,0,0
2022-04-01T08:45:05.300-07:00,2410,0,0
2022-04-01T09:00:05.345-07:00,2405,0,0
2022-04-01T09:15:05.703-07:00,2408,0,0
2022-04-01T09:30:05.477-07:00,2421,0,0
2022-04-01T09:45:05.048-07:00,2423,0,0
2022-04-01T10:00:05.311-07:00,2409,0,0
2022-04-01T10:15:05.441-07:00,2410,0,0
2022-04-01T10:30:06.304-07:00,2405,0,0
2022-04-01T10:45:05.294-07:00,2400,0,0
2022-04-01T11:00:05.217-07:00,2399,0,0
2022-04-01T11:15:05.101-07:00,2404,0,0
2022-04-01T11:30:05.248-07:00,2419,0,0
2022-04-01T11:45:05.244-07:00,2414,0,0
2022-04-01T12:00:05.746-07:00,2410,0,0
2022-04-01T12:15:05.279-07:00,2422,0,0
2022-04-01T12:30:05.074-07:00,2417,0,0
2022-04-01T12:45:05.564-07:00,2420,0,0
2022-04-01T13:00:05.400-07:00,2420,0,0
2022-04-01T13:15:05.404-07:00,2416,0,0
2022-04-01T13:30:05.015-07:00,2417,0,0
2022-04-01T13:45:05.360-07:00,2415,0,0
2022-04-01T14:00:05.585-07:00,2412,0,0
2022-04-01T14:15:05.553-07:00,2411,0,0
2022-04-01T14:30:05.092-07:00,2412,0,0
2022-04-01T14:45:05.211-07:00,2407,0,0
2022-04-01T15:00:06.186-07:00,2410,0,0
2022-04-01T15:15:05.287-07:00,2409,0,0
2022-04-01T15:30:05.125-07:00,2406,0,0
2022-04-01T15:45:05.195-07:00,2406,0,0
2022-04-01T16:00:05.258-07:00,2407,0,0
2022-04-01T16:15:05.269-07:00,2403,0,0
2022-04-01T16:30:05.342-07:00,2409,0,0
2022-04-01T16:45:05.158-07:00,2407,0,0
2022-04-01T17:00:05.573-07:00,2408,0,0
2022-04-01T17:15:05.164-07:00,2403,0,0
2022-04-01T17:30:05.258-07:00,2407,0,0
2022-04-01T17:45:05.229-07:00,2404,0,0
2022-04-01T18:00:05.257-07:00,2413,0,0
2022-04-01T18:15:05.320-07:00,2396,0,0
2022-04-01T18:30:05.155-07:00,2399,0,0
2022-04-01T18:45:05.440-07:00,2401,0,0
2022-04-01T19:00:05.242-07:00,2403,0,0
2022-04-01T19:15:05.253-07:00,2395,0,0
2022-04-01T19:30:05.111-07:00,2394,0,0
2022-04-01T19:45:05.314-07:00,2395,0,0
2022-04-01T20:00:05.585-07:00,2394,0,0
2022-04-01T20:15:05.359-07:00,2400,0,0
2022-04-01T20:30:05.610-07:00,2399,0,0
2022-04-01T20:45:05.583-07:00,2405,0,0
2022-04-01T21:00:05.198-07:00,2409,0,0
2022-04-01T21:15:05.239-07:00,2408,0,0
2022-04-01T21:30:05.108-07:00,2406,0,0
2022-04-01T21:45:05.384-07:00,2410,0,0
2022-04-01T22:00:05.151-07:00,2412,0,0
2022-04-01T22:15:04.973-07:00,2409,0,0
