t,v,s,r
2022-03-31T23:45:02.891-07:00,4,0,0
2022-04-01T00:00:08.690-07:00,4,0,0
2022-04-01T00:15:03.305-07:00,4,0,0
2022-04-01T00:30:18.221-07:00,4,0,0
2022-04-01T00:45:03.238-07:00,4,0,0
2022-04-01T01:00:06.023-07:00,4,0,0
2022-04-01T01:15:03.231-07:00,4,0,0
2022-04-01T01:30:18.384-07:00,4,0,0
2022-04-01T01:45:03.035-07:00,4,0,0
2022-04-01T02:00:17.349-07:00,4,0,0
2022-04-01T02:15:02.884-07:00,4,0,0
2022-04-01T02:30:18.234-07:00,4,0,0
2022-04-01T02:45:03.334-07:00,4,0,0
2022-04-01T03:00:03.071-07:00,4,0,0
2022-04-01T03:15:03.356-07:00,4,0,0
2022-04-01T03:30:03.168-07:00,4,0,0
2022-04-01T03:45:02.810-07:00,4,0,0
2022-04-01T04:00:03.318-07:00,4,0,0
2022-04-01T04:15:03.105-07:00,4,0,0
2022-04-01T04:30:02.977-07:00,4,0,0
2022-04-01T04:45:03.071-07:00,4,0,0
2022-04-01T05:00:19.037-07:00,4,0,0
2022-04-01T05:15:02.904-07:00,4,0,0
2022-04-01T05:30:03.608-07:00,4,0,0
2022-04-01T05:45:02.468-07:00,4,0,0
2022-04-01T06:00:02.846-07:00,4,0,0
2022-04-01T06:15:03.211-07:00,4,0,0
2022-04-01T06:30:10.328-07:00,4,0,0
2022-04-01T06:45:03.065-07:00,4,0,0
2022-04-01T07:00:03.097-07:00,4,0,0
2022-04-01T07:15:03.227-07:00,4,0,0
2022-04-01T07:30:02.997-07:00,4,0,0
2022-04-01T07:45:02.695-07:00,4,0,0
2022-04-01T08:00:03.614-07:00,4,0,0
2022-04-01T08:15:03.149-07:00,4,0,0
2022-04-01T08:30:03.289-07:00,4,0,0
2022-04-01T08:45:03.096-07:00,4,0,0
2022-04-01T09:00:03.046-07:00,4,0,0
2022-04-01T09:15:03.322-07:00,4,0,0
2022-04-01T09:30:03.113-07:00,4,0,0
2022-04-01T09:45:03.305-07:00,4,0,0
2022-04-01T10:00:03.660-07:00,4,0,0
2022-04-01T10:15:04.111-07:00,4,0,0
2022-04-01T10:30:02.880-07:00,4,0,0
2022-04-01T10:45:02.984-07:00,4,0,0
2022-04-01T11:00:02.683-07:00,4,0,0
2022-04-01T11:15:02.473-07:00,4,0,0
2022-04-01T11:30:03.393-07:00,4,0,0
2022-04-01T11:45:02.979-07:00,4,0,0
2022-04-01T12:00:03.205-07:00,4,0,0
2022-04-01T12:15:02.912-07:00,4,0,0
2022-04-01T12:30:03.287-07:00,4,0,0
2022-04-01T12:45:06.158-07:00,4,0,0
2022-04-01T13:00:02.840-07:00,4,0,0
2022-04-01T13:15:03.425-07:00,4,0,0
2022-04-01T13:30:03.289-07:00,4,0,0
2022-04-01T13:45:03.241-07:00,4,0,0
2022-04-01T14:00:00.301-07:00,4,0,0
2022-04-01T14:15:03.476-07:00,4,0,0
2022-04-01T14:30:03.094-07:00,4,0,0
2022-04-01T14:45:02.743-07:00,4,0,0
2022-04-01T15:00:03.284-07:00,4,0,0
2022-04-01T15:15:03.270-07:00,4,0,0
2022-04-01T15:30:05.467-07:00,4,0,0
2022-04-01T15:45:03.108-07:00,4,0,0
2022-04-01T16:00:05.800-07:00,4,0,0
2022-04-01T16:15:02.905-07:00,4,0,0
2022-04-01T16:30:05.545-07:00,4,0,0
2022-04-01T16:45:03.710-07:00,4,0,0
2022-04-01T17:00:08.481-07:00,4,0,0
2022-04-01T17:15:02.724-07:00,4,0,0
2022-04-01T17:30:08.357-07:00,4,0,0
2022-04-01T17:45:02.879-07:00,4,0,0
2022-04-01T18:00:09.382-07:00,4,0,0
2022-04-01T18:15:03.175-07:00,4,0,0
2022-04-01T18:30:08.023-07:00,4,0,0
2022-04-01T18:45:08.767-07:00,4,0,0
2022-04-01T19:00:08.180-07:00,4,0,0
2022-04-01T19:15:03.886-07:00,4,0,0
2022-04-01T19:30:08.505-07:00,4,0,0
2022-04-01T19:45:02.811-07:00,4,0,0
2022-04-01T20:00:08.608-07:00,4,0,0
2022-04-01T20:15:02.801-07:00,4,0,0
2022-04-01T20:30:03.205-07:00,4,0,0
2022-04-01T20:45:02.576-07:00,4,0,0
2022-04-01T21:00:02.965-07:00,4,0,0
2022-04-01T21:15:02.850-07:00,4,0,0
2022-04-01T21:30:03.330-07:00,4,0,0
2022-04-01T21:45:02.783-07:00,4,0,0
2022-04-01T22:00:00.264-07:00,4,0,0
2022-04-01T22:15:02.999-07:00,4,0,0
2022-04-01T22:30:03.213-07:00,4,0,0
2022-04-01T22:45:02.828-07:00,4,0,0
2022-04-01T23:00:02.876-07:00,4,0,0
2022-04-01T23:15:03.017-07:00,4,0,0
2022-04-01T23:30:03.174-07:00,4,0,0
2022-04-01T23:45:03.300-07:00,4,0,0
2022-04-02T00:00:03.029-07:00,4,0,0
2022-04-02T00:15:02.666-07:00,4,0,0
2022-04-02T00:30:03.143-07:00,4,0,0
2022-04-02T00:45:03.001-07:00,4,0,0
2022-04-02T01:00:03.040-07:00,4,0,0
2022-04-02T01:15:03.067-07:00,4,0,0
2022-04-02T01:30:03.174-07:00,4,0,0
2022-04-02T01:45:02.783-07:00,4,0,0
2022-04-02T02:00:03.177-07:00,4,0,0
2022-04-02T02:15:00.414-07:00,4,0,0
2022-04-02T02:30:03.139-07:00,4,0,0
2022-04-02T02:45:03.559-07:00,4,0,0
2022-04-02T03:00:03.197-07:00,4,0,0
2022-04-02T03:15:03.390-07:00,4,0,0
2022-04-02T03:30:02.746-07:00,4,0,0
2022-04-02T03:45:03.134-07:00,4,0,0
2022-04-02T04:00:03.387-07:00,4,0,0
2022-04-02T04:15:02.892-07:00,4,0,0
