t,v,s,r
2022-03-31T23:45:01.822-07:00,144,0,0
2022-04-01T00:00:02.027-07:00,141,0,0
2022-04-01T00:15:02.110-07:00,139,0,0
2022-04-01T00:30:13.809-07:00,145,0,0
2022-04-01T00:45:02.228-07:00,142,0,0
2022-04-01T01:00:04.740-07:00,139,0,0
2022-04-01T01:15:01.970-07:00,139,0,0
2022-04-01T01:30:10.123-07:00,141,0,0
2022-04-01T01:45:01.951-07:00,137,0,0
2022-04-01T02:00:10.922-07:00,139,0,0
2022-04-01T02:15:01.836-07:00,144,0,0
2022-04-01T02:30:08.334-07:00,137,0,0
2022-04-01T02:45:02.126-07:00,137,0,0
2022-04-01T03:00:02.026-07:00,137,0,0
2022-04-01T03:15:02.130-07:00,139,0,0
2022-04-01T03:30:01.919-07:00,143,0,0
2022-04-01T03:45:01.734-07:00,140,0,0
2022-04-01T04:00:02.092-07:00,139,0,0
2022-04-01T04:15:01.933-07:00,137,0,0
2022-04-01T04:30:01.828-07:00,140,0,0
2022-04-01T04:45:01.966-07:00,143,0,0
2022-04-01T05:00:10.529-07:00,142,0,0
2022-04-01T05:15:01.876-07:00,138,0,0
2022-04-01T05:30:02.420-07:00,137,0,0
2022-04-01T05:45:01.544-07:00,143,0,0
2022-04-01T06:00:01.768-07:00,141,0,0
2022-04-01T06:15:01.881-07:00,142,0,0
2022-04-01T06:30:03.822-07:00,142,0,0
2022-04-01T06:45:01.875-07:00,142,0,0
2022-04-01T07:00:01.822-07:00,140,0,0
2022-04-01T07:15:01.937-07:00,142,0,0
2022-04-01T07:30:01.918-07:00,141,0,0
2022-04-01T07:45:01.560-07:00,137,0,0
2022-04-01T08:00:02.336-07:00,141,0,0
2022-04-01T08:15:01.896-07:00,147,0,0
2022-04-01T08:30:02.096-07:00,142,0,0
2022-04-01T08:45:01.818-07:00,141,0,0
2022-04-01T09:00:01.900-07:00,141,0,0
2022-04-01T09:15:02.058-07:00,144,0,0
2022-04-01T09:30:01.770-07:00,154,0,0
2022-04-01T09:45:01.897-07:00,149,0,0
2022-04-01T10:00:02.450-07:00,152,0,0
2022-04-01T10:15:02.786-07:00,150,0,0
2022-04-01T10:30:01.931-07:00,155,0,0
2022-04-01T10:45:01.878-07:00,154,0,0
2022-04-01T11:00:01.652-07:00,150,0,0
2022-04-01T11:15:01.522-07:00,156,0,0
2022-04-01T11:30:02.004-07:00,154,0,0
2022-04-01T11:45:01.987-07:00,159,0,0
2022-04-01T12:00:02.003-07:00,158,0,0
2022-04-01T12:15:01.846-07:00,154,0,0
2022-04-01T12:30:02.073-07:00,156,0,0
2022-04-01T12:45:04.864-07:00,171,0,0
2022-04-01T13:00:01.751-07:00,156,0,0
2022-04-01T13:15:01.988-07:00,153,0,0
2022-04-01T13:30:02.033-07:00,156,0,0
2022-04-01T13:45:02.160-07:00,156,0,0
2022-04-01T14:00:00.173-07:00,155,0,0
2022-04-01T14:15:01.959-07:00,157,0,0
2022-04-01T14:30:01.795-07:00,164,0,0
2022-04-01T14:45:01.556-07:00,157,0,0
2022-04-01T15:00:02.012-07:00,155,0,0
2022-04-01T15:15:02.103-07:00,164,0,0
2022-04-01T15:30:04.164-07:00,171,0,0
2022-04-01T15:45:01.914-07:00,160,0,0
2022-04-01T16:00:04.771-07:00,159,0,0
2022-04-01T16:15:01.848-07:00,157,0,0
2022-04-01T16:30:04.551-07:00,157,0,0
2022-04-01T16:45:02.437-07:00,158,0,0
2022-04-01T17:00:07.324-07:00,149,0,0
2022-04-01T17:15:01.439-07:00,151,0,0
2022-04-01T17:30:07.025-07:00,147,0,0
2022-04-01T17:45:01.809-07:00,153,0,0
2022-04-01T18:00:08.299-07:00,151,0,0
2022-04-01T18:15:01.994-07:00,151,0,0
2022-04-01T18:30:06.798-07:00,162,0,0
2022-04-01T18:45:07.232-07:00,146,0,0
2022-04-01T19:00:07.000-07:00,149,0,0
2022-04-01T19:15:02.847-07:00,147,0,0
2022-04-01T19:30:07.277-07:00,141,0,0
2022-04-01T19:45:01.626-07:00,139,0,0
2022-04-01T20:00:05.094-07:00,139,0,0
2022-04-01T20:15:01.731-07:00,140,0,0
2022-04-01T20:30:01.969-07:00,138,0,0
2022-04-01T20:45:01.727-07:00,138,0,0
2022-04-01T21:00:02.154-07:00,139,0,0
2022-04-01T21:15:01.752-07:00,144,0,0
2022-04-01T21:30:01.949-07:00,136,0,0
2022-04-01T21:45:01.672-07:00,140,0,0
2022-04-01T22:00:00.168-07:00,143,0,0
2022-04-01T22:15:01.815-07:00,136,0,0
2022-04-01T22:30:01.983-07:00,137,0,0
2022-04-01T22:45:01.751-07:00,139,0,0
2022-04-01T23:00:01.810-07:00,134,0,0
2022-04-01T23:15:01.749-07:00,137,0,0
2022-04-01T23:30:01.954-07:00,135,0,0
2022-04-01T23:45:02.033-07:00,142,0,0
2022-04-02T00:00:01.790-07:00,138,0,0
2022-04-02T00:15:01.632-07:00,136,0,0
2022-04-02T00:30:01.976-07:00,138,0,0
2022-04-02T00:45:01.860-07:00,135,0,0
2022-04-02T01:00:01.927-07:00,141,0,0
2022-04-02T01:15:01.919-07:00,138,0,0
2022-04-02T01:30:01.925-07:00,134,0,0
2022-04-02T01:45:01.640-07:00,139,0,0
2022-04-02T02:00:01.918-07:00,140,0,0
2022-04-02T02:15:00.271-07:00,137,0,0
2022-04-02T02:30:01.796-07:00,134,0,0
2022-04-02T02:45:02.298-07:00,138,0,0
2022-04-02T03:00:01.934-07:00,139,0,0
2022-04-02T03:15:01.937-07:00,135,0,0
2022-04-02T03:30:01.629-07:00,137,0,0
2022-04-02T03:45:01.934-07:00,139,0,0
2022-04-02T04:00:02.124-07:00,137,0,0
2022-04-02T04:15:01.891-07:00,136,0,0
2022-04-02T04:30:02.083-07:00,137,0,0
2022-04-02T04:45:01.912-07:00,135,0,0
2022-04-02T05:00:04.544-07:00,140,0,0
2022-04-02T05:15:01.575-07:00,137,0,0
2022-04-02T05:30:01.690-07:00,137,0,0
2022-04-02T05:45:01.865-07:00,139,0,0
2022-04-02T06:00:01.838-07:00,135,0,0
2022-04-02T06:15:02.124-07:00,139,0,0
2022-04-02T06:30:12.297-07:00,138,0,0
2022-04-02T06:45:01.974-07:00,141,0,0
2022-04-02T07:00:01.882-07:00,136,0,0
2022-04-02T07:15:01.882-07:00,133,0,0
2022-04-02T07:30:01.582-07:00,138,0,0
2022-04-02T07:45:01.754-07:00,133,0,0
2022-04-02T08:00:01.969-07:00,139,0,0
2022-04-02T08:15:01.398-07:00,134,0,0
2022-04-02T08:30:02.010-07:00,135,0,0
2022-04-02T08:45:01.998-07:00,136,0,0
2022-04-02T09:00:01.652-07:00,141,0,0
2022-04-02T09:15:01.563-07:00,133,0,0
2022-04-02T09:30:01.936-07:00,137,0,0
2022-04-02T09:45:01.961-07:00,133,0,0
2022-04-02T10:00:04.677-07:00,135,0,0
2022-04-02T10:15:01.999-07:00,135,0,0
2022-04-02T10:30:01.684-07:00,138,0,0
2022-04-02T10:45:01.787-07:00,134,0,0
2022-04-02T11:00:01.808-07:00,135,0,0
2022-04-02T11:15:01.642-07:00,136,0,0
2022-04-02T11:30:01.620-07:00,136,0,0
2022-04-02T11:45:01.926-07:00,135,0,0
2022-04-02T12:00:01.628-07:00,137,0,0
2022-04-02T12:15:01.781-07:00,139,0,0
2022-04-02T12:30:01.978-07:00,140,0,0
2022-04-02T12:45:02.035-07:00,137,0,0
2022-04-02T13:00:01.988-07:00,142,0,0
2022-04-02T13:15:01.759-07:00,135,0,0
2022-04-02T13:30:02.117-07:00,136,0,0
2022-04-02T13:45:01.736-07:00,145,0,0
2022-04-02T14:00:01.714-07:00,136,0,0
2022-04-02T14:15:01.999-07:00,137,0,0
2022-04-02T14:30:01.866-07:00,134,0,0
2022-04-02T14:45:05.537-07:00,137,0,0
2022-04-02T15:00:02.183-07:00,134,0,0
2022-04-02T15:15:10.105-07:00,137,0,0
2022-04-02T15:30:01.998-07:00,137,0,0
2022-04-02T15:45:09.865-07:00,135,0,0
2022-04-02T16:00:02.194-07:00,139,0,0
2022-04-02T16:15:10.504-07:00,142,0,0
2022-04-02T16:30:01.649-07:00,137,0,0
2022-04-02T16:45:08.445-07:00,134,0,0
2022-04-02T17:00:01.983-07:00,143,0,0
2022-04-02T17:15:09.409-07:00,135,0,0
2022-04-02T17:30:01.704-07:00,138,0,0
2022-04-02T17:45:01.733-07:00,136,0,0
2022-04-02T18:00:01.799-07:00,139,0,0
2022-04-02T18:15:02.006-07:00,137,0,0
2022-04-02T18:30:01.666-07:00,136,0,0
2022-04-02T18:45:02.216-07:00,142,0,0
2022-04-02T19:00:01.831-07:00,136,0,0
2022-04-02T19:15:01.961-07:00,136,0,0
2022-04-02T19:30:01.917-07:00,138,0,0
2022-04-02T19:45:01.858-07:00,137,0,0
2022-04-02T20:00:02.009-07:00,141,0,0
2022-04-02T20:15:01.786-07:00,135,0,0
2022-04-02T20:30:01.756-07:00,139,0,0
2022-04-02T20:45:01.941-07:00,136,0,0
2022-04-02T21:00:01.990-07:00,136,0,0
2022-04-02T21:15:01.879-07:00,140,0,0
2022-04-02T21:30:01.990-07:00,135,0,0
2022-04-02T21:45:01.909-07:00,136,0,0
2022-04-02T22:00:02.057-07:00,141,0,0
2022-04-02T22:15:01.978-07:00,135,0,0
2022-04-02T22:30:01.739-07:00,138,0,0
2022-04-02T22:45:01.597-07:00,140,0,0
2022-04-02T23:00:02.185-07:00,137,0,0
2022-04-02T23:15:02.176-07:00,134,0,0
2022-04-02T23:30:00.233-07:00,149,0,0
2022-04-02T23:45:02.139-07:00,136,0,0
2022-04-03T00:00:01.755-07:00,137,0,0
2022-04-03T00:15:01.827-07:00,144,0,0
2022-04-03T00:30:02.030-07:00,137,0,0
2022-04-03T00:45:02.112-07:00,144,0,0
2022-04-03T01:00:01.741-07:00,141,0,0
2022-04-03T01:15:01.978-07:00,134,0,0
2022-04-03T01:30:01.769-07:00,138,0,0
2022-04-03T01:45:01.619-07:00,140,0,0
2022-04-03T02:00:01.550-07:00,145,0,0
2022-04-03T02:15:01.919-07:00,136,0,0
2022-04-03T02:30:01.737-07:00,139,0,0
2022-04-03T02:45:01.908-07:00,137,0,0
2022-04-03T03:00:01.589-07:00,135,0,0
2022-04-03T03:15:01.760-07:00,139,0,0
2022-04-03T03:30:01.967-07:00,137,0,0
2022-04-03T03:45:00.222-07:00,139,0,0
2022-04-03T04:00:01.688-07:00,140,0,0
2022-04-03T04:15:01.973-07:00,136,0,0
2022-04-03T04:30:01.848-07:00,138,0,0
2022-04-03T04:45:01.795-07:00,140,0,0
2022-04-03T05:00:06.857-07:00,134,0,0
2022-04-03T05:15:01.918-07:00,138,0,0
2022-04-03T05:30:01.828-07:00,139,0,0
2022-04-03T05:45:01.771-07:00,137,0,0
2022-04-03T06:00:01.982-07:00,136,0,0
2022-04-03T06:15:01.963-07:00,139,0,0
2022-04-03T06:30:01.816-07:00,137,0,0
2022-04-03T06:45:01.579-07:00,142,0,0
2022-04-03T07:00:02.098-07:00,137,0,0
2022-04-03T07:15:01.769-07:00,135,0,0
2022-04-03T07:30:01.927-07:00,134,0,0
2022-04-03T07:45:02.072-07:00,140,0,0
2022-04-03T08:00:01.859-07:00,133,0,0
2022-04-03T08:15:03.873-07:00,136,0,0
2022-04-03T08:30:01.788-07:00,138,0,0
2022-04-03T08:45:01.890-07:00,137,0,0
2022-04-03T09:00:01.877-07:00,138,0,0
2022-04-03T09:15:01.952-07:00,138,0,0
2022-04-03T09:30:01.624-07:00,137,0,0
2022-04-03T09:45:01.958-07:00,136,0,0
2022-04-03T10:00:01.892-07:00,142,0,0
2022-04-03T10:15:01.858-07:00,136,0,0
2022-04-03T10:30:01.923-07:00,139,0,0
2022-04-03T10:45:01.821-07:00,135,0,0
2022-04-03T11:00:01.815-07:00,137,0,0
2022-04-03T11:15:01.710-07:00,144,0,0
2022-04-03T11:30:01.584-07:00,136,0,0
2022-04-03T11:45:01.769-07:00,136,0,0
2022-04-03T12:00:01.704-07:00,140,0,0
2022-04-03T12:15:01.712-07:00,135,0,0
2022-04-03T12:30:01.953-07:00,134,0,0
2022-04-03T12:45:01.723-07:00,135,0,0
2022-04-03T13:00:01.835-07:00,134,0,0
2022-04-03T13:15:01.740-07:00,139,0,0
2022-04-03T13:30:02.191-07:00,142,0,0
2022-04-03T13:45:02.017-07:00,134,0,0
2022-04-03T14:00:01.621-07:00,142,0,0
2022-04-03T14:15:01.845-07:00,137,0,0
2022-04-03T14:30:01.938-07:00,147,0,0
2022-04-03T14:45:01.618-07:00,145,0,0
2022-04-03T15:00:01.784-07:00,145,0,0
2022-04-03T15:15:01.924-07:00,140,0,0
2022-04-03T15:30:01.618-07:00,139,0,0
2022-04-03T15:45:01.909-07:00,137,0,0
2022-04-03T16:00:01.896-07:00,145,0,0
2022-04-03T16:15:01.767-07:00,138,0,0
2022-04-03T16:30:01.767-07:00,139,0,0
2022-04-03T16:45:02.079-07:00,138,0,0
2022-04-03T17:00:02.031-07:00,138,0,0
2022-04-03T17:15:01.733-07:00,136,0,0
2022-04-03T17:30:01.790-07:00,137,0,0
2022-04-03T17:45:01.748-07:00,142,0,0
2022-04-03T18:00:02.092-07:00,141,0,0
2022-04-03T18:15:01.593-07:00,136,0,0
2022-04-03T18:30:01.730-07:00,139,0,0
2022-04-03T18:45:02.202-07:00,138,0,0
2022-04-03T19:00:01.822-07:00,140,0,0
2022-04-03T19:15:01.888-07:00,137,0,0
2022-04-03T19:30:01.868-07:00,138,0,0
2022-04-03T19:45:01.589-07:00,137,0,0
2022-04-03T20:00:02.379-07:00,141,0,0
2022-04-03T20:15:01.884-07:00,137,0,0
2022-04-03T20:30:01.818-07:00,138,0,0
2022-04-03T20:45:01.816-07:00,139,0,0
2022-04-03T21:00:02.045-07:00,138,0,0
2022-04-03T21:15:01.721-07:00,143,0,0
2022-04-03T21:30:01.594-07:00,140,0,0
2022-04-03T21:45:01.787-07:00,139,0,0
2022-04-03T22:00:01.845-07:00,137,0,0
2022-04-03T22:15:02.384-07:00,137,0,0
2022-04-03T22:30:01.629-07:00,137,0,0
2022-04-03T22:45:02.009-07:00,142,0,0
2022-04-03T23:00:01.811-07:00,140,0,0
2022-04-03T23:15:02.013-07:00,136,0,0
2022-04-03T23:30:01.869-07:00,140,0,0
2022-04-03T23:45:01.983-07:00,138,0,0
2022-04-04T00:00:02.556-07:00,137,0,0
2022-04-04T00:15:01.837-07:00,135,0,0
2022-04-04T00:30:09.257-07:00,135,0,0
2022-04-04T00:45:01.767-07:00,141,0,0
2022-04-04T01:00:09.229-07:00,137,0,0
2022-04-04T01:15:01.731-07:00,135,0,0
2022-04-04T01:30:09.075-07:00,136,0,0
2022-04-04T01:45:01.622-07:00,142,0,0
2022-04-04T02:00:10.047-07:00,137,0,0
2022-04-04T02:15:01.889-07:00,135,0,0
2022-04-04T02:30:09.823-07:00,133,0,0
2022-04-04T02:45:01.690-07:00,135,0,0
2022-04-04T03:00:02.267-07:00,135,0,0
2022-04-04T03:15:01.960-07:00,138,0,0
2022-04-04T03:30:08.827-07:00,139,0,0
2022-04-04T03:45:01.661-07:00,133,0,0
2022-04-04T04:00:10.445-07:00,145,0,0
2022-04-04T04:15:01.795-07:00,139,0,0
2022-04-04T04:30:10.261-07:00,136,0,0
2022-04-04T04:45:01.890-07:00,137,0,0
2022-04-04T05:00:14.789-07:00,140,0,0
2022-04-04T05:15:01.634-07:00,136,0,0
2022-04-04T05:30:01.394-07:00,135,0,0
2022-04-04T05:45:01.560-07:00,139,0,0
2022-04-04T06:00:07.925-07:00,139,0,0
2022-04-04T06:15:01.693-07:00,141,0,0
2022-04-04T06:30:09.699-07:00,136,0,0
2022-04-04T06:45:01.651-07:00,136,0,0
2022-04-04T07:00:10.865-07:00,140,0,0
2022-04-04T07:15:01.864-07:00,136,0,0
2022-04-04T07:30:10.185-07:00,137,0,0
2022-04-04T07:45:01.809-07:00,140,0,0
2022-04-04T08:00:10.463-07:00,143,0,0
2022-04-04T08:15:02.074-07:00,144,0,0
2022-04-04T08:30:09.711-07:00,141,0,0
2022-04-04T08:45:01.972-07:00,142,0,0
2022-04-04T09:00:10.157-07:00,140,0,0
2022-04-04T09:15:01.957-07:00,145,0,0
2022-04-04T09:30:10.543-07:00,146,0,0
2022-04-04T09:45:01.780-07:00,151,0,0
2022-04-04T10:00:10.752-07:00,154,0,0
2022-04-04T10:15:01.728-07:00,150,0,0
2022-04-04T10:30:11.966-07:00,160,0,0
2022-04-04T10:45:01.696-07:00,153,0,0
2022-04-04T11:00:10.810-07:00,151,0,0
2022-04-04T11:15:19.259-07:00,152,0,0
2022-04-04T11:30:10.510-07:00,153,0,0
2022-04-04T11:45:01.970-07:00,162,0,0
2022-04-04T12:00:11.288-07:00,154,0,0
2022-04-04T12:15:01.399-07:00,173,0,0
2022-04-04T12:30:15.775-07:00,162,0,0
2022-04-04T12:45:01.922-07:00,165,0,0
2022-04-04T13:00:10.918-07:00,163,0,0
2022-04-04T13:15:01.806-07:00,158,0,0
2022-04-04T13:30:11.454-07:00,160,0,0
2022-04-04T13:45:01.825-07:00,170,0,0
2022-04-04T14:00:02.058-07:00,164,0,0
2022-04-04T14:15:01.863-07:00,160,0,0
2022-04-04T14:30:10.948-07:00,158,0,0
2022-04-04T14:45:01.700-07:00,157,0,0
2022-04-04T15:00:11.545-07:00,166,0,0
2022-04-04T15:15:01.774-07:00,162,0,0
2022-04-04T15:30:12.143-07:00,171,0,0
2022-04-04T15:45:01.864-07:00,164,0,0
2022-04-04T16:00:11.142-07:00,173,0,0
2022-04-04T16:15:02.227-07:00,163,0,0
2022-04-04T16:30:11.327-07:00,159,0,0
2022-04-04T16:45:01.617-07:00,165,0,0
2022-04-04T17:00:02.036-07:00,171,0,0
2022-04-04T17:15:01.661-07:00,155,0,0
2022-04-04T17:30:05.670-07:00,160,0,0
2022-04-04T17:45:01.784-07:00,160,0,0
2022-04-04T18:00:01.560-07:00,162,0,0
2022-04-04T18:15:01.875-07:00,166,0,0
2022-04-04T18:30:02.026-07:00,158,0,0
2022-04-04T18:45:02.150-07:00,157,0,0
2022-04-04T19:00:01.494-07:00,155,0,0
2022-04-04T19:15:01.641-07:00,155,0,0
2022-04-04T19:30:02.363-07:00,152,0,0
2022-04-04T19:45:01.857-07:00,148,0,0
2022-04-04T20:00:01.524-07:00,156,0,0
2022-04-04T20:15:02.235-07:00,149,0,0
2022-04-04T20:30:01.923-07:00,146,0,0
2022-04-04T20:45:06.799-07:00,149,0,0
2022-04-04T21:00:02.120-07:00,147,0,0
2022-04-04T21:15:01.832-07:00,150,0,0
2022-04-04T21:30:01.883-07:00,144,0,0
2022-04-04T21:45:01.642-07:00,148,0,0
2022-04-04T22:00:01.698-07:00,146,0,0
2022-04-04T22:15:02.201-07:00,148,0,0
2022-04-04T22:30:01.628-07:00,144,0,0
2022-04-04T22:45:01.710-07:00,150,0,0
2022-04-04T23:00:01.905-07:00,148,0,0
2022-04-04T23:15:01.629-07:00,142,0,0
2022-04-04T23:30:02.156-07:00,148,0,0
2022-04-04T23:45:01.613-07:00,142,0,0
2022-04-05T00:00:01.744-07:00,147,0,0
2022-04-05T00:15:03.604-07:00,141,0,0
2022-04-05T00:30:01.755-07:00,142,0,0
2022-04-05T00:45:01.931-07:00,141,0,0
2022-04-05T01:00:02.181-07:00,147,0,0
2022-04-05T01:15:01.776-07:00,145,0,0
2022-04-05T01:30:01.875-07:00,141,0,0
2022-04-05T01:45:01.989-07:00,146,0,0
2022-04-05T02:00:01.979-07:00,146,0,0
2022-04-05T02:15:01.704-07:00,149,0,0
2022-04-05T02:30:01.865-07:00,142,0,0
2022-04-05T02:45:01.870-07:00,141,0,0
2022-04-05T03:00:03.238-07:00,143,0,0
2022-04-05T03:15:01.982-07:00,142,0,0
2022-04-05T03:30:01.788-07:00,144,0,0
2022-04-05T03:45:01.891-07:00,143,0,0
2022-04-05T04:00:01.856-07:00,142,0,0
2022-04-05T04:15:01.737-07:00,147,0,0
2022-04-05T04:30:01.917-07:00,143,0,0
2022-04-05T04:45:02.076-07:00,142,0,0
2022-04-05T05:00:08.293-07:00,144,0,0
2022-04-05T05:15:01.810-07:00,142,0,0
2022-04-05T05:30:01.845-07:00,144,0,0
2022-04-05T05:45:01.349-07:00,143,0,0
2022-04-05T06:00:01.898-07:00,151,0,0
2022-04-05T06:15:01.784-07:00,148,0,0
2022-04-05T06:30:02.056-07:00,146,0,0
2022-04-05T06:45:01.975-07:00,155,0,0
2022-04-05T07:00:01.972-07:00,147,0,0
2022-04-05T07:15:01.522-07:00,147,0,0
2022-04-05T07:30:01.780-07:00,145,0,0
2022-04-05T07:45:01.901-07:00,156,0,0
2022-04-05T08:00:01.839-07:00,155,0,0
2022-04-05T08:15:01.672-07:00,154,0,0
2022-04-05T08:30:02.326-07:00,151,0,0
2022-04-05T08:45:02.024-07:00,155,0,0
2022-04-05T09:00:01.841-07:00,154,0,0
2022-04-05T09:15:02.126-07:00,191,0,0
2022-04-05T09:30:01.978-07:00,156,0,0
2022-04-05T09:45:01.882-07:00,162,0,0
2022-04-05T10:00:02.182-07:00,168,0,0
2022-04-05T10:15:02.005-07:00,161,0,0
2022-04-05T10:30:00.168-07:00,164,0,0
2022-04-05T10:45:06.713-07:00,167,0,0
2022-04-05T11:00:01.500-07:00,161,0,0
2022-04-05T11:15:01.665-07:00,165,0,0
2022-04-05T11:30:01.734-07:00,160,0,0
2022-04-05T11:45:01.813-07:00,167,0,0
2022-04-05T12:00:01.838-07:00,166,0,0
2022-04-05T12:15:01.644-07:00,161,0,0
2022-04-05T12:30:02.150-07:00,158,0,0
2022-04-05T12:45:01.959-07:00,162,0,0
2022-04-05T13:00:01.768-07:00,160,0,0
2022-04-05T13:15:01.855-07:00,161,0,0
2022-04-05T13:30:01.680-07:00,163,0,0
2022-04-05T13:45:02.127-07:00,166,0,0
2022-04-05T14:00:01.646-07:00,167,0,0
2022-04-05T14:15:01.614-07:00,162,0,0
2022-04-05T14:30:00.175-07:00,169,0,0
2022-04-05T14:45:01.785-07:00,166,0,0
2022-04-05T15:00:02.543-07:00,170,0,0
2022-04-05T15:15:01.808-07:00,164,0,0
2022-04-05T15:30:01.733-07:00,166,0,0
2022-04-05T15:45:01.944-07:00,162,0,0
2022-04-05T16:00:01.781-07:00,164,0,0
2022-04-05T16:15:01.911-07:00,156,0,0
2022-04-05T16:30:01.895-07:00,155,0,0
2022-04-05T16:45:18.733-07:00,157,0,0
2022-04-05T17:00:01.950-07:00,157,0,0
2022-04-05T17:15:01.679-07:00,162,0,0
2022-04-05T17:30:01.565-07:00,154,0,0
2022-04-05T17:45:01.841-07:00,152,0,0
2022-04-05T18:00:01.817-07:00,146,0,0
2022-04-05T18:15:02.381-07:00,144,0,0
2022-04-05T18:30:01.940-07:00,144,0,0
2022-04-05T18:45:01.663-07:00,147,0,0
2022-04-05T19:00:01.837-07:00,149,0,0
2022-04-05T19:15:01.783-07:00,144,0,0
2022-04-05T19:30:01.821-07:00,142,0,0
2022-04-05T19:45:01.784-07:00,144,0,0
2022-04-05T20:00:01.734-07:00,144,0,0
2022-04-05T20:15:01.827-07:00,144,0,0
2022-04-05T20:30:01.524-07:00,144,0,0
2022-04-05T20:45:01.606-07:00,149,0,0
2022-04-05T21:00:01.899-07:00,140,0,0
2022-04-05T21:15:01.924-07:00,138,0,0
2022-04-05T21:30:01.991-07:00,136,0,0
2022-04-05T21:45:01.752-07:00,144,0,0
2022-04-05T22:00:01.891-07:00,140,0,0
2022-04-05T22:15:01.947-07:00,139,0,0
2022-04-05T22:30:00.219-07:00,143,0,0
2022-04-05T22:45:01.768-07:00,139,0,0
2022-04-05T23:00:01.907-07:00,138,0,0
2022-04-05T23:15:01.680-07:00,142,0,0
2022-04-05T23:30:01.752-07:00,137,0,0
2022-04-05T23:45:01.849-07:00,139,0,0
2022-04-06T00:00:01.856-07:00,143,0,0
2022-04-06T00:15:01.798-07:00,138,0,0
2022-04-06T00:30:01.978-07:00,139,0,0
2022-04-06T00:45:02.761-07:00,137,0,0
2022-04-06T01:00:01.686-07:00,138,0,0
2022-04-06T01:15:05.943-07:00,145,0,0
2022-04-06T01:30:01.560-07:00,138,0,0
2022-04-06T01:45:06.763-07:00,137,0,0
2022-04-06T02:00:01.814-07:00,138,0,0
2022-04-06T02:15:06.095-07:00,137,0,0
2022-04-06T02:30:00.381-07:00,138,0,0
2022-04-06T02:45:10.084-07:00,141,0,0
2022-04-06T03:00:01.938-07:00,137,0,0
2022-04-06T03:15:10.348-07:00,138,0,0
2022-04-06T03:30:01.934-07:00,137,0,0
2022-04-06T03:45:10.893-07:00,137,0,0
2022-04-06T04:00:01.893-07:00,136,0,0
2022-04-06T04:15:10.995-07:00,136,0,0
2022-04-06T04:30:02.006-07:00,139,0,0
2022-04-06T04:45:11.567-07:00,144,0,0
2022-04-06T05:00:05.132-07:00,139,0,0
2022-04-06T05:15:10.871-07:00,140,0,0
2022-04-06T05:30:01.981-07:00,138,0,0
2022-04-06T05:45:12.647-07:00,137,0,0
2022-04-06T06:00:02.032-07:00,139,0,0
2022-04-06T06:15:12.247-07:00,139,0,0
