t,v,s,r
2022-03-31T23:45:02.233-07:00,2389,0,0
2022-04-01T00:00:02.575-07:00,2392,0,0
2022-04-01T00:15:02.622-07:00,2392,0,0
2022-04-01T00:30:17.642-07:00,2394,0,0
2022-04-01T00:45:02.636-07:00,2380,0,0
2022-04-01T01:00:05.241-07:00,2378,0,0
2022-04-01T01:15:02.481-07:00,2382,0,0
2022-04-01T01:30:14.172-07:00,2383,0,0
2022-04-01T01:45:02.412-07:00,2386,0,0
2022-04-01T02:00:16.654-07:00,2384,0,0
2022-04-01T02:15:02.315-07:00,2386,0,0
2022-04-01T02:30:13.830-07:00,2388,0,0
2022-04-01T02:45:02.604-07:00,2388,0,0
2022-04-01T03:00:02.435-07:00,2385,0,0
2022-04-01T03:15:02.631-07:00,2386,0,0
2022-04-01T03:30:02.433-07:00,2383,0,0
2022-04-01T03:45:02.034-07:00,2384,0,0
2022-04-01T04:00:02.616-07:00,2379,0,0
2022-04-01T04:15:02.390-07:00,2396,0,0
2022-04-01T04:30:02.357-07:00,2396,0,0
2022-04-01T04:45:02.411-07:00,2393,0,0
2022-04-01T05:00:10.851-07:00,2391,0,0
2022-04-01T05:15:02.242-07:00,2402,0,0
2022-04-01T05:30:02.933-07:00,2388,0,0
2022-04-01T05:45:01.868-07:00,2388,0,0
2022-04-01T06:00:02.188-07:00,2375,0,0
2022-04-01T06:15:02.403-07:00,2393,0,0
2022-04-01T06:30:04.310-07:00,2383,0,0
2022-04-01T06:45:02.370-07:00,2385,0,0
2022-04-01T07:00:02.285-07:00,2385,0,0
2022-04-01T07:15:02.466-07:00,2377,0,0
2022-04-01T07:30:02.342-07:00,2391,0,0
2022-04-01T07:45:01.941-07:00,2378,0,0
2022-04-01T08:00:03.013-07:00,2391,0,0
2022-04-01T08:15:02.441-07:00,2388,0,0
2022-04-01T08:30:02.595-07:00,2395,0,0
2022-04-01T08:45:02.240-07:00,2389,0,0
2022-04-01T09:00:02.308-07:00,2389,0,0
2022-04-01T09:15:02.612-07:00,2388,0,0
2022-04-01T09:30:02.271-07:00,2400,0,0
2022-04-01T09:45:02.439-07:00,2403,0,0
2022-04-01T10:00:02.918-07:00,2398,0,0
2022-04-01T10:15:03.363-07:00,2387,0,0
2022-04-01T10:30:02.323-07:00,2383,0,0
2022-04-01T10:45:02.384-07:00,2383,0,0
2022-04-01T11:00:02.080-07:00,2383,0,0
2022-04-01T11:15:01.890-07:00,2383,0,0
2022-04-01T11:30:02.547-07:00,2400,0,0
2022-04-01T11:45:02.415-07:00,2395,0,0
2022-04-01T12:00:02.494-07:00,2389,0,0
2022-04-01T12:15:02.288-07:00,2400,0,0
2022-04-01T12:30:02.574-07:00,2400,0,0
2022-04-01T12:45:05.396-07:00,2399,0,0
2022-04-01T13:00:02.180-07:00,2399,0,0
2022-04-01T13:15:02.715-07:00,2398,0,0
2022-04-01T13:30:02.564-07:00,2395,0,0
2022-04-01T13:45:02.606-07:00,2396,0,0
2022-04-01T14:00:00.226-07:00,2393,0,0
2022-04-01T14:15:02.684-07:00,2389,0,0
2022-04-01T14:30:02.334-07:00,2391,0,0
2022-04-01T14:45:02.016-07:00,2387,0,0
2022-04-01T15:00:02.553-07:00,2384,0,0
2022-04-01T15:15:02.580-07:00,2389,0,0
2022-04-01T15:30:04.730-07:00,2388,0,0
2022-04-01T15:45:02.398-07:00,2385,0,0
2022-04-01T16:00:05.185-07:00,2386,0,0
2022-04-01T16:15:02.254-07:00,2387,0,0
2022-04-01T16:30:04.986-07:00,2386,0,0
2022-04-01T16:45:02.952-07:00,2387,0,0
2022-04-01T17:00:07.832-07:00,2386,0,0
2022-04-01T17:15:01.945-07:00,2387,0,0
2022-04-01T17:30:07.443-07:00,2384,0,0
2022-04-01T17:45:02.255-07:00,2383,0,0
2022-04-01T18:00:08.811-07:00,2387,0,0
2022-04-01T18:15:02.506-07:00,2377,0,0
2022-04-01T18:30:07.364-07:00,2372,0,0
2022-04-01T18:45:08.020-07:00,2382,0,0
2022-04-01T19:00:07.444-07:00,2385,0,0
2022-04-01T19:15:03.237-07:00,2377,0,0
2022-04-01T19:30:07.777-07:00,2376,0,0
2022-04-01T19:45:02.066-07:00,2375,0,0
2022-04-01T20:00:07.841-07:00,2377,0,0
2022-04-01T20:15:02.170-07:00,2379,0,0
2022-04-01T20:30:02.493-07:00,2381,0,0
2022-04-01T20:45:02.129-07:00,2385,0,0
2022-04-01T21:00:02.434-07:00,2390,0,0
2022-04-01T21:15:02.234-07:00,2390,0,0
2022-04-01T21:30:02.530-07:00,2389,0,0
2022-04-01T21:45:02.141-07:00,2390,0,0
2022-04-01T22:00:00.201-07:00,2393,0,0
2022-04-01T22:15:02.230-07:00,2390,0,0
2022-04-01T22:30:02.499-07:00,2390,0,0
2022-04-01T22:45:02.274-07:00,2388,0,0
2022-04-01T23:00:02.232-07:00,2388,0,0
2022-04-01T23:15:02.148-07:00,2388,0,0
2022-04-01T23:30:02.473-07:00,2388,0,0
2022-04-01T23:45:02.579-07:00,2390,0,0
2022-04-02T00:00:02.341-07:00,2392,0,0
2022-04-02T00:15:02.021-07:00,2392,0,0
2022-04-02T00:30:02.409-07:00,2391,0,0
2022-04-02T00:45:02.311-07:00,2391,0,0
2022-04-02T01:00:02.401-07:00,2394,0,0
2022-04-02T01:15:02.409-07:00,2394,0,0
2022-04-02T01:30:02.480-07:00,2395,0,0
2022-04-02T01:45:02.088-07:00,2387,0,0
2022-04-02T02:00:02.406-07:00,2390,0,0
2022-04-02T02:15:00.327-07:00,2391,0,0
2022-04-02T02:30:02.406-07:00,2393,0,0
2022-04-02T02:45:02.813-07:00,2393,0,0
2022-04-02T03:00:02.424-07:00,2390,0,0
2022-04-02T03:15:02.559-07:00,2392,0,0
2022-04-02T03:30:02.089-07:00,2391,0,0
2022-04-02T03:45:02.453-07:00,2389,0,0
2022-04-02T04:00:02.697-07:00,2389,0,0
2022-04-02T04:15:02.299-07:00,2389,0,0
2022-04-02T04:30:02.583-07:00,2394,0,0
2022-04-02T04:45:02.327-07:00,2392,0,0
2022-04-02T05:00:05.694-07:00,2388,0,0
2022-04-02T05:15:01.881-07:00,2383,0,0
2022-04-02T05:30:02.180-07:00,2381,0,0
2022-04-02T05:45:02.271-07:00,2382,0,0
2022-04-02T06:00:02.388-07:00,2381,0,0
2022-04-02T06:15:02.612-07:00,2377,0,0
2022-04-02T06:30:12.901-07:00,2379,0,0
2022-04-02T06:45:02.424-07:00,2380,0,0
2022-04-02T07:00:02.331-07:00,2377,0,0
2022-04-02T07:15:02.608-07:00,2390,0,0
2022-04-02T07:30:01.985-07:00,2394,0,0
2022-04-02T07:45:02.209-07:00,2391,0,0
2022-04-02T08:00:02.512-07:00,2382,0,0
2022-04-02T08:15:01.817-07:00,2389,0,0
2022-04-02T08:30:02.655-07:00,2382,0,0
2022-04-02T08:45:02.465-07:00,2389,0,0
2022-04-02T09:00:02.048-07:00,2388,0,0
2022-04-02T09:15:02.078-07:00,2399,0,0
2022-04-02T09:30:02.409-07:00,2405,0,0
2022-04-02T09:45:02.423-07:00,2395,0,0
2022-04-02T10:00:05.073-07:00,2392,0,0
2022-04-02T10:15:02.501-07:00,2395,0,0
2022-04-02T10:30:02.061-07:00,2405,0,0
2022-04-02T10:45:02.277-07:00,2404,0,0
2022-04-02T11:00:02.214-07:00,2404,0,0
2022-04-02T11:15:02.080-07:00,2394,0,0
2022-04-02T11:30:02.021-07:00,2400,0,0
2022-04-02T11:45:02.443-07:00,2403,0,0
2022-04-02T12:00:02.110-07:00,2402,0,0
2022-04-02T12:15:02.312-07:00,2389,0,0
2022-04-02T12:30:02.481-07:00,2394,0,0
2022-04-02T12:45:02.710-07:00,2398,0,0
2022-04-02T13:00:02.501-07:00,2409,0,0
2022-04-02T13:15:02.257-07:00,2396,0,0
2022-04-02T13:30:02.596-07:00,2395,0,0
2022-04-02T13:45:02.143-07:00,2394,0,0
2022-04-02T14:00:02.080-07:00,2396,0,0
2022-04-02T14:15:02.471-07:00,2399,0,0
2022-04-02T14:30:02.304-07:00,2397,0,0
2022-04-02T14:45:06.056-07:00,2401,0,0
2022-04-02T15:00:02.763-07:00,2401,0,0
2022-04-02T15:15:10.608-07:00,2399,0,0
2022-04-02T15:30:02.525-07:00,2398,0,0
2022-04-02T15:45:10.452-07:00,2397,0,0
2022-04-02T16:00:02.667-07:00,2394,0,0
2022-04-02T16:15:10.888-07:00,2393,0,0
2022-04-02T16:30:02.084-07:00,2395,0,0
2022-04-02T16:45:08.932-07:00,2398,0,0
2022-04-02T17:00:02.380-07:00,2398,0,0
2022-04-02T17:15:09.940-07:00,2392,0,0
2022-04-02T17:30:02.200-07:00,2394,0,0
2022-04-02T17:45:03.769-07:00,2395,0,0
2022-04-02T18:00:02.239-07:00,2387,0,0
2022-04-02T18:15:07.293-07:00,2386,0,0
2022-04-02T18:30:02.066-07:00,2389,0,0
2022-04-02T18:45:02.741-07:00,2387,0,0
2022-04-02T19:00:02.284-07:00,2387,0,0
2022-04-02T19:15:08.432-07:00,2385,0,0
2022-04-02T19:30:02.429-07:00,2380,0,0
2022-04-02T19:45:02.385-07:00,2390,0,0
2022-04-02T20:00:02.499-07:00,2392,0,0
2022-04-02T20:15:02.182-07:00,2375,0,0
2022-04-02T20:30:02.148-07:00,2377,0,0
2022-04-02T20:45:02.421-07:00,2379,0,0
2022-04-02T21:00:02.555-07:00,2385,0,0
