t,v,s,r
2022-03-31T23:45:11.754-07:00,460.257080078125,0,0
2022-04-01T00:00:11.242-07:00,461.0741271972656,0,0
2022-04-01T00:15:12.455-07:00,460.82684326171875,0,0
2022-04-01T00:30:12.115-07:00,461.7060852050781,0,0
2022-04-01T00:45:12.516-07:00,459.2065124511719,0,0
2022-04-01T01:00:12.168-07:00,458.4076232910156,0,0
2022-04-01T01:15:11.522-07:00,459.16802978515625,0,0
2022-04-01T01:30:11.372-07:00,459.35174560546875,0,0
2022-04-01T01:45:12.105-07:00,459.87896728515625,0,0
2022-04-01T02:00:12.638-07:00,459.2674560546875,0,0
2022-04-01T02:15:12.188-07:00,459.79437255859375,0,0
2022-04-01T02:30:12.572-07:00,460.01934814453125,0,0
2022-04-01T02:45:12.457-07:00,460.04327392578125,0,0
2022-04-01T03:00:12.515-07:00,459.9456787109375,0,0
2022-04-01T03:15:12.035-07:00,460.0484619140625,0,0
2022-04-01T03:30:12.270-07:00,459.4363098144531,0,0
2022-04-01T03:45:11.973-07:00,459.61187744140625,0,0
2022-04-01T04:00:11.891-07:00,458.78009033203125,0,0
2022-04-01T04:15:12.331-07:00,462.04931640625,0,0
2022-04-01T04:30:11.499-07:00,462.34552001953125,0,0
2022-04-01T04:45:11.457-07:00,461.6469421386719,0,0
2022-04-01T05:00:16.327-07:00,461.2427978515625,0,0
2022-04-01T05:15:11.623-07:00,462.90814208984375,0,0
2022-04-01T05:30:11.033-07:00,460.8376770019531,0,0
2022-04-01T05:45:01.126-07:00,460.4866027832031,0,0
2022-04-01T06:00:12.254-07:00,457.54327392578125,0,0
2022-04-01T06:15:12.292-07:00,461.41119384765625,0,0
2022-04-01T06:30:14.219-07:00,459.26885986328125,0,0
2022-04-01T06:45:11.768-07:00,460.0263977050781,0,0
2022-04-01T07:00:14.945-07:00,460.05072021484375,0,0
2022-04-01T07:15:12.504-07:00,458.91827392578125,0,0
2022-04-01T07:30:11.721-07:00,461.3947448730469,0,0
2022-04-01T07:45:13.039-07:00,458.75396728515625,0,0
2022-04-01T08:00:12.154-07:00,461.2660217285156,0,0
2022-04-01T08:15:12.437-07:00,461.1800537109375,0,0
2022-04-01T08:30:11.938-07:00,462.7232666015625,0,0
2022-04-01T08:45:11.700-07:00,460.61553955078125,0,0
2022-04-01T09:00:12.021-07:00,461.07757568359375,0,0
2022-04-01T09:15:12.429-07:00,460.0610046386719,0,0
2022-04-01T09:30:11.575-07:00,464.1687316894531,0,0
2022-04-01T09:45:11.929-07:00,465.3765869140625,0,0
2022-04-01T10:00:11.739-07:00,464.2102355957031,0,0
2022-04-01T10:15:12.718-07:00,460.10675048828125,0,0
2022-04-01T10:30:11.796-07:00,459.8515930175781,0,0
2022-04-01T10:45:12.035-07:00,459.2122802734375,0,0
2022-04-01T11:00:12.475-07:00,459.4703674316406,0,0
2022-04-01T11:15:12.378-07:00,459.5732421875,0,0
2022-04-01T11:30:12.321-07:00,463.5332946777344,0,0
2022-04-01T11:45:12.284-07:00,462.64215087890625,0,0
2022-04-01T12:00:12.705-07:00,462.0074768066406,0,0
2022-04-01T12:15:12.489-07:00,465.0019226074219,0,0
2022-04-01T12:30:12.186-07:00,464.0107116699219,0,0
2022-04-01T12:45:11.666-07:00,464.33642578125,0,0
2022-04-01T13:00:11.459-07:00,464.3002624511719,0,0
2022-04-01T13:15:11.169-07:00,464.0439758300781,0,0
2022-04-01T13:30:11.983-07:00,464.6165466308594,0,0
2022-04-01T13:45:12.267-07:00,463.7403869628906,0,0
2022-04-01T14:00:11.102-07:00,462.549072265625,4,0
2022-04-01T14:15:12.027-07:00,462.0409240722656,0,0
2022-04-01T14:30:11.475-07:00,462.4253234863281,0,0
2022-04-01T14:45:11.270-07:00,461.5349426269531,0,0
2022-04-01T15:00:11.029-07:00,460.4051818847656,0,0
2022-04-01T15:15:11.537-07:00,462.174072265625,0,0
2022-04-01T15:30:11.921-07:00,460.8003234863281,0,0
2022-04-01T15:45:10.492-07:00,460.7763366699219,0,0
2022-04-01T16:00:10.718-07:00,461.1157531738281,0,0
2022-04-01T16:15:11.915-07:00,460.53399658203125,0,0
2022-04-01T16:30:12.185-07:00,460.6085510253906,0,0
2022-04-01T16:45:11.477-07:00,461.2015380859375,0,0
2022-04-01T17:00:11.387-07:00,460.62896728515625,0,0
2022-04-01T17:15:10.959-07:00,460.3411560058594,0,0
2022-04-01T17:30:11.864-07:00,459.8716735839844,0,0
2022-04-01T17:45:12.023-07:00,459.88641357421875,0,0
2022-04-01T18:00:11.497-07:00,460.1103820800781,0,0
2022-04-01T18:15:12.560-07:00,458.3548889160156,0,0
2022-04-01T18:30:12.500-07:00,456.8631896972656,0,0
2022-04-01T18:45:11.925-07:00,459.28497314453125,0,0
2022-04-01T19:00:12.703-07:00,459.5155029296875,0,0
2022-04-01T19:15:12.628-07:00,457.67041015625,0,0
2022-04-01T19:30:12.443-07:00,457.4501647949219,0,0
2022-04-01T19:45:11.825-07:00,457.3464050292969,0,0
2022-04-01T20:00:11.496-07:00,457.7306823730469,0,0
2022-04-01T20:15:10.970-07:00,458.3516540527344,0,0
2022-04-01T20:30:11.800-07:00,458.6827392578125,0,0
2022-04-01T20:45:12.108-07:00,459.489501953125,0,0
2022-04-01T21:00:13.901-07:00,460.8801574707031,0,0
2022-04-01T21:15:01.092-07:00,460.3763122558594,0,0
2022-04-01T21:30:12.547-07:00,460.16448974609375,0,0
2022-04-01T21:45:11.976-07:00,460.54522705078125,0,0
2022-04-01T22:00:11.959-07:00,461.077392578125,0,0
2022-04-01T22:15:11.983-07:00,460.27740478515625,0,0
2022-04-01T22:30:11.288-07:00,459.9493408203125,0,0
2022-04-01T22:45:11.820-07:00,459.9765930175781,0,0
2022-04-01T23:00:12.210-07:00,460.20672607421875,0,0
2022-04-01T23:15:12.002-07:00,459.9590759277344,0,0
2022-04-01T23:30:11.331-07:00,460.4280090332031,0,0
2022-04-01T23:45:11.074-07:00,460.49224853515625,0,0
2022-04-02T00:00:11.248-07:00,460.5005798339844,0,0
2022-04-02T00:15:11.556-07:00,460.9075012207031,0,0
2022-04-02T00:30:15.085-07:00,460.689697265625,0,0
2022-04-02T00:45:12.268-07:00,460.4665222167969,0,0
2022-04-02T01:00:11.594-07:00,461.0118103027344,0,0
2022-04-02T01:15:12.298-07:00,461.46466064453125,0,0
2022-04-02T01:30:12.086-07:00,461.2713623046875,0,0
2022-04-02T01:45:11.960-07:00,460.04461669921875,0,0
