t,v,s,r
2022-03-31T23:45:11.808-07:00,461.2660217285156,0,0
2022-04-01T00:00:11.332-07:00,462.0165710449219,0,0
2022-04-01T00:15:12.506-07:00,462.0009765625,0,0
2022-04-01T00:30:12.148-07:00,462.5343017578125,0,0
2022-04-01T00:45:12.544-07:00,459.7646179199219,0,0
2022-04-01T01:00:12.190-07:00,459.0604553222656,0,0
2022-04-01T01:15:11.537-07:00,459.8812255859375,0,0
2022-04-01T01:30:11.398-07:00,460.3431701660156,0,0
2022-04-01T01:45:12.138-07:00,460.97735595703125,0,0
2022-04-01T02:00:12.673-07:00,460.0851135253906,0,0
2022-04-01T02:15:12.213-07:00,460.80450439453125,0,0
2022-04-01T02:30:12.590-07:00,460.9606628417969,0,0
2022-04-01T02:45:12.490-07:00,461.00616455078125,0,0
2022-04-01T03:00:12.552-07:00,460.790771484375,0,0
2022-04-01T03:15:12.052-07:00,460.9551696777344,0,0
2022-04-01T03:30:12.308-07:00,460.3695373535156,0,0
2022-04-01T03:45:11.996-07:00,460.6121826171875,0,0
2022-04-01T04:00:11.920-07:00,459.4625244140625,0,0
2022-04-01T04:15:12.355-07:00,462.7280578613281,0,0
2022-04-01T04:30:11.539-07:00,462.95465087890625,0,0
2022-04-01T04:45:11.491-07:00,462.4075012207031,0,0
2022-04-01T05:00:16.359-07:00,461.73834228515625,0,0
2022-04-01T05:15:11.699-07:00,464.0528869628906,0,0
2022-04-01T05:30:11.069-07:00,461.45068359375,0,0
2022-04-01T05:45:01.127-07:00,461.2393493652344,0,0
2022-04-01T06:00:12.282-07:00,458.678955078125,0,0
2022-04-01T06:15:12.327-07:00,462.5462341308594,0,0
2022-04-01T06:30:14.283-07:00,460.3057556152344,0,0
2022-04-01T06:45:11.823-07:00,460.3755798339844,0,0
2022-04-01T07:00:14.993-07:00,460.49102783203125,0,0
2022-04-01T07:15:12.551-07:00,459.43035888671875,0,0
2022-04-01T07:30:11.746-07:00,462.1002502441406,0,0
2022-04-01T07:45:13.133-07:00,459.65093994140625,0,0
2022-04-01T08:00:12.173-07:00,462.2965393066406,0,0
2022-04-01T08:15:12.475-07:00,461.8306884765625,0,0
2022-04-01T08:30:11.976-07:00,463.3987121582031,0,0
2022-04-01T08:45:11.727-07:00,461.9444580078125,0,0
2022-04-01T09:00:12.055-07:00,462.2665710449219,0,0
2022-04-01T09:15:12.478-07:00,461.2326354980469,0,0
2022-04-01T09:30:11.596-07:00,465.4273376464844,0,0
2022-04-01T09:45:11.952-07:00,466.38702392578125,0,0
2022-04-01T10:00:11.785-07:00,465.072509765625,0,0
2022-04-01T10:15:12.801-07:00,461.3643798828125,0,0
2022-04-01T10:30:11.846-07:00,460.8657531738281,0,0
2022-04-01T10:45:12.135-07:00,461.1582946777344,0,0
2022-04-01T11:00:12.508-07:00,460.7266540527344,0,0
2022-04-01T11:15:12.432-07:00,461.1431579589844,0,0
2022-04-01T11:30:12.350-07:00,464.8883361816406,0,0
2022-04-01T11:45:12.312-07:00,463.9390563964844,0,0
2022-04-01T12:00:12.733-07:00,462.95794677734375,0,0
2022-04-01T12:15:12.523-07:00,466.3347473144531,0,0
2022-04-01T12:30:12.213-07:00,464.9839172363281,0,0
2022-04-01T12:45:11.682-07:00,465.8251037597656,0,0
2022-04-01T13:00:11.487-07:00,465.525146484375,0,0
2022-04-01T13:15:11.194-07:00,465.39556884765625,0,0
2022-04-01T13:30:12.007-07:00,465.1385803222656,0,0
2022-04-01T13:45:12.298-07:00,464.9739074707031,0,0
2022-04-01T14:00:11.122-07:00,463.9826965332031,4,0
2022-04-01T14:15:12.060-07:00,463.76202392578125,0,0
2022-04-01T14:30:11.554-07:00,463.90625,0,0
2022-04-01T14:45:11.324-07:00,463.3065185546875,0,0
2022-04-01T15:00:11.087-07:00,461.3520202636719,0,0
2022-04-01T15:15:11.572-07:00,463.6011657714844,0,0
2022-04-01T15:30:11.954-07:00,462.4314270019531,0,0
2022-04-01T15:45:10.535-07:00,462.25018310546875,0,0
2022-04-01T16:00:10.775-07:00,462.366943359375,0,0
2022-04-01T16:15:11.937-07:00,462.4569396972656,0,0
2022-04-01T16:30:12.208-07:00,461.8450012207031,0,0
2022-04-01T16:45:11.506-07:00,462.21502685546875,0,0
2022-04-01T17:00:11.416-07:00,462.0514831542969,0,0
2022-04-01T17:15:10.982-07:00,461.80426025390625,0,0
2022-04-01T17:30:11.892-07:00,460.733154296875,0,0
2022-04-01T17:45:12.089-07:00,460.5312805175781,0,0
2022-04-01T18:00:11.512-07:00,461.23919677734375,0,0
2022-04-01T18:15:12.652-07:00,459.3461608886719,0,0
2022-04-01T18:30:12.550-07:00,457.9966735839844,0,0
2022-04-01T18:45:11.946-07:00,460.40673828125,0,0
2022-04-01T19:00:12.767-07:00,460.893310546875,0,0
2022-04-01T19:15:12.648-07:00,458.7725830078125,0,0
2022-04-01T19:30:12.551-07:00,458.7411804199219,0,0
2022-04-01T19:45:11.856-07:00,458.7629699707031,0,0
2022-04-01T20:00:11.529-07:00,459.02423095703125,0,0
2022-04-01T20:15:10.986-07:00,459.53277587890625,0,0
2022-04-01T20:30:11.830-07:00,460.0465087890625,0,0
2022-04-01T20:45:12.133-07:00,460.7644958496094,0,0
2022-04-01T21:00:13.942-07:00,461.967529296875,0,0
2022-04-01T21:15:01.095-07:00,461.53399658203125,0,0
2022-04-01T21:30:12.592-07:00,461.2123107910156,0,0
2022-04-01T21:45:12.009-07:00,461.4169921875,0,0
2022-04-01T22:00:11.998-07:00,462.1659851074219,0,0
2022-04-01T22:15:12.025-07:00,461.1385498046875,0,0
2022-04-01T22:30:11.322-07:00,461.4590759277344,0,0
2022-04-01T22:45:11.866-07:00,461.1163330078125,0,0
2022-04-01T23:00:12.255-07:00,460.96661376953125,0,0
2022-04-01T23:15:12.033-07:00,461.2153625488281,0,0
2022-04-01T23:30:11.347-07:00,461.4634704589844,0,0
2022-04-01T23:45:11.111-07:00,461.51116943359375,0,0
2022-04-02T00:00:11.311-07:00,461.78814697265625,0,0
2022-04-02T00:15:11.637-07:00,461.7812805175781,0,0
