t,v,s,r
2022-03-31T23:45:04.303-07:00,482,0,0
2022-04-01T00:00:04.140-07:00,483,0,0
2022-04-01T00:15:04.303-07:00,483,0,0
2022-04-01T00:30:04.417-07:00,484,0,0
2022-04-01T00:45:04.190-07:00,481,0,0
2022-04-01T01:00:04.294-07:00,480,0,0
2022-04-01T01:15:01.769-07:00,482,0,0
2022-04-01T01:30:04.274-07:00,481,0,0
2022-04-01T01:45:04.471-07:00,482,0,0
2022-04-01T02:00:04.197-07:00,482,0,0
2022-04-01T02:15:04.202-07:00,482,0,0
2022-04-01T02:30:04.276-07:00,483,0,0
2022-04-01T02:45:04.128-07:00,482,0,0
2022-04-01T03:00:04.315-07:00,482,0,0
2022-04-01T03:15:04.138-07:00,482,0,0
2022-04-01T03:30:04.057-07:00,482,0,0
2022-04-01T03:45:04.604-07:00,482,0,0
2022-04-01T04:00:04.334-07:00,480,0,0
2022-04-01T04:15:04.460-07:00,484,0,0
2022-04-01T04:30:03.649-07:00,485,0,0
2022-04-01T04:45:04.132-07:00,484,0,0
2022-04-01T05:00:06.908-07:00,483,0,0
2022-04-01T05:15:04.328-07:00,485,0,0
2022-04-01T05:30:04.076-07:00,483,0,0
2022-04-01T05:45:04.457-07:00,482,0,0
2022-04-01T06:00:04.304-07:00,480,0,0
2022-04-01T06:15:04.506-07:00,484,0,0
2022-04-01T06:30:06.733-07:00,482,0,0
2022-04-01T06:45:04.683-07:00,482,0,0
2022-04-01T07:00:04.359-07:00,482,0,0
2022-04-01T07:15:04.171-07:00,480,0,0
2022-04-01T07:30:08.353-07:00,483,0,0
2022-04-01T07:45:04.176-07:00,481,0,0
2022-04-01T08:00:06.415-07:00,483,0,0
2022-04-01T08:15:04.170-07:00,482,0,0
2022-04-01T08:30:04.538-07:00,484,0,0
2022-04-01T08:45:05.312-07:00,483,0,0
2022-04-01T09:00:04.431-07:00,483,0,0
2022-04-01T09:15:04.220-07:00,482,0,0
2022-04-01T09:30:04.370-07:00,485,0,0
2022-04-01T09:45:04.219-07:00,485,0,0
2022-04-01T10:00:04.522-07:00,484,0,0
2022-04-01T10:15:04.146-07:00,482,0,0
2022-04-01T10:30:04.227-07:00,481,0,0
2022-04-01T10:45:04.342-07:00,481,0,0
2022-04-01T11:00:04.465-07:00,481,0,0
2022-04-01T11:15:04.182-07:00,481,0,0
2022-04-01T11:30:04.323-07:00,485,0,0
2022-04-01T11:45:04.336-07:00,484,0,0
2022-04-01T12:00:04.289-07:00,482,0,0
2022-04-01T12:15:04.290-07:00,485,0,0
2022-04-01T12:30:04.626-07:00,484,0,0
2022-04-01T12:45:05.073-07:00,484,0,0
2022-04-01T13:00:04.404-07:00,484,0,0
2022-04-01T13:15:04.287-07:00,484,0,0
2022-04-01T13:30:04.363-07:00,483,0,0
2022-04-01T13:45:04.220-07:00,484,0,0
2022-04-01T14:00:04.111-07:00,483,0,0
2022-04-01T14:15:04.251-07:00,482,0,0
2022-04-01T14:30:04.683-07:00,483,0,0
2022-04-01T14:45:04.595-07:00,483,0,0
2022-04-01T15:00:04.433-07:00,482,0,0
2022-04-01T15:15:04.247-07:00,483,0,0
2022-04-01T15:30:06.507-07:00,482,0,0
2022-04-01T15:45:04.141-07:00,481,0,0
2022-04-01T16:00:06.644-07:00,481,0,0
2022-04-01T16:15:04.211-07:00,482,0,0
2022-04-01T16:30:06.928-07:00,482,0,0
2022-04-01T16:45:04.253-07:00,481,0,0
2022-04-01T17:00:07.129-07:00,481,0,0
