t,v,s,r
2022-03-31T23:45:04.615-07:00,215.76171875,0,0
2022-04-01T00:00:04.559-07:00,181.40228271484375,0,0
2022-04-01T00:15:04.575-07:00,173.9839630126953,0,0
2022-04-01T00:30:04.799-07:00,190.35394287109375,0,0
2022-04-01T00:45:04.563-07:00,193.90377807617188,0,0
2022-04-01T01:00:04.612-07:00,186.67088317871094,0,0
2022-04-01T01:15:01.812-07:00,185.7334442138672,0,0
2022-04-01T01:30:04.670-07:00,159.94448852539062,0,0
2022-04-01T01:45:04.896-07:00,158.7694854736328,0,0
2022-04-01T02:00:04.528-07:00,160.594482421875,0,0
2022-04-01T02:15:04.576-07:00,162.48873901367188,0,0
2022-04-01T02:30:04.593-07:00,152.46763610839844,0,0
2022-04-01T02:45:04.471-07:00,180.97654724121094,0,0
2022-04-01T03:00:04.627-07:00,149.2476806640625,0,0
2022-04-01T03:15:04.450-07:00,156.84349060058594,0,0
2022-04-01T03:30:04.383-07:00,168.57896423339844,0,0
2022-04-01T03:45:04.921-07:00,156.77101135253906,0,0
2022-04-01T04:00:04.646-07:00,155.40025329589844,0,0
2022-04-01T04:15:04.835-07:00,158.743408203125,0,0
2022-04-01T04:30:03.949-07:00,147.22882080078125,0,0
2022-04-01T04:45:04.438-07:00,154.1419677734375,0,0
2022-04-01T05:00:07.270-07:00,147.6920928955078,0,0
2022-04-01T05:15:04.642-07:00,185.09799194335938,0,0
2022-04-01T05:30:04.397-07:00,165.29376220703125,0,0
2022-04-01T05:45:04.775-07:00,158.53358459472656,0,0
2022-04-01T06:00:04.596-07:00,242.481201171875,0,0
2022-04-01T06:15:04.903-07:00,243.87127685546875,0,0
2022-04-01T06:30:07.016-07:00,245.1870574951172,0,0
2022-04-01T06:45:05.036-07:00,235.32728576660156,0,0
2022-04-01T07:00:04.787-07:00,220.68624877929688,0,0
2022-04-01T07:15:04.605-07:00,216.1046142578125,0,0
2022-04-01T07:30:08.672-07:00,208.32046508789062,0,0
2022-04-01T07:45:04.553-07:00,206.6761932373047,0,0
2022-04-01T08:00:06.749-07:00,198.828125,0,0
2022-04-01T08:15:04.513-07:00,344.65216064453125,0,0
2022-04-01T08:30:04.852-07:00,224.1483154296875,0,0
2022-04-01T08:45:05.652-07:00,272.9683532714844,0,0
2022-04-01T09:00:04.814-07:00,264.0008850097656,0,0
2022-04-01T09:15:04.615-07:00,303.2668151855469,0,0
2022-04-01T09:30:04.649-07:00,263.30413818359375,0,0
2022-04-01T09:45:04.545-07:00,230.11343383789062,0,0
2022-04-01T10:00:04.850-07:00,257.273193359375,0,0
2022-04-01T10:15:04.456-07:00,260.6324768066406,0,0
2022-04-01T10:30:04.501-07:00,433.5576171875,0,0
2022-04-01T10:45:04.671-07:00,418.5528259277344,0,0
2022-04-01T11:00:04.782-07:00,286.4627685546875,0,0
2022-04-01T11:15:04.473-07:00,254.77438354492188,0,0
2022-04-01T11:30:04.657-07:00,372.5479431152344,0,0
2022-04-01T11:45:04.653-07:00,249.72964477539062,0,0
2022-04-01T12:00:04.660-07:00,249.22914123535156,0,0
2022-04-01T12:15:04.601-07:00,238.947509765625,0,0
2022-04-01T12:30:04.995-07:00,354.28155517578125,0,0
2022-04-01T12:45:05.395-07:00,362.0063781738281,0,0
2022-04-01T13:00:04.870-07:00,305.9908447265625,0,0
2022-04-01T13:15:04.628-07:00,235.6752471923828,0,0
2022-04-01T13:30:04.724-07:00,450.6894836425781,0,0
2022-04-01T13:45:04.573-07:00,250.43576049804688,0,0
2022-04-01T14:00:04.451-07:00,403.65869140625,0,0
2022-04-01T14:15:04.640-07:00,487.2496032714844,0,0
2022-04-01T14:30:05.106-07:00,262.368408203125,0,0
2022-04-01T14:45:04.930-07:00,438.996826171875,0,0
2022-04-01T15:00:04.906-07:00,248.8697509765625,0,0
2022-04-01T15:15:04.582-07:00,327.7414855957031,0,0
2022-04-01T15:30:06.825-07:00,312.1368713378906,0,0
2022-04-01T15:45:04.487-07:00,297.3140563964844,0,0
2022-04-01T16:00:07.015-07:00,255.94302368164062,0,0
2022-04-01T16:15:04.564-07:00,277.33624267578125,0,0
2022-04-01T16:30:07.354-07:00,262.65301513671875,0,0
2022-04-01T16:45:04.571-07:00,328.95904541015625,0,0
2022-04-01T17:00:07.488-07:00,334.3601379394531,0,0
2022-04-01T17:15:04.577-07:00,303.6240539550781,0,0
2022-04-01T17:30:07.260-07:00,276.87518310546875,0,0
2022-04-01T17:45:04.636-07:00,314.5661926269531,0,0
2022-04-01T18:00:07.144-07:00,261.4787292480469,0,0
2022-04-01T18:15:04.797-07:00,274.6700134277344,0,0
2022-04-01T18:30:07.225-07:00,317.96929931640625,0,0
2022-04-01T18:45:04.567-07:00,267.61297607421875,0,0
2022-04-01T19:00:07.194-07:00,310.2442932128906,0,0
2022-04-01T19:15:04.848-07:00,291.5255432128906,0,0
