t,v,s,r
2022-03-31T23:45:04.640-07:00,190.62344360351562,0,0
2022-04-01T00:00:04.589-07:00,156.32174682617188,0,0
2022-04-01T00:15:04.600-07:00,172.9126434326172,0,0
2022-04-01T00:30:04.838-07:00,205.54095458984375,0,0
2022-04-01T00:45:04.588-07:00,224.77880859375,0,0
2022-04-01T01:00:04.639-07:00,191.1656951904297,0,0
2022-04-01T01:15:01.815-07:00,183.85238647460938,0,0
2022-04-01T01:30:04.704-07:00,164.8016815185547,0,0
2022-04-01T01:45:04.935-07:00,144.654052734375,0,0
2022-04-01T02:00:04.553-07:00,139.39297485351562,0,0
2022-04-01T02:15:04.610-07:00,158.54408264160156,0,0
2022-04-01T02:30:04.623-07:00,143.8435516357422,0,0
2022-04-01T02:45:04.498-07:00,143.53036499023438,0,0
2022-04-01T03:00:04.652-07:00,164.17755126953125,0,0
2022-04-01T03:15:04.484-07:00,173.00857543945312,0,0
2022-04-01T03:30:04.421-07:00,177.64212036132812,0,0
2022-04-01T03:45:04.951-07:00,169.19363403320312,0,0
2022-04-01T04:00:04.681-07:00,175.1661376953125,0,0
2022-04-01T04:15:04.869-07:00,160.93226623535156,0,0
2022-04-01T04:30:03.984-07:00,155.380859375,0,0
2022-04-01T04:45:04.466-07:00,134.74041748046875,0,0
2022-04-01T05:00:07.295-07:00,160.33074951171875,0,0
2022-04-01T05:15:04.683-07:00,160.96334838867188,0,0
2022-04-01T05:30:04.425-07:00,187.19390869140625,0,0
2022-04-01T05:45:04.801-07:00,143.9083251953125,0,0
2022-04-01T06:00:04.621-07:00,233.2741241455078,0,0
2022-04-01T06:15:04.931-07:00,206.32382202148438,0,0
2022-04-01T06:30:07.042-07:00,225.898681640625,0,0
2022-04-01T06:45:05.068-07:00,215.6328125,0,0
2022-04-01T07:00:04.823-07:00,203.67041015625,0,0
2022-04-01T07:15:04.633-07:00,208.6528778076172,0,0
2022-04-01T07:30:08.697-07:00,194.43814086914062,0,0
2022-04-01T07:45:04.594-07:00,210.8453826904297,0,0
2022-04-01T08:00:06.775-07:00,180.83981323242188,0,0
2022-04-01T08:15:04.541-07:00,335.2512512207031,0,0
2022-04-01T08:30:04.886-07:00,226.06365966796875,0,0
2022-04-01T08:45:05.683-07:00,268.6016845703125,0,0
