t,v,s,r
2022-03-31T23:45:04.590-07:00,60.025634765625,0,0
2022-04-01T00:00:04.545-07:00,60.02836608886719,0,0
2022-04-01T00:15:04.562-07:00,59.99787521362305,0,0
2022-04-01T00:30:04.784-07:00,60.0037727355957,0,0
2022-04-01T00:45:04.551-07:00,59.9923210144043,0,0
2022-04-01T01:00:04.599-07:00,60.00675964355469,0,0
2022-04-01T01:15:01.810-07:00,60.028194427490234,0,0
2022-04-01T01:30:04.644-07:00,59.97523498535156,0,0
2022-04-01T01:45:04.874-07:00,59.98565673828125,0,0
2022-04-01T02:00:04.516-07:00,60.002052307128906,0,0
2022-04-01T02:15:04.560-07:00,59.99431610107422,0,0
2022-04-01T02:30:04.579-07:00,60.013328552246094,0,0
2022-04-01T02:45:04.441-07:00,59.98061752319336,0,0
2022-04-01T03:00:04.614-07:00,60.000545501708984,0,0
2022-04-01T03:15:04.437-07:00,60.01359558105469,0,0
2022-04-01T03:30:04.370-07:00,60.01176834106445,0,0
2022-04-01T03:45:04.908-07:00,60.017032623291016,0,0
2022-04-01T04:00:04.633-07:00,60.00016784667969,0,0
2022-04-01T04:15:04.821-07:00,60.000030517578125,0,0
2022-04-01T04:30:03.936-07:00,60.02326583862305,0,0
2022-04-01T04:45:04.426-07:00,59.98024368286133,0,0
2022-04-01T05:00:07.245-07:00,60.025917053222656,0,0
2022-04-01T05:15:04.627-07:00,59.97998809814453,0,0
2022-04-01T05:30:04.383-07:00,59.98210906982422,0,0
2022-04-01T05:45:04.750-07:00,60.001060485839844,0,0
2022-04-01T06:00:04.584-07:00,60.00822448730469,0,0
2022-04-01T06:15:04.891-07:00,59.97930908203125,0,0
2022-04-01T06:30:07.003-07:00,60.001644134521484,0,0
2022-04-01T06:45:05.013-07:00,60.01300048828125,0,0
2022-04-01T07:00:04.775-07:00,60.00129318237305,0,0
2022-04-01T07:15:04.592-07:00,59.99656677246094,0,0
2022-04-01T07:30:08.656-07:00,59.99861145019531,0,0
2022-04-01T07:45:04.519-07:00,60.029300689697266,0,0
2022-04-01T08:00:06.733-07:00,60.03818893432617,0,0
2022-04-01T08:15:04.501-07:00,60.01727294921875,0,0
2022-04-01T08:30:04.840-07:00,60.02322006225586,0,0
2022-04-01T08:45:05.636-07:00,60.02654266357422,0,0
2022-04-01T09:00:04.764-07:00,60.02062225341797,0,0
2022-04-01T09:15:04.594-07:00,60.01179122924805,0,0
2022-04-01T09:30:04.637-07:00,60.022056579589844,0,0
2022-04-01T09:45:04.528-07:00,60.00606918334961,0,0
2022-04-01T10:00:04.838-07:00,60.01200485229492,0,0
