t,v,s,r
2022-03-31T23:45:04.442-07:00,1,0,0
2022-04-01T00:00:04.315-07:00,1,0,0
2022-04-01T00:15:04.424-07:00,1,0,0
2022-04-01T00:30:04.554-07:00,1,0,0
2022-04-01T00:45:04.325-07:00,1,0,0
2022-04-01T01:00:04.436-07:00,1,0,0
2022-04-01T01:15:01.783-07:00,1,0,0
2022-04-01T01:30:04.482-07:00,1,0,0
2022-04-01T01:45:04.643-07:00,1,0,0
2022-04-01T02:00:04.362-07:00,1,0,0
2022-04-01T02:15:04.400-07:00,1,0,0
2022-04-01T02:30:04.418-07:00,1,0,0
2022-04-01T02:45:04.285-07:00,1,0,0
2022-04-01T03:00:04.449-07:00,1,0,0
2022-04-01T03:15:04.290-07:00,1,0,0
2022-04-01T03:30:04.203-07:00,1,0,0
2022-04-01T03:45:04.754-07:00,1,0,0
2022-04-01T04:00:04.479-07:00,1,0,0
2022-04-01T04:15:04.632-07:00,1,0,0
2022-04-01T04:30:03.794-07:00,1,0,0
2022-04-01T04:45:04.272-07:00,1,0,0
2022-04-01T05:00:07.051-07:00,1,0,0
2022-04-01T05:15:04.476-07:00,1,0,0
2022-04-01T05:30:04.223-07:00,1,0,0
2022-04-01T05:45:04.599-07:00,1,0,0
2022-04-01T06:00:04.448-07:00,1,0,0
2022-04-01T06:15:04.721-07:00,1,0,0
2022-04-01T06:30:06.854-07:00,1,0,0
2022-04-01T06:45:04.825-07:00,1,0,0
2022-04-01T07:00:04.506-07:00,1,0,0
2022-04-01T07:15:04.402-07:00,1,0,0
2022-04-01T07:30:08.515-07:00,1,0,0
2022-04-01T07:45:04.341-07:00,1,0,0
2022-04-01T08:00:06.579-07:00,1,0,0
2022-04-01T08:15:04.317-07:00,1,0,0
2022-04-01T08:30:04.682-07:00,1,0,0
2022-04-01T08:45:05.474-07:00,1,0,0
2022-04-01T09:00:04.578-07:00,1,0,0
2022-04-01T09:15:04.418-07:00,1,0,0
2022-04-01T09:30:04.504-07:00,1,0,0
2022-04-01T09:45:04.359-07:00,1,0,0
2022-04-01T10:00:04.667-07:00,1,0,0
2022-04-01T10:15:04.285-07:00,1,0,0
2022-04-01T10:30:04.347-07:00,1,0,0
2022-04-01T10:45:04.508-07:00,1,0,0
2022-04-01T11:00:04.602-07:00,1,0,0
2022-04-01T11:15:04.303-07:00,1,0,0
2022-04-01T11:30:04.469-07:00,1,0,0
2022-04-01T11:45:04.491-07:00,21,0,0
2022-04-01T12:00:04.439-07:00,1,0,0
2022-04-01T12:15:04.430-07:00,1,0,0
2022-04-01T12:30:04.760-07:00,1,0,0
2022-04-01T12:45:05.210-07:00,1,0,0
2022-04-01T13:00:04.641-07:00,1,0,0
2022-04-01T13:15:04.440-07:00,1,0,0
2022-04-01T13:30:04.545-07:00,1,0,0
2022-04-01T13:45:04.390-07:00,1,0,0
2022-04-01T14:00:04.259-07:00,1,0,0
2022-04-01T14:15:04.464-07:00,1,0,0
2022-04-01T14:30:04.849-07:00,1,0,0
2022-04-01T14:45:04.768-07:00,1,0,0
2022-04-01T15:00:04.665-07:00,1,0,0
2022-04-01T15:15:04.403-07:00,1,0,0
2022-04-01T15:30:06.673-07:00,0,0,0
2022-04-01T15:45:04.329-07:00,1,0,0
2022-04-01T16:00:06.817-07:00,1,0,0
2022-04-01T16:15:04.346-07:00,1,0,0
2022-04-01T16:30:07.071-07:00,1,0,0
2022-04-01T16:45:04.402-07:00,1,0,0
2022-04-01T17:00:07.276-07:00,1,0,0
2022-04-01T17:15:04.399-07:00,1,0,0
2022-04-01T17:30:07.090-07:00,0,0,0
2022-04-01T17:45:04.432-07:00,1,0,0
2022-04-01T18:00:06.908-07:00,1,0,0
2022-04-01T18:15:04.555-07:00,1,0,0
2022-04-01T18:30:07.065-07:00,1,0,0
2022-04-01T18:45:04.397-07:00,1,0,0
2022-04-01T19:00:07.009-07:00,1,0,0
2022-04-01T19:15:04.660-07:00,0,0,0
2022-04-01T19:30:00.604-07:00,1,0,0
2022-04-01T19:45:04.228-07:00,1,0,0
2022-04-01T20:00:04.383-07:00,1,0,0
2022-04-01T20:15:04.286-07:00,1,0,0
2022-04-01T20:30:04.193-07:00,1,0,0
2022-04-01T20:45:04.485-07:00,1,0,0
2022-04-01T21:00:04.877-07:00,1,0,0
2022-04-01T21:15:04.638-07:00,1,0,0
2022-04-01T21:30:04.631-07:00,1,0,0
2022-04-01T21:45:04.401-07:00,1,0,0
2022-04-01T22:00:04.687-07:00,1,0,0
2022-04-01T22:15:04.530-07:00,1,0,0
2022-04-01T22:30:04.425-07:00,1,0,0
2022-04-01T22:45:04.377-07:00,1,0,0
2022-04-01T23:00:04.426-07:00,1,0,0
2022-04-01T23:15:09.456-07:00,1,0,0
2022-04-01T23:30:05.532-07:00,1,0,0
2022-04-01T23:45:04.460-07:00,1,0,0
2022-04-02T00:00:00.617-07:00,1,0,0
2022-04-02T00:15:04.553-07:00,1,0,0
2022-04-02T00:30:04.426-07:00,1,0,0
2022-04-02T00:45:04.542-07:00,1,0,0
2022-04-02T01:00:04.508-07:00,1,0,0
2022-04-02T01:15:04.490-07:00,1,0,0
2022-04-02T01:30:04.472-07:00,1,0,0
2022-04-02T01:45:04.713-07:00,0,0,0
2022-04-02T02:00:04.582-07:00,1,0,0
2022-04-02T02:15:04.415-07:00,1,0,0
2022-04-02T02:30:04.192-07:00,1,0,0
2022-04-02T02:45:04.457-07:00,1,0,0
2022-04-02T03:00:04.363-07:00,1,0,0
2022-04-02T03:15:04.332-07:00,1,0,0
2022-04-02T03:30:04.382-07:00,1,0,0
2022-04-02T03:45:04.873-07:00,1,0,0
2022-04-02T04:00:04.448-07:00,1,0,0
2022-04-02T04:15:07.065-07:00,1,0,0
2022-04-02T04:30:04.227-07:00,1,0,0
2022-04-02T04:45:00.448-07:00,1,0,0
2022-04-02T05:00:04.435-07:00,1,0,0
2022-04-02T05:15:04.436-07:00,1,0,0
2022-04-02T05:30:04.332-07:00,1,0,0
2022-04-02T05:45:04.392-07:00,1,0,0
2022-04-02T06:00:04.396-07:00,1,0,0
2022-04-02T06:15:04.340-07:00,1,0,0
2022-04-02T06:30:04.281-07:00,1,0,0
2022-04-02T06:45:04.457-07:00,1,0,0
2022-04-02T07:00:04.374-07:00,1,0,0
2022-04-02T07:15:04.315-07:00,1,0,0
2022-04-02T07:30:04.361-07:00,1,0,0
2022-04-02T07:45:04.977-07:00,1,0,0
2022-04-02T08:00:04.318-07:00,1,0,0
2022-04-02T08:15:04.422-07:00,1,0,0
2022-04-02T08:30:04.340-07:00,1,0,0
2022-04-02T08:45:04.258-07:00,1,0,0
2022-04-02T09:00:04.336-07:00,1,0,0
2022-04-02T09:15:04.384-07:00,1,0,0
2022-04-02T09:30:00.682-07:00,1,0,0
2022-04-02T09:45:04.348-07:00,1,0,0
2022-04-02T10:00:04.786-07:00,1,0,0
2022-04-02T10:15:04.823-07:00,1,0,0
2022-04-02T10:30:04.357-07:00,1,0,0
2022-04-02T10:45:04.447-07:00,1,0,0
2022-04-02T11:00:04.426-07:00,1,0,0
2022-04-02T11:15:04.373-07:00,1,0,0
2022-04-02T11:30:04.433-07:00,1,0,0
2022-04-02T11:45:04.333-07:00,1,0,0
2022-04-02T12:00:04.225-07:00,1,0,0
2022-04-02T12:15:04.385-07:00,1,0,0
2022-04-02T12:30:04.613-07:00,1,0,0
2022-04-02T12:45:04.621-07:00,1,0,0
2022-04-02T13:00:04.701-07:00,1,0,0
2022-04-02T13:15:04.510-07:00,1,0,0
2022-04-02T13:30:04.345-07:00,1,0,0
2022-04-02T13:45:04.546-07:00,1,0,0
2022-04-02T14:00:00.377-07:00,1,0,0
2022-04-02T14:15:04.433-07:00,1,0,0
2022-04-02T14:30:04.635-07:00,1,0,0
2022-04-02T14:45:04.429-07:00,1,0,0
2022-04-02T15:00:04.983-07:00,1,0,0
2022-04-02T15:15:04.616-07:00,1,0,0
2022-04-02T15:30:04.356-07:00,30,0,0
2022-04-02T15:45:04.683-07:00,1,0,0
2022-04-02T16:00:04.495-07:00,1,0,0
2022-04-02T16:15:04.577-07:00,1,0,0
2022-04-02T16:30:04.407-07:00,1,0,0
2022-04-02T16:45:04.385-07:00,1,0,0
2022-04-02T17:00:04.666-07:00,1,0,0
2022-04-02T17:15:04.371-07:00,1,0,0
2022-04-02T17:30:04.611-07:00,1,0,0
2022-04-02T17:45:04.523-07:00,1,0,0
2022-04-02T18:00:04.466-07:00,1,0,0
2022-04-02T18:15:04.175-07:00,1,0,0
2022-04-02T18:30:04.582-07:00,1,0,0
2022-04-02T18:45:04.400-07:00,1,0,0
2022-04-02T19:00:04.828-07:00,1,0,0
2022-04-02T19:15:04.475-07:00,1,0,0
2022-04-02T19:30:04.496-07:00,1,0,0
2022-04-02T19:45:04.214-07:00,1,0,0
2022-04-02T20:00:04.358-07:00,1,0,0
2022-04-02T20:15:04.477-07:00,1,0,0
2022-04-02T20:30:04.335-07:00,1,0,0
2022-04-02T20:45:04.546-07:00,1,0,0
2022-04-02T21:00:04.372-07:00,1,0,0
2022-04-02T21:15:04.957-07:00,1,0,0
