t,v,s,r
2022-03-31T23:45:05.150-07:00,265,0,0
2022-04-01T00:00:17.442-07:00,260,0,0
2022-04-01T00:15:06.243-07:00,259,0,0
2022-04-01T00:30:20.754-07:00,249,0,0
2022-04-01T00:45:05.286-07:00,260,0,0
2022-04-01T01:00:04.944-07:00,251,0,0
2022-04-01T01:15:08.878-07:00,256,0,0
2022-04-01T01:30:19.738-07:00,254,0,0
2022-04-01T01:45:05.442-07:00,257,0,0
2022-04-01T02:00:19.967-07:00,253,0,0
2022-04-01T02:15:05.348-07:00,252,0,0
2022-04-01T02:30:23.164-07:00,253,0,0
2022-04-01T02:45:05.020-07:00,252,0,0
2022-04-01T03:00:04.954-07:00,253,0,0
2022-04-01T03:15:06.491-07:00,249,0,0
2022-04-01T03:30:05.208-07:00,258,0,0
2022-04-01T03:45:05.076-07:00,249,0,0
2022-04-01T04:00:06.386-07:00,267,0,0
2022-04-01T04:15:05.114-07:00,247,0,0
2022-04-01T04:30:20.163-07:00,256,0,0
2022-04-01T04:45:05.590-07:00,251,0,0
2022-04-01T05:00:26.109-07:00,257,0,0
2022-04-01T05:15:05.265-07:00,259,0,0
2022-04-01T05:30:15.559-07:00,263,0,0
2022-04-01T05:45:07.800-07:00,256,0,0
2022-04-01T06:00:06.154-07:00,259,0,0
2022-04-01T06:15:05.331-07:00,244,0,0
2022-04-01T06:30:15.077-07:00,291,0,0
2022-04-01T06:45:05.122-07:00,264,0,0
2022-04-01T07:00:05.022-07:00,256,0,0
2022-04-01T07:15:05.328-07:00,254,0,0
2022-04-01T07:30:05.168-07:00,260,0,0
2022-04-01T07:45:05.093-07:00,260,0,0
2022-04-01T08:00:11.702-07:00,261,0,0
2022-04-01T08:15:05.270-07:00,258,0,0
2022-04-01T08:30:05.122-07:00,262,0,0
2022-04-01T08:45:05.224-07:00,256,0,0
2022-04-01T09:00:04.837-07:00,254,0,0
2022-04-01T09:15:05.052-07:00,260,0,0
2022-04-01T09:30:05.116-07:00,295,0,0
2022-04-01T09:45:05.324-07:00,267,0,0
2022-04-01T10:00:05.068-07:00,296,0,0
2022-04-01T10:15:05.173-07:00,265,0,0
2022-04-01T10:30:05.104-07:00,292,0,0
2022-04-01T10:45:05.102-07:00,275,0,0
2022-04-01T11:00:05.221-07:00,273,0,0
2022-04-01T11:15:04.982-07:00,260,0,0
2022-04-01T11:30:05.149-07:00,288,0,0
2022-04-01T11:45:05.301-07:00,296,0,0
2022-04-01T12:00:05.514-07:00,278,0,0
2022-04-01T12:15:04.968-07:00,269,0,0
2022-04-01T12:30:05.101-07:00,258,0,0
2022-04-01T12:45:05.703-07:00,269,0,0
2022-04-01T13:00:05.010-07:00,256,0,0
2022-04-01T13:15:05.338-07:00,258,0,0
2022-04-01T13:30:00.583-07:00,284,0,0
2022-04-01T13:45:04.987-07:00,254,0,0
2022-04-01T14:00:04.958-07:00,253,0,0
2022-04-01T14:15:06.013-07:00,268,0,0
2022-04-01T14:30:05.173-07:00,259,0,0
2022-04-01T14:45:04.854-07:00,282,0,0
2022-04-01T15:00:06.057-07:00,260,0,0
2022-04-01T15:15:05.290-07:00,267,0,0
2022-04-01T15:30:09.677-07:00,257,0,0
2022-04-01T15:45:05.086-07:00,259,0,0
2022-04-01T16:00:09.943-07:00,252,0,0
2022-04-01T16:15:06.239-07:00,257,0,0
2022-04-01T16:30:07.746-07:00,260,0,0
2022-04-01T16:45:05.117-07:00,284,0,0
2022-04-01T17:00:12.002-07:00,272,0,0
2022-04-01T17:15:05.073-07:00,261,0,0
2022-04-01T17:30:11.525-07:00,256,0,0
2022-04-01T17:45:04.931-07:00,259,0,0
2022-04-01T18:00:12.833-07:00,257,0,0
2022-04-01T18:15:06.206-07:00,247,0,0
2022-04-01T18:30:12.846-07:00,252,0,0
2022-04-01T18:45:05.096-07:00,247,0,0
2022-04-01T19:00:12.028-07:00,253,0,0
2022-04-01T19:15:04.979-07:00,247,0,0
2022-04-01T19:30:11.884-07:00,252,0,0
2022-04-01T19:45:04.869-07:00,246,0,0
2022-04-01T20:00:12.187-07:00,263,0,0
2022-04-01T20:15:05.233-07:00,243,0,0
2022-04-01T20:30:12.661-07:00,252,0,0
