t,v,s,r
2022-03-31T23:45:05.101-07:00,65.4010009765625,0,0
2022-04-01T00:00:17.382-07:00,65.40399932861328,0,0
2022-04-01T00:15:06.220-07:00,65.40499877929688,0,0
2022-04-01T00:30:20.728-07:00,65.40599822998047,0,0
2022-04-01T00:45:05.262-07:00,65.40799713134766,0,0
2022-04-01T01:00:04.928-07:00,65.40799713134766,0,0
2022-04-01T01:15:08.861-07:00,65.40699768066406,0,0
2022-04-01T01:30:19.671-07:00,65.40899658203125,0,0
2022-04-01T01:45:05.426-07:00,65.40499877929688,0,0
2022-04-01T02:00:19.900-07:00,65.40799713134766,0,0
2022-04-01T02:15:05.310-07:00,65.40499877929688,0,0
2022-04-01T02:30:23.150-07:00,65.40899658203125,0,0
2022-04-01T02:45:04.994-07:00,65.40699768066406,0,0
2022-04-01T03:00:04.940-07:00,65.40599822998047,0,0
2022-04-01T03:15:06.474-07:00,65.41000366210938,0,0
2022-04-01T03:30:05.178-07:00,65.40599822998047,0,0
2022-04-01T03:45:05.062-07:00,65.41000366210938,0,0
2022-04-01T04:00:05.961-07:00,65.39399719238281,0,0
2022-04-01T04:15:05.100-07:00,65.40799713134766,0,0
2022-04-01T04:30:19.839-07:00,65.40399932861328,0,0
2022-04-01T04:45:05.575-07:00,65.40799713134766,0,0
2022-04-01T05:00:26.054-07:00,65.40599822998047,0,0
2022-04-01T05:15:05.250-07:00,65.40499877929688,0,0
2022-04-01T05:30:15.174-07:00,65.4020004272461,0,0
2022-04-01T05:45:07.785-07:00,65.41000366210938,0,0
2022-04-01T06:00:06.132-07:00,65.40899658203125,0,0
2022-04-01T06:15:05.315-07:00,65.40899658203125,0,0
2022-04-01T06:30:14.729-07:00,65.40399932861328,0,0
2022-04-01T06:45:05.106-07:00,65.4010009765625,0,0
2022-04-01T07:00:04.985-07:00,65.40599822998047,0,0
2022-04-01T07:15:05.282-07:00,65.41000366210938,0,0
2022-04-01T07:30:05.151-07:00,65.40399932861328,0,0
2022-04-01T07:45:05.076-07:00,65.40399932861328,0,0
2022-04-01T08:00:11.343-07:00,65.40499877929688,0,0
2022-04-01T08:15:05.235-07:00,65.40499877929688,0,0
2022-04-01T08:30:05.108-07:00,65.4020004272461,0,0
2022-04-01T08:45:05.202-07:00,65.40799713134766,0,0
2022-04-01T09:00:04.823-07:00,65.40699768066406,0,0
2022-04-01T09:15:05.025-07:00,65.40499877929688,0,0
2022-04-01T09:30:05.096-07:00,65.4020004272461,0,0
2022-04-01T09:45:05.307-07:00,65.40299987792969,0,0
2022-04-01T10:00:05.054-07:00,65.39600372314453,0,0
2022-04-01T10:15:05.151-07:00,65.40599822998047,0,0
2022-04-01T10:30:05.071-07:00,65.40499877929688,0,0
2022-04-01T10:45:05.072-07:00,65.40299987792969,0,0
2022-04-01T11:00:05.207-07:00,65.40599822998047,0,0
2022-04-01T11:15:04.967-07:00,65.40699768066406,0,0
2022-04-01T11:30:05.136-07:00,65.40699768066406,0,0
2022-04-01T11:45:05.278-07:00,65.4020004272461,0,0
2022-04-01T12:00:05.499-07:00,65.39700317382812,0,0
2022-04-01T12:15:04.940-07:00,65.4010009765625,0,0
2022-04-01T12:30:05.078-07:00,65.40699768066406,0,0
2022-04-01T12:45:05.671-07:00,65.40299987792969,0,0
2022-04-01T13:00:04.992-07:00,65.40699768066406,0,0
2022-04-01T13:15:05.298-07:00,65.40699768066406,0,0
2022-04-01T13:30:00.574-07:00,65.40799713134766,0,0
2022-04-01T13:45:04.952-07:00,65.40799713134766,0,0
2022-04-01T14:00:04.929-07:00,65.40899658203125,0,0
2022-04-01T14:15:05.997-07:00,65.4010009765625,0,0
2022-04-01T14:30:05.129-07:00,65.40899658203125,0,0
2022-04-01T14:45:04.818-07:00,65.41000366210938,0,0
2022-04-01T15:00:06.029-07:00,65.41000366210938,0,0
2022-04-01T15:15:05.255-07:00,65.4020004272461,0,0
2022-04-01T15:30:09.661-07:00,65.40899658203125,0,0
2022-04-01T15:45:05.070-07:00,65.40899658203125,0,0
2022-04-01T16:00:09.929-07:00,65.41100311279297,0,0
2022-04-01T16:15:06.223-07:00,65.41000366210938,0,0
2022-04-01T16:30:07.719-07:00,65.40699768066406,0,0
2022-04-01T16:45:05.099-07:00,65.40599822998047,0,0
2022-04-01T17:00:11.969-07:00,65.40499877929688,0,0
2022-04-01T17:15:05.058-07:00,65.40399932861328,0,0
2022-04-01T17:30:11.493-07:00,65.40799713134766,0,0
